-- Logs begin at Sun 2022-03-27 16:11:34 UTC, end at Mon 2022-03-28 11:10:28 UTC. --
Mar 28 11:00:14 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 11:00:14 ubuntu dstat.sh[80396]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 28 11:00:14 ubuntu dstat.sh[80396]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 28 11:00:14 ubuntu dstat.sh[80396]: 28-03 11:00:14|                   | 943M 1379M  197M 5104M|           |           |           |           |1.15 0.90 0.64|2.0   0    |           |   0     0 |  8    7    0   14    0
Mar 28 11:00:15 ubuntu dstat.sh[80396]: 28-03 11:00:15| 16  18  65   0   0| 933M 1389M  197M 5104M| 199k   11k|   0  3159k|   0  14.0 |2725  4313 |1.14 0.90 0.64|1.5   0 384|   0     0 |   0     0 |  8    8    0   14    0
Mar 28 11:00:16 ubuntu dstat.sh[80396]: 28-03 11:00:16| 37  17  44   0   0| 869M 1448M  197M 5109M|2440k   49k|   0  2635k|   0  15.0 |3756  5554 |1.13 0.90 0.65|2.0   0 324|   0     0 |   0     0 |  8    6    0   14    1
Mar 28 11:00:17 ubuntu dstat.sh[80396]: 28-03 11:00:17| 40  19  40   0   1| 846M 1469M  197M 5111M|1091k   35k|   0  1741k|   0  16.0 |3730    15k|1.13 0.90 0.65|2.0   0 201|   0     0 |   0     0 |  8    6    0   15    0
Mar 28 11:00:18 ubuntu dstat.sh[80396]: 28-03 11:00:18| 43  10  46   0   0|1028M 1286M  197M 5233M| 829k   19k|   0     0 |   0     0 |2455  4158 |1.13 0.90 0.65|4.0   0  44|   0     0 |   0     0 |  9    6    0   15    0
Mar 28 11:00:19 ubuntu dstat.sh[80396]: 28-03 11:00:19| 59  14  28   0   0|1060M 1253M  197M 5234M| 114k 7501 |   0   513k|   0  16.0 |2063  2331 |1.13 0.90 0.65|4.0   0 117|   0     0 |   0     0 |  9    7    0   10    1
Mar 28 11:00:20 ubuntu dstat.sh[80396]: 28-03 11:00:20| 46  13  37   3   0|1022M 1291M  197M 5234M| 391k   27k|   0  2396k|   0   160 |2655  3468 |1.20 0.92 0.65|1.0 1.0 180|   0     0 |   0     0 |  9    7    1   12    1
Mar 28 11:00:21 ubuntu dstat.sh[80396]: 28-03 11:00:21| 35   5  55   4   0|1053M 1252M  197M 5242M|3787k   76k|  44k 8983k|6.00  92.9 |4488  2576 |1.20 0.92 0.65|1.0   0 1.0|   0     0 |   0     0 |  9    7    1   10    2
Mar 28 11:00:22 ubuntu dstat.sh[80396]: 28-03 11:00:22| 31   2  66   0   0|1074M 1225M  197M 5246M|2049k   16k|   0  3040k|   0  25.0 |1805  1199 |1.20 0.92 0.65|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 28 11:00:23 ubuntu dstat.sh[80396]: 28-03 11:00:23| 21   4  68   7   0|1093M 1204M  197M 5248M|1079k   47k|   0  3452k|   0   261 |3932  5357 |1.20 0.92 0.65|1.0   0 8.0|   0     0 |   0     0 |  9   10    0   10    2
