-- Logs begin at Sat 2022-03-26 03:34:47 UTC, end at Sun 2022-03-27 16:09:53 UTC. --
Mar 27 15:33:16 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 15:33:17 ubuntu dstat.sh[87151]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 27 15:33:17 ubuntu dstat.sh[87151]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 27 15:33:17 ubuntu dstat.sh[87151]: 27-03 15:33:17|                   | 830M 1563M  193M 5041M|           |           |           |           |1.40 1.00 0.69|6.0   0    |           |   0     0 |  8    2    0   14    0
Mar 27 15:33:18 ubuntu dstat.sh[87151]: 27-03 15:33:18| 88  11   0   0   0| 879M 1510M  194M 5044M|  36k 1565 | 160k  220k|8.00  4.00 |1745  1789 |1.40 1.00 0.69|6.0   0 105|   0     0 |   0     0 |  8    2    0   14    0
Mar 27 15:33:19 ubuntu dstat.sh[87151]: 27-03 15:33:19| 76  20   2   0   0| 975M 1408M  194M 5049M|  20k 2001 |  24k   24k|7.00  5.00 |2058  3222 |1.40 1.00 0.69|5.0   0 289|   0     0 |   0     0 |  8    3    0   14    0
Mar 27 15:33:20 ubuntu dstat.sh[87151]: 27-03 15:33:20| 29  20  50   0   0| 927M 1456M  194M 5049M| 186k   13k|   0  1372k|   0  18.0 |4870  8155 |1.40 1.00 0.69| 18   0 268|   0     0 |   0     0 |  8    5    0   14    0
Mar 27 15:33:21 ubuntu dstat.sh[87151]: 27-03 15:33:21| 25  14  61   0   0|1047M 1335M  194M 5171M| 111k 7858 |   0  3550k|   0  15.0 |3405  7667 |1.37 1.00 0.69|1.0   0  82|   0     0 |   0     0 |  9    8    0   14    0
Mar 27 15:33:22 ubuntu dstat.sh[87151]: 27-03 15:33:22| 26   9  65   0   0|1055M 1326M  194M 5172M| 633k   18k|   0   356k|   0  8.01 |2141  2320 |1.37 1.00 0.69|2.0   0 104|   0     0 |   0     0 |  9   10    0   14    0
Mar 27 15:33:23 ubuntu dstat.sh[87151]: 27-03 15:33:23| 30  15  53   0   0| 983M 1392M  194M 5178M|2852k   80k|   0  3792k|   0  30.0 |4922  4610 |1.37 1.00 0.69|1.0   0 186|   0     0 |   0     0 |  9    9    0   12    0
Mar 27 15:33:24 ubuntu dstat.sh[87151]: 27-03 15:33:24| 53   6  39   1   0|1067M 1308M  194M 5178M|1007k   20k|  52k  900k|5.00  24.0 |1972  1372 |1.37 1.00 0.69|3.0   0 3.0|   0     0 |   0     0 |  9    8    0   12    0
Mar 27 15:33:25 ubuntu dstat.sh[87151]: 27-03 15:33:25| 70   7  23   1   0|1120M 1253M  194M 5180M|  79k 5230 | 144k 1245k|9.01  8.01 |1579  1362 |1.37 1.00 0.69|3.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    1
Mar 27 15:33:26 ubuntu dstat.sh[87151]: 27-03 15:33:26| 49   6  44   1   0|1135M 1237M  194M 5180M| 420k   23k|  12k 1352k|1.00  45.0 |2009  2000 |1.34 1.00 0.69|3.0 1.0 8.0|   0     0 |   0     0 |  9   11    0   10    1
Mar 27 15:33:27 ubuntu dstat.sh[87151]: 27-03 15:33:27| 26   5  45  23   0|1091M 1276M  194M 5185M|1726k   59k|   0    20M|   0  1315 |8555    11k|1.34 1.00 0.69|1.0 1.0  10|   0     0 |   0     0 |  9   10    0   10    2
Mar 27 15:33:28 ubuntu dstat.sh[87151]: 27-03 15:33:28| 12   3  61  20   0|1099M 1257M  195M 5194M|4141k   58k|   0    13M|   0   707 |7653    10k|1.34 1.00 0.69|2.0   0 7.0|   0     0 |   0     0 |  9   10    0   10    2
Mar 27 15:33:29 ubuntu dstat.sh[87151]: 27-03 15:33:29| 18   5  57  20   0|1067M 1284M  195M 5199M|1471k   46k|   0  9450k|   0   632 |6253  9683 |1.34 1.00 0.69|4.0 1.0  27|   0     0 |   0     0 |  9    8    0   10    3
Mar 27 15:33:30 ubuntu dstat.sh[87151]: 27-03 15:33:30| 32   6  50  12   0|1089M 1259M  196M 5201M| 229k   20k|   0  7364k|   0   646 |4865  9337 |1.34 1.00 0.69|4.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Mar 27 15:33:31 ubuntu dstat.sh[87151]: 27-03 15:33:31| 32   7  53   7   0|1108M 1236M  196M 5204M| 263k   22k|   0  7370k|   0   620 |4928  8942 |1.39 1.02 0.70|3.0 1.0  15|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 15:33:32 ubuntu dstat.sh[87151]: 27-03 15:33:32| 36   2  55   6   0|1112M 1232M  197M 5205M| 220k  157k|   0  4136k|   0   371 |4480  7682 |1.39 1.02 0.70|3.0   0 5.0|   0     0 |   0     0 |  9    9    0    9    2
Mar 27 15:33:33 ubuntu dstat.sh[87151]: 27-03 15:33:33| 28   6  63   1   0|1035M 1306M  197M 5207M|1099k   31k|   0  2695k|   0   107 |2751  3263 |1.39 1.02 0.70|3.0   0  78|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 15:33:34 ubuntu dstat.sh[87151]: 27-03 15:33:34| 31   4  63   1   0|1084M 1255M  197M 5209M|1235k   23k|   0  1443k|   0  30.0 |1857  1519 |1.39 1.02 0.70|3.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 27 15:33:35 ubuntu dstat.sh[87151]: 27-03 15:33:35| 46   5  47   1   0|1086M 1251M  197M 5211M| 737k   24k|   0  9032k|   0   402 |2838  3288 |1.39 1.02 0.70|3.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 15:33:36 ubuntu dstat.sh[87151]: 27-03 15:33:36| 61   6  33   1   1|1046M 1288M  197M 5213M| 135k 5338 |   0  7784k|   0   426 |2680  2878 |1.52 1.05 0.71|4.0   0  18|   0     0 |   0     0 |  9    6    0    9    2
Mar 27 15:33:37 ubuntu dstat.sh[87151]: 27-03 15:33:37| 45   4  48   2   0|1081M 1252M  197M 5214M| 308k 8892 |   0  8029k|   0   405 |2436  2749 |1.52 1.05 0.71|3.0   0 2.0|   0     0 |   0     0 |  9    7    0    9    2
Mar 27 15:33:38 ubuntu dstat.sh[87151]: 27-03 15:33:38| 43   3  53   2   0|1125M 1208M  198M 5214M|  98k 5357 |   0  7787k|   0   406 |2408  2847 |1.52 1.05 0.71|2.0   0 3.0|   0     0 |   0     0 |  9    8    0    9    2
