-- Logs begin at Tue 2022-06-07 18:10:50 UTC, end at Tue 2022-06-07 22:37:41 UTC. --
Jun 07 21:59:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 07 21:59:48 ubuntu dstat.sh[71762]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 07 21:59:48 ubuntu dstat.sh[71762]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 07 21:59:48 ubuntu dstat.sh[71762]: 07-06 21:59:48|                   | 934M 1559M  194M 4947M|           |           |           |           |1.22 0.76 0.55|3.0   0    |           |   0     0 |  8    7    1    8    2
Jun 07 21:59:49 ubuntu dstat.sh[71762]: 07-06 21:59:49| 14  18  66   0   0| 935M 1557M  194M 4948M| 132k 6556 |   0   555k|   0  12.0 |2753  4233 |1.22 0.76 0.55|3.0   0 367|   0     0 |   0     0 |  8    8    0    8    2
Jun 07 21:59:50 ubuntu dstat.sh[71762]: 07-06 21:59:50| 19  18  63   0   0| 918M 1574M  194M 4948M| 185k 9401 |   0   728k|   0  13.5 |3048  4562 |1.22 0.76 0.55|2.0   0 298|   0     0 |   0     0 |  8    8    0    8    2
Jun 07 21:59:51 ubuntu dstat.sh[71762]: 07-06 21:59:51| 23  16  60   0   0| 919M 1570M  194M 4950M| 760k   17k|   0   635k|   0  7.99 |4141  7677 |1.20 0.76 0.55|1.0   0 149|   0     0 |   0     0 |  8    8    0    8    2
Jun 07 21:59:52 ubuntu dstat.sh[71762]: 07-06 21:59:52|  9   8  82   0   0|1055M 1432M  194M 5075M|1485k   41k|   0    30M|   0  99.0 |3493  2989 |1.20 0.76 0.55|1.0   0  33|   0     0 |   0     0 |  9    8    0    8    2
Jun 07 21:59:53 ubuntu dstat.sh[71762]: 07-06 21:59:53| 44  11  44   1   0|1045M 1438M  194M 5078M| 772k   16k|   0  2684k|   0  16.0 |2234  2225 |1.20 0.76 0.55|3.0   0 107|   0     0 |   0     0 |  9    8    0    8    2
Jun 07 21:59:54 ubuntu dstat.sh[71762]: 07-06 21:59:54| 52  14  33   1   1|1052M 1429M  194M 5080M|1515k   36k|   0  2853k|   0  28.0 |3427  3640 |1.20 0.76 0.55|4.0   0 186|   0     0 |   0     0 |  9    6    0   10    2
Jun 07 21:59:55 ubuntu dstat.sh[71762]: 07-06 21:59:55| 58   8  32   1   0|1126M 1353M  194M 5082M| 260k   11k|  52k 1597k|5.00  27.0 |1939  1554 |1.20 0.76 0.55|3.0   0 4.0|   0     0 |   0     0 |  9    7    0   10    2
Jun 07 21:59:56 ubuntu dstat.sh[71762]: 07-06 21:59:56| 32   4  62   1   0|1141M 1337M  194M 5083M| 529k   15k| 144k 1919k|9.00  11.0 |1898  1369 |1.18 0.77 0.55|2.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 07 21:59:57 ubuntu dstat.sh[71762]: 07-06 21:59:57| 30   3  59   5   0|1099M 1378M  195M 5084M| 113k   28k|  12k 6147k|1.00   265 |3325  4806 |1.18 0.77 0.55|  0 1.0  10|   0     0 |   0     0 |  9    9    0   10    2
