-- Logs begin at Wed 2022-03-30 20:02:39 UTC, end at Thu 2022-03-31 04:39:48 UTC. --
Mar 31 04:01:04 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 04:01:04 ubuntu dstat.sh[71734]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 31 04:01:04 ubuntu dstat.sh[71734]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 31 04:01:04 ubuntu dstat.sh[71734]: 31-03 04:01:04|                   | 945M 1319M  196M 5166M|           |           |           |           |1.47 1.17 0.76|5.0   0    |           |   0     0 |  8    8    0    8    0
Mar 31 04:01:05 ubuntu dstat.sh[71734]: 31-03 04:01:05| 23  17  57   0   0| 935M 1329M  196M 5166M| 131k 7022 |   0   251k|   0  8.98 |2638  3674 |1.47 1.17 0.76|4.5   0 331|   0     0 |   0     0 |  8    8    0    8    0
Mar 31 04:01:06 ubuntu dstat.sh[71734]: 31-03 04:01:06| 26  21  54   0   0| 907M 1352M  196M 5171M|2499k   62k|   0   421k|   0  8.49 |4016  5482 |1.47 1.17 0.76|3.0   0 284|   0     0 |   0     0 |  8    9    0    8    0
Mar 31 04:01:07 ubuntu dstat.sh[71734]: 31-03 04:01:07| 32  16  37  13   0| 840M 1416M  196M 5173M|1086k   30k|   0    15M|   0   394 |5621  8196 |1.47 1.17 0.76|4.0   0  97|   0     0 |   0     0 |  8    7    0    8    0
Mar 31 04:01:08 ubuntu dstat.sh[71734]: 31-03 04:01:08| 37   8  55   0   0|1023M 1233M  196M 5295M| 906k   16k|   0     0 |   0     0 |2218  2473 |1.44 1.17 0.77|3.0 1.0  40|   0     0 |   0     0 |  9    8    0    8    0
Mar 31 04:01:09 ubuntu dstat.sh[71734]: 31-03 04:01:09| 62  13  25   0   0|1048M 1206M  196M 5296M| 411k   15k|   0  1722k|   0  23.0 |2352  2590 |1.44 1.17 0.77|2.0   0 134|   0     0 |   0     0 |  9    7    0    8    1
Mar 31 04:01:10 ubuntu dstat.sh[71734]: 31-03 04:01:10| 44  13  42   1   0|1018M 1234M  196M 5298M| 893k   39k|   0  1855k|   0  35.0 |2986  3611 |1.44 1.17 0.77|1.0   0 158|   0     0 |   0     0 |  9    7    0   10    2
Mar 31 04:01:11 ubuntu dstat.sh[71734]: 31-03 04:01:11| 36   5  58   2   0|1050M 1193M  196M 5307M|4915k   65k|  56k 6713k|6.01  26.0 |4402  2409 |1.44 1.17 0.77|2.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 04:01:12 ubuntu dstat.sh[71734]: 31-03 04:01:12| 28   2  68   1   0|1072M 1169M  196M 5309M| 261k   11k| 140k 1439k|7.99  21.0 |1289  1091 |1.44 1.17 0.77|1.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 04:01:13 ubuntu dstat.sh[71734]: 31-03 04:01:13| 27   3  67   3   0|1089M 1149M  196M 5312M|1444k   52k|  12k 3864k|1.00   136 |3127  3380 |1.40 1.17 0.77|1.0 1.0 2.0|   0     0 |   0     0 |  9   10    0    9    2
Mar 31 04:01:14 ubuntu dstat.sh[71734]: 31-03 04:01:14| 34   5  41  18   0|1081M 1153M  197M 5315M| 188k   22k|   0  8109k|   0   659 |5769  9324 |1.40 1.17 0.77|2.0   0  14|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 04:01:15 ubuntu dstat.sh[71734]: 31-03 04:01:15| 33   5  54   9   0|1102M 1128M  197M 5318M| 185k   21k|   0  8904k|   0   652 |5052  8459 |1.40 1.17 0.77|1.0 2.0  22|   0     0 |   0     0 |  9    8    0    9    2
Mar 31 04:01:16 ubuntu dstat.sh[71734]: 31-03 04:01:16| 23   5  54  20   0|1106M 1122M  198M 5320M|  56k   20k|   0  7798k|   0   678 |5205  9156 |1.40 1.17 0.77|1.0 1.0  20|   0     0 |   0     0 |  9    9    0    9    2
Mar 31 04:01:17 ubuntu dstat.sh[71734]: 31-03 04:01:17| 17   2  60  20   0|1108M 1116M  198M 5322M| 258k   22k|   0  7369k|   0   623 |5208  8697 |1.40 1.17 0.77|1.0 1.0  11|   0     0 |   0     0 |  9   10    0    9    2
Mar 31 04:01:18 ubuntu dstat.sh[71734]: 31-03 04:01:18| 15   5  60  20   0|1113M 1108M  199M 5325M|1223k   39k|   0  7385k|   0   622 |5904  9163 |1.45 1.18 0.77|1.0 1.0  13|   0     0 |   0     0 |  9   10    0    9    2
