-- Logs begin at Tue 2022-05-10 15:38:05 UTC, end at Tue 2022-05-10 16:53:36 UTC. --
May 10 16:32:11 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 10 16:32:11 ubuntu dstat.sh[86684]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 10 16:32:11 ubuntu dstat.sh[86684]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 10 16:32:11 ubuntu dstat.sh[86684]: 10-05 16:32:11|                   | 997M 1516M  193M 4925M|           |           |           |           |1.49 1.13 0.75|2.0 2.0    |           |   0     0 |  8    5    0   14    0
May 10 16:32:12 ubuntu dstat.sh[86684]: 10-05 16:32:12| 29  20  35  16   0| 976M 1536M  193M 4925M| 528k   12k|   0  9909k|   0   226 |3401  4300 |1.49 1.13 0.75|2.5 1.0 401|   0     0 |   0     0 |  8    6    0   14    0
May 10 16:32:13 ubuntu dstat.sh[86684]: 10-05 16:32:13| 23  18  57   0   0| 940M 1571M  193M 4926M| 182k 6192 |   0   200k|   0   117 |3476  5028 |1.49 1.13 0.75|2.0   0 312|   0     0 |   0     0 |  8    7    0   14    0
May 10 16:32:14 ubuntu dstat.sh[86684]: 10-05 16:32:14| 22  14  62   0   0| 943M 1567M  193M 4927M| 858k   16k|   0   324k|   0  8.99 |5283  8058 |1.45 1.12 0.75|1.0   0 146|   0     0 |   0     0 |  8    8    0   10    0
May 10 16:32:15 ubuntu dstat.sh[86684]: 10-05 16:32:15| 14  12  73   0   0|1048M 1460M  193M 5051M| 948k   27k|   0  1298k|   0  5.01 |3315  3872 |1.45 1.12 0.75|1.0   0 124|   0     0 |   0     0 |  9    9    0   10    0
May 10 16:32:16 ubuntu dstat.sh[86684]: 10-05 16:32:16| 39  11  50   1   0|1073M 1434M  193M 5052M|1215k   20k|   0   844k|   0  19.0 |2368  2215 |1.45 1.12 0.75|2.0   0  97|   0     0 |   0     0 |  9    7    0   10    1
May 10 16:32:17 ubuntu dstat.sh[86684]: 10-05 16:32:17| 51   9  37   1   0|1133M 1373M  193M 5052M|2726k   27k|  20k  936k|2.00  31.0 |3301  2976 |1.45 1.12 0.75|3.0   0 112|   0     0 |   0     0 |  9    6    0   10    2
May 10 16:32:18 ubuntu dstat.sh[86684]: 10-05 16:32:18| 36   6  55   3   0|1158M 1335M  193M 5065M|5498k   87k| 176k 7010k|12.0  22.0 |5221  2640 |1.45 1.12 0.75|2.0 1.0 2.0|   0     0 |   0     0 |  9    7    0   10    2
May 10 16:32:19 ubuntu dstat.sh[86684]: 10-05 16:32:19| 37   2  60   1   0|1105M 1389M  193M 5064M| 381k   14k|   0   888k|   0  23.0 |1483  1182 |1.42 1.12 0.75|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
May 10 16:32:20 ubuntu dstat.sh[86684]: 10-05 16:32:20| 14   3  64  16   0|1123M 1369M  194M 5065M| 331k   33k|  12k 7103k|1.00   493 |4318  6835 |1.42 1.12 0.75|  0 1.0 8.0|   0     0 |   0     0 |  9    8    0   10    2
May 10 16:32:21 ubuntu dstat.sh[86684]: 10-05 16:32:21| 12   3  63  20   0|1126M 1363M  194M 5068M| 397k   26k|   0  9601k|   0   768 |6069    10k|1.42 1.12 0.75|  0 1.0 5.0|   0     0 |   0     0 |  9    8    0   10    2
May 10 16:32:22 ubuntu dstat.sh[86684]: 10-05 16:32:22| 12   3  60  23   0|1132M 1354M  195M 5070M| 184k   17k|   0  6292k|   0   528 |5219  8433 |1.42 1.12 0.75|1.0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
May 10 16:32:23 ubuntu dstat.sh[86684]: 10-05 16:32:23| 16   4  57  22   0|1136M 1346M  195M 5073M| 266k   20k|   0  8180k|   0   670 |5798  9662 |1.42 1.12 0.75|  0 1.0  19|   0     0 |   0     0 |  9    8    0    9    2
May 10 16:32:24 ubuntu dstat.sh[86684]: 10-05 16:32:24| 13   2  62  21   0|1141M 1338M  195M 5076M|1253k   23k|   0  7345k|   0   584 |5773  8949 |1.54 1.15 0.76|1.0 1.0  14|   0     0 |   0     0 |  9    8    0    9    2
May 10 16:32:25 ubuntu dstat.sh[86684]: 10-05 16:32:25| 13   2  64  19   0|1143M 1332M  196M 5079M| 976k   43k|   0  7357k|   0   670 |6433    10k|1.54 1.15 0.76|1.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
May 10 16:32:26 ubuntu dstat.sh[86684]: 10-05 16:32:26| 29   1  65   3   0|1147M 1327M  196M 5079M| 503k  148k|   0  2809k|   0   210 |3600  5897 |1.54 1.15 0.76|1.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
May 10 16:32:27 ubuntu dstat.sh[86684]: 10-05 16:32:27| 34   9  56   0   0|1091M 1380M  196M 5082M| 157k 3637 |   0  1217k|   0  25.0 |1695  1972 |1.54 1.15 0.76|2.0   0  80|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:28 ubuntu dstat.sh[86684]: 10-05 16:32:28| 43   3  47   4   0|1135M 1337M  196M 5082M| 116k 3303 |   0  6568k|   0   349 |2215  2585 |1.54 1.15 0.76|3.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:29 ubuntu dstat.sh[86684]: 10-05 16:32:29| 35   3  60   1   0|1156M 1309M  197M 5087M|1341k 7533 |   0  9449k|   0   444 |2286  2867 |1.50 1.15 0.77|5.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:30 ubuntu dstat.sh[86684]: 10-05 16:32:30| 47   3  48   1   0|1087M 1377M  197M 5087M| 296k 1622 |   0  7165k|   0   407 |2585  2783 |1.50 1.15 0.77|2.0   0  11|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:31 ubuntu dstat.sh[86684]: 10-05 16:32:31| 34   4  60   2   0|1129M 1336M  197M 5087M| 418k 7605 |   0  7601k|   0   385 |2336  2803 |1.50 1.15 0.77|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:32 ubuntu dstat.sh[86684]: 10-05 16:32:32| 30   2  67   0   0|1142M 1321M  197M 5089M|1033k   13k|   0    12M|   0   150 |1824  1528 |1.50 1.15 0.77|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:33 ubuntu dstat.sh[86684]: 10-05 16:32:33| 22  14  63   1   0|1050M 1411M  197M 5089M| 161k 6983 |   0   769k|   0  26.0 |2785  4356 |1.50 1.15 0.77|4.0   0 329|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:34 ubuntu dstat.sh[86684]: 10-05 16:32:34| 27  20  52   1   0|1073M 1388M  197M 5090M| 581k 6122 |   0   808k|   0  23.0 |3563  6459 |1.38 1.13 0.76|3.0   0 331|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:35 ubuntu dstat.sh[86684]: 10-05 16:32:35| 52  16  31   0   0|1100M 1360M  197M 5091M|1185k 1620 | 196k 4096B|3.00  1.00 |4192  7401 |1.38 1.13 0.76|5.0   0 182|   0     0 |   0     0 |  9    6    0    9    2
May 10 16:32:36 ubuntu dstat.sh[86684]: 10-05 16:32:36| 64   7  28   0   0|1216M 1244M  197M 5091M|3168k 4149 | 128k  480k|1.00  8.99 |2220  1079 |1.38 1.13 0.76|5.0   0 6.0|   0     0 |   0     0 |  9    7    0    9    2
May 10 16:32:37 ubuntu dstat.sh[86684]: 10-05 16:32:37| 72   3  24   0   0|1272M 1187M  198M 5092M|2292k 1618 | 371k 5736k|7.99   246 |2758  2242 |1.38 1.13 0.76|3.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
