-- Logs begin at Thu 2022-03-31 18:46:03 UTC, end at Thu 2022-03-31 20:07:57 UTC. --
Mar 31 19:30:40 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 19:30:40 ubuntu dstat.sh[75231]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Mar 31 19:30:40 ubuntu dstat.sh[75231]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 31 19:30:40 ubuntu dstat.sh[75231]: 31-03 19:30:40|                   | 931M 1615M  189M 4900M|           |           |           |           |1.53 1.09 0.68|3.0   0    |           |   0     0 |  7    8    0   14    0
Mar 31 19:30:41 ubuntu dstat.sh[75231]: 31-03 19:30:41| 27  35  34   0   0| 922M 1625M  189M 4900M|  50k 6407 |   0  1155k|   0   100 |4591  9773 |1.53 1.09 0.68|3.5   0 1.2|   0     0 |   0     0 |  7    8    0   14    0
Mar 31 19:30:42 ubuntu dstat.sh[75231]: 31-03 19:30:42| 33  31  33   0   0| 901M 1640M  189M 4905M|2475k   56k|   0  1315k|   0  93.4 |6168    11k|1.53 1.09 0.68|6.0   0 1.0|   0     0 |   0     0 |  7    9    0   14    0
Mar 31 19:30:43 ubuntu dstat.sh[75231]: 31-03 19:30:43| 43  22  33   1   0| 979M 1559M  189M 5029M|1955k   42k|   0    11M|   0   270 |  10k   21k|1.53 1.09 0.68|3.0   0 336|   0     0 |   0     0 |  9    6    0   14    0
Mar 31 19:30:44 ubuntu dstat.sh[75231]: 31-03 19:30:44| 62  18  19   0   0|1032M 1505M  189M 5030M|  73k 4654 |   0    32k|   0  7.99 |6689    26k|1.53 1.09 0.68|3.0   0 113|   0     0 |   0     0 |  9    8    0   14    0
Mar 31 19:30:45 ubuntu dstat.sh[75231]: 31-03 19:30:45| 55  16  26   0   0|1068M 1468M  189M 5031M| 440k   28k|   0  3027k|   0  38.0 |2686  5028 |1.65 1.13 0.69|1.0 1.0 418|   0     0 |   0     0 |  9    7    0   16    1
Mar 31 19:30:46 ubuntu dstat.sh[75231]: 31-03 19:30:46| 42   4  51   1   0|1067M 1468M  190M 5033M| 863k   28k| 196k  987k|14.0  26.0 |2257  1847 |1.65 1.13 0.69|1.0   0 1.0|   0     0 |   0     0 |  9    7    0   16    2
Mar 31 19:30:47 ubuntu dstat.sh[75231]: 31-03 19:30:47| 30   5  65   0   0|1066M 1458M  190M 5042M|4932k   74k|   0  6747k|   0  17.0 |4345  2263 |1.65 1.13 0.69|2.0   0 3.0|   0     0 |   0     0 |  9    8    0   16    2
Mar 31 19:30:48 ubuntu dstat.sh[75231]: 31-03 19:30:48| 18   3  64  12   0|1088M 1433M  190M 5045M|1079k   53k|  12k 5812k|1.00   458 |4617  7433 |1.65 1.13 0.69|1.0 1.0  11|   0     0 |   0     0 |  9   10    0   10    2
Mar 31 19:30:49 ubuntu dstat.sh[75231]: 31-03 19:30:49| 28   7  45  19   0|1071M 1446M  190M 5048M| 706k   37k|   0  9858k|   0   753 |6417    10k|1.65 1.13 0.69|2.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Mar 31 19:30:50 ubuntu dstat.sh[75231]: 31-03 19:30:50| 35   5  44  17   0|1094M 1418M  191M 5052M| 271k   24k|   0  8519k|   0   716 |5965  9777 |1.92 1.19 0.72|1.0 1.0  21|   0     0 |   0     0 |  9    8    0   10    2
Mar 31 19:30:51 ubuntu dstat.sh[75231]: 31-03 19:30:51| 25   5  48  21   0|1097M 1413M  191M 5053M|  84k   19k|   0  6616k|   0   575 |5245  8908 |1.92 1.19 0.72|1.0   0  21|   0     0 |   0     0 |  9    9    0   10    2
Mar 31 19:30:52 ubuntu dstat.sh[75231]: 31-03 19:30:52| 22   3  51  23   0|1102M 1406M  192M 5056M| 214k   21k|   0  7280k|   0   634 |5554  9333 |1.92 1.19 0.72|1.0   0  11|   0     0 |   0     0 |  9   10    0   10    2
Mar 31 19:30:53 ubuntu dstat.sh[75231]: 31-03 19:30:53| 17   4  58  19   0|1106M 1398M  192M 5059M|1199k   35k|   0  7799k|   0   667 |6051  9666 |1.92 1.19 0.72|1.0 1.0  14|   0     0 |   0     0 |  9   10    0   10    2
