-- Logs begin at Wed 2022-04-06 19:02:13 UTC, end at Wed 2022-04-06 20:24:43 UTC. --
Apr 06 19:47:03 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 06 19:47:03 ubuntu dstat.sh[70541]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 06 19:47:03 ubuntu dstat.sh[70541]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 06 19:47:03 ubuntu dstat.sh[70541]: 06-04 19:47:03|                   | 893M 1659M  188M 4898M|           |           |           |           |1.31 1.09 0.70|3.0   0    |           |   0     0 |  8    6    0   14    0
Apr 06 19:47:04 ubuntu dstat.sh[70541]: 06-04 19:47:04| 19  20  59   0   0| 872M 1680M  188M 4898M| 278k 9761 |   0   220k|   0  11.0 |3016  4737 |1.31 1.09 0.70|3.5   0 406|   0     0 |   0     0 |  8    6    0   14    0
Apr 06 19:47:05 ubuntu dstat.sh[70541]: 06-04 19:47:05| 24  13  48  14   0| 835M 1716M  188M 4899M| 457k   12k|   0  8935k|   0   122 |3086  4546 |1.31 1.09 0.70|1.0   0 288|   0     0 |   0     0 |  8    7    0   14    0
Apr 06 19:47:06 ubuntu dstat.sh[70541]: 06-04 19:47:06| 24  16  57   2   0| 797M 1752M  188M 4901M| 879k   23k|   0  2207k|   0  19.0 |4084  5698 |1.29 1.08 0.70|2.0   0 199|   0     0 |   0     0 |  8    7    0   14    0
Apr 06 19:47:07 ubuntu dstat.sh[70541]: 06-04 19:47:07| 25  15  59   0   0| 962M 1586M  188M 5023M| 910k   21k|   0     0 |   0     0 |3125  6519 |1.29 1.08 0.70|2.0   0 141|   0     0 |   0     0 |  9    8    0   10    0
Apr 06 19:47:08 ubuntu dstat.sh[70541]: 06-04 19:47:08| 44   9  45   0   0| 980M 1567M  188M 5024M| 459k   15k|   0  1540k|   0  23.0 |2531  2196 |1.29 1.08 0.70|2.0 1.0  97|   0     0 |   0     0 |  9    7    0   10    1
Apr 06 19:47:09 ubuntu dstat.sh[70541]: 06-04 19:47:09| 38   9  52   0   0|1016M 1529M  188M 5025M| 871k   36k|   0  1064k|   0  29.0 |2911  3080 |1.29 1.08 0.70|1.0   0 126|   0     0 |   0     0 |  9    7    0   10    2
Apr 06 19:47:10 ubuntu dstat.sh[70541]: 06-04 19:47:10| 35   4  55   3   0|1062M 1474M  188M 5035M|4885k   75k| 152k 6539k|7.99  19.0 |4342  2189 |1.29 1.08 0.70|1.0   0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 19:47:11 ubuntu dstat.sh[70541]: 06-04 19:47:11| 30   4  66   1   0|1062M 1472M  188M 5036M| 304k   12k|  44k 1503k|6.00  26.0 |1501  1351 |1.26 1.08 0.70|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 19:47:12 ubuntu dstat.sh[70541]: 06-04 19:47:12| 26   3  59  10   0|1050M 1481M  188M 5039M|1519k   59k|  12k 7070k|1.00   375 |4770  6144 |1.26 1.08 0.70|3.0 3.0 9.0|   0     0 |   0     0 |  9    8    0   10    3
Apr 06 19:47:13 ubuntu dstat.sh[70541]: 06-04 19:47:13| 33   6  45  17   0|1076M 1451M  189M 5042M| 756k   22k|   0    10M|   0   735 |5395  9058 |1.26 1.08 0.70|6.0   0 6.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 19:47:14 ubuntu dstat.sh[70541]: 06-04 19:47:14| 34   5  40  21   0|1092M 1431M  189M 5045M|  84k   19k|   0  7700k|   0   564 |5066  8371 |1.26 1.08 0.70|  0 1.0  22|   0     0 |   0     0 |  9    8    0   10    2
Apr 06 19:47:15 ubuntu dstat.sh[70541]: 06-04 19:47:15| 24   3  52  20   0|1099M 1421M  190M 5048M| 187k   20k|   0  6927k|   0   587 |5625  8884 |1.26 1.08 0.70|  0 1.0  16|   0     0 |   0     0 |  9    9    0    9    2
Apr 06 19:47:16 ubuntu dstat.sh[70541]: 06-04 19:47:16| 13   3  59  23   0|1102M 1414M  190M 5051M|1148k   22k|   0  9632k|   0   728 |5122  8414 |1.24 1.08 0.70|1.0 1.0  15|   0     0 |   0     0 |  9   10    0    9    2
Apr 06 19:47:17 ubuntu dstat.sh[70541]: 06-04 19:47:17|  9   2  65  22   0|1104M 1408M  191M 5055M|1200k   33k|   0  6783k|   0   521 |4782  8395 |1.24 1.08 0.70|1.0 2.0 1.0|   0     0 |   0     0 |  9   10    0    9    2
Apr 06 19:47:18 ubuntu dstat.sh[70541]: 06-04 19:47:18| 44   5  45   7   0|1089M 1421M  191M 5057M| 777k  145k|   0  5649k|   0   432 |5324  8414 |1.24 1.08 0.70|2.0   0  15|   0     0 |   0     0 |  9    8    0    9    2
Apr 06 19:47:19 ubuntu dstat.sh[70541]: 06-04 19:47:19| 50   8  40   2   0|1038M 1470M  191M 5058M| 872k   48k|   0  2224k|   0   117 |2973  3822 |1.24 1.08 0.70|3.0   0  81|   0     0 |   0     0 |  9    6    0    9    2
Apr 06 19:47:20 ubuntu dstat.sh[70541]: 06-04 19:47:20| 54   6  39   1   0|1090M 1416M  191M 5060M|1819k 3734 |   0  1621k|   0  30.0 |1880  1715 |1.24 1.08 0.70|3.0   0 6.0|   0     0 |   0     0 |  9    7    0    9    2
Apr 06 19:47:21 ubuntu dstat.sh[70541]: 06-04 19:47:21| 38   3  57   2   0|1101M 1398M  192M 5065M|1035k   11k|   0    10M|   0   410 |2752  2785 |1.22 1.08 0.70|2.0   0 2.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 06 19:47:22 ubuntu dstat.sh[70541]: 06-04 19:47:22| 47   4  47   1   0|1045M 1453M  192M 5065M| 149k 4032 |   0  7288k|   0   396 |2646  2798 |1.22 1.08 0.70|2.0   0  12|   0     0 |   0     0 |  9    8    0    9    2
Apr 06 19:47:23 ubuntu dstat.sh[70541]: 06-04 19:47:23| 48   8  41   2   0|1053M 1442M  192M 5068M|1875k   37k|   0  9605k|   0   427 |4732  9684 |1.22 1.08 0.70|2.0   0  36|   0     0 |   0     0 |  9    6    0    9    2
Apr 06 19:47:24 ubuntu dstat.sh[70541]: 06-04 19:47:24| 52   4  43   3   0|1089M 1404M  192M 5069M| 429k 8888 |   0  8151k|   0   398 |2596  2706 |1.22 1.08 0.70|3.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 06 19:47:25 ubuntu dstat.sh[70541]: 06-04 19:47:25| 48  11  39   1   0|1011M 1482M  192M 5070M| 332k 9528 |   0  2847k|   0   108 |2451  2847 |1.22 1.08 0.70|3.0   0 142|   0     0 |   0     0 |  9    6    0    9    2
Apr 06 19:47:26 ubuntu dstat.sh[70541]: 06-04 19:47:26| 40  20  38   0   0|1031M 1461M  192M 5070M| 101k 4676 |   0    20M|   0   122 |3166  5038 |1.36 1.11 0.72|2.0   0 425|   0     0 |   0     0 |  9    7    0    9    2
Apr 06 19:47:27 ubuntu dstat.sh[70541]: 06-04 19:47:27| 38  15  46   0   0|1015M 1477M  192M 5070M|  41k 5081 |   0   689k|   0  12.0 |3981  7756 |1.36 1.11 0.72|1.0   0 131|   0     0 |   0     0 |  9    8    0    9    2
Apr 06 19:47:28 ubuntu dstat.sh[70541]: 06-04 19:47:28| 67  12  20   1   0|1153M 1338M  192M 5072M|1367k   11k| 324k  128k|4.00  3.00 |2757  3234 |1.36 1.11 0.72|3.0   0 152|   0     0 |   0     0 |  9    9    0    9    2
Apr 06 19:47:29 ubuntu dstat.sh[70541]: 06-04 19:47:29| 85   8   7   0   0|1200M 1288M  192M 5075M|1104k   20k| 370k 2036k|7.97  5.98 |2716  1851 |1.36 1.11 0.72|4.0   0 3.0|   0     0 |   0     0 |  9    7    0    9    2
Apr 06 19:47:30 ubuntu dstat.sh[70541]: 06-04 19:47:30| 96   3   0   0   0|1239M 1246M  193M 5077M| 963k 1627 |   0    12k|   0  3.01 |2138  2075 |1.36 1.11 0.72|5.0   0 4.0|   0     0 |   0     0 |  9    7    0    9    2
Apr 06 19:47:31 ubuntu dstat.sh[70541]: 06-04 19:47:31| 75  11  14   0   0|1262M 1219M  193M 5080M| 177k 4434 |   0    34M|   0   115 |2799  6678 |1.50 1.14 0.73|3.0   0  94|   0     0 |   0     0 |  9    7    0   10    2
Apr 06 19:47:32 ubuntu dstat.sh[70541]: 06-04 19:47:32| 52   6  41   0   0|1312M 1169M  193M 5080M|  35k 2714 |   0  2243k|   0  8.99 |1955  2586 |1.50 1.14 0.73|2.0   0  51|   0     0 |   0     0 |  9    8    0    8    2
