-- Logs begin at Mon 2022-07-18 14:18:58 UTC, end at Mon 2022-07-18 15:50:14 UTC. --
Jul 18 15:12:24 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 18 15:12:24 ubuntu dstat.sh[91919]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 18 15:12:24 ubuntu dstat.sh[91919]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 18 15:12:24 ubuntu dstat.sh[91919]: 18-07 15:12:24|                   | 855M 1526M  186M 5058M|           |           |           |           |1.40 0.81 0.55|4.0   0    |           |   0     0 |  8    6    0   10    2
Jul 18 15:12:25 ubuntu dstat.sh[91919]: 18-07 15:12:25| 15  18  66   0   0| 857M 1524M  186M 5058M| 100k 6084 |   0   420k|   0  11.0 |3079  5618 |1.40 0.81 0.55|3.5   0 357|   0     0 |   0     0 |  8    6    0   10    2
Jul 18 15:12:26 ubuntu dstat.sh[91919]: 18-07 15:12:26| 20  17  62   0   0| 845M 1534M  186M 5060M| 580k   19k|   0   484k|   0  12.5 |3038  5238 |1.40 0.81 0.55|2.0   0 281|   0     0 |   0     0 |  8    6    0   10    2
Jul 18 15:12:27 ubuntu dstat.sh[91919]: 18-07 15:12:27| 44  21  34   1   0| 829M 1548M  186M 5061M| 674k   21k|   0  1853k|   0  18.0 |5139    11k|1.68 0.88 0.57|8.0   0 254|   0     0 |   0     0 |  8    4    0   11    2
Jul 18 15:12:28 ubuntu dstat.sh[91919]: 18-07 15:12:28| 33   8  58   1   0| 989M 1388M  186M 5184M| 133k 6852 |   0   479k|   0  8.98 |2000  2952 |1.68 0.88 0.57|1.0   0  43|   0     0 |   0     0 |  9    4    0   11    2
Jul 18 15:12:29 ubuntu dstat.sh[91919]: 18-07 15:12:29| 25   9  66   0   0| 997M 1379M  186M 5184M|  38k 5911 |   0   460k|   0  13.0 |1565  2050 |1.68 0.88 0.57|3.0   0  99|   0     0 |   0     0 |  9    7    0   10    2
Jul 18 15:12:30 ubuntu dstat.sh[91919]: 18-07 15:12:30| 19  11  68   1   0|1005M 1369M  186M 5185M| 951k   39k|   0  1256k|   0  23.0 |3034  3585 |1.68 0.88 0.57|1.0   0 192|   0     0 |   0     0 |  9    7    0   12    2
Jul 18 15:12:31 ubuntu dstat.sh[91919]: 18-07 15:12:31| 43   6  51   1   0| 967M 1407M  186M 5186M| 206k   12k|   0    20M|   0   117 |1784  1643 |1.68 0.88 0.57|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 18 15:12:32 ubuntu dstat.sh[91919]: 18-07 15:12:32| 26   2  70   1   0| 996M 1376M  186M 5188M| 517k   16k|  44k 2628k|5.99  12.0 |1573  1318 |1.71 0.90 0.58|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 18 15:12:33 ubuntu dstat.sh[91919]: 18-07 15:12:33| 24   2  68   5   0|1016M 1355M  186M 5188M|  93k   26k|   0  2076k|   0   173 |2282  3483 |1.71 0.90 0.58|  0 1.0 2.0|   0     0 |   0     0 |  9    8    0   12    2
