"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Apr 2022 22:20:52 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-04 22:20:52,,917752,1693408,192900,5016684,,,,,,,1.090,1.050,0.720,2,0,,,,8,7,0,14,0
11-04 22:20:53,19.736,19.237,59.959,0.250,0.250,877160,1733684,192916,5016840,165374.891,8027.461,0,271.812,0,7.994,2533,3983,1.170,1.060,0.730,2,0,351.757,0,0,8,6,0,14,0
11-04 22:20:54,26.740,17.494,54.480,0.250,0,857492,1751596,192936,5018388,734362.551,20042.564,0,2818.954,0,236.912,4356,5587,1.170,1.060,0.730,3,0,238.911,0,0,8,7,0,12,0
11-04 22:20:55,26.986,14.742,55.971,0.250,0,820484,1787312,192972,5019788,825272.383,24451.212,0,2118.892,0,14.992,4905,8456,1.170,1.060,0.730,3,0,149.922,0,0,8,7,0,12,0
11-04 22:20:56,38.009,13.003,48.262,0,0,990056,1617072,192976,5144932,583671.665,12914.112,0,16.004,0,4.001,2928,3844,1.170,1.060,0.730,2,0,134.032,0,0,9,8,0,8,0
11-04 22:20:57,42.000,11.750,44.500,0.500,0.250,1012240,1593956,193064,5145708,382815.086,26815.866,0,1495.993,0,32.000,2789,3306,1.170,1.060,0.730,2,0,193.999,0,0,9,7,0,10,1
11-04 22:20:58,39.776,4.753,54.286,0.500,0.250,1057500,1546464,193120,5147808,895843.778,25900.965,52.034,1476.967,5.003,18.012,2320,1794,1.310,1.090,0.740,4,0,3.002,0,0,9,7,0,10,2
11-04 22:20:59,32.216,4.995,60.436,1.748,0.250,1075416,1517844,193320,5157748,4873917.395,64570.684,143.848,4247.506,8.990,16.982,4400,2521,1.310,1.090,0.740,2,0,0.999,0,0,9,8,0,10,2
11-04 22:21:00,29.988,1.000,67.223,1.000,0,1090064,1502664,193400,5158080,237513.994,10248.900,0,3174.730,0,22.991,1267,1171,1.310,1.090,0.740,2,0,1.000,0,0,9,8,0,10,2
11-04 22:21:01,26.044,5.509,59.851,8.264,0.250,1083168,1505976,193660,5161196,1336713.730,53951.448,12.020,7172.157,1.002,437.742,5004,7244,1.310,1.090,0.740,6,0,14.024,0,0,9,8,0,10,2
11-04 22:21:02,34.244,4.749,56.490,4.249,0,1104448,1481280,194052,5164156,345469.579,25081.686,0,9202.417,0,838.856,6043,10667,1.310,1.090,0.740,7,0,2.999,0,0,9,8,0,10,2
11-04 22:21:03,35.481,4.997,45.726,12.244,0,1120252,1460804,194556,5168124,164456.332,20929.970,0,9135.186,0,679.642,4773,9489,1.450,1.130,0.760,1,1,25.986,0,0,9,8,0,10,2
11-04 22:21:04,25.255,4.001,51.009,19.254,0,1125412,1452872,195048,5170252,203365.623,21741.022,0,7513.390,0,673.125,5084,9517,1.450,1.130,0.760,1,2,23.004,0,0,9,9,0,9,2
11-04 22:21:05,18.971,3.245,55.913,19.719,0.499,1131836,1442648,195588,5173372,214697.219,21658.429,0,7775.947,0,696.920,4829,9192,1.450,1.130,0.760,3,1,2.995,0,0,9,10,0,9,2
11-04 22:21:06,29.544,2.504,57.837,8.012,0.250,1137136,1433868,195920,5176376,1467580.774,138140.625,0,5155.749,0,439.661,5309,8811,1.450,1.130,0.760,4,0,14.021,0,0,9,10,0,9,2
11-04 22:21:07,40.707,8.241,49.947,1.249,0,1027040,1540968,196072,5179016,1418899.129,72922.556,0,3412.376,0,114.878,3249,4039,1.450,1.130,0.760,4,0,78.916,0,0,9,6,0,9,2
11-04 22:21:08,52.077,6.510,40.060,1.001,0,1096976,1469736,196180,5180068,321613.918,8087.017,0,1594.369,0,30.045,1552,1242,1.490,1.140,0.760,3,0,2.003,0,0,9,6,0,9,2
11-04 22:21:09,51.173,7.988,39.940,0.499,0.250,1145580,1418428,196496,5182276,84929.606,4611.083,0,8023.964,0,417.374,2461,2935,1.490,1.140,0.760,2,0,7.988,0,0,9,7,0,9,2
11-04 22:21:10,51.519,2.751,44.766,0.750,0,1056760,1506824,196616,5182412,32229.828,5500.019,0,8026.946,0,387.142,2276,2739,1.490,1.140,0.760,2,0,11.004,0,0,9,8,0,9,2
11-04 22:21:11,33.243,4.499,59.237,1.750,0,1126820,1429684,197132,5188072,910404.801,9123.984,0,8418.140,0,431.905,2490,2904,1.490,1.140,0.760,2,0,3.999,0,0,9,8,0,9,2
11-04 22:21:12,49.818,2.754,47.064,0.501,0.250,1149208,1405732,197220,5189488,801851.735,21924.014,0,7610.419,0,375.514,2885,2972,1.490,1.140,0.760,3,0,1.001,0,0,9,8,0,9,2
11-04 22:21:13,46.980,10.495,40.982,0.750,0.250,1021296,1532156,197332,5190760,685657.739,22626.158,0,4282.137,0,161.930,3038,3657,1.610,1.170,0.780,4,0,188.918,0,0,9,6,0,9,2
11-04 22:21:14,37.991,21.245,39.490,0.500,0,1037384,1513540,197472,5193012,808439.358,14092.590,0,2479.400,0,39.990,3364,4965,1.610,1.170,0.780,3,0,427.896,0,0,9,6,0,9,2
11-04 22:21:15,36.763,17.006,43.766,0.750,0.250,1060112,1490068,197536,5193720,209326.730,9625.436,0,21475.667,0,107.038,4781,9439,1.610,1.170,0.780,9,0,107.038,0,0,9,7,0,9,2
11-04 22:21:16,65.312,11.761,22.521,0.250,0,1179428,1369628,197668,5194692,144483.259,6509.184,324.308,5929.633,4.004,259.246,2485,3239,1.610,1.170,0.780,5,0,128.122,0,0,9,9,0,9,2
11-04 22:21:17,67.892,3.994,25.959,1.248,0,1225020,1323020,197720,5195600,373064.320,6699.375,19.968,706.879,3.994,5.990,1665,1241,1.610,1.170,0.780,3,0,0,0,0,9,9,0,9,2
11-04 22:21:18,80.008,4.250,14.752,0.500,0,1246468,1298456,197804,5198268,1111072.440,26911.772,352.036,1672.172,4.000,9.001,3250,2757,1.720,1.200,0.790,5,0,4.000,0,0,9,7,0,9,2
11-04 22:21:19,92.671,7.993,0,0,0.500,1291272,1250448,197968,5200940,83613.761,1618.621,0,3.997,0,0.999,4550,9706,1.720,1.200,0.790,5,0,2.997,0,0,9,7,0,7,2
11-04 22:21:20,53.979,10.496,33.237,1.000,0,1348368,1190660,198188,5202856,411423.956,3783.528,0,39704.555,0,467.818,3383,3886,1.720,1.200,0.790,2,0,149.942,0,0,9,7,0,8,2
11-04 22:21:21,51.249,5.750,41.500,0.250,0,1391292,1146456,198380,5203460,98937.813,2885.965,0,2371.972,0,9.000,1783,2141,1.720,1.200,0.790,2,0,4.000,0,0,9,8,0,8,2
11-04 22:21:22,49.815,1.252,49.064,0,0,1403780,1133708,198404,5203788,92691.240,4565.972,0,8.010,0,2.003,1142,1019,1.720,1.200,0.790,3,0,0,0,0,9,8,0,8,2
11-04 22:21:23,54.027,4.002,38.269,1.751,0.250,1344088,1189024,198576,5207724,1200833.011,89243.997,0,3785.866,0,200.099,4043,5295,1.750,1.220,0.790,3,0,1.000,0,0,9,6,0,10,2
11-04 22:21:24,65.266,8.752,25.506,1.500,0,1287196,1223228,199284,5227360,23823.956,1458.365,160.040,2404.601,9.002,81.020,1790,1863,1.750,1.220,0.790,4,0,45.011,0,0,9,6,0,10,2
11-04 22:21:25,60.379,9.481,24.451,4.242,0.250,1354248,1153520,199492,5229544,33956.984,11154.657,63.872,10526.915,5.988,326.346,2257,1743,1.750,1.220,0.790,5,0,3.992,0,0,9,13,0,10,2
11-04 22:21:26,45.077,7.012,39.568,8.264,0,1288336,1209920,200172,5236812,137885.197,114733.539,132.227,4852.312,33.057,171.293,2553,3188,1.750,1.220,0.790,3,1,36.062,0,0,9,31,0,10,2
11-04 22:21:27,41.738,6.748,50.486,0.250,0,1333152,1141928,200840,5257532,24209.149,2861.190,0,1835.481,0,54.984,1450,1379,1.750,1.220,0.790,2,0,10.997,0,0,9,32,0,10,2
11-04 22:21:28,41.458,11.239,45.454,1.498,0.250,1306024,1158544,201544,5265640,283384.915,65676.929,0,2317.668,0,82.917,2258,3191,1.770,1.230,0.800,3,0,193.805,0,0,9,32,0,10,2
11-04 22:21:29,66.854,8.513,24.789,0,0.250,1344512,1138708,201564,5247804,1008855.824,26577.487,0,1818.839,0,9.014,2259,1818,1.770,1.230,0.800,5,0,3.005,0,0,9,28,0,10,0
11-04 22:21:30,85.344,9.982,3.993,0,0,1391540,1091392,201576,5248032,662010.507,644998.588,0,1225.761,0,22.958,3383,5404,1.770,1.230,0.800,6,0,9.982,0,0,9,30,0,10,0
11-04 22:21:31,83.908,14.277,1.252,0,0.250,1355560,1127156,201580,5248228,129153.325,106999.587,0,1114.099,0,14.026,1985,32294,1.770,1.230,0.800,6,0,309.583,0,0,9,28,0,10,0
