-- Logs begin at Mon 2022-04-11 23:40:20 UTC, end at Tue 2022-04-12 00:38:41 UTC. --
Apr 12 00:27:00 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 12 00:27:00 ubuntu dstat.sh[71037]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 12 00:27:00 ubuntu dstat.sh[71037]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 12 00:27:00 ubuntu dstat.sh[71037]: 12-04 00:27:00|                   | 898M 1647M  189M 4899M|           |           |           |           |1.64 1.17 0.74|2.0   0    |           |   0     0 |  8    5    0   14    0
Apr 12 00:27:01 ubuntu dstat.sh[71037]: 12-04 00:27:01| 27  20  52   0   0| 877M 1668M  189M 4899M| 275k   12k|   0   252k|   0  11.0 |2693  3978 |1.64 1.17 0.74|1.5   0 353|   0     0 |   0     0 |  8    6    0   14    0
Apr 12 00:27:02 ubuntu dstat.sh[71037]: 12-04 00:27:02| 21  17  62   1   0| 837M 1706M  189M 4900M| 496k   16k|   0   797k|   0  12.0 |2891  5558 |1.64 1.17 0.74|1.0   0 270|   0     0 |   0     0 |  8    7    0   14    0
Apr 12 00:27:03 ubuntu dstat.sh[71037]: 12-04 00:27:03| 23  19  58   0   0| 942M 1599M  189M 5023M| 862k   23k|   0  1465k|   0  6.00 |5301    10k|1.59 1.17 0.74|  0   0 132|   0     0 |   0     0 |  9    7    0    8    0
Apr 12 00:27:04 ubuntu dstat.sh[71037]: 12-04 00:27:04| 22   6  71   0   0| 975M 1566M  189M 5024M| 841k   15k|   0   679k|   0  8.99 |1757  1890 |1.59 1.17 0.74|2.0   0  74|   0     0 |   0     0 |  9    8    0    8    0
Apr 12 00:27:05 ubuntu dstat.sh[71037]: 12-04 00:27:05| 51   8  41   0   0| 993M 1547M  189M 5025M| 391k   12k|   0   749k|   0  16.0 |2026  2033 |1.59 1.17 0.74|3.0   0 101|   0     0 |   0     0 |  9    7    0    8    1
Apr 12 00:27:06 ubuntu dstat.sh[71037]: 12-04 00:27:06| 30  10  58   0   0|1026M 1508M  189M 5031M|3623k   82k|   0   748k|   0  23.0 |4690  3840 |1.59 1.17 0.74|2.0   0 123|   0     0 |   0     0 |  9    7    0   10    2
Apr 12 00:27:07 ubuntu dstat.sh[71037]: 12-04 00:27:07| 33   5  58   3   0|1052M 1476M  190M 5036M|2884k   21k| 196k 6720k|14.0  20.0 |2179  1135 |1.59 1.17 0.74|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 12 00:27:08 ubuntu dstat.sh[71037]: 12-04 00:27:08| 29   1  69   1   0|1065M 1462M  190M 5037M| 354k   12k|   0  1626k|   0  25.0 |1348  1216 |1.54 1.17 0.74|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 12 00:27:09 ubuntu dstat.sh[71037]: 12-04 00:27:09| 22   3  63  11   0|1053M 1471M  190M 5040M|1416k   57k|  12k 5649k|1.00   370 |5038  7056 |1.54 1.17 0.74|3.0   0  12|   0     0 |   0     0 |  9    8    0   10    3
Apr 12 00:27:10 ubuntu dstat.sh[71037]: 12-04 00:27:10| 29   6  41  22   0|1075M 1445M  190M 5042M| 210k   22k|   0    15M|   0  1105 |6868    11k|1.54 1.17 0.74|2.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 12 00:27:11 ubuntu dstat.sh[71037]: 12-04 00:27:11| 33   5  43  18   0|1094M 1422M  191M 5046M| 251k   19k|   0  8259k|   0   625 |4817  8634 |1.54 1.17 0.74|1.0 2.0  23|   0     0 |   0     0 |  9    8    0    9    2
Apr 12 00:27:12 ubuntu dstat.sh[71037]: 12-04 00:27:12| 24   5  52  19   0|1098M 1415M  191M 5048M| 475k   22k|   0  7823k|   0   696 |5873  9779 |1.54 1.17 0.74|1.0 1.0  26|   0     0 |   0     0 |  9    9    0    9    2
Apr 12 00:27:13 ubuntu dstat.sh[71037]: 12-04 00:27:13| 26   4  49  21   0|1106M 1404M  192M 5051M| 570k   20k|   0  7438k|   0   593 |5064  8469 |1.66 1.20 0.75|1.0 1.0 3.0|   0     0 |   0     0 |  9   10    0    9    2
