-- Logs begin at Sun 2022-04-24 09:27:38 UTC, end at Mon 2022-04-25 03:02:49 UTC. --
Apr 25 02:25:32 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 25 02:25:33 ubuntu dstat.sh[79947]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 25 02:25:33 ubuntu dstat.sh[79947]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 25 02:25:33 ubuntu dstat.sh[79947]: 25-04 02:25:33|                   |1071M 1322M  212M 5021M|           |           |           |           |1.27 0.94 0.63|5.0   0    |           |   0     0 |  8    7    0   14    0
Apr 25 02:25:34 ubuntu dstat.sh[79947]: 25-04 02:25:34| 34  20  45   0   0|1005M 1388M  212M 5021M| 358k   17k|   0   504k|   0  13.0 |3081  4255 |1.27 0.94 0.63|5.5   0 388|   0     0 |   0     0 |  8    6    0   14    0
Apr 25 02:25:35 ubuntu dstat.sh[79947]: 25-04 02:25:35| 27  18  53   0   0| 876M 1516M  212M 5021M| 904k   22k|   0    28k|   0  9.99 |3452  4469 |1.27 0.94 0.63|2.0   0 311|   0     0 |   0     0 |  8    5    0   14    0
Apr 25 02:25:36 ubuntu dstat.sh[79947]: 25-04 02:25:36| 25  15  59   0   0| 880M 1511M  212M 5022M|  51k 4647 |   0   524k|   0  12.0 |4032  7373 |1.27 0.94 0.63|1.0   0 167|   0     0 |   0     0 |  8    6    0   14    0
Apr 25 02:25:37 ubuntu dstat.sh[79947]: 25-04 02:25:37|  6   5  87   0   0|1019M 1372M  212M 5144M|  28k 3309 |   0  4096B|   0  1.00 |1804  2541 |1.27 0.94 0.63|  0   0  37|   0     0 |   0     0 |  9    6    0    8    0
Apr 25 02:25:38 ubuntu dstat.sh[79947]: 25-04 02:25:38| 23   8  69   0   0|1042M 1349M  212M 5144M| 240k   12k|   0   517k|   0  14.0 |2016  4783 |1.41 0.97 0.64|4.0   0 136|   0     0 |   0     0 |  9    7    0    8    1
Apr 25 02:25:39 ubuntu dstat.sh[79947]: 25-04 02:25:39| 28  15  56   0   0|1037M 1352M  212M 5145M| 577k   33k|   0   787k|   0  25.0 |3326  4974 |1.41 0.97 0.64|1.0   0 189|   0     0 |   0     0 |  9    6    0   10    2
Apr 25 02:25:40 ubuntu dstat.sh[79947]: 25-04 02:25:40| 26   6  65   0   0|1070M 1309M  212M 5155M|5367k   80k|  52k 4348k|5.00  27.0 |4755  2423 |1.41 0.97 0.64|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 25 02:25:41 ubuntu dstat.sh[79947]: 25-04 02:25:41| 29   2  67   1   0|1101M 1276M  213M 5157M| 332k   14k| 144k 3711k|9.00  20.0 |1394  1096 |1.41 0.97 0.64|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 25 02:25:42 ubuntu dstat.sh[79947]: 25-04 02:25:42| 20   2  67  11   0|1122M 1253M  213M 5158M| 329k   34k|  12k 5066k|1.00   352 |3666  5472 |1.41 0.97 0.64|2.0 1.0 8.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 25 02:25:43 ubuntu dstat.sh[79947]: 25-04 02:25:43| 13   3  62  20   0|1124M 1247M  214M 5161M| 275k   23k|   0  8523k|   0   751 |6174    10k|1.54 1.01 0.66|2.0   0 5.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 25 02:25:44 ubuntu dstat.sh[79947]: 25-04 02:25:44| 12   4  60  21   0|1131M 1237M  214M 5163M|  73k   15k|   0  7182k|   0   614 |5422  9053 |1.54 1.01 0.66|1.0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
Apr 25 02:25:45 ubuntu dstat.sh[79947]: 25-04 02:25:45| 15   3  61  20   1|1134M 1232M  214M 5166M| 206k   21k|   0  7672k|   0   697 |5904  9716 |1.54 1.01 0.66|1.0   0  19|   0     0 |   0     0 |  9    8    0    9    2
Apr 25 02:25:46 ubuntu dstat.sh[79947]: 25-04 02:25:46| 14   3  62  20   0|1137M 1224M  215M 5169M| 973k   23k|   0  7612k|   0   642 |5831  9234 |1.54 1.01 0.66|  0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
Apr 25 02:25:47 ubuntu dstat.sh[79947]: 25-04 02:25:47| 18   3  59  17   0|1141M 1218M  215M 5171M| 728k   46k|   0  6550k|   0   621 |5948  9561 |1.54 1.01 0.66|1.0   0  14|   0     0 |   0     0 |  9    8    0    9    2
Apr 25 02:25:48 ubuntu dstat.sh[79947]: 25-04 02:25:48| 29   3  65   2   0|1143M 1215M  215M 5171M| 256k  142k|   0  2541k|   0   220 |3613  5715 |1.58 1.02 0.66|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 25 02:25:49 ubuntu dstat.sh[79947]: 25-04 02:25:49| 24   6  68   0   0|1064M 1293M  215M 5172M| 369k 8505 |   0  1060k|   0  27.0 |1679  1771 |1.58 1.02 0.66|1.0 1.0  77|   0     0 |   0     0 |  9    6    0    9    2
Apr 25 02:25:50 ubuntu dstat.sh[79947]: 25-04 02:25:50| 38   5  57   0   1|1143M 1212M  215M 5174M| 106k 4158 |   0   896k|   0  27.0 |1453  1146 |1.58 1.02 0.66|2.0   0 4.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 25 02:25:51 ubuntu dstat.sh[79947]: 25-04 02:25:51| 44   2  52   1   0|1136M 1219M  216M 5174M|  54k 3220 |   0  7605k|   0   408 |2610  2712 |1.58 1.02 0.66|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Apr 25 02:25:52 ubuntu dstat.sh[79947]: 25-04 02:25:52| 41   5  53   1   0|1082M 1266M  216M 5180M| 879k 4985 |   0  8434k|   0   388 |2623  2767 |1.58 1.02 0.66|2.0   0  14|   0     0 |   0     0 |  9    6    0    9    2
Apr 25 02:25:53 ubuntu dstat.sh[79947]: 25-04 02:25:53| 46   4  48   1   0|1117M 1231M  216M 5180M|  29k 2488 |   0  7384k|   0   423 |2488  2823 |1.61 1.04 0.67|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Apr 25 02:25:54 ubuntu dstat.sh[79947]: 25-04 02:25:54| 31   1  65   1   0|1136M 1210M  216M 5181M| 677k   11k|   0  8072k|   0   376 |2562  2661 |1.61 1.04 0.67|1.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 25 02:25:55 ubuntu dstat.sh[79947]: 25-04 02:25:55| 24   7  67   1   0|1047M 1298M  216M 5182M| 445k 9143 |   0  3606k|   0   165 |2689  3401 |1.61 1.04 0.67|2.0   0 161|   0     0 |   0     0 |  9    6    0    9    2
Apr 25 02:25:56 ubuntu dstat.sh[79947]: 25-04 02:25:56| 21  19  60   0   0|1049M 1296M  217M 5182M| 177k 7957 |   0   872k|   0  30.0 |3093  4919 |1.61 1.04 0.67|2.0   0 395|   0     0 |   0     0 |  9    6    0    9    2
