-- Logs begin at Fri 2022-05-13 17:35:02 UTC, end at Mon 2022-05-16 13:44:11 UTC. --
May 16 13:08:14 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 16 13:08:14 ubuntu dstat.sh[82569]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 16 13:08:14 ubuntu dstat.sh[82569]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 16 13:08:14 ubuntu dstat.sh[82569]: 16-05 13:08:14|                   |1037M 1469M  193M 4931M|           |           |           |           |1.55 1.19 0.75|3.0   0    |           |   0     0 |  8    7    0   14    0
May 16 13:08:15 ubuntu dstat.sh[82569]: 16-05 13:08:15| 25  17  56   0   0|1028M 1477M  193M 4931M| 154k 9783 |   0   196k|   0  9.98 |2791  4443 |1.55 1.19 0.75|3.0   0 376|   0     0 |   0     0 |  8    8    0   14    0
May 16 13:08:16 ubuntu dstat.sh[82569]: 16-05 13:08:16| 30  16  54   1   0|1006M 1495M  193M 4935M|2027k   41k|   0   556k|   0  60.0 |4257  5596 |1.55 1.19 0.75|2.0 1.0 300|   0     0 |   0     0 |  8    9    0   14    0
May 16 13:08:17 ubuntu dstat.sh[82569]: 16-05 13:08:17| 33  16  49   1   0| 940M 1557M  193M 4938M|1605k   43k|   0    12M|   0   103 |6164  9012 |1.58 1.20 0.75|2.0   0 161|   0     0 |   0     0 |  8    6    1   14    0
May 16 13:08:18 ubuntu dstat.sh[82569]: 16-05 13:08:18| 36  10  53   0   0|1120M 1377M  193M 5061M| 848k   14k|   0     0 |   0     0 |2019  2837 |1.58 1.20 0.75|3.0   0  44|   0     0 |   0     0 |  9    6    0   14    0
May 16 13:08:19 ubuntu dstat.sh[82569]: 16-05 13:08:19| 59  13  28   0   0|1153M 1343M  193M 5062M| 303k   12k|   0   896k|   0  17.0 |2071  2335 |1.58 1.20 0.75|3.0   0 107|   0     0 |   0     0 |  9    7    0   12    1
May 16 13:08:20 ubuntu dstat.sh[82569]: 16-05 13:08:20| 47  12  40   1   0|1114M 1381M  193M 5062M| 517k   30k|   0   992k|   0  39.0 |2766  3579 |1.58 1.20 0.75|1.0   0 191|   0     0 |   0     0 |  9    6    0   14    2
May 16 13:08:21 ubuntu dstat.sh[82569]: 16-05 13:08:21| 37   6  55   0   0|1072M 1410M  193M 5074M|5399k   90k|  52k 6036k|5.00  15.0 |4995  2386 |1.58 1.20 0.75|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
May 16 13:08:22 ubuntu dstat.sh[82569]: 16-05 13:08:22| 25   2  68   4   0|1106M 1377M  193M 5074M| 235k   11k| 144k 2093k|8.97  26.9 |1279  1328 |1.54 1.20 0.75|2.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
May 16 13:08:23 ubuntu dstat.sh[82569]: 16-05 13:08:23| 28   2  68   2   0|1125M 1357M  193M 5074M| 279k   29k|  12k 3008k|1.00   152 |2059  2659 |1.54 1.20 0.75|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
