-- Logs begin at Thu 2022-04-21 20:59:33 UTC, end at Fri 2022-04-22 07:57:04 UTC. --
Apr 22 07:45:41 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 22 07:45:41 ubuntu dstat.sh[71609]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 22 07:45:41 ubuntu dstat.sh[71609]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 22 07:45:41 ubuntu dstat.sh[71609]: 22-04 07:45:41|                   | 889M 1516M  209M 5014M|           |           |           |           |1.79 1.13 0.69|2.0   0    |           |   0     0 |  8    6    0   14    0
Apr 22 07:45:42 ubuntu dstat.sh[71609]: 22-04 07:45:42|  9  19  70   0   0| 890M 1514M  209M 5014M|  73k 4027 |   0    16k|   0  3.99 |2861  4449 |1.79 1.13 0.69|3.0   0 378|   0     0 |   0     0 |  8    6    0   14    0
Apr 22 07:45:43 ubuntu dstat.sh[71609]: 22-04 07:45:43| 21  16  61   1   0| 877M 1526M  209M 5014M| 520k   14k|   0  1244k|   0  10.5 |3372  4908 |1.79 1.13 0.69|3.0   0 304|   0     0 |   0     0 |  8    5    0   14    1
Apr 22 07:45:44 ubuntu dstat.sh[71609]: 22-04 07:45:44| 31  14  54   0   0| 880M 1522M  209M 5016M|1066k   15k|   0   344k|   0  5.00 |4880  7993 |1.72 1.13 0.70|1.0   0 140|   0     0 |   0     0 |  8    4    0    8    2
Apr 22 07:45:45 ubuntu dstat.sh[71609]: 22-04 07:45:45| 17  12  69   0   0|1028M 1363M  209M 5147M|5997k   95k|   0  6071k|   0  15.0 |6728  4827 |1.72 1.13 0.70|1.0   0 121|   0     0 |   0     0 |  9    6    0    8    2
Apr 22 07:45:46 ubuntu dstat.sh[71609]: 22-04 07:45:46| 22   9  66   2   0|1027M 1364M  209M 5148M| 664k 9023 |   0  9112k|   0   414 |3150  2630 |1.72 1.13 0.70|1.0   0 164|   0     0 |   0     0 |  9    6    0    8    2
Apr 22 07:45:47 ubuntu dstat.sh[71609]: 22-04 07:45:47| 24   5  68   2   0|1072M 1318M  209M 5148M| 436k   21k|  20k 2126k|2.00  45.0 |1965  2069 |1.72 1.13 0.70|2.0   0  45|   0     0 |   0     0 |  9    6    0   10    2
Apr 22 07:45:48 ubuntu dstat.sh[71609]: 22-04 07:45:48| 27   4  65   2   0|1098M 1289M  210M 5151M| 247k 9136 | 176k 2115k|12.0  25.0 |1507  1456 |1.72 1.13 0.70|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 22 07:45:49 ubuntu dstat.sh[71609]: 22-04 07:45:49| 34   2  63   1   0|1108M 1278M  210M 5151M|  70k   13k|  12k 1224k|1.00  36.0 |1420  1223 |1.67 1.13 0.70|2.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 22 07:45:50 ubuntu dstat.sh[71609]: 22-04 07:45:50| 16   2  58  19   0|1125M 1258M  210M 5154M|1093k   32k|   0    10M|   0   714 |5976  9042 |1.67 1.13 0.70|1.0   0  11|   0     0 |   0     0 |  9    8    0   10    2
Apr 22 07:45:51 ubuntu dstat.sh[71609]: 22-04 07:45:51| 16   4  57  21   0|1127M 1253M  211M 5156M| 271k   20k|   0  7681k|   0   682 |5673  9383 |1.67 1.13 0.70|1.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 22 07:45:52 ubuntu dstat.sh[71609]: 22-04 07:45:52| 11   5  62  21   0|1132M 1244M  211M 5160M| 600k   21k|   0  8268k|   0   668 |5993  9479 |1.67 1.13 0.70|2.0   0  20|   0     0 |   0     0 |  9    8    0    9    2
Apr 22 07:45:53 ubuntu dstat.sh[71609]: 22-04 07:45:53| 12   4  63  20   1|1136M 1238M  212M 5161M| 113k   17k|   0  6465k|   0   634 |5672  9313 |1.67 1.13 0.70|1.0 2.0  18|   0     0 |   0     0 |  9    8    0    9    2
Apr 22 07:45:54 ubuntu dstat.sh[71609]: 22-04 07:45:54| 18   4  57  18   0|1157M 1212M  212M 5166M| 384k   17k|   0  8469k|   0   687 |6022  9909 |1.85 1.18 0.72|4.0 1.0  14|   0     0 |   0     0 |  9    8    0    9    2
Apr 22 07:45:55 ubuntu dstat.sh[71609]: 22-04 07:45:55| 35   3  49  12   0|1162M 1206M  213M 5166M|  85k   49k|   0  5259k|   0   556 |5075  8564 |1.85 1.18 0.72|3.0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
Apr 22 07:45:56 ubuntu dstat.sh[71609]: 22-04 07:45:56| 30   4  62   3   0|1144M 1216M  213M 5172M|1048k  132k|   0  3223k|   0   213 |3912  5725 |1.85 1.18 0.72|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 22 07:45:57 ubuntu dstat.sh[71609]: 22-04 07:45:57| 44   7  49   0   0|1101M 1259M  213M 5172M|  21k 1620 |   0  1080k|   0  17.0 |1538  1650 |1.85 1.18 0.72|3.0   0  78|   0     0 |   0     0 |  9    6    0    9    2
Apr 22 07:45:58 ubuntu dstat.sh[71609]: 22-04 07:45:58| 37   4  57   1   0|1132M 1226M  213M 5173M| 641k 9357 |   0  1789k|   0  31.0 |1558  1094 |1.85 1.18 0.72|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 22 07:45:59 ubuntu dstat.sh[71609]: 22-04 07:45:59| 31   1  65   2   0|1135M 1222M  213M 5174M| 418k 8806 |   0  8017k|   0   405 |2241  2760 |1.95 1.21 0.73|1.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 22 07:46:00 ubuntu dstat.sh[71609]: 22-04 07:46:00| 32   4  61   2   0|1069M 1288M  214M 5174M| 216k 8111 |   0  7575k|   0   408 |2172  2831 |1.95 1.21 0.73|4.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
Apr 22 07:46:01 ubuntu dstat.sh[71609]: 22-04 07:46:01| 37   6  55   1   0|1139M 1218M  214M 5175M| 151k 4338 |   0    26M|   0   492 |2299  2730 |1.95 1.21 0.73|2.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
Apr 22 07:46:02 ubuntu dstat.sh[71609]: 22-04 07:46:02| 48   2  48   1   0|1137M 1219M  214M 5175M|  36k 1616 |   0  7883k|   0   383 |2214  2647 |1.95 1.21 0.73|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
Apr 22 07:46:03 ubuntu dstat.sh[71609]: 22-04 07:46:03| 38   9  52   1   0|1067M 1289M  214M 5175M|  27k 3957 |   0  1892k|   0  88.2 |2012  2903 |1.95 1.21 0.73|2.0   0 139|   0     0 |   0     0 |  9    6    0    9    2
Apr 22 07:46:04 ubuntu dstat.sh[71609]: 22-04 07:46:04| 34  20  46   0   0|1068M 1287M  214M 5176M|  25k 1511 |   0   532k|   0  17.0 |2583  4681 |2.19 1.27 0.75|2.0   0 371|   0     0 |   0     0 |  9    6    0    9    2
