-- Logs begin at Fri 2022-04-22 18:51:41 UTC, end at Fri 2022-04-22 20:13:18 UTC. --
Apr 22 19:36:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 22 19:36:38 ubuntu dstat.sh[77326]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 22 19:36:38 ubuntu dstat.sh[77326]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 22 19:36:38 ubuntu dstat.sh[77326]: 22-04 19:36:38|                   |1069M 1480M  190M 4898M|           |           |           |           |1.20 1.13 0.77|2.0   0    |           |   0     0 |  8    7    0   14    0
Apr 22 19:36:39 ubuntu dstat.sh[77326]: 22-04 19:36:39| 35  20  44   0   0| 991M 1557M  190M 4899M| 391k   16k|   0   599k|   0  14.0 |2890  4259 |1.20 1.13 0.77|3.0   0 387|   0     0 |   0     0 |  8    6    0   14    0
Apr 22 19:36:40 ubuntu dstat.sh[77326]: 22-04 19:36:40| 30  18  51   0   0| 874M 1674M  190M 4899M| 864k   15k|   0    24k|   0  9.99 |3068  4936 |1.20 1.13 0.77|3.0   0 319|   0     0 |   0     0 |  8    5    0   14    0
Apr 22 19:36:41 ubuntu dstat.sh[77326]: 22-04 19:36:41| 24  14  61   0   0| 878M 1669M  190M 4899M|  40k 4928 |   0   888k|   0  12.0 |4057  7076 |1.20 1.13 0.77|1.0   0 164|   0     0 |   0     0 |  8    6    0   14    0
Apr 22 19:36:42 ubuntu dstat.sh[77326]: 22-04 19:36:42|  4   5  90   1   0|1016M 1531M  190M 5021M|  43k 3309 |   0  5268k|   0   223 |2283  3396 |1.20 1.13 0.77|1.0   0  38|   0     0 |   0     0 |  9    6    0   10    0
Apr 22 19:36:43 ubuntu dstat.sh[77326]: 22-04 19:36:43| 19   7  74   0   0|1021M 1525M  190M 5022M| 216k   10k|   0   800k|   0  15.0 |1842  2306 |1.19 1.13 0.77|2.0   0  98|   0     0 |   0     0 |  9    7    0   10    1
Apr 22 19:36:44 ubuntu dstat.sh[77326]: 22-04 19:36:44| 27  10  61   1   0|1035M 1510M  190M 5023M| 566k   29k|   0  1260k|   0  42.0 |2743  3714 |1.19 1.13 0.77|2.0   0 191|   0     0 |   0     0 |  9    6    0   10    2
Apr 22 19:36:45 ubuntu dstat.sh[77326]: 22-04 19:36:45| 24   5  67   3   0|1057M 1481M  190M 5029M|3614k   67k|  52k 4157k|5.00  9.99 |4104  2640 |1.19 1.13 0.77|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 22 19:36:46 ubuntu dstat.sh[77326]: 22-04 19:36:46| 28   4  65   2   0|1098M 1435M  190M 5034M|2072k   30k| 144k 4261k|9.00  41.0 |2387  1545 |1.19 1.13 0.77|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 22 19:36:47 ubuntu dstat.sh[77326]: 22-04 19:36:47| 28   2  71   1   1|1107M 1425M  190M 5035M| 250k   14k|  12k  729k|1.00  13.0 |1252  1083 |1.19 1.13 0.77|2.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
