-- Logs begin at Wed 2022-04-27 21:01:58 UTC, end at Thu 2022-04-28 02:22:14 UTC. --
Apr 28 01:46:05 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 28 01:46:06 ubuntu dstat.sh[70961]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 28 01:46:06 ubuntu dstat.sh[70961]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 28 01:46:06 ubuntu dstat.sh[70961]: 28-04 01:46:06|                   |1002M 1405M  192M 5031M|           |           |           |           |1.24 1.05 0.66|3.0   0    |           |   0     0 |  8    5    0   14    0
Apr 28 01:46:07 ubuntu dstat.sh[70961]: 28-04 01:46:07| 17  19  62   0   0| 949M 1457M  192M 5031M|1109k   29k|   0   240k|   0  8.99 |3443  4201 |1.23 1.05 0.66|2.5   0 367|   0     0 |   0     0 |  8    4    0   14    0
Apr 28 01:46:08 ubuntu dstat.sh[70961]: 28-04 01:46:08| 32  18  49   0   0| 877M 1529M  192M 5031M|  49k 1755 |   0    24k|   0  7.50 |3552  4708 |1.22 1.05 0.66|1.0   0 315|   0     0 |   0     0 |  8    4    1   14    0
Apr 28 01:46:09 ubuntu dstat.sh[70961]: 28-04 01:46:09| 24  14  60   1   1| 882M 1524M  192M 5032M|  46k 5622 |   0   756k|   0  11.0 |3322  7541 |1.22 1.05 0.66|3.0   0 125|   0     0 |   0     0 |  8    6    0   14    0
Apr 28 01:46:10 ubuntu dstat.sh[70961]: 28-04 01:46:10|  6   9  85   0   0|1025M 1380M  192M 5154M|  46k 4136 |   0     0 |   0     0 |2498  4066 |1.22 1.05 0.66|1.0   0  65|   0     0 |   0     0 |  9    8    0   12    0
Apr 28 01:46:11 ubuntu dstat.sh[70961]: 28-04 01:46:11| 23   7  68   0   0|1032M 1373M  192M 5154M| 223k 8825 |   0  1156k|   0  20.0 |2001  2029 |1.22 1.05 0.66|1.0   0  87|   0     0 |   0     0 |  9    7    0   12    1
Apr 28 01:46:12 ubuntu dstat.sh[70961]: 28-04 01:46:12| 28  10  61   0   0|1050M 1353M  192M 5155M| 562k   32k|   0   800k|   0  23.0 |2749  3362 |1.28 1.06 0.67|1.0   0 177|   0     0 |   0     0 |  9    6    0   10    2
Apr 28 01:46:13 ubuntu dstat.sh[70961]: 28-04 01:46:13| 25   4  67   2   0|1102M 1294M  192M 5162M|3526k   61k| 188k 4888k|13.0  27.0 |3682  2630 |1.28 1.06 0.67|  0 1.0   0|   0     0 |   0     0 |  9    6    0   10    2
Apr 28 01:46:14 ubuntu dstat.sh[70961]: 28-04 01:46:14| 31   2  67   0   0|1104M 1287M  192M 5166M|2078k   15k|8192B 3024k|1.00  14.0 |2177  1278 |1.28 1.06 0.67|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Apr 28 01:46:15 ubuntu dstat.sh[70961]: 28-04 01:46:15| 21   2  67  10   0|1123M 1267M  193M 5168M| 453k   32k|  12k 3829k|1.00   304 |3763  5499 |1.28 1.06 0.67|1.0 1.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 28 01:46:16 ubuntu dstat.sh[70961]: 28-04 01:46:16| 12   3  57  26   1|1128M 1259M  193M 5169M| 207k   19k|   0    19M|   0  1258 |6444    10k|1.28 1.06 0.67|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Apr 28 01:46:17 ubuntu dstat.sh[70961]: 28-04 01:46:17| 11   4  60  23   0|1134M 1249M  193M 5173M| 168k   18k|   0  7642k|   0   608 |5434  9032 |1.42 1.10 0.68|1.0 2.0  19|   0     0 |   0     0 |  9    8    0   10    2
Apr 28 01:46:18 ubuntu dstat.sh[70961]: 28-04 01:46:18| 17   3  58  20   0|1136M 1245M  194M 5175M|  97k   20k|   0  7336k|   0   672 |5588  9301 |1.42 1.10 0.68|1.0 1.0  17|   0     0 |   0     0 |  9    8    0    9    2
Apr 28 01:46:19 ubuntu dstat.sh[70961]: 28-04 01:46:19| 13   3  62  19   0|1140M 1236M  194M 5178M|1095k   22k|   0  7511k|   0   623 |5334  9230 |1.42 1.10 0.68|  0 1.0  15|   0     0 |   0     0 |  9    8    0    9    2
Apr 28 01:46:20 ubuntu dstat.sh[70961]: 28-04 01:46:20| 18   3  64  14   0|1144M 1230M  195M 5181M| 722k   21k|   0  6636k|   0   579 |5541  9095 |1.42 1.10 0.68|2.0   0  14|   0     0 |   0     0 |  9    8    0    9    2
Apr 28 01:46:21 ubuntu dstat.sh[70961]: 28-04 01:46:21| 25   3  64   5   1|1147M 1226M  195M 5181M| 270k  166k|   0  3876k|   0   350 |4973  8017 |1.42 1.10 0.68|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
Apr 28 01:46:22 ubuntu dstat.sh[70961]: 28-04 01:46:22| 27   6  68   1   0|1065M 1307M  195M 5182M| 381k   13k|   0  1576k|   0  55.0 |2118  2478 |1.31 1.08 0.68|1.0   0  77|   0     0 |   0     0 |  9    6    0    9    2
