-- Logs begin at Thu 2022-09-01 12:04:00 UTC, end at Thu 2022-09-01 14:22:20 UTC. --
Sep 01 13:43:26 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 01 13:43:26 ubuntu dstat.sh[79272]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 01 13:43:26 ubuntu dstat.sh[79272]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 01 13:43:26 ubuntu dstat.sh[79272]: 01-09 13:43:26|                   | 873M 1619M  186M 4956M|           |           |           |           |1.75 1.08 0.61|2.0   0    |           |   0     0 |  8    6    0   10    2
Sep 01 13:43:27 ubuntu dstat.sh[79272]: 01-09 13:43:27| 13  19  67   0   0| 873M 1618M  186M 4956M| 140k 7586 |   0   756k|   0  21.0 |2683  4287 |1.75 1.08 0.61|1.5   0 382|   0     0 |   0     0 |  8    6    0   10    2
Sep 01 13:43:28 ubuntu dstat.sh[79272]: 01-09 13:43:28| 20  19  61   0   1| 854M 1636M  186M 4958M|  74k 6492 |   0   796k|   0  18.0 |2686  5274 |1.75 1.08 0.61|2.0   0 325|   0     0 |   0     0 |  8    6    0   10    2
Sep 01 13:43:29 ubuntu dstat.sh[79272]: 01-09 13:43:29| 21  15  61   1   0| 856M 1633M  186M 4958M| 245k   12k|   0   775k|   0  12.0 |3417  6919 |1.93 1.13 0.63|1.0   0 174|   0     0 |   0     0 |  8    6    0   10    2
Sep 01 13:43:30 ubuntu dstat.sh[79272]: 01-09 13:43:30| 15  12  72   1   0| 967M 1519M  186M 5083M|1235k   27k|   0    12M|   0  81.1 |3512  4552 |1.93 1.13 0.63|2.0   0 111|   0     0 |   0     0 |  9    6    0   10    4
Sep 01 13:43:31 ubuntu dstat.sh[79272]: 01-09 13:43:31| 42  11  45   1   0| 998M 1488M  186M 5083M|  59k 6080 |   0   852k|   0  19.0 |1895  2268 |1.93 1.13 0.63|3.0   0 137|   0     0 |   0     0 |  9    6    0   10    2
Sep 01 13:43:32 ubuntu dstat.sh[79272]: 01-09 13:43:32| 40   8  50   1   0|1045M 1440M  186M 5083M|  50k   17k|  20k 1588k|2.00  35.0 |1887  2486 |1.93 1.13 0.63|1.0   0  86|   0     0 |   0     0 |  9    6    1   12    2
Sep 01 13:43:33 ubuntu dstat.sh[79272]: 01-09 13:43:33| 26   3  69   2   0|1061M 1423M  186M 5085M| 630k 7600 | 176k 1255k|12.0  11.0 |1506  1567 |1.93 1.13 0.63|1.0   0 1.0|   0     0 |   0     0 |  9    7    0   12    2
Sep 01 13:43:34 ubuntu dstat.sh[79272]: 01-09 13:43:34| 28   3  63   7   0|1089M 1392M  187M 5087M| 746k   20k|  12k 3552k|1.00   193 |2797  3875 |2.02 1.16 0.65|1.0 1.0 5.0|   0     0 |   0     0 |  9    9    1   12    2
Sep 01 13:43:35 ubuntu dstat.sh[79272]: 01-09 13:43:35| 12   3  62  21   0|1094M 1384M  187M 5090M| 820k   22k|   0    15M|   0  1043 |6130    11k|2.02 1.16 0.65|  0   0 9.0|   0     0 |   0     0 |  9   10    0   12    2
Sep 01 13:43:36 ubuntu dstat.sh[79272]: 01-09 13:43:36| 10   3  68  19   0|1101M 1375M  187M 5092M| 119k   13k|   0    16M|   0   658 |4896  9506 |2.02 1.16 0.65|1.0 2.0  19|   0     0 |   0     0 |  9   10    0   12    2
Sep 01 13:43:37 ubuntu dstat.sh[79272]: 01-09 13:43:37| 10   3  65  20   0|1104M 1369M  188M 5095M| 245k   14k|   0  7954k|   0   658 |5357  9389 |2.02 1.16 0.65|  0 1.0  18|   0     0 |   0     0 |  9   10    0   10    2
Sep 01 13:43:38 ubuntu dstat.sh[79272]: 01-09 13:43:38|  9   2  67  19   0|1106M 1364M  188M 5097M| 633k   20k|   0  6546k|   0   610 |5378  9267 |2.02 1.16 0.65|  0 1.0  10|   0     0 |   0     0 |  9   10    0   10    2
Sep 01 13:43:39 ubuntu dstat.sh[79272]: 01-09 13:43:39| 34   6  41  18   1|1089M 1375M  189M 5102M| 601k   21k|   0  9338k|   0   611 |5027  9025 |2.18 1.21 0.66|2.0   0  17|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 13:43:40 ubuntu dstat.sh[79272]: 01-09 13:43:40| 46   8  45   0   0|1042M 1421M  189M 5103M| 282k 5992 |   0   888k|   0  12.0 |1859  2028 |2.18 1.21 0.66|2.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
Sep 01 13:43:41 ubuntu dstat.sh[79272]: 01-09 13:43:41| 33   5  59   2   0|1101M 1360M  189M 5104M| 779k 8823 |   0    33M|   0   122 |1981  1238 |2.18 1.21 0.66|1.0   0 4.0|   0     0 |   0     0 |  9    7    0   10    2
Sep 01 13:43:42 ubuntu dstat.sh[79272]: 01-09 13:43:42| 36   5  57   2   0|1022M 1434M  189M 5109M| 223k 7538 |   0  8735k|   0   392 |2459  3086 |2.18 1.21 0.66|1.0   0  13|   0     0 |   0     0 |  9    7    0   10    2
Sep 01 13:43:43 ubuntu dstat.sh[79272]: 01-09 13:43:43| 35   3  59   2   0|1068M 1387M  189M 5110M| 582k 8571 |   0  8452k|   0   409 |2509  2965 |2.18 1.21 0.66|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 13:43:44 ubuntu dstat.sh[79272]: 01-09 13:43:44| 27   3  67   3   0|1105M 1349M  189M 5110M| 386k 8816 |   0  7963k|   0   406 |2285  2978 |2.08 1.20 0.67|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 13:43:45 ubuntu dstat.sh[79272]: 01-09 13:43:45| 17  15  67   1   0|1017M 1437M  189M 5111M| 223k 9851 |   0  8055k|   0   403 |3613  5337 |2.08 1.20 0.67|1.0 1.0 300|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 13:43:46 ubuntu dstat.sh[79272]: 01-09 13:43:46| 18  19  61   1   1|1018M 1434M  189M 5112M| 686k   19k|   0  3047k|   0  54.0 |3389  4802 |2.08 1.20 0.67|2.0   0 370|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 13:43:47 ubuntu dstat.sh[79272]: 01-09 13:43:47| 38  18  44   1   0|1035M 1415M  189M 5114M| 687k   15k| 196k 2284k|3.00  22.0 |4137  8510 |2.08 1.20 0.67|5.0   0 132|   0     0 |   0     0 |  9    6    0   10    2
Sep 01 13:43:48 ubuntu dstat.sh[79272]: 01-09 13:43:48| 70  11  20   0   0|1161M 1288M  190M 5115M|  83k 3205 | 128k  580k|1.00  3.00 |1596  2000 |2.08 1.20 0.67|3.0   0  99|   0     0 |   0     0 |  9    7    0   10    2
Sep 01 13:43:49 ubuntu dstat.sh[79272]: 01-09 13:43:49| 67   6  25   1   0|1222M 1226M  190M 5116M|  20k 4037 | 372k  947k|7.99  7.99 |1485  1452 |2.16 1.23 0.68|3.0   0 6.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 01 13:43:50 ubuntu dstat.sh[79272]: 01-09 13:43:50| 49   8  42   0   0|1250M 1195M  190M 5118M|  41k 7140 |   0   444k|   0  41.0 |3297    11k|2.16 1.23 0.68|1.0   0  74|   0     0 |   0     0 |  9    7    0   12    2
Sep 01 13:43:51 ubuntu dstat.sh[79272]: 01-09 13:43:51| 33  11  53   1   0|1307M 1137M  190M 5118M|  22k 3354 |   0    14M|   0   534 |2583  3282 |2.16 1.23 0.68|2.0   0 104|   0     0 |   0     0 |  9    8    0   11    2
Sep 01 13:43:52 ubuntu dstat.sh[79272]: 01-09 13:43:52| 44   8  48   0   0|1346M 1095M  190M 5121M|5883  2271 |   0    36k|   0  6.01 |1871  2692 |2.16 1.23 0.68|2.0   0 3.0|   0     0 |   0     0 |  9    8    0   11    2
Sep 01 13:43:53 ubuntu dstat.sh[79272]: 01-09 13:43:53| 45   5  49   2   0|1363M 1073M  190M 5125M|  74k   66k|   0  3389k|   0   186 |3014  5028 |2.16 1.23 0.68|3.0   0 2.0|   0     0 |   0     0 |  9   14    0   11    2
Sep 01 13:43:54 ubuntu dstat.sh[79272]: 01-09 13:43:54| 38   6  47   8   0|1261M 1158M  191M 5140M|  51k 3927 |   0  4483k|   0   224 |2346  3116 |2.14 1.25 0.69|1.0 1.0  44|   0     0 |   0     0 |  9    8    0   13    2
Sep 01 13:43:55 ubuntu dstat.sh[79272]: 01-09 13:43:55| 38   9  50   3   0|1308M 1101M  191M 5148M| 276k   46k|  64k 2667k|6.00  56.0 |1744  2064 |2.14 1.25 0.69|4.0   0 4.0|   0     0 |   0     0 |  9   15    0   13    2
Sep 01 13:43:56 ubuntu dstat.sh[79272]: 01-09 13:43:56| 35   5  45  15   0|1285M 1110M  192M 5159M|1094k  105k| 216k   13M|54.1   188 |3209  3224 |2.14 1.25 0.69|2.0 1.0 3.0|   0     0 |   0     0 |  9   30    0   13    4
Sep 01 13:43:57 ubuntu dstat.sh[79272]: 01-09 13:43:57| 61  11  24   3   0|1286M 1087M  193M 5179M|8984  1836 |   0  1684k|   0  45.0 |1792  1834 |2.14 1.25 0.69|4.0   0  46|   0     0 |   0     0 |  9   30    0   13    2
Sep 01 13:43:58 ubuntu dstat.sh[79272]: 01-09 13:43:58| 46   9  41   3   0|1257M 1110M  193M 5184M|  67k   61k|   0  1560k|   0  56.0 |1913  2353 |2.14 1.25 0.69|2.0   0  47|   0     0 |   0     0 |  9   32    0   13    2
Sep 01 13:43:59 ubuntu dstat.sh[79272]: 01-09 13:43:59| 38  12  49   0   0|1330M 1037M  193M 5184M|  26k 3610 |   0   636k|   0  8.00 |1743  2232 |2.13 1.26 0.69|3.0   0 162|   0     0 |   0     0 |  9   32    0   13    2
Sep 01 13:44:00 ubuntu dstat.sh[79272]: 01-09 13:44:00| 65   8  27   0   0|1332M 1054M  193M 5165M| 387k  381k|   0  1204k|   0  21.0 |3297  5581 |2.13 1.26 0.69|5.0   0 5.0|   0     0 |   0     0 |  9   36    0   14    0
Sep 01 13:44:01 ubuntu dstat.sh[79272]: 01-09 13:44:01| 65  20  15   0   0|1317M 1069M  193M 5165M| 417k  409k|   0  2105k|   0  27.0 |  10k   21k|2.13 1.26 0.69|7.0   0 340|   0     0 |   0     0 |  9   34    0   14    0
Sep 01 13:44:02 ubuntu dstat.sh[79272]: 01-09 13:44:02| 87  13   0   0   0|1429M  958M  193M 5165M| 257k  175k|   0  2052k|   0  14.0 |2355  3858 |2.13 1.26 0.69|9.0   0 162|   0     0 |   0     0 |  9   35    0   14    0
Sep 01 13:44:03 ubuntu dstat.sh[79272]: 01-09 13:44:03| 83  16   1   0   0|1536M  849M  193M 5167M|1167k  683k|   0  1321k|   0  71.1 |  12k   23k|2.13 1.26 0.69|7.0   0 100|   0     0 |   0     0 |  9   34    0   10    0
Sep 01 13:44:04 ubuntu dstat.sh[79272]: 01-09 13:44:04| 86  13   0   0   0|1420M  963M  193M 5168M| 869k  175k|   0  2878k|   0  63.0 |3934  5551 |2.52 1.36 0.73|6.0   0 159|   0     0 |   0     0 |  9   33    0   10    0
Sep 01 13:44:05 ubuntu dstat.sh[79272]: 01-09 13:44:05| 86  13   1   0   0|1278M 1105M  193M 5168M| 320k  314k|   0  1457k|   0  61.0 |3633  7223 |2.52 1.36 0.73|4.0   0 172|   0     0 |   0     0 |  9   32    0   10    0
Sep 01 13:44:06 ubuntu dstat.sh[79272]: 01-09 13:44:06| 73  11  15   0   0|1279M 1105M  193M 5168M| 428k  422k|   0  2650k|   0  52.9 |3934  7631 |2.52 1.36 0.73|2.0   0  86|   0     0 |   0     0 |  9   33    0   10    0
Sep 01 13:44:07 ubuntu dstat.sh[79272]: 01-09 13:44:07| 38  10  51   0   0|1195M 1189M  193M 5168M| 215k  205k|   0   848k|   0  48.0 |2947  5135 |2.52 1.36 0.73|1.0   0 120|   0     0 |   0     0 |  9   33    0   10    0
Sep 01 13:44:08 ubuntu dstat.sh[79272]: 01-09 13:44:08| 27   4  68   0   0|1244M 1140M  193M 5168M|9067  2006 |   0   792k|   0  21.0 |1151  1289 |2.52 1.36 0.73|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   10    0
Sep 01 13:44:09 ubuntu dstat.sh[79272]: 01-09 13:44:09| 25   2  72   0   0|1254M 1129M  193M 5168M| 219k  203k|   0   816k|   0  50.0 |2401  4096 |2.40 1.35 0.73|1.0   0   0|   0     0 |   0     0 |  9   34    0   11    0
Sep 01 13:44:10 ubuntu dstat.sh[79272]: 01-09 13:44:10| 13  16  70   0   0|1194M 1189M  193M 5169M|  93k 3468 |   0   492k|   0  17.0 |2444  3466 |2.40 1.35 0.73|2.0   0 330|   0     0 |   0     0 |  9   34    0   11    0
Sep 01 13:44:11 ubuntu dstat.sh[79272]: 01-09 13:44:11| 28  27  44   0   0|1246M 1136M  193M 5169M| 419k   12k|   0  3791k|   0  41.0 |3439  5756 |2.40 1.35 0.73|5.0   0 722|   0     0 |   0     0 |  9   34    0   11    0
Sep 01 13:44:12 ubuntu dstat.sh[79272]: 01-09 13:44:12| 83  17   1   0   0|1370M 1011M  193M 5171M| 813k   21k|   0  4604k|   0   163 |3130  3545 |2.40 1.35 0.73|6.0   0 158|   0     0 |   0     0 |  9   32    0   11    0
Sep 01 13:44:13 ubuntu dstat.sh[79272]: 01-09 13:44:13| 85  13   1   0   0|1484M  896M  193M 5171M| 711k  703k|   0   543k|   0  24.0 |4340  9004 |2.40 1.35 0.73|5.0   0 1.0|   0     0 |   0     0 |  9   35    0   11    0
Sep 01 13:44:14 ubuntu dstat.sh[79272]: 01-09 13:44:14| 71   9  17   0   1|1447M  933M  193M 5172M|1333k 1327k|   0   877k|   0  37.1 |6535    16k|2.53 1.39 0.75|3.0   0  22|   0     0 |   0     0 |  9   37    0   13    0
Sep 01 13:44:15 ubuntu dstat.sh[79272]: 01-09 13:44:15| 81  15   3   0   0|1321M 1059M  193M 5172M| 441k  433k|   0   664k|   0  42.0 |4329  8511 |2.53 1.39 0.75|9.0   0 241|   0     0 |   0     0 |  9   33    0   14    0
Sep 01 13:44:16 ubuntu dstat.sh[79272]: 01-09 13:44:16| 87  13   0   0   0|1484M  895M  193M 5172M| 402k  397k|   0  1467k|   0  21.0 |3536  6088 |2.53 1.39 0.75|7.0   0  53|   0     0 |   0     0 |  9   36    0   14    0
Sep 01 13:44:17 ubuntu dstat.sh[79272]: 01-09 13:44:17| 84  13   2   0   0|1464M  915M  193M 5172M|1051k 1044k|   0  1324k|   0  71.0 |6987    16k|2.53 1.39 0.75|6.0   0  77|   0     0 |   0     0 |  9   37    0   15    0
Sep 01 13:44:18 ubuntu dstat.sh[79272]: 01-09 13:44:18| 83  13   2   0   0|1383M  995M  193M 5173M|1025k  952k|   0  1335k|   0  72.7 |6138    16k|2.53 1.39 0.75|6.0   0 151|   0     0 |   0     0 |  9   36    0   15    0
Sep 01 13:44:19 ubuntu dstat.sh[79272]: 01-09 13:44:19| 89  11   1   0   0|1463M  914M  193M 5174M|1108k  720k|   0  1229k|   0  35.1 |4503    11k|2.81 1.47 0.77|6.0   0  64|   0     0 |   0     0 |  9   36    0   16    0
Sep 01 13:44:20 ubuntu dstat.sh[79272]: 01-09 13:44:20| 84  13   2   0   0|1451M  924M  193M 5176M|2009k 1190k|   0  3136k|   0  49.0 |7896    15k|2.81 1.47 0.77|5.0   0  73|   0     0 |   0     0 |  9   35    0   16    0
Sep 01 13:44:21 ubuntu dstat.sh[79272]: 01-09 13:44:21| 75  18   5   0   0|1254M 1121M  194M 5176M| 795k  789k|   0   873k|   0  61.0 |5797    13k|2.81 1.47 0.77|7.0   0 381|   0     0 |   0     0 |  9   33    0   16    0
Sep 01 13:44:22 ubuntu dstat.sh[79272]: 01-09 13:44:22| 76  19   4   0   0|1316M 1059M  194M 5177M| 276k  270k|   0  9878k|   0   403 |4162  7152 |2.81 1.47 0.77|4.0   0 305|   0     0 |   0     0 |  9   33    0   13    0
Sep 01 13:44:23 ubuntu dstat.sh[79272]: 01-09 13:44:23| 83  10   7   0   0|1437M  937M  194M 5177M| 662k  645k|   0   684k|   0  30.0 |4189  7999 |2.81 1.47 0.77|3.0   0   0|   0     0 |   0     0 |  9   36    0   13    0
