-- Logs begin at Fri 2022-05-13 17:48:59 UTC, end at Sat 2022-05-14 02:17:17 UTC. --
May 14 02:05:44 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 14 02:05:45 ubuntu dstat.sh[79801]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 14 02:05:45 ubuntu dstat.sh[79801]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 14 02:05:45 ubuntu dstat.sh[79801]: 14-05 02:05:45|                   |1001M 1514M  193M 4922M|           |           |           |           |3.01 1.42 0.82|2.0   0    |           |   0     0 |  8    8    0   14    0
May 14 02:05:46 ubuntu dstat.sh[79801]: 14-05 02:05:46| 19  19  60   0   0|1003M 1513M  193M 4922M| 175k 8065 |   0   184k|   0  4.00 |3507  5911 |3.01 1.42 0.82|2.0   0 348|   0     0 |   0     0 |  8    8    0   14    0
May 14 02:05:47 ubuntu dstat.sh[79801]: 14-05 02:05:47| 29  20  39  10   0| 997M 1512M  193M 4929M|3041k   76k|   0    13M|   0   161 |5190  6754 |3.01 1.42 0.82|2.0   0 298|   0     0 |   0     0 |  8    7    0   14    1
May 14 02:05:48 ubuntu dstat.sh[79801]: 14-05 02:05:48| 34  18  47   0   0| 932M 1577M  193M 4929M| 572k   20k|   0  1738k|   0  18.0 |3938  5550 |3.01 1.42 0.82|1.0   0 178|   0     0 |   0     0 |  8    7    0   14    0
May 14 02:05:49 ubuntu dstat.sh[79801]: 14-05 02:05:49| 50  15  34   0   0|1126M 1382M  193M 5052M| 768k   15k|   0     0 |   0     0 |2998  4183 |2.93 1.43 0.83|3.0   0 146|   0     0 |   0     0 |  9    8    0    8    0
May 14 02:05:50 ubuntu dstat.sh[79801]: 14-05 02:05:50| 62  14  24   0   0|1151M 1356M  193M 5053M| 434k   17k|   0  1140k|   0  24.0 |2416  2647 |2.93 1.43 0.83|3.0   0 128|   0     0 |   0     0 |  9    7    0    8    1
May 14 02:05:51 ubuntu dstat.sh[79801]: 14-05 02:05:51| 44   9  46   1   0|1132M 1372M  193M 5055M|1013k   42k|  20k  943k|2.00  34.0 |3006  3014 |2.93 1.43 0.83|3.0   0  98|   0     0 |   0     0 |  9    7    0   10    2
May 14 02:05:52 ubuntu dstat.sh[79801]: 14-05 02:05:52| 30   6  58   8   0|1080M 1415M  194M 5064M|4758k   68k| 176k 6465k|12.0  24.0 |4413  2246 |2.93 1.43 0.83|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
May 14 02:05:53 ubuntu dstat.sh[79801]: 14-05 02:05:53| 26   1  71   0   0|1099M 1395M  194M 5065M| 211k 6595 |   0  1067k|   0  19.0 |1183  1092 |2.93 1.43 0.83|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
May 14 02:05:54 ubuntu dstat.sh[79801]: 14-05 02:05:54| 20   3  64  14   0|1120M 1372M  194M 5066M| 301k   32k|  12k 6365k|1.00   438 |4060  6329 |2.86 1.44 0.83|  0 1.0 8.0|   0     0 |   0     0 |  9    8    0   10    2
May 14 02:05:55 ubuntu dstat.sh[79801]: 14-05 02:05:55| 10   5  63  20   0|1124M 1364M  195M 5069M| 194k   23k|   0  8839k|   0   741 |5742  9965 |2.86 1.44 0.83|  0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
May 14 02:05:56 ubuntu dstat.sh[79801]: 14-05 02:05:56| 11   4  63  22   0|1129M 1356M  195M 5071M| 145k   16k|   0  6034k|   0   554 |5017  8562 |2.86 1.44 0.83|1.0   0  19|   0     0 |   0     0 |  9    8    0   10    2
May 14 02:05:57 ubuntu dstat.sh[79801]: 14-05 02:05:57| 14   3  57  22   0|1133M 1349M  195M 5074M| 193k   19k|   0  7793k|   0   613 |5325  9134 |2.86 1.44 0.83|2.0 1.0  19|   0     0 |   0     0 |  9    8    0    9    2
May 14 02:05:58 ubuntu dstat.sh[79801]: 14-05 02:05:58| 14   3  62  20   0|1136M 1342M  196M 5077M| 959k   22k|   0  8149k|   0   636 |5510  9115 |2.86 1.44 0.83|  0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
May 14 02:05:59 ubuntu dstat.sh[79801]: 14-05 02:05:59| 16   4  57  21   0|1141M 1334M  196M 5079M| 712k   32k|   0  7273k|   0   655 |5995  9788 |2.71 1.43 0.83|1.0   0  14|   0     0 |   0     0 |  9    8    0    9    2
May 14 02:06:00 ubuntu dstat.sh[79801]: 14-05 02:06:00| 29   2  66   3   0|1145M 1330M  197M 5080M| 251k  156k|   0  2509k|   0   228 |3657  6223 |2.71 1.43 0.83|1.0   0 1.0|   0     0 |   0     0 |  9    8    0    9    2
May 14 02:06:01 ubuntu dstat.sh[79801]: 14-05 02:06:01| 24   7  67   1   0|1064M 1409M  197M 5080M| 347k 9822 |   0  1279k|   0  29.0 |1637  1858 |2.71 1.43 0.83|1.0   0  77|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:02 ubuntu dstat.sh[79801]: 14-05 02:06:02| 43   5  52   0   0|1149M 1322M  197M 5083M|  79k 2742 |   0   932k|   0  19.0 |1224  1024 |2.71 1.43 0.83|2.0   0 4.0|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:03 ubuntu dstat.sh[79801]: 14-05 02:06:03| 41   1  56   1   0|1140M 1329M  197M 5084M| 881k 7905 |   0  8439k|   0   406 |2247  2693 |2.71 1.43 0.83|2.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:04 ubuntu dstat.sh[79801]: 14-05 02:06:04| 45   6  48   0   0|1115M 1349M  197M 5088M|  14k 1619 |   0  7497k|   0   390 |1923  2681 |2.65 1.44 0.84|2.0   0  13|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:05 ubuntu dstat.sh[79801]: 14-05 02:06:05| 43   2  53   1   0|1133M 1330M  198M 5088M|  23k 3234 |   0  7228k|   0   412 |1909  2759 |2.65 1.44 0.84|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:06 ubuntu dstat.sh[79801]: 14-05 02:06:06| 25  10  64   1   1|1047M 1415M  198M 5090M| 997k   13k|   0  8790k|   0   383 |2982  4261 |2.65 1.44 0.84|2.0   0 170|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:07 ubuntu dstat.sh[79801]: 14-05 02:06:07| 17  20  61   1   0|1047M 1414M  198M 5090M|  90k 8354 |   0  3299k|   0   160 |3033  4752 |2.65 1.44 0.84|1.0   0 336|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:08 ubuntu dstat.sh[79801]: 14-05 02:06:08| 26  16  56   0   0|1050M 1410M  198M 5092M| 297k 8401 |   0    20M|   0   127 |3778  7092 |2.65 1.44 0.84|2.0   0 191|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:09 ubuntu dstat.sh[79801]: 14-05 02:06:09| 66  11  23   1   0|1172M 1287M  198M 5092M|  22k 1931 | 324k    0 |4.00     0 |2282  3303 |2.68 1.47 0.85|3.0   0 149|   0     0 |   0     0 |  9    7    0    9    2
May 14 02:06:10 ubuntu dstat.sh[79801]: 14-05 02:06:10| 65   7  28   0   0|1243M 1215M  198M 5093M|  21k 3946 | 372k  452k|7.99  9.99 |1673  1542 |2.68 1.47 0.85|3.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
May 14 02:06:11 ubuntu dstat.sh[79801]: 14-05 02:06:11| 73   3  25   0   0|1273M 1184M  198M 5093M|  22k 1622 |   0     0 |   0     0 |1386   950 |2.68 1.47 0.85|3.0   0 2.0|   0     0 |   0     0 |  9    7    0    9    2
May 14 02:06:12 ubuntu dstat.sh[79801]: 14-05 02:06:12| 63  11  26   0   0|1298M 1157M  198M 5096M|  32k 2002 |   0   180k|   0  24.0 |2756  6979 |2.68 1.47 0.85| 11   0 123|   0     0 |   0     0 |  8    6    0    9    2
May 14 02:06:13 ubuntu dstat.sh[79801]: 14-05 02:06:13| 46   6  47   0   0|1360M 1092M  198M 5098M|  21k 1620 |   0    35M|   0   143 |1867  2259 |2.68 1.47 0.85|2.0   0  27|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:14 ubuntu dstat.sh[79801]: 14-05 02:06:14| 48   4  49   0   0|1395M 1056M  199M 5098M|  24k 1568 |   0     0 |   0     0 |1716  1893 |2.62 1.48 0.86|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    7    2
May 14 02:06:15 ubuntu dstat.sh[79801]: 14-05 02:06:15| 47   3  49   0   0|1394M 1056M  199M 5099M|  60k   42k|   0  2631k|   0  93.0 |1939  2704 |2.62 1.48 0.86|2.0   0   0|   0     0 |   0     0 |  9   12    0    7    2
May 14 02:06:16 ubuntu dstat.sh[79801]: 14-05 02:06:16| 41   9  48   2   0|1309M 1116M  199M 5120M|  41k   24k|   0  6268k|   0   330 |2951  4407 |2.62 1.48 0.86|2.0   0  44|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:17 ubuntu dstat.sh[79801]: 14-05 02:06:17| 40   7  49   3   0|1327M 1082M  200M 5135M|  15k 1618 | 196k 3263k|12.0  99.9 |1647  2461 |2.62 1.48 0.86|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 14 02:06:18 ubuntu dstat.sh[79801]: 14-05 02:06:18| 32   5  47  15   0|1344M 1042M  201M 5153M|  95k   78k| 128k   20M|28.0   713 |2982  2558 |2.62 1.48 0.86|1.0 1.0 3.0|   0     0 |   0     0 |  9   18    0    9    2
May 14 02:06:19 ubuntu dstat.sh[79801]: 14-05 02:06:19| 22   5  65   7   0|1303M 1080M  201M 5156M|  75k   48k|  32k  973k|8.01  35.0 |1595  1882 |2.49 1.47 0.86|2.0   0  46|   0     0 |   0     0 |  9   31    0    9    2
May 14 02:06:20 ubuntu dstat.sh[79801]: 14-05 02:06:20| 43   8  49   0   0|1318M 1085M  201M 5137M|  25k 2379 |   0   716k|   0  8.00 |1298  1141 |2.49 1.47 0.86|2.0   0 9.0|   0     0 |   0     0 |  9   28    0    9    0
May 14 02:06:21 ubuntu dstat.sh[79801]: 14-05 02:06:21| 57  17  25   0   0|1336M 1066M  201M 5137M|3058k   61k|   0    12k|   0  3.00 |  10k   21k|2.49 1.47 0.86|3.0   0 235|   0     0 |   0     0 |  9   28    0   10    0
May 14 02:06:22 ubuntu dstat.sh[79801]: 14-05 02:06:22| 67   8  25   0   0|1412M  991M  201M 5137M| 293k  238k|   0     0 |   0     0 |1940  2582 |2.49 1.47 0.86|4.0   0 7.0|   0     0 |   0     0 |  9   30    0    9    0
May 14 02:06:23 ubuntu dstat.sh[79801]: 14-05 02:06:23| 67  12  20   0   0|1328M 1074M  201M 5138M| 563k  536k|   0  1593k|   0  56.0 |3224  6249 |2.49 1.47 0.86|7.0   0 247|   0     0 |   0     0 |  9   28    0   10    0
May 14 02:06:24 ubuntu dstat.sh[79801]: 14-05 02:06:24| 86  14   0   0   0|1471M  931M  201M 5138M|  75k   52k|   0    12k|   0  3.00 |2117    31k|2.77 1.54 0.89|7.0   0 175|   0     0 |   0     0 |  9   28    0   10    1
May 14 02:06:25 ubuntu dstat.sh[79801]: 14-05 02:06:25| 88  12   0   0   0|1580M  822M  201M 5138M| 766k  750k|   0  1816k|   0  40.0 |3996  8096 |2.77 1.54 0.89|7.0   0 133|   0     0 |   0     0 |  9   29    0   10    0
May 14 02:06:26 ubuntu dstat.sh[79801]: 14-05 02:06:26| 85  14   1   0   0|1405M  996M  201M 5138M| 172k  158k|   0   584k|   0  46.0 |2896  4615 |2.77 1.54 0.89|6.0   0 177|   0     0 |   0     0 |  9   28    0   10    0
May 14 02:06:27 ubuntu dstat.sh[79801]: 14-05 02:06:27| 73  11  15   0   0|1352M 1049M  201M 5138M| 760k  744k|   0   599k|   0  40.0 |3110  7496 |2.77 1.54 0.89|3.0   0 141|   0     0 |   0     0 |  9   29    0   10    0
May 14 02:06:28 ubuntu dstat.sh[79801]: 14-05 02:06:28| 51   7  43   0   0|1332M 1070M  201M 5138M| 225k  212k|   0   480k|   0  28.0 |1960  3191 |2.77 1.54 0.89|2.0   0  72|   0     0 |   0     0 |  9   28    0   10    0
May 14 02:06:29 ubuntu dstat.sh[79801]: 14-05 02:06:29| 23   8  69   0   0|1272M 1129M  201M 5138M|  19k 1564 |   0   260k|   0  13.0 |1580  2220 |2.63 1.54 0.89|2.0   0 117|   0     0 |   0     0 |  9   28    0   10    0
May 14 02:06:30 ubuntu dstat.sh[79801]: 14-05 02:06:30| 22   4  73   1   0|1228M 1173M  201M 5138M| 224k  202k|   0   312k|   0  26.0 |1785  2897 |2.63 1.54 0.89|3.0   0  29|   0     0 |   0     0 |  9   28    0   10    0
May 14 02:06:31 ubuntu dstat.sh[79801]: 14-05 02:06:31| 10  20  68   0   0|1226M 1175M  201M 5138M|  15k 1620 |   0   240k|   0  14.0 |2630  3607 |2.63 1.54 0.89|1.0   0 380|   0     0 |   0     0 |  9   28    0   10    0
May 14 02:06:32 ubuntu dstat.sh[79801]: 14-05 02:06:32| 37  29  32   0   0|1312M 1089M  201M 5138M|  14k 1622 |   0   256k|   0  21.0 |2793  5494 |2.63 1.54 0.89|5.0   0 753|   0     0 |   0     0 |  9   28    0   10    0
May 14 02:06:33 ubuntu dstat.sh[79801]: 14-05 02:06:33| 89  11   0   0   0|1486M  915M  202M 5138M| 163k  148k|   0  1211k|   0  73.9 |2490  2858 |2.63 1.54 0.89|8.0   0  11|   0     0 |   0     0 |  9   30    0   10    0
May 14 02:06:34 ubuntu dstat.sh[79801]: 14-05 02:06:34| 67   9  24   0   0|1482M  919M  202M 5139M|1491k 1477k|   0  2747k|   0  19.0 |4410    10k|2.90 1.61 0.91|3.0   0  18|   0     0 |   0     0 |  9   32    0   12    0
May 14 02:06:35 ubuntu dstat.sh[79801]: 14-05 02:06:35| 81  12   7   0   1|1329M 1071M  202M 5139M| 850k  826k|   0   240k|   0  22.0 |3524  8159 |2.90 1.61 0.91|6.0   0 198|   0     0 |   0     0 |  9   28    0   13    0
May 14 02:06:36 ubuntu dstat.sh[79801]: 14-05 02:06:36| 86  13   0   0   0|1503M  897M  202M 5139M| 454k  442k|   0   240k|   0  18.0 |3155  5339 |2.90 1.61 0.91|6.0   0  85|   0     0 |   0     0 |  9   29    0   11    0
May 14 02:06:37 ubuntu dstat.sh[79801]: 14-05 02:06:37| 88  11   0   0   0|1561M  839M  202M 5139M|1024k 1010k|   0   352k|   0  35.0 |5322    10k|2.90 1.61 0.91|6.0   0  51|   0     0 |   0     0 |  9   29    0   12    0
May 14 02:06:38 ubuntu dstat.sh[79801]: 14-05 02:06:38| 85  14   1   0   0|1433M  966M  202M 5140M|1085k 1069k|   0   348k|   0  31.0 |4190    10k|2.90 1.61 0.91|7.0   0 190|   0     0 |   0     0 |  9   29    0   12    0
May 14 02:06:39 ubuntu dstat.sh[79801]: 14-05 02:06:39| 88  12   1   0   0|1521M  879M  202M 5140M| 777k  755k|   0   180k|   0  10.0 |4183  7826 |3.15 1.68 0.94|7.0   0  54|   0     0 |   0     0 |  9   30    0   12    0
May 14 02:06:40 ubuntu dstat.sh[79801]: 14-05 02:06:40| 85  13   3   0   0|1419M  980M  202M 5141M|1347k 1328k|   0   160k|   0  9.00 |5544    13k|3.15 1.68 0.94|5.0   0 183|   0     0 |   0     0 |  9   31    0   12    0
