-- Logs begin at Thu 2022-05-12 22:21:43 UTC, end at Fri 2022-05-13 14:17:10 UTC. --
May 13 13:40:17 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 13 13:40:18 ubuntu dstat.sh[86387]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 13 13:40:18 ubuntu dstat.sh[86387]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 13 13:40:18 ubuntu dstat.sh[86387]: 13-05 13:40:18|                   |1066M 1448M  194M 4923M|           |           |           |           |1.27 1.11 0.75|3.0   0    |           |   0     0 |  8    7    0   14    0
May 13 13:40:19 ubuntu dstat.sh[86387]: 13-05 13:40:19| 21  19  58   0   0|1039M 1474M  194M 4923M| 135k 9265 |   0   264k|   0  5.99 |2876  4235 |1.34 1.12 0.76|2.0   0 368|   0     0 |   0     0 |  8    8    0   14    0
May 13 13:40:20 ubuntu dstat.sh[86387]: 13-05 13:40:20| 32  20  48   0   0| 998M 1514M  194M 4923M| 198k 7368 |   0   176k|   0  7.50 |2986  5064 |1.41 1.14 0.77|1.0   0 314|   0     0 |   0     0 |  8    8    0   14    0
May 13 13:40:21 ubuntu dstat.sh[86387]: 13-05 13:40:21| 27  18  54   1   0| 963M 1543M  194M 4930M|3310k   90k|   0  3925k|   0  23.0 |6997    10k|1.41 1.14 0.77|3.0   0 158|   0     0 |   0     0 |  8    5    0   14    3
May 13 13:40:22 ubuntu dstat.sh[86387]: 13-05 13:40:22| 22   8  69   0   0|1094M 1412M  194M 5052M|1004k   19k|   0    20k|   0  2.00 |2480  3573 |1.41 1.14 0.77|2.0   0  38|   0     0 |   0     0 |  9    6    0   10    0
May 13 13:40:23 ubuntu dstat.sh[86387]: 13-05 13:40:23| 60  12  28   0   0|1136M 1369M  194M 5053M| 103k 7640 |   0   553k|   0  15.0 |1885  2051 |1.41 1.14 0.77|4.0   0 109|   0     0 |   0     0 |  9    7    0   10    1
May 13 13:40:24 ubuntu dstat.sh[86387]: 13-05 13:40:24| 63  14  22   0   0|1178M 1325M  194M 5054M| 408k   29k|   0  1042k|   0  36.9 |2792  3535 |1.54 1.17 0.78|2.0   0 190|   0     0 |   0     0 |  9    7    0   12    1
May 13 13:40:25 ubuntu dstat.sh[86387]: 13-05 13:40:25| 43   6  45   3   0|1145M 1350M  194M 5061M|3787k   88k| 196k 4878k|14.0  24.0 |5054  2835 |1.54 1.17 0.78|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
May 13 13:40:26 ubuntu dstat.sh[86387]: 13-05 13:40:26| 31   4  65   0   0|1104M 1387M  194M 5065M|2054k   13k|   0  3123k|   0  24.0 |1717  1151 |1.54 1.17 0.78|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
May 13 13:40:27 ubuntu dstat.sh[86387]: 13-05 13:40:27| 20   2  66  11   0|1122M 1367M  195M 5066M| 413k   30k|  16k 5685k|2.00   384 |3754  5866 |1.54 1.17 0.78|1.0 1.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
May 13 13:40:28 ubuntu dstat.sh[86387]: 13-05 13:40:28| 11   2  62  22   0|1126M 1360M  195M 5069M| 208k   22k|   0  8018k|   0   712 |5748  9728 |1.54 1.17 0.78|  0 1.0 4.0|   0     0 |   0     0 |  9    8    0   10    2
May 13 13:40:29 ubuntu dstat.sh[86387]: 13-05 13:40:29| 10   4  61  22   0|1131M 1352M  196M 5071M| 160k   19k|   0  6855k|   0   670 |5618  9686 |1.74 1.22 0.79|  0 1.0  21|   0     0 |   0     0 |  9    8    0   10    2
