-- Logs begin at Fri 2022-05-13 15:52:43 UTC, end at Fri 2022-05-13 17:33:56 UTC. --
May 13 16:57:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 13 16:57:47 ubuntu dstat.sh[79635]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 13 16:57:47 ubuntu dstat.sh[79635]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 13 16:57:47 ubuntu dstat.sh[79635]: 13-05 16:57:47|                   |1035M 1491M  189M 4917M|           |           |           |           |1.35 1.04 0.68|3.0   0    |           |   0     0 |  8    7    1   14    0
May 13 16:57:48 ubuntu dstat.sh[79635]: 13-05 16:57:48| 19  20  60   1   0|1026M 1500M  189M 4917M| 120k 9229 |   0   990k|   0  51.9 |3129  5060 |1.35 1.04 0.68|3.0   0 417|   0     0 |   0     0 |  8    8    0   14    0
May 13 16:57:49 ubuntu dstat.sh[79635]: 13-05 16:57:49| 31  18  49   0   0|1000M 1524M  189M 4919M|1015k   26k|   0    20k|   0  28.5 |3308  5935 |1.35 1.04 0.68|3.0   0 323|   0     0 |   0     0 |  8    9    0   14    0
May 13 16:57:50 ubuntu dstat.sh[79635]: 13-05 16:57:50| 33  17  48   0   0| 925M 1593M  189M 4924M|2530k   60k|   0  3899k|   0  20.0 |4480  9181 |1.35 1.04 0.68|2.0   0 123|   0     0 |   0     0 |  8    8    0   14    0
May 13 16:57:51 ubuntu dstat.sh[79635]: 13-05 16:57:51| 48  15  37   0   0|1118M 1399M  189M 5046M| 937k   22k|   0    40k|   0  7.01 |2763  4149 |1.48 1.07 0.70|3.0   0 138|   0     0 |   0     0 |  9    8    0   12    0
May 13 16:57:52 ubuntu dstat.sh[79635]: 13-05 16:57:52| 62  14  24   0   0|1163M 1354M  189M 5047M| 276k   23k|   0   776k|   0  28.0 |2781  3467 |1.48 1.07 0.70|4.0   0 199|   0     0 |   0     0 |  9    7    0   14    1
May 13 16:57:53 ubuntu dstat.sh[79635]: 13-05 16:57:53| 48   6  44   1   0|1210M 1306M  190M 5048M| 492k   20k|  52k 1702k|4.99  25.0 |1780  1484 |1.48 1.07 0.70|5.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
May 13 16:57:54 ubuntu dstat.sh[79635]: 13-05 16:57:54| 41   5  52   2   0|1120M 1388M  190M 5055M|3485k   59k| 144k 4653k|8.99  18.0 |3567  2874 |1.48 1.07 0.70|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
May 13 16:57:55 ubuntu dstat.sh[79635]: 13-05 16:57:55| 27   3  68   2   0|1120M 1384M  190M 5059M|1984k   29k|  12k 2886k|1.00  70.0 |2301  2517 |1.48 1.07 0.70|3.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
May 13 16:57:56 ubuntu dstat.sh[79635]: 13-05 16:57:56| 12   4  61  23   0|1125M 1376M  190M 5061M| 334k   21k|   0    12M|   0   914 |6128    11k|1.60 1.11 0.71|3.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
May 13 16:57:57 ubuntu dstat.sh[79635]: 13-05 16:57:57| 10   3  64  22   0|1130M 1368M  191M 5063M| 230k   20k|   0  7462k|   0   687 |5753  9826 |1.60 1.11 0.71|5.0   0  10|   0     0 |   0     0 |  9    8    0   10    2
May 13 16:57:58 ubuntu dstat.sh[79635]: 13-05 16:57:58| 13   4  61  21   0|1133M 1361M  191M 5066M| 252k   20k|   0  7670k|   0   582 |5433  9020 |1.60 1.11 0.71|1.0 2.0  23|   0     0 |   0     0 |  9    8    0   10    2
May 13 16:57:59 ubuntu dstat.sh[79635]: 13-05 16:57:59| 17   3  58  20   1|1137M 1355M  192M 5069M|  77k   19k|   0  7309k|   0   651 |5786  9957 |1.60 1.11 0.71|1.0 1.0  13|   0     0 |   0     0 |  9    8    0    9    2
May 13 16:58:00 ubuntu dstat.sh[79635]: 13-05 16:58:00| 13   3  61  21   0|1140M 1348M  192M 5072M| 804k   22k|   0  7296k|   0   667 |5559  9390 |1.60 1.11 0.71|1.0 1.0 5.0|   0     0 |   0     0 |  9    8    0    9    2
May 13 16:58:01 ubuntu dstat.sh[79635]: 13-05 16:58:01| 24   3  57  14   0|1145M 1342M  192M 5073M| 586k   94k|   0    12M|   0   753 |5658  8290 |1.56 1.10 0.71|2.0   0  13|   0     0 |   0     0 |  9    8    0    9    2
May 13 16:58:02 ubuntu dstat.sh[79635]: 13-05 16:58:02| 27   5  65   2   0|1045M 1440M  193M 5074M| 652k   91k|   0  2845k|   0   181 |3286  4936 |1.56 1.10 0.71|4.0   0  69|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:03 ubuntu dstat.sh[79635]: 13-05 16:58:03| 26   4  70   0   0|1096M 1389M  193M 5074M| 152k 8453 |   0  1016k|   0  32.0 |1265  1168 |1.56 1.10 0.71|3.0   0  10|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:04 ubuntu dstat.sh[79635]: 13-05 16:58:04| 47   3  49   0   0|1152M 1330M  193M 5076M|  18k 1618 |   0   731k|   0  15.0 |1187  1006 |1.56 1.10 0.71|3.0   0 3.0|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:05 ubuntu dstat.sh[79635]: 13-05 16:58:05| 35   2  60   1   0|1053M 1428M  193M 5077M| 292k 5923 |   0  7831k|   0   404 |2358  2760 |1.56 1.10 0.71|3.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:06 ubuntu dstat.sh[79635]: 13-05 16:58:06| 43   6  50   2   0|1129M 1345M  193M 5083M| 880k 6119 |   0  8463k|   0   407 |2670  2718 |1.67 1.14 0.72|3.0   0 5.0|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:07 ubuntu dstat.sh[79635]: 13-05 16:58:07| 44   3  51   2   1|1136M 1338M  194M 5083M|  22k 3171 |   0  7378k|   0   409 |2153  2674 |1.67 1.14 0.72|2.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:08 ubuntu dstat.sh[79635]: 13-05 16:58:08| 27   6  64   1   0|1046M 1427M  194M 5083M| 480k 9250 |   0  7934k|   0   385 |2736  3614 |1.67 1.14 0.72|2.0   0 107|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:09 ubuntu dstat.sh[79635]: 13-05 16:58:09| 16  20  62   1   0|1049M 1423M  194M 5085M| 613k   11k|   0  2904k|   0   109 |3648  5682 |1.67 1.14 0.72|3.0   0 426|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:10 ubuntu dstat.sh[79635]: 13-05 16:58:10| 29  14  55   1   0|1052M 1418M  194M 5086M| 310k 9145 |   0  1040k|   0  27.0 |4484  8231 |1.67 1.14 0.72|2.0   0 161|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:11 ubuntu dstat.sh[79635]: 13-05 16:58:11| 63  16  21   0   0|1186M 1284M  194M 5086M|  26k 2762 | 324k   19M|4.00  79.0 |2253  2852 |1.78 1.17 0.74|3.0   0 156|   0     0 |   0     0 |  9    7    0    9    2
May 13 16:58:12 ubuntu dstat.sh[79635]: 13-05 16:58:12| 66   5  27   0   0|1264M 1204M  194M 5087M|  52k 3945 | 372k 1254k|7.99  35.0 |1605  1099 |1.78 1.17 0.74|3.0   0 2.0|   0     0 |   0     0 |  9    7    0    9    2
May 13 16:58:13 ubuntu dstat.sh[79635]: 13-05 16:58:13| 75   1  24   0   0|1285M 1183M  194M 5088M|  19k 1620 |   0     0 |   0     0 |1572  1144 |1.78 1.17 0.74|5.0   0 1.0|   0     0 |   0     0 |  9    7    0    9    2
May 13 16:58:14 ubuntu dstat.sh[79635]: 13-05 16:58:14| 59  12  28   0   0|1312M 1153M  194M 5090M|  30k 2378 |   0  8175B|   0  2.00 |2758  6353 |1.78 1.17 0.74|2.0   0 142|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:15 ubuntu dstat.sh[79635]: 13-05 16:58:15| 45   5  49   0   0|1371M 1091M  194M 5092M|  15k 1619 |   0    32k|   0  5.00 |1399  1482 |1.78 1.17 0.74|2.0   0   0|   0     0 |   0     0 |  9    6    0    7    2
May 13 16:58:16 ubuntu dstat.sh[79635]: 13-05 16:58:16| 47   5  47   1   0|1393M 1068M  195M 5093M|  19k 1465 |   0    40M|   0   305 |2249  1971 |1.80 1.18 0.74|4.0   0 4.0|   0     0 |   0     0 |  9    6    0    7    2
May 13 16:58:17 ubuntu dstat.sh[79635]: 13-05 16:58:17| 49   2  49   0   0|1386M 1075M  195M 5093M|  26k 1617 |   0  2016k|   0  8.98 |1275  1035 |1.80 1.18 0.74|5.0   0   0|   0     0 |   0     0 |  9    6    0    7    2
May 13 16:58:18 ubuntu dstat.sh[79635]: 13-05 16:58:18| 39   6  48   6   0|1273M 1173M  195M 5106M|  82k   65k|   0  4460k|   0   283 |3462  5397 |1.80 1.18 0.74|2.0 1.0  43|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:19 ubuntu dstat.sh[79635]: 13-05 16:58:19| 35   8  55   3   0|1336M 1100M  195M 5115M|  20k 1621 | 196k 2494k|12.0   113 |1601  1564 |1.80 1.18 0.74|4.0   0 1.0|   0     0 |   0     0 |  9    6    0    9    2
May 13 16:58:20 ubuntu dstat.sh[79635]: 13-05 16:58:20| 34   6  54   5   0|1348M 1077M  196M 5123M| 107k   78k| 132k 3331k|29.0  74.0 |1733  1915 |1.80 1.18 0.74|3.0 1.0 1.0|   0     0 |   0     0 |  9   18    0    9    2
May 13 16:58:21 ubuntu dstat.sh[79635]: 13-05 16:58:21| 39   7  50   3   0|1324M 1078M  197M 5143M|  66k   45k|  28k   11M|7.00   339 |2624  3441 |1.81 1.19 0.75|3.0 1.0  46|   0     0 |   0     0 |  9   30    0    9    2
May 13 16:58:22 ubuntu dstat.sh[79635]: 13-05 16:58:22| 36   6  55   2   0|1356M 1038M  197M 5150M|  77k   61k|   0  1708k|   0  72.0 |1615  1709 |1.81 1.19 0.75|3.0   0 1.0|   0     0 |   0     0 |  9   30    0   10    2
May 13 16:58:23 ubuntu dstat.sh[79635]: 13-05 16:58:23| 46  12  41   1   0|1297M 1116M  197M 5132M|  25k 4279 |   0   496k|   0  16.0 |1979  2398 |1.81 1.19 0.75|3.0   0 197|   0     0 |   0     0 |  9   28    0   10    0
May 13 16:58:24 ubuntu dstat.sh[79635]: 13-05 16:58:24| 65   9  25   0   0|1407M 1006M  197M 5132M| 454k  434k|   0   697k|   0  4.01 |2516  3968 |1.81 1.19 0.75|4.0   0 7.0|   0     0 |   0     0 |  9   30    0   11    0
May 13 16:58:25 ubuntu dstat.sh[79635]: 13-05 16:58:25| 73  17  10   0   0|1365M 1048M  197M 5132M| 341k  325k|   0    28k|   0  7.00 |8817    19k|1.81 1.19 0.75|5.0   0 311|   0     0 |   0     0 |  9   28    0   11    0
May 13 16:58:26 ubuntu dstat.sh[79635]: 13-05 16:58:26| 87  12   0   0   0|1469M  943M  197M 5132M| 104k   87k|   0  2057k|   0  55.0 |2216  3276 |2.15 1.27 0.78|7.0   0 146|   0     0 |   0     0 |  9   29    0   11    0
May 13 16:58:27 ubuntu dstat.sh[79635]: 13-05 16:58:27| 87  12   0   0   0|1590M  822M  198M 5132M| 720k  707k|   0  1448k|   0  34.0 |3749  7169 |2.15 1.27 0.78|8.0   0 100|   0     0 |   0     0 |  9   30    0   11    0
May 13 16:58:28 ubuntu dstat.sh[79635]: 13-05 16:58:28| 88  12   0   0   0|1384M 1028M  198M 5132M| 319k  299k|   0   564k|   0  52.0 |8810    18k|2.15 1.27 0.78|5.0   0 188|   0     0 |   0     0 |  9   28    0   11    0
May 13 16:58:29 ubuntu dstat.sh[79635]: 13-05 16:58:29| 70  13  16   0   0|1388M 1024M  198M 5132M| 285k  269k|   0   360k|   0  24.0 |3031    14k|2.15 1.27 0.78|4.0   0 159|   0     0 |   0     0 |  9   29    0   12    0
May 13 16:58:30 ubuntu dstat.sh[79635]: 13-05 16:58:30| 61  10  29   0   0|1332M 1080M  198M 5133M| 426k  403k|   0   316k|   0  12.0 |2112  4068 |2.15 1.27 0.78|3.0   0  72|   0     0 |   0     0 |  9   29    0   12    0
May 13 16:58:31 ubuntu dstat.sh[79635]: 13-05 16:58:31| 42  10  48   1   0|1284M 1128M  198M 5133M| 176k  163k|   0   721k|   0  86.1 |2085  3303 |2.14 1.29 0.78|2.0 1.0  84|   0     0 |   0     0 |  9   28    0   12    0
May 13 16:58:32 ubuntu dstat.sh[79635]: 13-05 16:58:32| 46   4  50   0   0|1325M 1086M  198M 5133M|  21k 1619 |   0  7938k|   0   341 |1829  1215 |2.14 1.29 0.78|3.0   0   0|   0     0 |   0     0 |  9   28    0   12    0
May 13 16:58:33 ubuntu dstat.sh[79635]: 13-05 16:58:33| 26  13  60   0   0|1231M 1181M  198M 5133M| 233k  209k|   0   877k|   0  57.0 |2450  4371 |2.14 1.29 0.78|3.0   0 233|   0     0 |   0     0 |  9   28    0   12    0
May 13 16:58:34 ubuntu dstat.sh[79635]: 13-05 16:58:34| 14  24  61   0   0|1237M 1174M  198M 5133M|  15k 1513 |   0   204k|   0  14.0 |2973  5069 |2.14 1.29 0.78|4.0   0 600|   0     0 |   0     0 |  9   28    0   12    0
May 13 16:58:35 ubuntu dstat.sh[79635]: 13-05 16:58:35| 78  21   2   0   0|1409M 1003M  198M 5133M|  17k 1566 |   0   160k|   0  13.0 |2073  3608 |2.14 1.29 0.78|5.0   0 387|   0     0 |   0     0 |  9   28    0   12    0
May 13 16:58:36 ubuntu dstat.sh[79635]: 13-05 16:58:36| 84  12   2   0   0|1542M  869M  198M 5133M| 813k  790k|   0   628k|   0  43.0 |4049  7050 |2.29 1.33 0.80|3.0   0 2.0|   0     0 |   0     0 |  9   33    0   12    0
May 13 16:58:37 ubuntu dstat.sh[79635]: 13-05 16:58:37| 70   8  22   0   1|1387M 1024M  198M 5133M|1234k 1218k|   0  2136k|   0  20.0 |4921    11k|2.29 1.33 0.80|6.0   0  47|   0     0 |   0     0 |  9   30    0   14    0
May 13 16:58:38 ubuntu dstat.sh[79635]: 13-05 16:58:38| 85  14   1   0   0|1386M 1024M  198M 5133M| 444k  427k|   0   152k|   0  11.0 |2561  5289 |2.29 1.33 0.80|6.0   0 245|   0     0 |   0     0 |  9   28    0   12    0
