-- Logs begin at Mon 2022-05-16 22:45:13 UTC, end at Tue 2022-05-17 00:07:19 UTC. --
May 16 23:31:10 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
May 16 23:31:10 ubuntu dstat.sh[86052]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
May 16 23:31:10 ubuntu dstat.sh[86052]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 16 23:31:10 ubuntu dstat.sh[86052]: 16-05 23:31:10|                   |1070M 1452M  191M 4918M|           |           |           |           |1.52 1.08 0.70|4.0   0    |           |   0     0 |  8    6    0   14    0
May 16 23:31:11 ubuntu dstat.sh[86052]: 16-05 23:31:11| 22  22  55   1   0|1055M 1468M  191M 4918M| 208k   12k|   0   690k|   0  15.9 |2650  4362 |1.52 1.08 0.70|4.0   0 403|   0     0 |   0     0 |  8    8    0   14    0
May 16 23:31:12 ubuntu dstat.sh[86052]: 16-05 23:31:12| 18  19  62   1   0| 994M 1528M  191M 4919M| 143k 6770 |   0   320k|   0  17.0 |2903  4505 |1.52 1.08 0.70|1.0   0 301|   0     0 |   0     0 |  8    8    0   14    0
May 16 23:31:13 ubuntu dstat.sh[86052]: 16-05 23:31:13| 23  16  60   0   0| 997M 1521M  191M 4923M|2466k   54k|   0   180k|   0  5.01 |5847  8371 |1.48 1.08 0.70|7.0   0 159|   0     0 |   0     0 |  8    8    0    8    0
May 16 23:31:14 ubuntu dstat.sh[86052]: 16-05 23:31:14| 32  12  54   0   0|1114M 1402M  191M 5046M| 476k   15k|   0  2206k|   0  6.99 |3369  4373 |1.48 1.08 0.70|3.0   0 118|   0     0 |   0     0 |  9    9    0    8    0
May 16 23:31:15 ubuntu dstat.sh[86052]: 16-05 23:31:15| 49  16  36   0   0|1130M 1385M  191M 5047M| 365k   14k|   0   532k|   0  17.0 |2551  7388 |1.48 1.08 0.70|3.0   0 192|   0     0 |   0     0 |  9    9    0    8    0
May 16 23:31:16 ubuntu dstat.sh[86052]: 16-05 23:31:16| 41  11  49   0   0|1185M 1329M  191M 5048M| 383k   24k|  20k  704k|2.00  31.0 |2194  2359 |1.48 1.08 0.70|2.0   0  53|   0     0 |   0     0 |  9    9    0   10    1
May 16 23:31:17 ubuntu dstat.sh[86052]: 16-05 23:31:17| 29   5  60   5   0|1166M 1345M  192M 5050M| 329k   15k| 176k 2788k|12.0  16.0 |1514  1318 |1.48 1.08 0.70|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    1
May 16 23:31:18 ubuntu dstat.sh[86052]: 16-05 23:31:18| 51   5  43   0   0|1140M 1370M  192M 5050M|1037k   24k|   0  1035k|   0  16.0 |1954  1288 |1.52 1.10 0.71|3.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
May 16 23:31:19 ubuntu dstat.sh[86052]: 16-05 23:31:19| 39   6  38  17   0|1179M 1327M  192M 5054M|1887k   71k|  12k 9186k|1.00   652 |6544  8605 |1.52 1.10 0.71|1.0 1.0  13|   0     0 |   0     0 |  9    8    0   10    2
May 16 23:31:20 ubuntu dstat.sh[86052]: 16-05 23:31:20| 17   4  57  21   0|1184M 1312M  192M 5064M|3875k   77k|   0    14M|   0   739 |7946    11k|1.52 1.10 0.71|4.0   0 2.0|   0     0 |   0     0 |  9    9    0   10    2
May 16 23:31:21 ubuntu dstat.sh[86052]: 16-05 23:31:21| 15   3  60  19   0|1190M 1303M  193M 5066M| 253k   19k|   0  7074k|   0   673 |5992  9847 |1.52 1.10 0.71|3.0 1.0  23|   0     0 |   0     0 |  9   10    0    9    2
May 16 23:31:22 ubuntu dstat.sh[86052]: 16-05 23:31:22| 11   3  66  20   0|1193M 1297M  193M 5069M| 409k   23k|   0  7687k|   0   639 |5575  9356 |1.52 1.10 0.71|3.0   0  24|   0     0 |   0     0 |  9   10    0    9    2
May 16 23:31:23 ubuntu dstat.sh[86052]: 16-05 23:31:23| 21   5  55  18   0|1170M 1316M  194M 5073M|1120k   46k|   0  8204k|   0   605 |6613  9611 |1.72 1.14 0.72|5.0 1.0 6.0|   0     0 |   0     0 |  9    8    0    9    2
May 16 23:31:24 ubuntu dstat.sh[86052]: 16-05 23:31:24| 39   6  43  12   0|1192M 1292M  194M 5074M| 216k   89k|   0  4882k|   0   465 |5069  8524 |1.72 1.14 0.72|2.0   0  15|   0     0 |   0     0 |  9    8    0    9    2
May 16 23:31:25 ubuntu dstat.sh[86052]: 16-05 23:31:25| 42   7  48   3   0|1101M 1382M  194M 5075M| 233k   94k|   0  2383k|   0   195 |3334  5157 |1.72 1.14 0.72|3.0   0  44|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:26 ubuntu dstat.sh[86052]: 16-05 23:31:26| 39   6  52   2   0|1083M 1400M  194M 5075M|  83k   10k|   0  1376k|   0  42.0 |1793  1594 |1.72 1.14 0.72|2.0   0  37|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:27 ubuntu dstat.sh[86052]: 16-05 23:31:27| 29   3  64   3   0|1128M 1354M  194M 5076M| 262k 9475 |   0  7952k|   0   407 |2255  2869 |1.72 1.14 0.72|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:28 ubuntu dstat.sh[86052]: 16-05 23:31:28| 34   2  62   1   0|1134M 1344M  194M 5079M|1492k   14k|   0  8544k|   0   399 |2527  2877 |1.66 1.14 0.73|2.0   0 2.0|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:29 ubuntu dstat.sh[86052]: 16-05 23:31:29| 27   4  66   2   0|1086M 1393M  194M 5078M| 110k 8065 |   0  7738k|   0   437 |2155  3027 |1.66 1.14 0.73|1.0   0  12|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:30 ubuntu dstat.sh[86052]: 16-05 23:31:30| 26   2  69   2   0|1130M 1349M  195M 5079M|  74k 4890 |   0  7487k|   0   387 |1968  2824 |1.66 1.14 0.73|1.0   0   0|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:31 ubuntu dstat.sh[86052]: 16-05 23:31:31| 43   3  53   1   0|1060M 1415M  195M 5081M|  97k 2876 |   0  3142k|   0   141 |1748  1915 |1.66 1.14 0.73|3.0   0  16|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:32 ubuntu dstat.sh[86052]: 16-05 23:31:32| 27  17  55   0   0|1043M 1432M  195M 5081M| 244k 5027 |   0   444k|   0  18.0 |3045  4798 |1.66 1.14 0.73|2.0   0 412|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:33 ubuntu dstat.sh[86052]: 16-05 23:31:33| 18  17  64   0   0|1045M 1430M  195M 5082M| 108k 4358 |   0   708k|   0  14.0 |3714  6326 |1.77 1.17 0.74|1.0 1.0 239|   0     0 |   0     0 |  9    6    0    9    2
May 16 23:31:34 ubuntu dstat.sh[86052]: 16-05 23:31:34| 40  15  42   1   0|1137M 1335M  195M 5084M| 881k   10k| 324k   26M|4.00   396 |4166  6140 |1.77 1.17 0.74|4.0   0 181|   0     0 |   0     0 |  9    7    0    9    2
May 16 23:31:35 ubuntu dstat.sh[86052]: 16-05 23:31:35| 68   6  24   1   0|1231M 1236M  195M 5088M|  43k 1620 |  20k 4095B|4.00  1.00 |1557  1188 |1.77 1.17 0.74|4.0   0 2.0|   0     0 |   0     0 |  9    7    0    9    2
May 16 23:31:36 ubuntu dstat.sh[86052]: 16-05 23:31:36| 63   4  33   1   1|1244M 1221M  195M 5089M|  64k 3918 | 352k 1116k|5.00  9.00 |1429  1238 |1.77 1.17 0.74|4.0   0   0|   0     0 |   0     0 |  9    7    0    9    2
