"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 May 2022 22:00:55 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-05 22:00:55,,1050876,1533232,195140,5036432,,,,,,,1.480,1.190,0.770,3,1,,,,8,5,0,14,0
17-05 22:00:56,18.978,18.728,60.929,0.499,0.250,1032156,1551476,195148,5036748,119285.629,8496.144,0,791.082,0,51.940,3034,4769,1.360,1.170,0.770,2,0,401.534,0,0,8,8,0,14,0
17-05 22:00:57,16.006,17.506,65.023,0.250,0.250,1015388,1567476,195164,5037428,470848.326,13931.862,0,164.057,0,8.003,3666,5832,1.360,1.170,0.770,4,0,237.083,0,0,8,8,0,14,0
17-05 22:00:58,42.737,16.245,39.488,0,0,1161872,1413764,195220,5168808,3574226.861,82640.795,0,7353.757,0,22.993,7145,9602,1.360,1.170,0.770,3,0,122.962,0,0,9,4,1,14,2
17-05 22:00:59,18.006,5.752,75.026,0.250,0.250,1104324,1471088,195240,5169000,1022005.526,27197.301,0,376.129,0,9.003,2109,2034,1.360,1.170,0.770,4,0,72.025,0,0,9,8,0,14,0
17-05 22:01:00,64.020,10.503,25.258,0,0,1149384,1425524,195240,5169488,24743.671,3510.088,0,36.011,0,9.003,1778,1743,1.360,1.170,0.770,6,0,87.027,0,0,9,7,0,14,1
17-05 22:01:01,53.989,12.747,31.993,0.250,0,1211744,1362400,195348,5170064,259450.737,22609.184,19.996,1007.785,2.000,30.993,2240,2941,1.570,1.210,0.780,1,0,140.970,0,0,9,7,0,10,1
17-05 22:01:02,44.261,3.501,49.512,2.000,0,1178376,1393208,195568,5172116,524406.809,22202.284,176.042,1248.297,12.003,11.003,1893,1504,1.570,1.210,0.780,1,0,1.000,0,0,9,8,0,10,2
17-05 22:01:03,30.241,2.249,65.481,1.000,0,1194496,1370372,195608,5178540,3480160.872,66833.217,11.996,4642.626,1.000,25.992,4266,2837,1.570,1.210,0.780,1,0,2.999,0,0,9,10,0,10,2
