-- Logs begin at Mon 2022-08-22 13:09:57 UTC, end at Mon 2022-08-22 15:47:10 UTC. --
Aug 22 15:35:02 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 22 15:35:02 ubuntu dstat.sh[84446]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 22 15:35:02 ubuntu dstat.sh[84446]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 22 15:35:02 ubuntu dstat.sh[84446]: 22-08 15:35:02|                   | 864M 1632M  189M 4950M|           |           |           |           |1.52 0.99 0.65|2.0   0    |           |   0     0 |  8    5    0   11    2
Aug 22 15:35:03 ubuntu dstat.sh[84446]: 22-08 15:35:03| 20  19  59   1   0| 867M 1628M  189M 4950M| 210k 9053 |   0  1135k|   0  28.0 |3291  6093 |1.52 0.99 0.65|2.5   0 379|   0     0 |   0     0 |  8    5    0   11    2
Aug 22 15:35:04 ubuntu dstat.sh[84446]: 22-08 15:35:04| 21  18  59   1   0| 851M 1643M  189M 4951M| 156k 7566 |   0   876k|   0  21.0 |2948  6266 |1.48 0.99 0.65|3.0   0 320|   0     0 |   0     0 |  8    6    0   11    2
Aug 22 15:35:05 ubuntu dstat.sh[84446]: 22-08 15:35:05| 20  18  61   0   0| 854M 1638M  189M 4952M| 178k 7404 |   0   627k|   0  8.99 |2733  7965 |1.48 0.99 0.65|3.0   0 178|   0     0 |   0     0 |  8    6    0   11    2
Aug 22 15:35:06 ubuntu dstat.sh[84446]: 22-08 15:35:06| 12   9  77   1   0|1000M 1492M  189M 5075M| 274k   13k|   0   901k|   0  12.0 |2317  3825 |1.48 0.99 0.65|3.0   0  98|   0     0 |   0     0 |  9    8    0   11    2
Aug 22 15:35:07 ubuntu dstat.sh[84446]: 22-08 15:35:07| 24   7  69   0   1|1004M 1485M  189M 5078M|1102k   39k|   0  1733k|   0  18.0 |2588  1868 |1.48 0.99 0.65|4.0   0  57|   0     0 |   0     0 |  9    8    0   11    2
Aug 22 15:35:08 ubuntu dstat.sh[84446]: 22-08 15:35:08| 44  12  42   1   0|1019M 1471M  189M 5077M|  33k   16k|   0    20M|   0   143 |2393  3149 |1.48 0.99 0.65|2.0   0 175|   0     0 |   0     0 |  9    6    0   13    2
Aug 22 15:35:09 ubuntu dstat.sh[84446]: 22-08 15:35:09| 45   7  45   4   0|1055M 1433M  189M 5078M| 181k 6495 | 196k 1437k|14.0  16.0 |1556  1598 |1.68 1.04 0.67|2.0   0 5.0|   0     0 |   0     0 |  9    6    0   13    2
Aug 22 15:35:10 ubuntu dstat.sh[84446]: 22-08 15:35:10| 28   2  67   2   0|1077M 1410M  189M 5079M|  31k   13k|  12k 2045k|1.00  80.0 |1658  2250 |1.68 1.04 0.67|3.0   0 1.0|   0     0 |   0     0 |  9    9    0   13    2
Aug 22 15:35:11 ubuntu dstat.sh[84446]: 22-08 15:35:11|  8   3  62  24   0|1087M 1396M  189M 5082M| 926k   19k|   0    14M|   0   993 |7146    11k|1.68 1.04 0.67|  0 1.0  10|   0     0 |   0     0 |  9    9    0   11    2
Aug 22 15:35:12 ubuntu dstat.sh[84446]: 22-08 15:35:12| 20   8  55  19   0|1098M 1383M  190M 5084M| 118k   12k|   0  6649k|   0   589 |5832    12k|1.68 1.04 0.67|  0 2.0  44|   0     0 |   0     0 |  9    9    1   12    2
Aug 22 15:35:13 ubuntu dstat.sh[84446]: 22-08 15:35:13| 11   3  60  23   0|1101M 1377M  190M 5086M| 144k   11k|   0    27M|   0   975 |5756  8624 |1.68 1.04 0.67|2.0   0  18|   0     0 |   0     0 |  9   10    0   11    2
Aug 22 15:35:14 ubuntu dstat.sh[84446]: 22-08 15:35:14| 10   4  64  21   1|1104M 1371M  190M 5089M| 538k   17k|   0  6869k|   0   612 |5676  9390 |1.78 1.08 0.68|1.0 1.0  18|   0     0 |   0     0 |  9   10    0   11    2
Aug 22 15:35:15 ubuntu dstat.sh[84446]: 22-08 15:35:15|  8   3  67  20   0|1105M 1368M  191M 5090M|  63k   10k|   0  6484k|   0   622 |5116  9290 |1.78 1.08 0.68|  0 1.0 3.0|   0     0 |   0     0 |  9   10    0   11    2
Aug 22 15:35:16 ubuntu dstat.sh[84446]: 22-08 15:35:16| 21   4  65  10   0|1013M 1459M  191M 5091M| 242k   14k|   0  3156k|   0   328 |3845  6209 |1.78 1.08 0.68|1.0   0  54|   0     0 |   0     0 |  9    8    0   11    2
Aug 22 15:35:17 ubuntu dstat.sh[84446]: 22-08 15:35:17| 23   6  70   1   0|1058M 1413M  191M 5093M| 812k   26k|   0  1057k|   0  9.01 |2076  1603 |1.78 1.08 0.68|1.0   0  35|   0     0 |   0     0 |  9    8    0   11    2
Aug 22 15:35:18 ubuntu dstat.sh[84446]: 22-08 15:35:18| 39   8  52   2   0|1085M 1383M  191M 5094M| 686k   24k|   0    29M|   0   540 |3275  3012 |1.78 1.08 0.68|3.0   0 5.0|   0     0 |   0     0 |  9    6    0   11    2
Aug 22 15:35:19 ubuntu dstat.sh[84446]: 22-08 15:35:19| 57   7  36   1   0|1041M 1426M  191M 5097M|  14k 3371 |   0  7811k|   0   408 |2399  3046 |1.80 1.09 0.69|2.0   0  14|   0     0 |   0     0 |  9    6    0   11    2
Aug 22 15:35:20 ubuntu dstat.sh[84446]: 22-08 15:35:20| 43   9  48   1   0|1099M 1360M  192M 5102M| 877k   16k|   0  9080k|   0   411 |2980  3438 |1.80 1.09 0.69|1.0   0 7.0|   0     0 |   0     0 |  9    7    0   11    2
Aug 22 15:35:21 ubuntu dstat.sh[84446]: 22-08 15:35:21| 25   7  67   1   0|1012M 1447M  192M 5102M| 111k 6686 |   0  7450k|   0   398 |2503  4222 |1.80 1.09 0.69|1.0   0 153|   0     0 |   0     0 |  9    7    0   11    2
Aug 22 15:35:22 ubuntu dstat.sh[84446]: 22-08 15:35:22| 20  19  59   0   0|1015M 1442M  192M 5104M| 904k   13k|   0  2531k|   0  58.0 |3219  4623 |1.80 1.09 0.69|3.0   0 348|   0     0 |   0     0 |  9    8    0   11    2
Aug 22 15:35:23 ubuntu dstat.sh[84446]: 22-08 15:35:23| 19  17  63   0   0|1016M 1440M  192M 5104M|  36k 5814 |   0  1618k|   0  27.0 |3296  5428 |1.80 1.09 0.69|2.0   0 213|   0     0 |   0     0 |  9    8    0   11    2
Aug 22 15:35:24 ubuntu dstat.sh[84446]: 22-08 15:35:24| 34  18  47   0   0|1090M 1367M  192M 5105M|  76k 6055 | 196k  639k|3.00  5.99 |3600  8033 |1.74 1.09 0.69|3.0   0 178|   0     0 |   0     0 |  9    9    0   11    2
Aug 22 15:35:25 ubuntu dstat.sh[84446]: 22-08 15:35:25| 51   7  43   0   0|1174M 1282M  192M 5106M| 216k 7818 | 128k  496k|1.00  6.00 |1446  1434 |1.74 1.09 0.69|3.0   0   0|   0     0 |   0     0 |  9    9    0   11    2
Aug 22 15:35:26 ubuntu dstat.sh[84446]: 22-08 15:35:26| 55   4  40   0   0|1219M 1233M  192M 5108M| 887k   34k| 372k  728k|8.00  9.00 |2357  1632 |1.74 1.09 0.69|3.0   0 1.0|   0     0 |   0     0 |  9    9    0   11    2
Aug 22 15:35:27 ubuntu dstat.sh[84446]: 22-08 15:35:27| 61  16  23   0   0|1239M 1210M  192M 5111M| 506k   17k|   0  2547k|   0  17.0 |3777  7755 |1.74 1.09 0.69|2.0   0 149|   0     0 |   0     0 |  9    6    0   11    2
Aug 22 15:35:28 ubuntu dstat.sh[84446]: 22-08 15:35:28| 49   8  43   0   0|1306M 1142M  192M 5112M|  24k 3800 |   0  7587k|   0   160 |1621  1413 |1.74 1.09 0.69|2.0   0 6.0|   0     0 |   0     0 |  9    6    0   11    2
Aug 22 15:35:29 ubuntu dstat.sh[84446]: 22-08 15:35:29| 39   3  58   0   0|1358M 1090M  192M 5112M|  34k 4118 |   0   572k|   0  6.00 |1167  1225 |1.68 1.09 0.69|3.0   0 3.0|   0     0 |   0     0 |  9    7    0   11    2
Aug 22 15:35:30 ubuntu dstat.sh[84446]: 22-08 15:35:30| 46   8  43   3   0|1366M 1078M  193M 5115M|  73k   66k|   0  4413k|   0   258 |3862  6984 |1.68 1.09 0.69|4.0   0 4.0|   0     0 |   0     0 |  9   13    0   11    2
Aug 22 15:35:31 ubuntu dstat.sh[84446]: 22-08 15:35:31| 46   8  46   1   0|1269M 1171M  193M 5118M|6431  2450 |  36k 1420k|3.00  65.0 |1664  2050 |1.68 1.09 0.69|3.0   0  45|   0     0 |   0     0 |  9    8    0   13    2
Aug 22 15:35:32 ubuntu dstat.sh[84446]: 22-08 15:35:32| 39   8  49   5   0|1310M 1111M  193M 5135M|  99k   82k|  28k 3396k|3.00  91.0 |1679  2444 |1.68 1.09 0.69|2.0 1.0 2.0|   0     0 |   0     0 |  9   20    0   13    2
Aug 22 15:35:33 ubuntu dstat.sh[84446]: 22-08 15:35:33| 32   9  51   8   0|1270M 1140M  194M 5143M| 192k   51k| 216k 7413k|54.0   309 |2865  3672 |1.68 1.09 0.69|3.0   0  46|   0     0 |   0     0 |  9   32    0   13    2
Aug 22 15:35:34 ubuntu dstat.sh[84446]: 22-08 15:35:34| 43   8  48   1   1|1313M 1081M  195M 5157M| 685k   26k|   0  8817k|   0   119 |2348  1906 |1.70 1.10 0.70|3.0   0 1.0|   0     0 |   0     0 |  9   32    0   13    2
Aug 22 15:35:35 ubuntu dstat.sh[84446]: 22-08 15:35:35| 65  14  20   2   0|1283M 1090M  195M 5175M| 513k   69k|   0  3352k|   0  78.1 |2588  3331 |1.70 1.10 0.70|5.0   0 206|   0     0 |   0     0 |  9   30    0   13    2
Aug 22 15:35:36 ubuntu dstat.sh[84446]: 22-08 15:35:36| 67   9  23   0   0|1377M  995M  196M 5176M|  71k   65k|   0   260k|   0  6.00 |1802  2155 |1.70 1.10 0.70|4.0   0 5.0|   0     0 |   0     0 |  9   32    1   13    2
Aug 22 15:35:37 ubuntu dstat.sh[84446]: 22-08 15:35:37| 48   5  46   0   0|1384M  988M  196M 5176M| 730k  722k|   0   869k|   0  32.0 |4524  9334 |1.70 1.10 0.70|3.0   0 2.0|   0     0 |   0     0 |  9   36    0   15    2
Aug 22 15:35:38 ubuntu dstat.sh[84446]: 22-08 15:35:38| 73  20   8   1   0|1327M 1065M  196M 5157M|  14k 3589 |   0  1308k|   0  22.0 |2089  3656 |1.70 1.10 0.70|8.0   0 366|   0     0 |   0     0 |  9   33    0   15    0
Aug 22 15:35:39 ubuntu dstat.sh[84446]: 22-08 15:35:39| 82  17   0   0   0|1462M  930M  196M 5157M| 456k  452k|   0  2676k|   0  31.0 |6994    14k|2.05 1.18 0.73| 10   0 161|   0     0 |   0     0 |  9   36    0   15    0
Aug 22 15:35:40 ubuntu dstat.sh[84446]: 22-08 15:35:40| 83  16   1   0   0|1362M 1029M  196M 5158M| 438k  431k|   0  2592k|   0  75.0 |4313  8327 |2.05 1.18 0.73|8.0   0 193|   0     0 |   0     0 |  9   34    0   11    0
Aug 22 15:35:41 ubuntu dstat.sh[84446]: 22-08 15:35:41| 82  14   2   0   0|1367M 1024M  196M 5158M| 355k  271k|   0  1128k|   0  50.0 |8641    21k|2.05 1.18 0.73|4.0   0 138|   0     0 |   0     0 |  9   35    0   12    0
Aug 22 15:35:42 ubuntu dstat.sh[84446]: 22-08 15:35:42| 65  11  24   0   0|1298M 1091M  196M 5159M|1099k  495k|   0   939k|   0  40.9 |4539  8385 |2.05 1.18 0.73|4.0   0  71|   0     0 |   0     0 |  9   35    0   14    0
Aug 22 15:35:43 ubuntu dstat.sh[84446]: 22-08 15:35:43| 63  14  22   0   0|1262M 1126M  196M 5161M| 846k  251k|   0  2080k|   0  22.0 |3349  4930 |2.05 1.18 0.73|8.0   0  87|   0     0 |   0     0 |  9   33    0   15    0
