-- Logs begin at Sat 2022-06-04 17:33:35 UTC, end at Mon 2022-06-06 11:23:46 UTC. --
Jun 06 11:10:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 06 11:10:48 ubuntu dstat.sh[81541]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 06 11:10:48 ubuntu dstat.sh[81541]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 06 11:10:48 ubuntu dstat.sh[81541]: 06-06 11:10:48|                   | 943M 1530M  195M 4960M|           |           |           |           |1.26 0.78 0.60|1.0 1.0    |           |   0     0 |  8    7    0   10    2
Jun 06 11:10:49 ubuntu dstat.sh[81541]: 06-06 11:10:49| 19  20  59   0   0| 946M 1527M  195M 4961M|  56k 6733 |   0   511k|   0  15.0 |2723  4237 |1.26 0.78 0.60|1.0 0.5 379|   0     0 |   0     0 |  8    7    0   10    2
Jun 06 11:10:50 ubuntu dstat.sh[81541]: 06-06 11:10:50| 23  20  57   1   0| 933M 1538M  195M 4962M| 286k 8591 |   0   764k|   0  16.0 |2865  5024 |1.26 0.78 0.60|1.0   0 302|   0     0 |   0     0 |  8    8    0    8    2
Jun 06 11:10:51 ubuntu dstat.sh[81541]: 06-06 11:10:51| 21  14  62   0   0| 934M 1536M  195M 4963M| 180k   11k|   0   332k|   0  7.00 |2984  6867 |1.24 0.78 0.60|1.0   0 113|   0     0 |   0     0 |  8    8    0    8    2
Jun 06 11:10:52 ubuntu dstat.sh[81541]: 06-06 11:10:52| 17  14  68   0   0|1082M 1385M  195M 5087M|1318k   28k|   0  1383k|   0  13.0 |3648  4169 |1.24 0.78 0.60|2.0   0 131|   0     0 |   0     0 |  9   10    0    8    2
Jun 06 11:10:53 ubuntu dstat.sh[81541]: 06-06 11:10:53| 24  11  65   1   0|1086M 1380M  195M 5089M| 997k   29k|   0  7167k|   0  58.0 |2853  3236 |1.24 0.78 0.60|2.0   0 198|   0     0 |   0     0 |  9   10    0   10    2
Jun 06 11:10:54 ubuntu dstat.sh[81541]: 06-06 11:10:54| 24   5  71   1   0|1129M 1335M  195M 5090M| 727k   18k|  20k   29M|2.00   159 |1928  1338 |1.24 0.78 0.60|1.0   0 2.0|   0     0 |   0     0 |  9   10    0   10    2
Jun 06 11:10:55 ubuntu dstat.sh[81541]: 06-06 11:10:55| 25   4  69   1   0|1144M 1317M  195M 5093M| 794k   21k| 176k 1497k|12.0  15.0 |1893  1652 |1.24 0.78 0.60|2.0   0   0|   0     0 |   0     0 |  9   10    0   10    2
Jun 06 11:10:56 ubuntu dstat.sh[81541]: 06-06 11:10:56| 27   1  71   1   1|1156M 1303M  195M 5095M| 935k   15k|   0   724k|   0  15.0 |1796  1285 |1.22 0.79 0.61|1.0   0 1.0|   0     0 |   0     0 |  9   10    0   10    2
Jun 06 11:10:57 ubuntu dstat.sh[81541]: 06-06 11:10:57| 25   6  52  17   0|1156M 1301M  196M 5097M| 696k   40k|  12k   13M|1.00   741 |5958  9078 |1.22 0.79 0.61|2.0 1.0  11|   0     0 |   0     0 |  9   10    0   10    2
Jun 06 11:10:58 ubuntu dstat.sh[81541]: 06-06 11:10:58| 69   8   4  18   0|1175M 1277M  196M 5101M| 109k   13k|   0  7320k|   0   519 |5206  8225 |1.22 0.79 0.61|3.0 1.0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Jun 06 11:10:59 ubuntu dstat.sh[81541]: 06-06 11:10:59| 52   7  25  15   0|1182M 1268M  196M 5102M|  48k 9447 |   0  4690k|   0   469 |4974  8001 |1.22 0.79 0.61|4.0   0  25|   0     0 |   0     0 |  9    9    0   10    2
Jun 06 11:11:00 ubuntu dstat.sh[81541]: 06-06 11:11:00| 16   4  58  21   0|1184M 1261M  197M 5107M| 952k   33k|   0  9193k|   0   687 |6565    10k|1.22 0.79 0.61|3.0 1.0  18|   0     0 |   0     0 |  9   12    0   10    2
Jun 06 11:11:01 ubuntu dstat.sh[81541]: 06-06 11:11:01| 35   5  43  17   0|1207M 1232M  197M 5112M|  44k   16k|   0  7558k|   0   599 |5499  8916 |1.28 0.81 0.62|1.0 1.0  15|   0     0 |   0     0 |  9   12    1   10    2
Jun 06 11:11:02 ubuntu dstat.sh[81541]: 06-06 11:11:02| 25   5  48  20   0|1129M 1308M  198M 5114M| 114k   30k|   0  6109k|   0   555 |5278  8799 |1.28 0.81 0.62|  0 1.0  12|   0     0 |   0     0 |  9   12    0   10    2
Jun 06 11:11:03 ubuntu dstat.sh[81541]: 06-06 11:11:03| 24   4  66   6   0|1132M 1302M  198M 5115M|1108k  173k|   0  3916k|   0   352 |5649  9083 |1.28 0.81 0.62|2.0   0 4.0|   0     0 |   0     0 |  9   12    0   10    2
Jun 06 11:11:04 ubuntu dstat.sh[81541]: 06-06 11:11:04| 23   6  71   0   0|1055M 1379M  198M 5116M| 163k 7883 |   0  4532k|   0  38.0 |1663  1991 |1.28 0.81 0.62|2.0   0  76|   0     0 |   0     0 |  9    8    0   10    2
Jun 06 11:11:05 ubuntu dstat.sh[81541]: 06-06 11:11:05| 26   3  70   0   0|1116M 1318M  198M 5116M| 296k   12k|   0   620k|   0  25.0 |1318  1118 |1.28 0.81 0.62|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Jun 06 11:11:06 ubuntu dstat.sh[81541]: 06-06 11:11:06| 41   3  55   2   0|1102M 1330M  198M 5118M|1053k   41k|   0  8807k|   0   404 |3636  3158 |1.26 0.81 0.62|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Jun 06 11:11:07 ubuntu dstat.sh[81541]: 06-06 11:11:07| 50   7  42   2   0|1072M 1359M  198M 5119M| 150k 5132 |   0  7448k|   0   402 |2514  2776 |1.26 0.81 0.62|3.0   0  14|   0     0 |   0     0 |  9    6    0   10    2
Jun 06 11:11:08 ubuntu dstat.sh[81541]: 06-06 11:11:08| 61   6  33   1   0|1138M 1293M  198M 5119M|  26k 1855 |   0  7214k|   0   419 |2549  2782 |1.26 0.81 0.62|2.0   0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Jun 06 11:11:09 ubuntu dstat.sh[81541]: 06-06 11:11:09| 34   3  61   1   0|1031M 1400M  198M 5119M| 115k 4041 |   0    11M|   0   409 |2513  3023 |1.26 0.81 0.62|1.0   0  20|   0     0 |   0     0 |  9    7    0   10    2
Jun 06 11:11:10 ubuntu dstat.sh[81541]: 06-06 11:11:10| 33  21  45   0   0|1009M 1421M  198M 5119M|  81k 3303 |   0  2316k|   0   115 |3397  5328 |1.26 0.81 0.62|3.0   0 414|   0     0 |   0     0 |  9    6    0   10    3
Jun 06 11:11:11 ubuntu dstat.sh[81541]: 06-06 11:11:11| 41  15  43   0   0| 987M 1443M  198M 5120M|  30k 1675 |   0   416k|   0  15.0 |4626  8643 |1.32 0.83 0.63|3.0   0 229|   0     0 |   0     0 |  9    6    0   10    2
