-- Logs begin at Thu 2022-07-28 17:49:56 UTC, end at Thu 2022-07-28 18:52:56 UTC. --
Jul 28 18:40:18 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 28 18:40:18 ubuntu dstat.sh[98218]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 28 18:40:18 ubuntu dstat.sh[98218]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 28 18:40:18 ubuntu dstat.sh[98218]: 28-07 18:40:18|                   | 859M 1518M  186M 5060M|           |           |           |           |1.39 1.18 0.78|3.0   0    |           |   0     0 |  8    4    1   10    2
Jul 28 18:40:19 ubuntu dstat.sh[98218]: 28-07 18:40:19| 11  19  68   0   0| 860M 1516M  186M 5060M| 109k 7801 |   0   554k|   0  19.9 |2674  3883 |1.38 1.18 0.78|2.0   0 347|   0     0 |   0     0 |  8    4    0   10    2
Jul 28 18:40:20 ubuntu dstat.sh[98218]: 28-07 18:40:20| 33  20  46   1   0| 804M 1570M  186M 5062M| 929k   27k|   0  1415k|   0  18.5 |3605  6536 |1.36 1.18 0.78|3.0   0 304|   0     0 |   0     0 |  8    4    0   10    3
Jul 28 18:40:21 ubuntu dstat.sh[98218]: 28-07 18:40:21| 26  18  55   0   0| 787M 1587M  186M 5063M| 414k   16k|   0   292k|   0  7.00 |3909  7480 |1.36 1.18 0.78|1.0   0 202|   0     0 |   0     0 |  8    4    0   11    2
Jul 28 18:40:22 ubuntu dstat.sh[98218]: 28-07 18:40:22| 21  13  64   0   0| 931M 1442M  186M 5185M| 238k   11k|   0  1019k|   0  13.0 |3303  7548 |1.36 1.18 0.78|3.0   0 145|   0     0 |   0     0 |  9    6    0   10    2
Jul 28 18:40:23 ubuntu dstat.sh[98218]: 28-07 18:40:23| 19   9  69   1   0| 930M 1442M  186M 5186M|  96k 7728 |   0    38M|   0   172 |1869  2168 |1.36 1.18 0.78|1.0   0 117|   0     0 |   0     0 |  9    6    0   10    2
Jul 28 18:40:24 ubuntu dstat.sh[98218]: 28-07 18:40:24| 23   9  67   1   0| 968M 1404M  186M 5186M|  89k   17k|   0  1044k|   0  36.0 |1854  2575 |1.33 1.17 0.78|2.0   0  92|   0     0 |   0     0 |  9    6    0   12    2
Jul 28 18:40:25 ubuntu dstat.sh[98218]: 28-07 18:40:25| 45   5  49   0   0|1017M 1352M  186M 5189M|  16k 1619 |  44k  959k|5.99  7.99 |1333  1523 |1.33 1.17 0.78|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 28 18:40:26 ubuntu dstat.sh[98218]: 28-07 18:40:26| 34   1  63   0   0|1003M 1365M  186M 5189M|  95k 5753 |   0  1060k|   0  15.0 |1146  1330 |1.33 1.17 0.78|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 28 18:40:27 ubuntu dstat.sh[98218]: 28-07 18:40:27| 12   4  65  18   0|1022M 1344M  186M 5191M| 248k   36k|   0  8362k|   0   629 |5358  9039 |1.33 1.17 0.78|  0 1.0  12|   0     0 |   0     0 |  9    8    0   10    2
Jul 28 18:40:28 ubuntu dstat.sh[98218]: 28-07 18:40:28|  6   3  66  21   0|1024M 1340M  186M 5193M|  64k   19k|   0    16M|   0   777 |5862    10k|1.33 1.17 0.78|  0 2.0   0|   0     0 |   0     0 |  9    8    0   10    2
Jul 28 18:40:29 ubuntu dstat.sh[98218]: 28-07 18:40:29| 15   6  60  20   0|1044M 1312M  187M 5200M| 895k   37k|   0  8392k|   0   628 |6018    10k|1.54 1.22 0.80|3.0   0  21|   0     0 |   0     0 |  9   10    0   10    2
