"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Jun 2022 03:36:11 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-06 03:36:11,,931096,1620000,188728,5077572,,,,,,,1.620,0.750,0.350,3,0,,,,8,7,0,10,2
17-06 03:36:12,13.735,18.230,66.926,0,0,933924,1617028,188728,5077648,47072.608,5023.409,0,183.795,0,6.992,3008,5423,1.620,0.750,0.350,1,0,357.602,0,0,8,8,0,10,2
17-06 03:36:13,17.509,17.008,65.282,0,0.250,916176,1634432,188732,5077956,194207.744,6356.134,0,20.010,0,5.002,3247,5230,1.620,0.750,0.350,1,0,216.107,0,0,8,8,0,10,2
17-06 03:36:14,21.261,14.257,62.532,0.250,0.250,917600,1630220,188736,5080620,1341570.201,29751.173,0,496.253,0,5.003,4262,7647,1.570,0.750,0.360,4,0,127.065,0,0,8,8,0,9,2
17-06 03:36:15,13.493,10.994,73.959,0.500,0.250,1016392,1527360,188756,5209196,1897758.029,32219.344,0,2754.491,0,13.992,3541,3672,1.570,0.750,0.360,1,0,114.937,0,0,9,8,0,9,2
17-06 03:36:16,42.016,9.003,48.268,0.750,0,994052,1548504,188760,5210356,442673.216,13685.200,0,11160.241,0,51.019,1779,1541,1.570,0.750,0.360,2,0,50.019,0,0,9,6,0,8,2
17-06 03:36:17,39.521,13.007,46.025,1.251,0,1044628,1496856,188784,5211376,132064.711,16188.791,20.011,832.452,2.001,33.018,2116,2735,1.570,0.750,0.360,2,0,170.092,0,0,9,6,0,10,2
17-06 03:36:18,30.205,5.242,60.410,2.746,0.250,1061912,1478404,188812,5212428,21815.517,4258.659,175.738,1941.110,11.982,15.976,1337,1443,1.570,0.750,0.360,2,0,0.999,0,0,9,7,0,10,2
17-06 03:36:19,26.765,1.751,70.288,0.250,0,1079728,1460228,188828,5212736,48231.286,6773.692,0,1152.628,0,19.010,948,1055,1.520,0.760,0.360,2,0,0,0,0,9,7,0,10,2
17-06 03:36:20,26.967,3.246,61.424,7.990,0,1103332,1435452,188980,5213644,41110.106,27245.270,11.985,4150.861,0.999,321.602,3451,5558,1.520,0.760,0.360,0,2,6.991,0,0,9,10,0,10,2
17-06 03:36:21,7.000,4.000,65.751,21.250,0.500,1107288,1429208,189332,5215584,182259.552,17997.252,0,36480.511,0,737.010,5143,8877,1.520,0.760,0.360,0,2,4.000,0,0,9,10,0,10,2
17-06 03:36:22,12.008,2.502,64.044,19.764,0.250,1111376,1423120,189764,5217084,153697.666,15384.677,0,14337.951,0,968.672,5503,9016,1.520,0.760,0.360,6,1,15.010,0,0,9,10,0,10,2
17-06 03:36:23,10.482,3.993,65.137,19.466,0,1113548,1416424,190220,5221016,786176.556,37562.903,0,7854.388,0,647.877,5842,9413,1.520,0.760,0.360,8,1,16.971,0,0,9,12,0,10,2
17-06 03:36:24,15.271,4.756,62.835,16.022,0.250,1062552,1462832,190548,5225088,1438853.524,29535.079,0,7842.642,0,599.814,5930,8820,1.400,0.750,0.360,1,0,17.023,0,0,9,10,0,10,2
17-06 03:36:25,14.760,3.002,62.791,18.262,0.250,1065216,1457380,190864,5227428,469795.125,20178.277,0,6608.348,0,635.418,5388,9155,1.400,0.750,0.360,0,1,4.003,0,0,9,10,0,10,2
17-06 03:36:26,19.501,3.500,66.255,8.501,0,1068820,1452688,191048,5228296,346946.939,124906.619,0,4432.306,0,450.031,5441,9569,1.400,0.750,0.360,2,0,12.001,0,0,9,10,0,10,2
17-06 03:36:27,24.495,5.249,68.236,1.000,0.250,983772,1537456,191092,5228488,107898.420,60819.836,0,5282.943,0,138.972,2553,4277,1.400,0.750,0.360,1,0,75.985,0,0,9,6,0,10,2
17-06 03:36:28,26.748,2.750,69.994,0.500,0.250,1038120,1482464,191120,5229052,345261.689,6777.444,0,1027.916,0,25.998,1289,1048,1.400,0.750,0.360,1,0,1.000,0,0,9,6,0,10,2
17-06 03:36:29,37.470,4.247,56.954,1.249,0,1077240,1440716,191224,5231300,87075.904,3539.151,0,8085.491,0,416.665,2202,2724,1.450,0.770,0.370,2,0,3.997,0,0,9,6,0,10,2
17-06 03:36:30,42.538,1.752,53.798,1.001,0,990068,1527632,191300,5231460,63003.577,2294.060,0,7430.673,0,388.349,2287,2779,1.450,0.770,0.370,1,0,11.010,0,0,9,6,0,10,2
17-06 03:36:31,25.782,4.005,68.834,1.252,0,1055576,1461828,191400,5231612,84928.783,7295.916,0,7737.455,0,428.524,2083,2817,1.450,0.770,0.370,1,0,0,0,0,9,6,0,10,2
17-06 03:36:32,30.723,1.499,65.941,0.999,0.250,1062988,1447816,191708,5237068,873086.461,11251.941,0,9151.818,0,380.660,2471,2913,1.450,0.770,0.370,2,0,0.999,0,0,9,6,0,10,2
17-06 03:36:33,36.295,16.521,46.558,0.501,0.250,990528,1519968,191768,5237256,14662.196,1622.013,0,3356.165,0,167.208,2664,4526,1.450,0.770,0.370,2,0,314.390,0,0,9,6,0,10,2
17-06 03:36:34,25.450,19.213,53.147,0,0,975416,1534720,191788,5237796,64444.655,4787.688,0,818.408,0,24.951,3146,5396,1.490,0.790,0.380,1,0,340.338,0,0,9,6,0,10,2
17-06 03:36:35,34.068,15.281,48.597,1.754,0.251,1030660,1477064,191888,5240132,928362.654,11258.528,196.393,7070.147,3.006,259.519,4685,7980,1.490,0.790,0.380,3,0,171.343,0,0,9,6,0,10,2
17-06 03:36:36,48.137,5.238,45.394,0.249,0,1136616,1370792,191932,5240280,32090.747,4348.802,147.654,367.139,4.988,5.986,1353,1477,1.490,0.790,0.380,3,0,21.949,0,0,9,7,0,10,2
17-06 03:36:37,49.498,5.000,44.498,0.500,0.250,1172524,1333608,192008,5241240,63680.134,5386.758,351.984,9467.574,4.000,170.992,1516,1114,1.490,0.790,0.380,4,0,0,0,0,9,7,0,10,2
17-06 03:36:38,56.517,2.001,40.512,0.500,0,1194776,1309924,192072,5242408,166967.092,6770.072,0,732.224,0,6.002,1416,2482,1.490,0.790,0.380,3,0,1.000,0,0,9,7,0,10,2
17-06 03:36:39,35.241,11.747,52.736,0.500,0,1249996,1252556,192216,5244004,140442.906,5752.522,0,1107.715,0,29.992,2889,6337,1.530,0.810,0.390,2,0,141.964,0,0,9,6,0,11,2
17-06 03:36:40,47.613,2.757,49.367,0,0,1310464,1192076,192220,5244012,23254.066,1623.845,0,0,0,0,1108,1046,1.530,0.810,0.390,2,0,1.002,0,0,9,6,0,10,2
17-06 03:36:41,31.172,1.496,66.833,0.249,0.249,1305732,1196336,192232,5244432,11448.333,3874.299,0,546.631,0,6.983,895,1014,1.530,0.810,0.390,2,0,0,0,0,9,6,0,10,2
17-06 03:36:42,45.111,4.762,48.870,1.253,0,1240948,1260540,192364,5244812,81591.982,67937.515,0,9703.784,0,321.789,3439,5582,1.530,0.810,0.390,2,0,47.115,0,0,9,6,0,10,2
17-06 03:36:43,44.900,4.490,48.891,1.247,0,1233128,1267828,192416,5245200,14458.887,1616.410,195.566,3.991,11.973,0.998,1243,1218,1.530,0.810,0.390,3,0,1.996,0,0,9,6,0,10,2
17-06 03:36:44,43.740,3.749,48.738,4.249,0,1277748,1220020,192532,5247776,101667.701,86132.414,159.962,1195.714,35.991,11.997,1787,2504,1.570,0.830,0.390,4,0,2.999,0,0,9,27,0,9,2
17-06 03:36:45,45.614,5.514,48.622,0,0.501,1259976,1234660,192672,5250288,51738.865,38101.635,0,28.070,0,4.010,1534,2540,1.570,0.830,0.390,6,0,46.116,0,0,9,30,0,9,2
17-06 03:36:46,43.749,6.750,48.999,0,0.250,1227220,1269192,192688,5248580,69485.958,60507.092,0,0,0,0,1540,2060,1.570,0.830,0.390,3,0,28.000,0,0,9,30,0,9,2
17-06 03:36:47,61.999,12.000,25.749,0,0,1283532,1212828,192708,5248608,10440.770,1723.962,0,4647.898,0,22.000,1714,2134,1.570,0.830,0.390,3,0,170.996,0,0,9,30,0,9,2
17-06 03:36:48,63.225,10.496,24.490,1.000,0,1337848,1135460,193184,5269032,500727.715,482781.750,0,3846.492,0,109.957,3587,7684,1.570,0.830,0.390,4,0,1.999,0,0,9,36,0,9,2
17-06 03:36:49,72.032,18.008,9.754,0.500,0,1316024,1142896,194316,5280036,296234.602,291182.323,0,3677.659,0,125.056,3269,6960,1.850,0.900,0.420,8,0,317.143,0,0,9,34,0,11,2
17-06 03:36:50,83.251,15.750,0,0.250,0.250,1424800,1010096,194892,5301564,66466.731,50039.550,0,2792.031,0,64.001,2108,2788,1.850,0.900,0.420,8,0,147.002,0,0,9,34,0,11,2
17-06 03:36:51,83.215,15.244,0.750,0.250,0,1464848,963072,195436,5306816,736100.366,725497.840,0,3554.500,0,147.938,5262,10365,1.850,0.900,0.420,10,0,97.959,0,0,9,36,1,12,2
17-06 03:36:52,74.269,11.253,12.503,1.250,0.250,1380400,1047452,195448,5306864,906870.880,297257.990,0,13207.421,0,514.133,3967,6382,1.850,0.900,0.420,4,0,172.045,0,0,9,37,0,12,2
17-06 03:36:53,60.709,10.993,26.982,0.250,0,1262360,1185248,195476,5288088,371649.738,324481.247,0,1734.841,0,60.959,3922,6799,1.850,0.900,0.420,4,0,110.926,0,0,9,33,0,12,0
17-06 03:36:54,61.456,14.490,23.234,0.250,0.250,1281376,1166000,195512,5288272,516855.067,499591.289,0,1486.947,0,40.971,6804,17920,1.940,0.930,0.430,3,0,113.919,0,0,9,32,0,14,0
17-06 03:36:55,45.457,6.494,47.455,0,0.250,1269856,1177500,195516,5288284,14823.977,1618.469,0,419.603,0,7.992,4740,8924,1.940,0.930,0.430,2,0,70.933,0,0,9,32,0,13,0
17-06 03:36:56,42.313,10.265,46.820,0,0,1225704,1221572,195548,5288332,229085.712,200373.759,0,580.869,0,35.052,2684,4814,1.940,0.930,0.430,6,0,143.214,0,0,9,32,0,13,0
17-06 03:36:57,34.281,21.770,42.038,0.500,0,1220352,1226812,195556,5288436,14290.004,1567.426,0,2734.488,0,25.023,2717,4250,1.940,0.930,0.430,4,0,528.481,0,0,9,32,0,13,0
17-06 03:36:58,77.762,20.503,1.750,0,0,1352772,1094352,195564,5288468,14041.219,1620.256,0,524.083,0,21.003,7160,21253,1.940,0.930,0.430,6,0,418.066,0,0,9,32,0,13,0
17-06 03:36:59,87.988,11.498,0.250,0,0.250,1470944,975924,195588,5288676,678993.336,669611.602,0,1839.752,0,86.988,4500,8509,2.350,1.030,0.470,5,0,102.986,0,0,9,35,0,13,0
17-06 03:37:00,87.308,11.974,0.249,0,0,1406212,1040304,195612,5288996,1087861.880,1076315.259,0,1173.421,0,30.932,4265,10297,2.350,1.030,0.470,8,0,38.914,0,0,9,34,0,13,0
17-06 03:37:01,86.694,12.528,0.752,0,0,1389192,1057200,195632,5289096,726362.505,719716.605,0,1154.589,0,45.101,5039,10831,2.350,1.030,0.470,7,0,67.151,0,0,9,32,0,13,0
17-06 03:37:02,82.693,15.194,1.494,0,0.498,1361516,1084604,195656,5289320,917346.142,902474.405,0,3435.235,0,88.671,6866,12719,2.350,1.030,0.470,10,1,224.167,0,0,9,34,0,13,0
17-06 03:37:03,87.827,12.045,0.753,0,0,1391168,1054728,195684,5289512,588484.103,578524.002,0,1445.384,0,62.232,4057,8783,2.350,1.030,0.470,8,0,138.516,0,0,9,33,0,13,0
17-06 03:37:04,85.749,13.750,0.250,0,0,1440912,1004736,195716,5289704,641408.020,631094.165,0,1563.978,0,39.999,5633,9954,2.800,1.150,0.510,9,0,48.999,0,0,9,33,0,13,0
17-06 03:37:05,83.007,13.959,1.745,0,0.499,1390764,1054640,195756,5289904,1091897.831,1080848.196,0,1607.292,0,53.842,6460,15416,2.800,1.150,0.510,7,0,132.612,0,0,9,35,0,13,0
17-06 03:37:06,87.755,11.283,1.254,0,0,1371296,1073052,195780,5290904,1223168.644,1203948.695,0,1279.725,0,38.111,5919,14647,2.800,1.150,0.510,8,0,89.260,0,0,9,34,0,13,0
17-06 03:37:07,57.904,12.230,26.955,0.250,0,1164172,1279808,195800,5291248,952101.464,926291.283,0,938.443,0,62.896,5220,14338,2.800,1.150,0.510,4,0,269.553,0,0,9,32,0,13,0
17-06 03:37:08,72.869,19.532,7.512,0,0,1312412,1131460,195808,5291304,16200.504,1568.566,0,865.416,0,41.067,2217,3372,2.800,1.150,0.510,5,0,377.618,0,0,9,32,0,13,0
17-06 03:37:09,70.005,8.751,20.752,0,0.250,1389644,1053984,195836,5291512,981503.557,973245.913,0,668.052,0,40.003,4088,12665,2.810,1.180,0.520,3,0,0,0,0,9,36,0,18,0
17-06 03:37:10,61.993,13.748,22.997,0.250,0,1262032,1181332,195892,5291720,934552.199,923962.364,0,707.922,0,55.994,5290,14712,2.810,1.180,0.520,5,0,318.965,0,0,9,32,0,20,0
17-06 03:37:11,90.266,9.002,0.750,0,0,1370592,1072760,195900,5291724,160084.495,55290.842,0,436.078,0,8.001,1918,2059,2.810,1.180,0.520,5,0,21.004,0,0,9,33,0,20,0
17-06 03:37:12,73.678,12.695,12.446,0,0.249,1374980,1068048,195948,5291976,1321119.634,1309409.736,0,1178.855,0,79.652,5318,18129,2.810,1.180,0.520,7,0,228.005,0,0,9,34,0,21,0
17-06 03:37:13,85.109,13.808,1.004,0,0,1361648,1081184,195964,5292156,311939.826,302305.216,0,4016.931,0,143.605,3403,6099,2.810,1.180,0.520,5,0,121.512,0,0,9,33,0,21,0
17-06 03:37:14,81.998,14.750,1.500,0.250,0,1326812,1115768,195988,5292372,1071552.140,1065695.292,0,1803.953,0,58.998,5505,13796,3.310,1.310,0.570,6,0,81.998,0,0,9,34,0,21,0
17-06 03:37:15,85.241,12.999,1.750,0,0.500,1368672,1073656,196016,5292592,1118869.281,1107416.506,0,1011.892,0,43.995,4416,13824,3.310,1.310,0.570,8,0,165.982,0,0,9,33,0,23,0
17-06 03:37:16,82.867,14.976,1.498,0,0,1369972,1072136,196036,5292776,574034.397,564522.635,0,1058.305,0,38.938,3353,7824,3.310,1.310,0.570,3,0,175.718,0,0,9,35,0,24,0
17-06 03:37:17,75.867,14.522,8.764,0,0,1298232,1143584,196080,5293016,842228.770,832173.204,0,1241.922,0,75.116,5816,12242,3.310,1.310,0.570,8,0,282.437,0,0,9,33,0,24,0
17-06 03:37:18,84.271,13.753,1.500,0,0,1366032,1075700,196096,5293068,771443.318,657714.113,0,4373.085,0,48.012,4907,9087,3.310,1.310,0.570,7,0,65.016,0,0,9,34,0,24,0
17-06 03:37:19,73.750,12.750,12.750,0,0,1214840,1226612,196156,5293292,1016995.932,1010175.959,0,835.997,0,68.000,4491,12912,3.290,1.340,0.580,5,0,189.999,0,0,9,32,0,25,0
17-06 03:37:20,66.983,8.998,23.744,0,0.250,1326592,1114660,196172,5293456,375657.832,355915.886,0,987.747,0,26.993,3265,5556,3.290,1.340,0.580,4,0,1.999,0,0,9,32,0,28,0
17-06 03:37:21,48.239,16.246,34.742,0.250,0,1189168,1251856,196188,5293664,549937.264,534902.647,0,743.833,0,68.984,3896,10000,3.290,1.340,0.580,4,0,356.920,0,0,9,32,0,28,0
17-06 03:37:22,84.545,15.258,0,0,0.250,1372036,1068960,196192,5293688,7463.948,1620.857,0,568.301,0,20.011,1765,2671,3.290,1.340,0.580,6,0,232.123,0,0,9,32,0,28,0
17-06 03:37:23,85.766,13.713,0.249,0,0.249,1470548,970160,196216,5293928,1353013.919,1330430.594,0,64735.208,0,427.832,5035,13875,3.290,1.340,0.580,6,0,163.553,0,0,9,35,0,28,0
17-06 03:37:24,82.930,12.739,3.497,0,0.250,1332724,1107712,196236,5294176,1148207.358,1127339.907,0,1306.901,0,41.965,6248,15421,3.580,1.430,0.620,9,0,256.784,0,0,9,34,0,28,0
17-06 03:37:25,84.737,13.788,1.504,0,0,1397736,1042460,196256,5294392,773681.118,764772.244,0,1227.427,0,31.087,4748,10280,3.580,1.430,0.620,8,0,151.423,0,0,9,34,0,28,0
17-06 03:37:26,82.819,15.263,2.502,0.250,0,1310692,1129100,196280,5294744,1007009.867,996588.144,0,1665.394,0,69.058,6792,13212,3.580,1.430,0.620,8,0,219.183,0,0,9,34,0,28,0
17-06 03:37:27,82.733,14.997,1.500,0,0,1334892,1104696,196300,5294920,744475.383,730484.251,0,1767.638,0,69.986,5339,11828,3.580,1.430,0.620,8,0,204.958,0,0,9,33,0,28,0
17-06 03:37:28,85.495,12.249,1.750,0,0,1392884,1046312,196320,5295288,925102.269,912827.969,0,1871.893,0,67.996,5876,13184,3.580,1.430,0.620,8,0,173.990,0,0,9,34,0,29,0
17-06 03:37:29,76.479,16.995,6.248,0,0,1326024,1112880,196336,5295544,1361562.570,1350489.615,0,1591.562,0,56.984,6686,17051,3.860,1.520,0.650,7,0,345.905,0,0,9,34,0,29,0
17-06 03:37:30,42.655,20.454,33.924,0,0.499,1212496,1226172,196344,5295772,824811.073,811298.314,0,814.178,0,38.913,5438,13062,3.860,1.520,0.650,1,0,460.968,0,0,9,33,0,29,0
17-06 03:37:31,13.767,18.273,67.083,0,0,1157088,1281532,196348,5295800,30417.809,22797.337,0,328.408,0,16.020,2300,3621,3.860,1.520,0.650,3,0,338.421,0,0,9,32,0,29,0
17-06 03:37:32,62.078,27.284,10.513,0,0.250,1287200,1151364,196348,5295856,8383.505,1567.965,0,356.447,0,24.030,2231,4947,3.860,1.520,0.650,8,0,665.834,0,0,9,32,0,29,0
17-06 03:37:33,82.759,16.252,1.500,0,0,1358052,1080268,196372,5296068,768005.785,754009.203,0,2624.297,0,116.013,4694,10644,3.860,1.520,0.650,9,0,223.025,0,0,9,33,0,29,0
17-06 03:37:34,80.497,16.999,2.000,0.250,0,1321868,1116208,196432,5296240,535386.049,492246.818,27.999,1379.943,2.000,65.997,5014,10252,4.030,1.600,0.680,9,0,330.986,0,0,9,33,0,29,0
17-06 03:37:35,83.737,13.748,2.500,0.250,0.250,1395612,1042244,196444,5296440,808246.681,766464.366,0,1367.781,0,37.994,5226,11477,4.030,1.600,0.680,6,0,115.981,0,0,9,35,0,29,0
17-06 03:37:36,73.255,9.001,16.501,0.250,0,1455392,981888,196468,5296980,1547437.415,1434047.251,0,856.062,0,49.004,5560,18404,4.030,1.600,0.680,3,0,2.000,0,0,9,37,0,30,0
17-06 03:37:37,52.545,6.973,39.596,0,0.249,1401924,1034928,196500,5297364,1364173.544,1345187.495,0,533.920,0,48.810,7266,16801,4.030,1.600,0.680,5,0,17.930,0,0,9,36,0,31,0
17-06 03:37:38,80.522,11.003,8.002,0.250,0,1329900,1106704,196524,5297580,944545.972,931191.353,0,1216.330,0,56.015,4217,11699,4.030,1.600,0.680,8,1,109.030,0,0,9,33,0,32,0
17-06 03:37:39,86.293,12.793,0.753,0,0.251,1393112,1043296,196532,5297764,608916.837,595494.321,0,939.185,0,26.088,3267,8065,4.190,1.670,0.710,8,0,58.197,0,0,9,34,0,32,0
17-06 03:37:40,68.433,10.490,20.730,0.250,0,1449720,983744,196568,5300660,1235861.563,1225790.403,0,951.071,0,41.959,6032,16000,4.190,1.670,0.710,2,0,0,0,0,9,37,0,35,0
17-06 03:37:41,64.071,9.511,24.778,0,0,1430444,1002596,196576,5301064,1277582.950,1268488.828,0,712.793,0,60.067,6747,15247,4.190,1.670,0.710,5,0,51.057,0,0,9,36,0,35,0
17-06 03:37:42,72.747,13.499,13.749,0,0,1375756,1056852,196608,5301460,1383726.732,1376203.071,0,1147.948,0,75.997,7526,18944,4.190,1.670,0.710,5,0,100.995,0,0,9,35,0,37,0
17-06 03:37:43,85.268,10.752,2.501,0,0,1363260,1069068,196648,5301692,952794.993,940969.486,0,1440.305,0,49.010,4665,12698,4.190,1.670,0.710,7,0,70.015,0,0,9,34,0,37,0
17-06 03:37:44,84.751,11.000,4.000,0.250,0.250,1386284,1045620,196676,5302076,1824854.073,1153984.694,0,3712.041,0,63.001,7040,16101,4.250,1.730,0.730,5,0,29.000,0,0,9,35,0,35,0
17-06 03:37:45,72.487,9.998,16.497,0,0.250,1436580,994860,196716,5302488,1484564.294,1450621.438,0,887.839,0,47.991,6026,15384,4.250,1.730,0.730,4,0,106.981,0,0,9,36,0,36,0
17-06 03:37:46,71.757,13.751,12.501,0,0,1372740,1058284,196724,5302888,1328834.910,1315364.644,0,900.085,0,47.004,7156,17151,4.250,1.730,0.730,5,0,178.017,0,0,9,35,0,37,0
17-06 03:37:47,82.013,15.503,2.250,0,0.250,1341588,1089008,196744,5303280,1219665.586,1205916.358,0,1492.242,0,58.009,5672,16213,4.250,1.730,0.730,7,0,142.023,0,0,9,34,0,37,0
17-06 03:37:48,84.216,12.745,1.749,0,0,1340940,1089376,196756,5303536,764089.128,757539.742,0,1291.485,0,41.983,4410,9737,4.250,1.730,0.730,6,0,66.973,0,0,9,32,0,37,0
17-06 03:37:49,83.516,14.503,1.250,0,0.250,1411376,1018604,196780,5303852,874562.292,860676.668,0,1620.306,0,39.007,5440,11456,4.390,1.800,0.760,8,0,110.021,0,0,9,33,0,37,0
17-06 03:37:50,82.966,11.745,3.998,0,0,1330976,1098564,196800,5304268,1126252.868,1120347.259,0,1407.430,0,64.974,5976,16436,4.390,1.800,0.760,6,0,110.955,0,0,9,34,0,35,0
17-06 03:37:51,84.272,12.003,3.001,0,0,1310628,1118384,196816,5304760,1236282.615,1217406.613,0,1504.399,0,72.019,5216,18723,4.390,1.800,0.760,7,0,193.051,0,0,9,33,0,35,0
17-06 03:37:52,85.515,12.502,2.000,0,0.250,1371368,1057420,196824,5304972,813324.145,775305.454,0,1168.206,0,35.006,4391,11163,4.390,1.800,0.760,6,0,64.011,0,0,9,33,0,35,0
17-06 03:37:53,87.252,10.250,2.500,0,0,1429348,999184,196836,5305228,1223328.467,1197375.948,0,1260.025,0,39.001,4969,14710,4.390,1.800,0.760,7,0,46.001,0,0,9,35,0,35,0
17-06 03:37:54,74.377,11.231,12.729,0,0.250,1431008,997112,196852,5305596,1285642.832,1260308.710,0,10714.289,0,344.431,7478,26077,4.280,1.820,0.770,3,0,78.870,0,0,9,36,0,38,0
