-- Logs begin at Sat 2022-10-15 12:57:45 UTC, end at Mon 2022-10-17 03:53:40 UTC. --
Oct 17 03:14:51 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 17 03:14:51 ubuntu dstat.sh[82275]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 17 03:14:51 ubuntu dstat.sh[82275]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 17 03:14:51 ubuntu dstat.sh[82275]: 17-10 03:14:51|                   | 906M 1528M  192M 5000M|           |           |           |           |1.33 0.81 0.56|2.0   0    |           |   0     0 |  8    5    0   10    2
Oct 17 03:14:52 ubuntu dstat.sh[82275]: 17-10 03:14:52| 13  19  65   1   0| 907M 1526M  192M 5000M| 164k 8193 |   0   919k|   0  24.0 |2613  4066 |1.33 0.81 0.56|2.0   0 348|   0     0 |   0     0 |  8    5    0   10    2
Oct 17 03:14:53 ubuntu dstat.sh[82275]: 17-10 03:14:53| 21  20  57   1   0| 893M 1539M  192M 5001M|  41k 5810 |   0   448k|   0  19.0 |2942  4560 |1.33 0.81 0.56|4.0   0 297|   0     0 |   0     0 |  8    6    0   10    2
Oct 17 03:14:54 ubuntu dstat.sh[82275]: 17-10 03:14:54| 19  18  62   0   0| 897M 1535M  192M 5001M|  62k 7471 |   0   496k|   0  16.0 |3574  7604 |1.33 0.81 0.56|4.0   0 201|   0     0 |   0     0 |  8    6    0   10    2
Oct 17 03:14:55 ubuntu dstat.sh[82275]: 17-10 03:14:55| 13  10  76   1   0|1038M 1393M  192M 5123M| 232k 9844 |   0   456k|   0  9.01 |2558  5169 |1.33 0.81 0.56|2.0   0 106|   0     0 |   0     0 |  9    8    0   10    2
Oct 17 03:14:56 ubuntu dstat.sh[82275]: 17-10 03:14:56| 25   9  66   1   0|1039M 1390M  192M 5125M| 604k   13k|   0   340k|   0  15.0 |1975  2187 |1.30 0.82 0.56|1.0   0 114|   0     0 |   0     0 |  9    8    0    8    2
Oct 17 03:14:57 ubuntu dstat.sh[82275]: 17-10 03:14:57| 27  11  62   1   0|1047M 1382M  192M 5126M| 599k   23k|   0  2469k|   0  42.0 |2192  2647 |1.30 0.82 0.56|2.0   0 103|   0     0 |   0     0 |  9    6    0   10    2
Oct 17 03:14:58 ubuntu dstat.sh[82275]: 17-10 03:14:58| 46   6  46   2   0|1110M 1317M  192M 5128M| 164k 7726 | 196k 1562k|14.0  17.0 |1718  1573 |1.30 0.82 0.56|3.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 17 03:14:59 ubuntu dstat.sh[82275]: 17-10 03:14:59| 40   5  53   0   0|1112M 1314M  192M 5128M| 232k   10k|  12k 4048k|1.00  25.0 |1535  1487 |1.30 0.82 0.56|3.0   0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Oct 17 03:15:00 ubuntu dstat.sh[82275]: 17-10 03:15:00| 12   5  62  20   0|1127M 1297M  193M 5130M| 503k   29k|   0    17M|   0   868 |5748    10k|1.30 0.82 0.56|  0 1.0  10|   0     0 |   0     0 |  9    9    0   10    2
Oct 17 03:15:01 ubuntu dstat.sh[82275]: 17-10 03:15:01| 13   4  60  22   1|1137M 1283M  193M 5134M|1049k   37k|   0  8149k|   0   628 |6440  9960 |1.52 0.87 0.58|3.0 1.0 4.0|   0     0 |   0     0 |  9   10    0   10    2
Oct 17 03:15:02 ubuntu dstat.sh[82275]: 17-10 03:15:02| 13   3  65  17   0|1140M 1276M  193M 5136M| 484k   19k|   0  6390k|   0   635 |5361  9482 |1.52 0.87 0.58|1.0 1.0  22|   0     0 |   0     0 |  9   10    0   10    2
