-- Logs begin at Thu 2022-11-17 23:05:23 UTC, end at Fri 2022-11-18 11:14:25 UTC. --
Nov 18 10:35:36 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 18 10:35:36 ubuntu dstat.sh[88714]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 18 10:35:36 ubuntu dstat.sh[88714]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 18 10:35:36 ubuntu dstat.sh[88714]: 18-11 10:35:36|                   | 785M 1614M  180M 5050M|           |           |           |           |0.92 0.59 0.36|2.0   0    |           |   0     0 |  8    2    0    9    1
Nov 18 10:35:37 ubuntu dstat.sh[88714]: 18-11 10:35:37| 30  23  45   1   0| 800M 1598M  180M 5050M|  11k 1577 |   0  1527k|   0  21.0 |2771  4707 |0.93 0.59 0.36|2.0   0 505|   0     0 |   0     0 |  8    2    0   10    0
Nov 18 10:35:38 ubuntu dstat.sh[88714]: 18-11 10:35:38| 37  19  42   0   0| 802M 1596M  180M 5050M|  11k 1619 |   0    24k|   0  13.5 |2954  5399 |0.93 0.60 0.36|2.0   0 402|   0     0 |   0     0 |  8    2    0   10    0
Nov 18 10:35:39 ubuntu dstat.sh[88714]: 18-11 10:35:39| 42  16  40   1   0| 809M 1589M  180M 5051M|  11k 1620 |   0   332k|   0  16.0 |3534  6922 |0.93 0.60 0.36|2.0   0 203|   0     0 |   0     0 |  8    2    0    8    0
Nov 18 10:35:40 ubuntu dstat.sh[88714]: 18-11 10:35:40| 26  18  55   0   0| 923M 1475M  180M 5173M|  12k 2380 |   0   196k|   0  3.00 |3060  4836 |0.93 0.60 0.36|2.0   0 232|   0     0 |   0     0 |  9    4    0    8    0
Nov 18 10:35:41 ubuntu dstat.sh[88714]: 18-11 10:35:41| 45  12  43   0   0| 976M 1417M  180M 5176M|9290  1566 |4096B   36k|1.00  9.00 |4082  7051 |0.93 0.60 0.36|8.0   0 131|   0     0 |   0     0 |  9    4    0    8    0
Nov 18 10:35:42 ubuntu dstat.sh[88714]: 18-11 10:35:42| 81  18   1   0   0|1068M 1294M  181M 5203M|8871  1620 | 128k 8192B|6.00  2.00 |3546  5702 |1.25 0.67 0.39|6.0   0  98|   0     0 |   0     0 |  9    4    0    8    0
Nov 18 10:35:43 ubuntu dstat.sh[88714]: 18-11 10:35:43| 84  14   1   1   0|1151M 1209M  182M 5205M|  34k   14k|  84k 3041k|15.0  32.0 |2050  2239 |1.25 0.67 0.39|4.0   0  52|   0     0 |   0     0 |  9    5    0   10    0
Nov 18 10:35:44 ubuntu dstat.sh[88714]: 18-11 10:35:44| 50   8  39   2   0|1197M 1161M  182M 5206M|  16k 4313 | 196k  707k|14.0  7.99 |1512  1680 |1.25 0.67 0.39|1.0   0  12|   0     0 |   0     0 |  9    8    0   10    0
Nov 18 10:35:45 ubuntu dstat.sh[88714]: 18-11 10:35:45| 26   2  72   1   0|1217M 1140M  182M 5206M|  38k 6813 |  12k 1177k|1.00  14.0 |1277  1227 |1.25 0.67 0.39|1.0   0   0|   0     0 |   0     0 |  9    8    1   10    0
Nov 18 10:35:46 ubuntu dstat.sh[88714]: 18-11 10:35:46| 14   3  66  16   0|1200M 1155M  182M 5208M| 150k   20k|   0  8444k|   0   665 |4935  8699 |1.25 0.67 0.39|1.0   0  10|   0     0 |   0     0 |  9   12    0   10    0
