"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","04 Jul 2022 09:32:49 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
04-07 09:32:49,,845456,1711384,190260,5067432,,,,,,,1.140,0.650,0.480,3,0,,,,8,4,1,10,2
04-07 09:32:50,33.578,21.207,43.424,0.757,0,865844,1687952,190268,5069932,939034.304,11331.722,0,3865.772,0,13.128,3186,5797,1.140,0.650,0.480,3,0,418.085,0,0,8,4,1,10,2
04-07 09:32:51,28.003,18.752,53.006,0,0,851820,1699916,190268,5071984,1108335.917,14880.637,0,28.003,0,7.001,4054,5809,1.140,0.650,0.480,4,0,312.034,0,0,8,5,1,10,2
04-07 09:32:52,21.210,15.470,60.385,0,0,999972,1549260,190272,5199084,894682.945,14707.937,0,2167.864,0,9.981,4918,9074,1.140,0.650,0.480,0,1,124.762,0,0,9,5,1,10,2
04-07 09:32:53,25.544,7.764,65.364,1.002,0.250,954136,1594708,190296,5199432,220952.236,8769.250,0,817.421,0,17.030,1657,1999,1.040,0.640,0.480,1,0,92.160,0,0,9,6,1,10,2
04-07 09:32:54,18.475,11.235,68.407,1.248,0.250,955968,1592592,190348,5199632,123379.204,17842.734,0,691.060,0,29.959,2177,3034,1.040,0.640,0.480,1,0,195.734,0,0,9,6,1,12,2
04-07 09:32:55,22.785,4.006,71.358,0.751,0.250,1002928,1544888,190372,5200336,185287.637,7031.688,52.079,1181.796,5.008,21.032,1143,1237,1.040,0.640,0.480,1,0,2.003,0,0,9,6,1,12,2
04-07 09:32:56,26.499,3.750,68.248,1.500,0,1013840,1532792,190404,5201388,141304.761,6222.813,143.996,11803.646,9.000,74.998,1337,1413,1.040,0.640,0.480,2,0,1.000,0,0,9,6,1,12,2
04-07 09:32:57,24.021,1.251,69.560,5.004,0,1035320,1509796,190480,5202616,150993.005,25617.056,12.010,1609.386,1.001,102.088,1995,3201,1.040,0.640,0.480,1,2,2.002,0,0,9,8,1,12,2
04-07 09:32:58,5.474,1.742,61.458,27.868,0.249,1038664,1505480,190680,5203336,24946.504,8154.267,0,7635.730,0,543.419,4271,7493,1.120,0.670,0.490,0,1,8.957,0,0,9,8,1,12,2
04-07 09:32:59,10.538,3.262,64.735,22.080,0,1040332,1502196,190936,5204660,45039.493,15072.714,0,5640.475,0,481.749,4424,7708,1.120,0.670,0.490,0,1,2.007,0,0,9,8,1,12,2
04-07 09:33:00,7.991,1.998,64.680,22.975,0,1046060,1494580,191140,5206308,39923.962,12445.584,0,5006.603,0,479.483,4642,7999,1.120,0.670,0.490,0,1,8.990,0,0,9,8,1,12,2
04-07 09:33:01,7.757,4.004,66.059,20.268,0,1049084,1489728,191364,5207888,155495.080,20393.109,0,14993.314,0,567.504,4745,8537,1.120,0.670,0.490,1,1,20.018,0,0,9,10,1,12,2
04-07 09:33:02,8.500,2.750,64.752,22.751,0,1050476,1484592,191840,5211060,487207.155,20035.541,0,6448.174,0,552.015,4791,8709,1.120,0.670,0.490,0,1,16.000,0,0,9,10,1,10,2
04-07 09:33:03,5.249,2.749,68.985,20.746,0.500,1053508,1478976,192152,5213272,503474.760,16885.403,0,6150.690,0,525.888,4773,8549,1.190,0.690,0.500,0,1,3.999,0,0,9,10,1,10,2
04-07 09:33:04,9.494,3.748,63.462,20.738,0.250,1056024,1474848,192452,5214536,105426.639,27862.255,0,6260.238,0,670.597,5781,10375,1.190,0.690,0.500,1,1,12.992,0,0,9,10,1,10,2
04-07 09:33:05,30.554,2.254,60.357,5.009,0.250,1060140,1469432,192580,5215668,784612.256,174226.601,0,2953.248,0,238.424,4852,7853,1.190,0.690,0.500,1,1,1.002,0,0,9,10,1,10,2
04-07 09:33:06,22.472,6.242,68.914,1.248,0,993992,1535220,192604,5215936,91707.366,8682.147,0,35251.935,0,190.762,1997,2242,1.190,0.690,0.500,1,0,76.904,0,0,9,6,1,10,2
04-07 09:33:07,25.736,3.498,69.211,0.999,0,1038856,1490168,192612,5216096,45759.512,5193.107,0,1379.232,0,29.983,1017,1044,1.190,0.690,0.500,1,0,0,0,0,9,6,1,10,2
04-07 09:33:08,39.059,2.754,54.332,3.505,0,1075336,1450916,192688,5218588,73806.522,3769.696,0,7923.973,0,389.589,2186,2690,1.180,0.690,0.500,2,0,4.006,0,0,9,6,1,10,2
