-- Logs begin at Tue 2022-07-05 20:52:48 UTC, end at Wed 2022-07-06 11:12:10 UTC. --
Jul 06 10:59:53 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 06 10:59:53 ubuntu dstat.sh[90467]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 06 10:59:53 ubuntu dstat.sh[90467]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 06 10:59:53 ubuntu dstat.sh[90467]: 06-07 10:59:53|                   | 857M 1626M  190M 4955M|           |           |           |           |1.08 0.47 0.20|3.0   0    |           |   0     0 |  8    5    0   10    1
Jul 06 10:59:54 ubuntu dstat.sh[90467]: 06-07 10:59:54| 13  19  66   0   0| 858M 1625M  190M 4955M|  68k 4601 |   0    12k|   0  3.02 |2426  3658 |1.08 0.47 0.20|2.5   0 367|   0     0 |   0     0 |  8    5    0   10    2
Jul 06 10:59:55 ubuntu dstat.sh[90467]: 06-07 10:59:55| 21  18  60   0   0| 842M 1640M  190M 4955M| 124k 7708 |   0   643k|   0  8.50 |2992  5123 |1.15 0.49 0.21|2.0   0 304|   0     0 |   0     0 |  8    5    0   10    2
Jul 06 10:59:56 ubuntu dstat.sh[90467]: 06-07 10:59:56| 21  17  61   1   0| 844M 1637M  190M 4957M| 349k   18k|   0    11M|   0  67.1 |3846  7314 |1.15 0.49 0.21|2.0   0 165|   0     0 |   0     0 |  8    6    0   10    2
Jul 06 10:59:57 ubuntu dstat.sh[90467]: 06-07 10:59:57| 20  12  67   0   0| 997M 1484M  190M 5079M| 200k 9370 |   0   308k|   0  4.00 |2980  4747 |1.15 0.49 0.21|4.0   0 119|   0     0 |   0     0 |  9    8    0   10    2
Jul 06 10:59:58 ubuntu dstat.sh[90467]: 06-07 10:59:58| 22   8  69   0   0| 993M 1487M  190M 5079M| 203k 8258 |   0    32k|   0  8.00 |1879  2289 |1.15 0.49 0.21|4.0   0 158|   0     0 |   0     0 |  9    8    0   10    2
Jul 06 10:59:59 ubuntu dstat.sh[90467]: 06-07 10:59:59| 20   7  72   0   0|1033M 1446M  190M 5081M| 984k   39k|  20k  691k|2.00  27.0 |2346  2219 |1.15 0.49 0.21|2.0   0  49|   0     0 |   0     0 |  9    8    0   12    2
Jul 06 11:00:00 ubuntu dstat.sh[90467]: 06-07 11:00:00| 39   7  52   2   0|1027M 1448M  190M 5084M| 855k   13k| 176k 2010k|12.0  8.01 |1969  1657 |1.22 0.52 0.22|4.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 06 11:00:01 ubuntu dstat.sh[90467]: 06-07 11:00:01| 49   4  48   0   0|1058M 1415M  190M 5086M|1586k   27k|  12k  644k|1.00  13.0 |2656  1796 |1.22 0.52 0.22|4.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 06 11:00:02 ubuntu dstat.sh[90467]: 06-07 11:00:02| 22   6  57  14   0|1079M 1389M  191M 5091M|1594k   63k|   0    13M|   0   772 |7178    10k|1.22 0.52 0.22|1.0 1.0  14|   0     0 |   0     0 |  9    9    0   10    2
Jul 06 11:00:03 ubuntu dstat.sh[90467]: 06-07 11:00:03| 10   5  64  19   0|1088M 1374M  191M 5096M|1945k   54k|   0    10M|   0   771 |7469    11k|1.22 0.52 0.22|  0 1.0 9.0|   0     0 |   0     0 |  9    9    0   10    2
Jul 06 11:00:04 ubuntu dstat.sh[90467]: 06-07 11:00:04| 23   4  52  20   0|1030M 1429M  191M 5099M| 211k   24k|   0  6300k|   0   593 |5462  9163 |1.22 0.52 0.22|1.0 2.0  26|   0     0 |   0     0 |  9   10    0   10    2
Jul 06 11:00:05 ubuntu dstat.sh[90467]: 06-07 11:00:05|  8   3  66  20   0|1031M 1425M  192M 5101M| 239k   21k|   0  7815k|   0   637 |5813  9702 |1.20 0.53 0.22|  0 2.0  15|   0     0 |   0     0 |  9   10    0   10    2
Jul 06 11:00:06 ubuntu dstat.sh[90467]: 06-07 11:00:06|  9   3  65  21   0|1033M 1421M  192M 5102M|  88k   18k|   0  6943k|   0   625 |5129  9154 |1.20 0.53 0.22|  0 2.0 3.0|   0     0 |   0     0 |  9   10    0   10    2
