-- Logs begin at Thu 2022-09-22 19:51:44 UTC, end at Fri 2022-09-23 01:50:53 UTC. --
Sep 23 01:12:09 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 23 01:12:09 ubuntu dstat.sh[73267]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 23 01:12:09 ubuntu dstat.sh[73267]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 23 01:12:09 ubuntu dstat.sh[73267]: 23-09 01:12:09|                   | 850M 1629M  188M 4962M|           |           |           |           |0.93 0.54 0.40|5.0   0    |           |   0     0 |  8    4    0   10    2
Sep 23 01:12:10 ubuntu dstat.sh[73267]: 23-09 01:12:10| 11  19  68   1   0| 850M 1628M  188M 4962M|  23k 4462 |   0   710k|   0  21.7 |2503  3970 |0.93 0.55 0.40|4.0   0 374|   0     0 |   0     0 |  8    4    0   10    2
Sep 23 01:12:11 ubuntu dstat.sh[73267]: 23-09 01:12:11| 19  16  62   3   0| 834M 1643M  188M 4963M| 159k 8290 |   0  2338k|   0   111 |2985  5246 |0.93 0.55 0.40|2.0   0 299|   0     0 |   0     0 |  8    4    0   10    2
Sep 23 01:12:12 ubuntu dstat.sh[73267]: 23-09 01:12:12| 17  17  65   0   0| 832M 1644M  188M 4963M|  65k 6045 |   0   783k|   0  16.0 |2818  7787 |0.93 0.55 0.40|4.0   0 206|   0     0 |   0     0 |  8    4    0   10    2
Sep 23 01:12:13 ubuntu dstat.sh[73267]: 23-09 01:12:13| 16  10  74   0   0| 976M 1499M  188M 5086M| 662k   17k|   0  1236k|   0  6.00 |2921  8228 |0.93 0.55 0.40|1.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Sep 23 01:12:14 ubuntu dstat.sh[73267]: 23-09 01:12:14| 20   9  70   0   0| 980M 1494M  188M 5087M| 709k   18k|   0    32M|   0   128 |2215  2492 |0.93 0.55 0.40|1.0   0 108|   0     0 |   0     0 |  9    6    0    8    2
Sep 23 01:12:15 ubuntu dstat.sh[73267]: 23-09 01:12:15| 17  12  70   1   0|1000M 1474M  188M 5088M| 366k   22k|   0  2065k|   0  25.0 |2285  3198 |0.94 0.56 0.41|1.0   0 176|   0     0 |   0     0 |  9    6    0   10    2
Sep 23 01:12:16 ubuntu dstat.sh[73267]: 23-09 01:12:16| 30   4  64   1   0|1032M 1440M  188M 5089M| 471k   13k| 152k 2276k|8.00  26.0 |1619  1817 |0.94 0.56 0.41|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 23 01:12:17 ubuntu dstat.sh[73267]: 23-09 01:12:17| 26   2  71   0   0|1055M 1416M  188M 5090M|  55k 5452 |  56k 1084k|7.00  10.0 |1169  1251 |0.94 0.56 0.41|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 23 01:12:18 ubuntu dstat.sh[73267]: 23-09 01:12:18|  9   3  67  17   0|1069M 1400M  189M 5092M| 119k   19k|   0  8907k|   0   696 |5389  9215 |0.94 0.56 0.41|  0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
