-- Logs begin at Sun 2022-08-07 12:25:17 UTC, end at Sun 2022-08-07 15:53:50 UTC. --
Aug 07 15:41:48 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 07 15:41:48 ubuntu dstat.sh[98654]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 07 15:41:48 ubuntu dstat.sh[98654]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 07 15:41:48 ubuntu dstat.sh[98654]: 07-08 15:41:48|                   | 866M 1510M  187M 5059M|           |           |           |           |1.32 0.65 0.46|2.0   0    |           |   0     0 |  8    5    0   10    2
Aug 07 15:41:49 ubuntu dstat.sh[98654]: 07-08 15:41:49| 17  19  62   2   0| 867M 1508M  187M 5059M| 145k 6722 |   0  1075k|   0  27.0 |2612  3979 |1.32 0.65 0.46|1.5   0 361|   0     0 |   0     0 |  8    6    0   10    2
Aug 07 15:41:50 ubuntu dstat.sh[98654]: 07-08 15:41:50| 18  16  64   0   0| 854M 1520M  187M 5060M| 167k 8449 |   0   552k|   0  21.0 |3003  4904 |1.32 0.65 0.46|3.0   0 301|   0     0 |   0     0 |  8    6    0   10    2
Aug 07 15:41:51 ubuntu dstat.sh[98654]: 07-08 15:41:51| 20  18  62   0   1| 858M 1516M  187M 5061M| 115k 7198 |   0   440k|   0  12.0 |3818  8474 |1.45 0.69 0.47|1.0   0 179|   0     0 |   0     0 |  8    6    0   10    2
Aug 07 15:41:52 ubuntu dstat.sh[98654]: 07-08 15:41:52| 19  14  65   1   0|1003M 1368M  187M 5184M| 785k   31k|   0   460k|   0  12.0 |3884  6015 |1.45 0.69 0.47|1.0   0 129|   0     0 |   0     0 |  9    8    0   10    2
Aug 07 15:41:53 ubuntu dstat.sh[98654]: 07-08 15:41:53| 36  14  49   1   0| 988M 1382M  187M 5186M| 548k   33k|   0  2053k|   0  34.0 |2725  3118 |1.45 0.69 0.47|2.0   0 197|   0     0 |   0     0 |  9    6    0   12    2
Aug 07 15:41:54 ubuntu dstat.sh[98654]: 07-08 15:41:54| 49   6  45   0   0|1058M 1311M  187M 5186M| 194k 8440 |   0    21M|   0   115 |1703  1437 |1.45 0.69 0.47|3.0   0 4.0|   0     0 |   0     0 |  9    6    0   12    2
Aug 07 15:41:55 ubuntu dstat.sh[98654]: 07-08 15:41:55| 35   4  60   0   0|1073M 1296M  187M 5187M|  36k 5446 |  44k 1404k|6.00  16.0 |1270  1459 |1.45 0.69 0.47|2.0   0 2.0|   0     0 |   0     0 |  9    7    0   12    2
Aug 07 15:41:56 ubuntu dstat.sh[98654]: 07-08 15:41:56| 20   2  67   9   0|1093M 1274M  188M 5189M| 924k   32k|   0  5380k|   0   317 |3993  5264 |1.58 0.72 0.48|  0 1.0 5.0|   0     0 |   0     0 |  9    9    0   12    2
Aug 07 15:41:57 ubuntu dstat.sh[98654]: 07-08 15:41:57| 16   4  58  20   0|1096M 1267M  188M 5191M| 233k   17k|   0  7372k|   0   655 |5263  9528 |1.58 0.72 0.48|  0 1.0 9.0|   0     0 |   0     0 |  9   10    0   12    2
Aug 07 15:41:58 ubuntu dstat.sh[98654]: 07-08 15:41:58| 16   4  61  20   0|1106M 1256M  188M 5193M| 502k   19k|   0  6759k|   0   641 |5048  9426 |1.58 0.72 0.48|  0 1.0  19|   0     0 |   0     0 |  9   10    0   11    2
Aug 07 15:41:59 ubuntu dstat.sh[98654]: 07-08 15:41:59|  8   3  64  23   0|1110M 1248M  189M 5196M| 155k   13k|   0    23M|   0   704 |5252  9184 |1.58 0.72 0.48|  0 2.0  16|   0     0 |   0     0 |  9   10    0   11    2
Aug 07 15:42:00 ubuntu dstat.sh[98654]: 07-08 15:42:00| 10   4  64  21   0|1110M 1246M  189M 5198M| 113k   13k|   0    19M|   0   665 |5242  9087 |1.58 0.72 0.48|  0 1.0  13|   0     0 |   0     0 |  9   10    0   10    2
Aug 07 15:42:01 ubuntu dstat.sh[98654]: 07-08 15:42:01| 15   4  62  19   0|1127M 1226M  189M 5201M| 296k   23k|   0  6787k|   0   593 |5486  9246 |1.77 0.78 0.50|7.0 1.0  23|   0     0 |   0     0 |  9   10    0   10    2
Aug 07 15:42:02 ubuntu dstat.sh[98654]: 07-08 15:42:02| 34  10  55   0   0|1038M 1313M  189M 5202M| 268k 9636 |   0  1155k|   0  42.0 |2477  6071 |1.77 0.78 0.50|2.0 1.0 103|   0     0 |   0     0 |  9    8    0   10    2
Aug 07 15:42:03 ubuntu dstat.sh[98654]: 07-08 15:42:03| 27   3  69   1   0|1102M 1247M  189M 5203M| 521k   14k|   0   820k|   0  17.0 |1502  1467 |1.77 0.78 0.50|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 07 15:42:04 ubuntu dstat.sh[98654]: 07-08 15:42:04| 27   2  68   2   0|1109M 1240M  189M 5204M| 329k 9101 |   0  7691k|   0   419 |2554  3045 |1.77 0.78 0.50|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Aug 07 15:42:05 ubuntu dstat.sh[98654]: 07-08 15:42:05| 38   7  52   3   0|1046M 1296M  190M 5210M|1131k   27k|   0    20M|   0   757 |4340  3885 |1.77 0.78 0.50|3.0   0  15|   0     0 |   0     0 |  9    6    0   10    4
Aug 07 15:42:06 ubuntu dstat.sh[98654]: 07-08 15:42:06| 50   6  42   2   0|1092M 1249M  190M 5211M| 387k   14k|   0  7940k|   0   424 |2868  3298 |1.79 0.80 0.51|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 07 15:42:07 ubuntu dstat.sh[98654]: 07-08 15:42:07| 45   6  47   2   0|1016M 1323M  190M 5212M| 605k   20k|   0  8152k|   0   393 |3295  3798 |1.79 0.80 0.51|1.0   0  40|   0     0 |   0     0 |  9    6    1   10    2
Aug 07 15:42:08 ubuntu dstat.sh[98654]: 07-08 15:42:08| 13  18  68   1   0|1016M 1323M  190M 5212M|  45k 6495 |   0  2167k|   0   113 |2923  4749 |1.79 0.80 0.51|2.0   0 340|   0     0 |   0     0 |  9    7    0   10    2
Aug 07 15:42:09 ubuntu dstat.sh[98654]: 07-08 15:42:09| 23  19  55   1   0| 955M 1384M  190M 5213M|  52k 5853 |   0   821k|   0  28.0 |3473  6306 |1.79 0.80 0.51|1.0   0 300|   0     0 |   0     0 |  9    6    0   10    3
Aug 07 15:42:10 ubuntu dstat.sh[98654]: 07-08 15:42:10| 39  17  44   1   0|1027M 1312M  190M 5213M| 163k 8162 |   0  3143k|   0  15.0 |3960  6430 |1.79 0.80 0.51|4.0   0 187|   0     0 |   0     0 |  9    7    0   10    2
Aug 07 15:42:11 ubuntu dstat.sh[98654]: 07-08 15:42:11| 50   5  45   0   0|1119M 1219M  190M 5213M| 136k 7382 |   0   336k|   0  6.00 |1308  1281 |1.81 0.82 0.52|3.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 07 15:42:12 ubuntu dstat.sh[98654]: 07-08 15:42:12| 57   4  39   0   0|1160M 1177M  190M 5214M|  28k 3838 |   0   620k|   0  10.0 |1340  1279 |1.81 0.82 0.52|4.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Aug 07 15:42:13 ubuntu dstat.sh[98654]: 07-08 15:42:13| 54   4  41   0   0|1187M 1148M  190M 5216M|  28k 4878 |   0   811k|   0  5.99 |2295  5383 |1.81 0.82 0.52|3.0 1.0   0|   0     0 |   0     0 |  9    7    0   10    2
