-- Logs begin at Sun 2022-07-17 17:31:46 UTC, end at Mon 2022-07-18 02:52:06 UTC. --
Jul 18 02:12:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 18 02:12:59 ubuntu dstat.sh[91949]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 18 02:12:59 ubuntu dstat.sh[91949]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 18 02:12:59 ubuntu dstat.sh[91949]: 18-07 02:12:59|                   | 835M 1531M  185M 5071M|           |           |           |           |0.96 0.76 0.53|4.0   0    |           |   0     0 |  8    4    0   11    2
Jul 18 02:13:00 ubuntu dstat.sh[91949]: 18-07 02:13:00| 35  21  44   0   0| 846M 1520M  185M 5071M| 162k 8219 |   0   607k|   0  12.0 |2780  4143 |0.96 0.76 0.53|4.0   0 411|   0     0 |   0     0 |  8    4    0   11    2
Jul 18 02:13:01 ubuntu dstat.sh[91949]: 18-07 02:13:01| 33  20  44   1   0| 848M 1517M  186M 5072M| 108k 7419 |   0   513k|   0  13.5 |2960  4962 |0.96 0.76 0.53|2.0   0 330|   0     0 |   0     0 |  8    4    1   11    2
Jul 18 02:13:02 ubuntu dstat.sh[91949]: 18-07 02:13:02| 23  18  57   2   0| 850M 1513M  186M 5074M| 937k   27k|   0    22M|   0   295 |5002  7528 |1.12 0.79 0.55|3.0   0 164|   0     0 |   0     0 |  8    5    0   11    2
Jul 18 02:13:03 ubuntu dstat.sh[91949]: 18-07 02:13:03| 21   5  71   1   0| 936M 1426M  186M 5197M| 607k   21k|   0  1055k|   0  9.99 |2337  2888 |1.12 0.79 0.55|2.0   0  54|   0     0 |   0     0 |  9    6    0   11    3
Jul 18 02:13:04 ubuntu dstat.sh[91949]: 18-07 02:13:04| 20   8  70   1   0| 941M 1421M  186M 5197M|  77k 7132 |   0   484k|   0  16.0 |1525  1835 |1.12 0.79 0.55|2.0   0  89|   0     0 |   0     0 |  9    6    0   11    2
Jul 18 02:13:05 ubuntu dstat.sh[91949]: 18-07 02:13:05| 16  12  70   1   0| 954M 1407M  186M 5197M|  85k   18k|   0   684k|   0  26.0 |2064  2970 |1.12 0.79 0.55|1.0   0 176|   0     0 |   0     0 |  9    6    0   13    2
Jul 18 02:13:06 ubuntu dstat.sh[91949]: 18-07 02:13:06| 27   3  67   1   0| 981M 1379M  186M 5198M| 279k   10k|   0  1592k|   0  27.0 |1558  1654 |1.12 0.79 0.55|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 18 02:13:07 ubuntu dstat.sh[91949]: 18-07 02:13:07| 32   5  59   3   0|1020M 1338M  186M 5200M|  89k 5199 |  44k   40M|6.00   612 |2405  1408 |1.19 0.81 0.56|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 18 02:13:08 ubuntu dstat.sh[91949]: 18-07 02:13:08| 40   4  47   9   0|1045M 1311M  186M 5202M|  42k   24k|   0  3546k|   0   273 |3356  5248 |1.19 0.81 0.56|5.0   0 9.0|   0     0 |   0     0 |  9    8    0   11    2
Jul 18 02:13:09 ubuntu dstat.sh[91949]: 18-07 02:13:09| 18   3  52  26   0|1028M 1326M  186M 5204M|  41k   18k|   0    14M|   0  1003 |6252    11k|1.19 0.81 0.56|2.0 1.0 3.0|   0     0 |   0     0 |  9    8    0   11    2
Jul 18 02:13:10 ubuntu dstat.sh[91949]: 18-07 02:13:10| 10   4  67  19   0|1032M 1319M  187M 5206M|  90k   17k|   0  6874k|   0   656 |4835  9622 |1.19 0.81 0.56|1.0   0  18|   0     0 |   0     0 |  9    8    0   11    2
Jul 18 02:13:11 ubuntu dstat.sh[91949]: 18-07 02:13:11| 10   4  61  22   0|1036M 1310M  187M 5210M| 903k   41k|   0  8854k|   0   705 |6470    11k|1.19 0.81 0.56|4.0   0  20|   0     0 |   0     0 |  9   10    0   11    2
Jul 18 02:13:12 ubuntu dstat.sh[91949]: 18-07 02:13:12| 28   4  47  20   0|1060M 1280M  187M 5215M|  23k   13k|   0  9389k|   0   691 |5721  9688 |1.34 0.85 0.57|3.0   0  12|   0     0 |   0     0 |  9   10    0   11    2
