-- Logs begin at Fri 2022-07-22 21:52:41 UTC, end at Sun 2022-07-24 20:59:44 UTC. --
Jul 24 19:36:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 24 19:36:38 ubuntu dstat.sh[105296]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 24 19:36:38 ubuntu dstat.sh[105296]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 24 19:36:38 ubuntu dstat.sh[105296]: 24-07 19:36:38|                   | 871M 1359M  192M 5195M|           |           |           |           |1.81 1.17 0.72|2.0   0    |           |   0     0 |  8    6    0   10    2
Jul 24 19:36:39 ubuntu dstat.sh[105296]: 24-07 19:36:39| 12  19  68   0   0| 871M 1358M  192M 5195M| 155k 9432 |   0   695k|   0  14.0 |2504  4057 |1.81 1.17 0.72|2.0   0 364|   0     0 |   0     0 |  8    6    0   10    2
Jul 24 19:36:40 ubuntu dstat.sh[105296]: 24-07 19:36:40| 20  17  62   0   0| 853M 1376M  192M 5196M| 243k   11k|   0   495k|   0  14.0 |2868  5047 |1.81 1.17 0.72|2.0   0 299|   0     0 |   0     0 |  8    6    0   10    2
Jul 24 19:36:41 ubuntu dstat.sh[105296]: 24-07 19:36:41| 24  17  57   0   0| 858M 1368M  192M 5199M|1072k   31k|   0  1812k|   0  18.0 |4588  8366 |1.81 1.17 0.72|2.0   0 193|   0     0 |   0     0 |  8    6    0   10    2
Jul 24 19:36:42 ubuntu dstat.sh[105296]: 24-07 19:36:42| 31  12  56   0   0| 973M 1252M  192M 5321M| 148k 8120 |   0   479k|   0  8.99 |2378  3420 |1.81 1.17 0.72|1.0   0  38|   0     0 |   0     0 |  9    4    0   10    2
Jul 24 19:36:43 ubuntu dstat.sh[105296]: 24-07 19:36:43| 35   9  55   0   0| 998M 1227M  192M 5321M|  19k 5313 |   0   416k|   0  12.0 |1651  2000 |1.83 1.18 0.72|2.0   0  93|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:36:44 ubuntu dstat.sh[105296]: 24-07 19:36:44| 27  16  57   0   0| 999M 1226M  192M 5321M| 137k   20k|   0   657k|   0  29.0 |2323  3048 |1.83 1.18 0.72|1.0   0 199|   0     0 |   0     0 |  9    7    0   12    2
Jul 24 19:36:45 ubuntu dstat.sh[105296]: 24-07 19:36:45| 27   6  67   0   1|1021M 1202M  192M 5323M|1045k   31k|   0    21M|   0   112 |2530  2242 |1.83 1.18 0.72|2.0   0 2.0|   0     0 |   0     0 |  9    7    0   12    2
Jul 24 19:36:46 ubuntu dstat.sh[105296]: 24-07 19:36:46| 43   3  52   1   0|1005M 1216M  192M 5325M| 472k   15k|  44k 1750k|5.99  8.99 |1757  1433 |1.83 1.18 0.72|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   12    2
Jul 24 19:36:47 ubuntu dstat.sh[105296]: 24-07 19:36:47| 26   1  71   1   0|1022M 1199M  192M 5325M|  59k   19k|   0  1096k|   0  69.0 |1580  2171 |1.83 1.18 0.72|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   12    2
Jul 24 19:36:48 ubuntu dstat.sh[105296]: 24-07 19:36:48| 11   4  64  19   0|1031M 1188M  192M 5327M| 115k   24k|   0    13M|   0  1008 |6554    11k|1.84 1.19 0.73|2.0   0  12|   0     0 |   0     0 |  9    8    0   12    2
Jul 24 19:36:49 ubuntu dstat.sh[105296]: 24-07 19:36:49| 11   4  63  20   0|1036M 1180M  193M 5329M|  66k   17k|   0  6622k|   0   615 |4888  9178 |1.84 1.19 0.73|  0 3.0  12|   0     0 |   0     0 |  9    8    0   10    2
Jul 24 19:36:50 ubuntu dstat.sh[105296]: 24-07 19:36:50| 21   7  51  20   1|1061M 1150M  193M 5334M|  88k   21k|   0    43M|   0   774 |5597  9068 |1.84 1.19 0.73|1.0 1.0  23|   0     0 |   0     0 |  9   10    0   10    2
Jul 24 19:36:51 ubuntu dstat.sh[105296]: 24-07 19:36:51| 37   5  39  16   0|1065M 1144M  193M 5335M|  21k   16k|   0  7060k|   0   696 |6583    14k|1.84 1.19 0.73|1.0 1.0  50|   0     0 |   0     0 |  9   10    0   10    2
Jul 24 19:36:52 ubuntu dstat.sh[105296]: 24-07 19:36:52| 13   4  63  19   0|1046M 1160M  193M 5338M| 286k   23k|   0  6775k|   0   636 |5609  9371 |1.84 1.19 0.73|1.0 1.0  13|   0     0 |   0     0 |  9   10    0   10    2
Jul 24 19:36:53 ubuntu dstat.sh[105296]: 24-07 19:36:53| 26   4  61   6   0|1055M 1144M  194M 5343M|1055k  191k|   0  5158k|   0   417 |5840    11k|1.85 1.21 0.74|3.0   0 2.0|   0     0 |   0     0 |  9   10    0   10    2
Jul 24 19:36:54 ubuntu dstat.sh[105296]: 24-07 19:36:54| 44   6  49   0   0| 995M 1205M  194M 5343M|9768  3918 |   0   532k|   0  24.0 |1647  1993 |1.85 1.21 0.74|2.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:36:55 ubuntu dstat.sh[105296]: 24-07 19:36:55| 34   3  62   0   0|1031M 1169M  194M 5344M|  45k 5606 |   0  2599k|   0  32.0 |1165  1110 |1.85 1.21 0.74|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:36:56 ubuntu dstat.sh[105296]: 24-07 19:36:56| 29   1  68   1   0|1044M 1155M  194M 5344M| 526k   17k|   0  7222k|   0   386 |2494  2994 |1.85 1.21 0.74|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:36:57 ubuntu dstat.sh[105296]: 24-07 19:36:57| 28   4  65   2   0| 994M 1203M  194M 5345M| 464k   16k|   0  8270k|   0   414 |2706  3381 |1.85 1.21 0.74|1.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:36:58 ubuntu dstat.sh[105296]: 24-07 19:36:58| 26   2  68   1   0|1039M 1158M  194M 5345M|  63k 6365 |   0  7319k|   0   399 |2139  2740 |1.85 1.21 0.74|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:36:59 ubuntu dstat.sh[105296]: 24-07 19:36:59| 29   2  66   3   0|1045M 1152M  194M 5345M|  24k 4758 |   0  7588k|   0   413 |2177  3013 |1.79 1.20 0.74|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:37:00 ubuntu dstat.sh[105296]: 24-07 19:37:00| 20  17  61   2   0| 956M 1241M  194M 5346M| 162k 8952 |   0    10M|   0   364 |3076  4025 |1.79 1.20 0.74|1.0   0 307|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:37:01 ubuntu dstat.sh[105296]: 24-07 19:37:01| 18  18  63   0   0| 964M 1232M  194M 5346M| 137k 7096 |   0   576k|   0  18.0 |2746  4268 |1.79 1.20 0.74|5.0   0 340|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:37:02 ubuntu dstat.sh[105296]: 24-07 19:37:02| 48  16  35   0   0|1018M 1178M  194M 5347M|6097  1945 |   0     0 |   0     0 |3463  7816 |1.79 1.20 0.74|5.0   0 131|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:37:03 ubuntu dstat.sh[105296]: 24-07 19:37:03| 60  10  30   0   0|1093M 1102M  194M 5347M|7234  3718 |   0   264k|   0  3.99 |1408  1928 |1.79 1.20 0.74|3.0   0  83|   0     0 |   0     0 |  9    7    0   10    2
Jul 24 19:37:04 ubuntu dstat.sh[105296]: 24-07 19:37:04| 61   6  33   0   0|1171M 1024M  194M 5348M|7613  2716 |   0   360k|   0  7.00 |1285  1096 |1.80 1.22 0.75|4.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Jul 24 19:37:05 ubuntu dstat.sh[105296]: 24-07 19:37:05| 73   2  24   1   0|1195M  998M  194M 5349M|7025  2030 |   0  5815k|   0   163 |1963  2803 |1.80 1.22 0.75|5.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Jul 24 19:37:06 ubuntu dstat.sh[105296]: 24-07 19:37:06| 52  12  36   0   0|1223M  968M  194M 5350M|9457  2629 |   0  6109k|   0  40.0 |2759  5552 |1.80 1.22 0.75|2.0   0 142|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:37:07 ubuntu dstat.sh[105296]: 24-07 19:37:07| 45   4  49   0   0|1274M  915M  195M 5352M|7290  2130 |   0    32k|   0  5.00 |1182  1525 |1.80 1.22 0.75|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:37:08 ubuntu dstat.sh[105296]: 24-07 19:37:08| 48   3  49   0   0|1289M  899M  195M 5353M|  16k 1986 |   0     0 |   0     0 |1612  1944 |1.80 1.22 0.75|2.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Jul 24 19:37:09 ubuntu dstat.sh[105296]: 24-07 19:37:09| 47   3  49   1   0|1310M  878M  195M 5353M|  69k   64k|   0  2391k|   0   137 |2618  4367 |1.90 1.25 0.76|2.0   0 1.0|   0     0 |   0     0 |  9   12    0   10    2
Jul 24 19:37:10 ubuntu dstat.sh[105296]: 24-07 19:37:10| 45   6  47   2   0|1197M  988M  195M 5354M|9390  2240 |  20k 7374k|5.00   359 |1864  2897 |1.90 1.25 0.76|2.0   0  44|   0     0 |   0     0 |  9    6    0   12    2
Jul 24 19:37:11 ubuntu dstat.sh[105296]: 24-07 19:37:11| 40   7  49   4   0|1236M  928M  195M 5373M|  11k 6891 |   0  4018k|   0  96.0 |1416  1611 |1.90 1.25 0.76|2.0   0 1.0|   0     0 |   0     0 |  9   12    0   12    3
Jul 24 19:37:12 ubuntu dstat.sh[105296]: 24-07 19:37:12| 39   8  48   4   0|1193M  958M  196M 5383M| 121k  117k| 132k 4228k|33.0   146 |2101  3166 |1.90 1.25 0.76|5.0   0  35|   0     0 |   0     0 |  9   30    0   12    2
Jul 24 19:37:13 ubuntu dstat.sh[105296]: 24-07 19:37:13| 43   7  49   1   1|1243M  881M  197M 5407M|7474  1982 |   0  2116k|   0  92.0 |1293  1484 |1.90 1.25 0.76|2.0   0  12|   0     0 |   0     0 |  9   30    0   11    2
Jul 24 19:37:14 ubuntu dstat.sh[105296]: 24-07 19:37:14| 32  12  56   0   0|1223M  897M  197M 5410M|  67k   61k|   0   924k|   0  33.0 |1872  2764 |1.91 1.26 0.77|3.0   0 195|   0     0 |   0     0 |  9   31    0   11    2
Jul 24 19:37:15 ubuntu dstat.sh[105296]: 24-07 19:37:15| 45   6  49   0   0|1291M  829M  197M 5410M|  10k 3455 |   0     0 |   0     0 |1190  1062 |1.91 1.26 0.77|2.0   0 1.0|   0     0 |   0     0 |  9   31    0    8    2
Jul 24 19:37:16 ubuntu dstat.sh[105296]: 24-07 19:37:16| 64   8  26   0   0|1289M  851M  197M 5392M| 753k  745k|   0  3212k|   0  43.0 |4017    10k|1.91 1.26 0.77|4.0   0  10|   0     0 |   0     0 |  9   33    0   10    0
Jul 24 19:37:17 ubuntu dstat.sh[105296]: 24-07 19:37:17| 74  17   9   0   0|1297M  843M  197M 5392M|  36k   29k|   0   156k|   0  11.0 |2835    31k|1.91 1.26 0.77|7.0   0 325|   0     0 |   0     0 |  9   32    0   10    0
Jul 24 19:37:18 ubuntu dstat.sh[105296]: 24-07 19:37:18| 85  14   0   0   0|1401M  738M  197M 5392M| 391k  385k|   0   595k|   0  14.0 |3434  6556 |1.91 1.26 0.77| 10   0 182|   0     0 |   0     0 |  9   34    0   10    0
