-- Logs begin at Mon 2022-11-21 20:50:26 UTC, end at Tue 2022-11-22 05:22:31 UTC. --
Nov 22 04:44:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 22 04:44:09 ubuntu dstat.sh[79342]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 22 04:44:09 ubuntu dstat.sh[79342]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 22 04:44:09 ubuntu dstat.sh[79342]: 22-11 04:44:09|                   | 973M 1365M  179M 5106M|           |           |           |           |1.47 0.69 0.50|4.0   0    |           |   0     0 |  8    7    0   10    2
Nov 22 04:44:10 ubuntu dstat.sh[79342]: 22-11 04:44:10| 14  17  65   1   0| 974M 1364M  179M 5107M| 192k   11k|   0  1143k|   0  34.0 |2873  4890 |1.47 0.69 0.50|3.5   0 383|   0     0 |   0     0 |  8    7    0   10    2
Nov 22 04:44:11 ubuntu dstat.sh[79342]: 22-11 04:44:11| 16  18  64   0   0| 976M 1360M  180M 5108M| 198k 9471 |   0   660k|   0  25.0 |3282  5389 |1.47 0.69 0.50|6.0   0 344|   0     0 |   0     0 |  8    8    0   10    2
Nov 22 04:44:12 ubuntu dstat.sh[79342]: 22-11 04:44:12| 20  19  61   1   0| 964M 1372M  180M 5109M| 586k   13k|   0   800k|   0  13.0 |3961  6261 |2.72 0.96 0.58|1.0   0 233|   0     0 |   0     0 |  8    8    0    9    2
Nov 22 04:44:13 ubuntu dstat.sh[79342]: 22-11 04:44:13| 39  17  43   1   0|1018M 1316M  180M 5232M| 712k   13k|   0    12M|   0  46.0 |4275  6804 |2.72 0.96 0.58|2.0   0  76|   0     0 |   0     0 |  9    4    0    9    2
Nov 22 04:44:14 ubuntu dstat.sh[79342]: 22-11 04:44:14| 35  10  55   1   0|1044M 1289M  180M 5233M|  21k 6116 |   0   584k|   0  12.0 |1755  2239 |2.72 0.96 0.58|3.0   0  94|   0     0 |   0     0 |  9    6    0    8    2
Nov 22 04:44:15 ubuntu dstat.sh[79342]: 22-11 04:44:15| 23  13  63   1   0|1041M 1292M  180M 5233M|  93k   19k|   0   892k|   0  28.0 |2232  3211 |2.72 0.96 0.58|1.0   0 196|   0     0 |   0     0 |  9    7    0   10    2
Nov 22 04:44:16 ubuntu dstat.sh[79342]: 22-11 04:44:16| 33   7  59   1   0|1056M 1277M  180M 5234M| 149k 9889 |   0  1328k|   0  21.0 |1930  5612 |2.72 0.96 0.58|3.0   0  36|   0     0 |   0     0 |  9    6    0   10    3
Nov 22 04:44:17 ubuntu dstat.sh[79342]: 22-11 04:44:17| 27   3  68   1   0|1034M 1297M  180M 5235M|  69k 6663 | 196k  899k|14.0  17.0 |1385  1491 |2.82 1.01 0.60|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:18 ubuntu dstat.sh[79342]: 22-11 04:44:18| 26   3  69   2   0|1059M 1270M  180M 5237M| 923k   32k|  12k   23M|1.00   136 |2381  2679 |2.82 1.01 0.60|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Nov 22 04:44:19 ubuntu dstat.sh[79342]: 22-11 04:44:19|  8   3  64  23   1|1068M 1257M  180M 5239M| 646k   24k|   0    11M|   0   810 |6501    11k|2.82 1.01 0.60|  0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Nov 22 04:44:20 ubuntu dstat.sh[79342]: 22-11 04:44:20| 14   4  61  21   0|1078M 1244M  180M 5243M| 616k   26k|   0  8475k|   0   644 |6185  9927 |2.82 1.01 0.60|  0 2.0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Nov 22 04:44:21 ubuntu dstat.sh[79342]: 22-11 04:44:21|  9   4  66  19   0|1079M 1240M  181M 5245M|  86k   12k|   0  6279k|   0   642 |5741  9580 |2.82 1.01 0.60|  0 2.0  25|   0     0 |   0     0 |  9    8    0   10    2
Nov 22 04:44:22 ubuntu dstat.sh[79342]: 22-11 04:44:22| 12   3  66  20   0|1082M 1235M  181M 5246M|  63k   12k|   0  6626k|   0   646 |5368  9251 |2.83 1.04 0.62|  0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
Nov 22 04:44:23 ubuntu dstat.sh[79342]: 22-11 04:44:23|  7   1  65  22   0|1084M 1232M  182M 5248M|  87k   12k|   0    20M|   0   691 |5245  9013 |2.83 1.04 0.62|  0 1.0   0|   0     0 |   0     0 |  9    8    0   10    2
Nov 22 04:44:24 ubuntu dstat.sh[79342]: 22-11 04:44:24| 27   9  56   7   1|1016M 1296M  182M 5251M|  82k 8831 |   0  2143k|   0   214 |3312  5450 |2.83 1.04 0.62|2.0   0  91|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:25 ubuntu dstat.sh[79342]: 22-11 04:44:25| 26   3  70   1   0|1050M 1262M  182M 5251M| 279k   11k|   0  1574k|   0  26.0 |1417  1545 |2.83 1.04 0.62|1.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:26 ubuntu dstat.sh[79342]: 22-11 04:44:26| 28   3  68   0   1|1085M 1222M  182M 5255M| 897k   22k|   0  1540k|   0  23.0 |2206  1979 |2.83 1.04 0.62|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:27 ubuntu dstat.sh[79342]: 22-11 04:44:27| 33   5  59   1   0|1034M 1271M  182M 5257M|  17k 3458 |   0  8238k|   0   401 |2352  3090 |2.77 1.06 0.62|1.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:28 ubuntu dstat.sh[79342]: 22-11 04:44:28| 27   2  69   2   0|1083M 1221M  182M 5257M| 199k 9415 |   0    10M|   0   417 |2624  3153 |2.77 1.06 0.62|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:29 ubuntu dstat.sh[79342]: 22-11 04:44:29| 22   8  67   2   0| 992M 1311M  183M 5258M| 416k   15k|   0  7816k|   0   425 |3327  4495 |2.77 1.06 0.62|1.0   0 139|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:30 ubuntu dstat.sh[79342]: 22-11 04:44:30| 14  17  64   2   0| 993M 1309M  183M 5259M| 500k   16k|   0  8727k|   0   392 |4143  6302 |2.77 1.06 0.62|1.0   0 351|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:31 ubuntu dstat.sh[79342]: 22-11 04:44:31| 19  15  63   1   0| 995M 1307M  183M 5259M|  39k 5153 |   0  1724k|   0  64.0 |3747  6531 |2.77 1.06 0.62|4.0   0 223|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:32 ubuntu dstat.sh[79342]: 22-11 04:44:32| 41  15  42   1   0|1076M 1225M  183M 5260M|  68k 6196 | 324k  775k|4.00  16.0 |3227  6183 |2.79 1.09 0.64|3.0   0 180|   0     0 |   0     0 |  9    7    0   10    2
Nov 22 04:44:33 ubuntu dstat.sh[79342]: 22-11 04:44:33| 51   6  41   1   0|1159M 1142M  183M 5260M| 142k 8379 |  20k 5856k|4.01  22.0 |1656  1637 |2.79 1.09 0.64|3.0   0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Nov 22 04:44:34 ubuntu dstat.sh[79342]: 22-11 04:44:34| 56   4  40   0   0|1203M 1096M  183M 5261M| 140k 6140 | 352k  504k|4.00  7.00 |1480  1467 |2.79 1.09 0.64|4.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Nov 22 04:44:35 ubuntu dstat.sh[79342]: 22-11 04:44:35| 43  11  42   1   0|1235M 1061M  183M 5264M|  27k 4749 |   0   908k|   0  36.0 |4410  9150 |2.79 1.09 0.64|1.0 1.0 141|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:36 ubuntu dstat.sh[79342]: 22-11 04:44:36| 27   3  67   3   0|1280M 1016M  183M 5264M|  61k 5518 |   0   820k|   0  6.00 |1057  1219 |2.79 1.09 0.64|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:37 ubuntu dstat.sh[79342]: 22-11 04:44:37| 43   7  49   0   0|1339M  957M  183M 5264M|  10k 1685 |   0   144k|   0  4.00 |1264  1267 |2.72 1.11 0.64|3.0   0 5.0|   0     0 |   0     0 |  9    6    0   10    2
Nov 22 04:44:38 ubuntu dstat.sh[79342]: 22-11 04:44:38| 43   6  48   2   0|1336M  955M  183M 5267M|  72k   64k|   0  2008k|   0   166 |3922  6471 |2.72 1.11 0.64|3.0   0 3.0|   0     0 |   0     0 |  9   12    0   10    2
Nov 22 04:44:39 ubuntu dstat.sh[79342]: 22-11 04:44:39| 40  10  46   4   0|1255M 1017M  184M 5285M|9027  2132 |   0    22M|   0   770 |3146  3139 |2.72 1.11 0.64|3.0   0  44|   0     0 |   0     0 |  9    6    0   12    2
Nov 22 04:44:40 ubuntu dstat.sh[79342]: 22-11 04:44:40| 39   7  50   5   0|1292M  969M  185M 5293M|  18k   11k|  64k 2520k|6.00  62.0 |1382  1674 |2.72 1.11 0.64|2.0 1.0 2.0|   0     0 |   0     0 |  9   13    0   12    2
Nov 22 04:44:41 ubuntu dstat.sh[79342]: 22-11 04:44:41| 29   6  49  16   0|1309M  942M  185M 5301M|  90k   83k| 216k 2919k|53.9   110 |2099  3005 |2.72 1.11 0.64|2.0   0 2.0|   0     0 |   0     0 |  9   29    0   10    2
Nov 22 04:44:42 ubuntu dstat.sh[79342]: 22-11 04:44:42| 42   6  48   4   0|1279M  947M  186M 5323M|  43k   35k|   0  1712k|   0  48.0 |1708  2209 |2.58 1.10 0.65|2.0   0  48|   0     0 |   0     0 |  9   32    0   10    2
Nov 22 04:44:43 ubuntu dstat.sh[79342]: 22-11 04:44:43| 38   6  51   4   0|1306M  913M  186M 5329M|  71k   61k|   0  1674k|   0  62.1 |1616  2088 |2.58 1.10 0.65|1.0   0 1.0|   0     0 |   0     0 |  9   32    1    9    2
Nov 22 04:44:44 ubuntu dstat.sh[79342]: 22-11 04:44:44| 33  13  54   0   1|1317M  901M  186M 5329M|  14k 2779 |   0  3337k|   0  24.0 |1825  2306 |2.58 1.10 0.65|2.0   0 159|   0     0 |   0     0 |  9   33    0    9    2
Nov 22 04:44:45 ubuntu dstat.sh[79342]: 22-11 04:44:45| 52   9  38   1   0|1374M  865M  186M 5310M| 146k  139k|   0   452k|   0  9.99 |1782  2963 |2.58 1.10 0.65|4.0   0   0|   0     0 |   0     0 |  9   31    0    9    0
Nov 22 04:44:46 ubuntu dstat.sh[79342]: 22-11 04:44:46| 64   9  25   1   0|1320M  919M  186M 5310M| 599k  592k|  28k 1324k|2.00  49.0 |4338  9150 |2.58 1.10 0.65|3.0   0  43|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:47 ubuntu dstat.sh[79342]: 22-11 04:44:47| 72  23   5   0   0|1361M  878M  186M 5310M|  11k 1622 |   0   605k|   0  17.0 |  10k   20k|2.62 1.14 0.66|6.0   0 359|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:48 ubuntu dstat.sh[79342]: 22-11 04:44:48| 86  13   0   0   0|1492M  746M  186M 5310M| 463k  456k|   0  2603k|   0  25.0 |4136  7795 |2.62 1.14 0.66|7.0   0 189|   0     0 |   0     0 |  9   35    0    9    0
Nov 22 04:44:49 ubuntu dstat.sh[79342]: 22-11 04:44:49| 84  17   0   0   0|1460M  778M  186M 5311M| 490k  482k|   0  2353k|   0   142 |  12k   27k|2.62 1.14 0.66|6.0   0  85|   0     0 |   0     0 |  9   35    0    9    0
Nov 22 04:44:50 ubuntu dstat.sh[79342]: 22-11 04:44:50| 70  13  16   0   0|1331M  907M  186M 5311M| 236k  227k|   0  1563k|   0  69.0 |3326  5982 |2.62 1.14 0.66|3.0   0 153|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:51 ubuntu dstat.sh[79342]: 22-11 04:44:51| 46  12  43   0   0|1224M 1014M  186M 5311M| 168k  160k|   0   895k|   0  54.0 |2767  4843 |2.62 1.14 0.66|2.0   0 124|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:52 ubuntu dstat.sh[79342]: 22-11 04:44:52| 46   5  49   0   0|1271M  967M  186M 5311M|9019  1622 |   0   885k|   0  25.0 |1361  1396 |2.49 1.13 0.66|2.0   0 5.0|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:53 ubuntu dstat.sh[79342]: 22-11 04:44:53| 33   9  56   0   0|1178M 1059M  186M 5311M| 225k  205k|   0   923k|   0  46.9 |2734  5220 |2.49 1.13 0.66|1.0   0 120|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:54 ubuntu dstat.sh[79342]: 22-11 04:44:54| 23   4  74   0   0|1223M 1015M  186M 5311M|9112  1621 |   0  3570k|   0  66.0 |1169  1386 |2.49 1.13 0.66|1.0   0 1.0|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:55 ubuntu dstat.sh[79342]: 22-11 04:44:55| 23   3  73   0   0|1242M  995M  187M 5311M| 207k  200k|   0   796k|   0  45.0 |2039  4098 |2.49 1.13 0.66|1.0   0   0|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:56 ubuntu dstat.sh[79342]: 22-11 04:44:56| 12  18  68   1   0|1174M 1064M  187M 5311M|  10k 1620 |   0  3492k|   0   196 |3070  4659 |2.49 1.13 0.66|2.0   0 358|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:57 ubuntu dstat.sh[79342]: 22-11 04:44:57| 26  28  44   0   0|1226M 1012M  187M 5311M|  10k 1621 |   0    44k|   0  11.0 |2713  4683 |2.29 1.11 0.66|6.0   0 568|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:44:58 ubuntu dstat.sh[79342]: 22-11 04:44:58| 86  14   0   0   0|1418M  819M  187M 5311M|  48k   38k|   0   632k|   0  11.0 |1908  2493 |2.29 1.11 0.66|6.0   0 119|   0     0 |   0     0 |  9   35    0    9    0
Nov 22 04:44:59 ubuntu dstat.sh[79342]: 22-11 04:44:59| 85   9   5   0   0|1509M  728M  187M 5311M|1009k  998k|   0  3019k|   0  71.0 |6053    13k|2.29 1.11 0.66|5.0   0   0|   0     0 |   0     0 |  9   37    0    9    0
Nov 22 04:45:00 ubuntu dstat.sh[79342]: 22-11 04:45:00| 82  14   5   0   0|1267M  970M  187M 5311M| 835k  826k|   0  1192k|   0  82.0 |5749    13k|2.29 1.11 0.66|6.0   0 163|   0     0 |   0     0 |  9   34    0    9    0
Nov 22 04:45:01 ubuntu dstat.sh[79342]: 22-11 04:45:01| 86  14   0   0   0|1421M  816M  187M 5311M| 130k  121k|   0   788k|   0  19.0 |2474  3914 |2.29 1.11 0.66|6.0   0 149|   0     0 |   0     0 |  9   35    0    9    0
Nov 22 04:45:02 ubuntu dstat.sh[79342]: 22-11 04:45:02| 86  11   2   0   0|1550M  687M  187M 5311M|1048k 1038k|   0  1183k|   0  37.8 |6105    13k|2.59 1.20 0.69|4.0   0  11|   0     0 |   0     0 |  9   38    0   10    0
Nov 22 04:45:03 ubuntu dstat.sh[79342]: 22-11 04:45:03| 69  12  19   0   0|1450M  786M  187M 5312M|1299k 1291k|   0   719k|   0  52.2 |7201    17k|2.59 1.20 0.69|3.0   0 100|   0     0 |   0     0 |  9   37    0   11    0
Nov 22 04:45:04 ubuntu dstat.sh[79342]: 22-11 04:45:04| 49  14  36   0   0|1244M  993M  187M 5312M| 446k  438k|   0  1083k|   0  50.0 |3974  8552 |2.59 1.20 0.69|2.0   0 202|   0     0 |   0     0 |  9   34    0   11    0
Nov 22 04:45:05 ubuntu dstat.sh[79342]: 22-11 04:45:05| 44   7  49   0   0|1311M  925M  187M 5312M| 112k  103k|   0   564k|   0  16.0 |1750  2403 |2.59 1.20 0.69|2.0   0   0|   0     0 |   0     0 |  9   34    0    8    0
Nov 22 04:45:06 ubuntu dstat.sh[79342]: 22-11 04:45:06| 44  16  39   0   0|1258M  978M  187M 5312M| 690k  674k|   0   703k|   0  55.9 |5153    11k|2.59 1.20 0.69|6.0   0 283|   0     0 |   0     0 |  9   35    0    8    0
Nov 22 04:45:07 ubuntu dstat.sh[79342]: 22-11 04:45:07| 72  10  18   0   0|1330M  906M  187M 5312M|  17k   11k|   0   385k|   0  8.02 |1720  2292 |2.78 1.26 0.71|3.0   0  98|   0     0 |   0     0 |  9   34    0    8    0
Nov 22 04:45:08 ubuntu dstat.sh[79342]: 22-11 04:45:08| 59   8  31   0   0|1381M  855M  187M 5313M| 810k  802k|   0   600k|   0  29.0 |5253    11k|2.78 1.26 0.71|2.0   0   0|   0     0 |   0     0 |  9   37    0   10    0
Nov 22 04:45:09 ubuntu dstat.sh[79342]: 22-11 04:45:09| 67  20  13   1   0|1303M  932M  187M 5313M| 247k  240k|   0    21M|   0   358 |4233  7051 |2.78 1.26 0.71|4.0   0 265|   0     0 |   0     0 |  9   34    0   11    0
Nov 22 04:45:10 ubuntu dstat.sh[79342]: 22-11 04:45:10| 88  10   1   0   0|1448M  787M  187M 5313M| 348k  341k|   0   932k|   0  23.0 |2103  4850 |2.78 1.26 0.71|6.0   0   0|   0     0 |   0     0 |  9   36    0   11    0
Nov 22 04:45:11 ubuntu dstat.sh[79342]: 22-11 04:45:11| 56   8  34   1   0|1382M  852M  187M 5314M|1289k 1280k|   0   655k|   0  67.9 |7544    17k|2.78 1.26 0.71|4.0   0  60|   0     0 |   0     0 |  9   36    0   11    0
Nov 22 04:45:12 ubuntu dstat.sh[79342]: 22-11 04:45:12| 72  16  12   0   0|1307M  928M  187M 5314M| 137k  129k|   0   401k|   0  23.0 |2393  4485 |3.04 1.34 0.74|3.0   0 271|   0     0 |   0     0 |  9   34    0   11    0
Nov 22 04:45:13 ubuntu dstat.sh[79342]: 22-11 04:45:13| 65   8  27   0   0|1382M  852M  187M 5314M| 387k  376k|   0   556k|   0  19.0 |2537  5470 |3.04 1.34 0.74|6.0   0   0|   0     0 |   0     0 |  9   37    0   12    0
Nov 22 04:45:14 ubuntu dstat.sh[79342]: 22-11 04:45:14| 59  15  22   1   0|1235M  999M  187M 5314M| 821k  812k|   0    50M|   0   282 |6686    15k|3.04 1.34 0.74|4.0   0 287|   0     0 |   0     0 |  9   34    0   12    0
