-- Logs begin at Wed 2022-07-27 03:05:10 UTC, end at Wed 2022-07-27 04:48:05 UTC. --
Jul 27 04:10:25 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 27 04:10:25 ubuntu dstat.sh[92539]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 27 04:10:25 ubuntu dstat.sh[92539]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 27 04:10:25 ubuntu dstat.sh[92539]: 27-07 04:10:25|                   | 861M 1515M  187M 5059M|           |           |           |           |1.31 0.53 0.37|4.0   0    |           |   0     0 |  8    5    1   10    2
Jul 27 04:10:26 ubuntu dstat.sh[92539]: 27-07 04:10:26| 11  20  69   0   0| 861M 1514M  187M 5059M| 214k 5403 |   0   256k|   0  4.00 |2570  3931 |1.31 0.53 0.37|5.0   0 362|   0     0 |   0     0 |  8    5    1   10    2
Jul 27 04:10:27 ubuntu dstat.sh[92539]: 27-07 04:10:27| 21  20  58   0   0| 845M 1529M  187M 5061M| 531k 7813 |   0   196k|   0  6.50 |2866  4812 |1.31 0.53 0.37|3.0   0 308|   0     0 |   0     0 |  8    6    1   10    2
Jul 27 04:10:28 ubuntu dstat.sh[92539]: 27-07 04:10:28| 21  17  62   0   0| 846M 1526M  187M 5063M|1169k   15k|   0    16k|   0  4.00 |4933  7611 |1.31 0.53 0.37| 18   0 199|   0     0 |   0     0 |  8    6    1   10    2
Jul 27 04:10:29 ubuntu dstat.sh[92539]: 27-07 04:10:29| 14  11  74   0   0| 995M 1376M  187M 5185M| 230k 8626 |   0  2302k|   0  11.0 |2371  3700 |1.20 0.52 0.36|2.0   0  81|   0     0 |   0     0 |  9    8    1   10    2
Jul 27 04:10:30 ubuntu dstat.sh[92539]: 27-07 04:10:30| 22   7  69   1   0| 999M 1371M  187M 5187M| 793k   21k|   0   612k|   0  17.0 |2177  1975 |1.20 0.52 0.36|2.0   0  81|   0     0 |   0     0 |  9    8    1   10    2
Jul 27 04:10:31 ubuntu dstat.sh[92539]: 27-07 04:10:31| 29  12  55   2   0| 994M 1374M  187M 5189M| 834k   34k|   0  2674k|   0  44.0 |2856  3145 |1.20 0.52 0.36|2.0   0 175|   0     0 |   0     0 |  9    6    1   12    2
Jul 27 04:10:32 ubuntu dstat.sh[92539]: 27-07 04:10:32| 45   7  46   1   0|1047M 1319M  187M 5190M| 171k 7106 |  44k 1591k|6.00  15.0 |1408  1329 |1.20 0.52 0.36|2.0   0 2.0|   0     0 |   0     0 |  9    6    1   12    2
Jul 27 04:10:33 ubuntu dstat.sh[92539]: 27-07 04:10:33| 34   4  46  15   0|1061M 1305M  187M 5191M|8599  3437 |   0    26M|   0   405 |1775  1269 |1.20 0.52 0.36|1.0   0 4.0|   0     0 |   0     0 |  9    7    1   12    2
Jul 27 04:10:34 ubuntu dstat.sh[92539]: 27-07 04:10:34| 18   3  67  11   0|1082M 1282M  187M 5191M| 151k   29k|   0  6711k|   0   485 |3840  7011 |1.34 0.56 0.38|1.0 1.0  13|   0     0 |   0     0 |  9    9    1   12    2
Jul 27 04:10:35 ubuntu dstat.sh[92539]: 27-07 04:10:35| 18   4  62  15   0|1023M 1339M  188M 5194M|  58k   21k|   0  8373k|   0   692 |4457  9204 |1.34 0.56 0.38|1.0   0   0|   0     0 |   0     0 |  9    8    1   12    2
