-- Logs begin at Tue 2022-07-26 14:20:58 UTC, end at Tue 2022-07-26 16:23:45 UTC. --
Jul 26 15:44:05 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 26 15:44:06 ubuntu dstat.sh[99973]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 26 15:44:06 ubuntu dstat.sh[99973]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 26 15:44:06 ubuntu dstat.sh[99973]: 26-07 15:44:06|                   | 842M 1532M  188M 5060M|           |           |           |           |1.60 0.61 0.37|5.0   0    |           |   0     0 |  8    4    0   11    2
Jul 26 15:44:07 ubuntu dstat.sh[99973]: 26-07 15:44:07| 35  19  45   0   0| 850M 1523M  188M 5061M| 990k   14k|   0   168k|   0  5.99 |3241  4273 |1.66 0.63 0.38|5.0   0 416|   0     0 |   0     0 |  8    4    0   11    2
Jul 26 15:44:08 ubuntu dstat.sh[99973]: 26-07 15:44:08| 21  18  60   0   0| 844M 1526M  188M 5064M|1028k   18k|   0  2158k|   0  9.50 |3849  5578 |1.71 0.65 0.38|3.0   0 332|   0     0 |   0     0 |  8    5    0   11    2
Jul 26 15:44:09 ubuntu dstat.sh[99973]: 26-07 15:44:09| 27  15  57   1   0| 849M 1520M  188M 5064M| 222k 8647 |   0   770k|   0  14.0 |4093  6811 |1.71 0.65 0.38|3.0   0 137|   0     0 |   0     0 |  8    5    0   11    2
Jul 26 15:44:10 ubuntu dstat.sh[99973]: 26-07 15:44:10|  8   4  86   1   0| 981M 1388M  188M 5187M| 241k 8991 |   0   652k|   0  12.0 |2106  3313 |1.71 0.65 0.38|1.0   0  33|   0     0 |   0     0 |  9    6    0   11    2
Jul 26 15:44:11 ubuntu dstat.sh[99973]: 26-07 15:44:11| 19   8  73   1   0| 985M 1383M  188M 5187M|  73k 6765 |   0   344k|   0  13.0 |1636  2095 |1.71 0.65 0.38|3.0   0 105|   0     0 |   0     0 |  9    8    0   11    2
Jul 26 15:44:12 ubuntu dstat.sh[99973]: 26-07 15:44:12| 20  12  64   5   0|1008M 1360M  188M 5188M| 293k   22k|   0    18M|   0   418 |2921  3188 |1.82 0.69 0.39|1.0   0 182|   0     0 |   0     0 |  9    8    0   13    2
Jul 26 15:44:13 ubuntu dstat.sh[99973]: 26-07 15:44:13| 28   3  67   1   0|1051M 1313M  188M 5191M|1026k   30k|  44k 1920k|5.99  28.9 |2170  1686 |1.82 0.69 0.39|1.0   0 3.0|   0     0 |   0     0 |  9    8    0   13    2
Jul 26 15:44:14 ubuntu dstat.sh[99973]: 26-07 15:44:14| 45   5  48   1   0|1044M 1319M  188M 5192M| 229k   13k|   0  2320k|   0  13.0 |1466  1044 |1.82 0.69 0.39|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   13    2
Jul 26 15:44:15 ubuntu dstat.sh[99973]: 26-07 15:44:15| 36   6  43  15   0|1085M 1277M  188M 5193M|  66k   30k|   0  7331k|   0   615 |4643  8621 |1.82 0.69 0.39|2.0 1.0  13|   0     0 |   0     0 |  9    8    0   13    2
Jul 26 15:44:16 ubuntu dstat.sh[99973]: 26-07 15:44:16| 15   4  61  19   0|1090M 1269M  189M 5196M|  47k   21k|   0  8862k|   0   816 |5101    11k|1.82 0.69 0.39|2.0 2.0 7.0|   0     0 |   0     0 |  9    9    0   11    2
Jul 26 15:44:17 ubuntu dstat.sh[99973]: 26-07 15:44:17| 15   3  64  17   0|1095M 1260M  189M 5199M| 202k   28k|   0  9014k|   0   770 |5325    10k|1.91 0.73 0.41|1.0 1.0  29|   0     0 |   0     0 |  9   11    0   11    2
Jul 26 15:44:18 ubuntu dstat.sh[99973]: 26-07 15:44:18| 16   4  59  19   0|1034M 1319M  190M 5201M|  62k   18k|   0    16M|   0   730 |5298  9696 |1.91 0.73 0.41|5.0   0  13|   0     0 |   0     0 |  9   10    0   11    2
Jul 26 15:44:19 ubuntu dstat.sh[99973]: 26-07 15:44:19| 10   3  66  20   0|1036M 1313M  190M 5203M| 643k   36k|   0  6756k|   0   676 |5953    10k|1.91 0.73 0.41|1.0 1.0  14|   0     0 |   0     0 |  9   10    0   11    2
Jul 26 15:44:20 ubuntu dstat.sh[99973]: 26-07 15:44:20| 30   4  62   2   0|1040M 1309M  190M 5204M| 664k  177k|   0  3408k|   0   254 |4780  7937 |1.91 0.73 0.41|2.0   0   0|   0     0 |   0     0 |  9   10    0   11    2
