-- Logs begin at Tue 2022-12-06 11:57:53 UTC, end at Wed 2022-12-07 06:37:34 UTC. --
Dec 07 05:49:51 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 07 05:49:51 ubuntu dstat.sh[92286]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 07 05:49:51 ubuntu dstat.sh[92286]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 07 05:49:51 ubuntu dstat.sh[92286]: 07-12 05:49:51|                   | 988M 1053M  195M 5383M|           |           |           |           |1.38 0.55 0.20|2.0   0    |           |   0     0 |  8    8    0   10    2
Dec 07 05:49:52 ubuntu dstat.sh[92286]: 07-12 05:49:52| 20  20  58   0   0| 990M 1050M  195M 5383M| 257k   13k|   0   806k|   0  19.0 |3355    15k|1.38 0.55 0.20|2.5   0 436|   0     0 |   0     0 |  8    8    0   10    2
Dec 07 05:49:53 ubuntu dstat.sh[92286]: 07-12 05:49:53| 27  22  51   1   0| 896M 1143M  195M 5384M| 478k   19k|   0   941k|   0  18.5 |3348    10k|1.38 0.55 0.20|3.0   0 372|   0     0 |   0     0 |  8    6    0   11    2
Dec 07 05:49:54 ubuntu dstat.sh[92286]: 07-12 05:49:54| 19  17  63   0   0| 895M 1143M  195M 5385M| 664k   20k|   0    16k|   0  3.99 |3867  6119 |1.38 0.55 0.20|1.0   0 205|   0     0 |   0     0 |  8    6    0    8    2
Dec 07 05:49:55 ubuntu dstat.sh[92286]: 07-12 05:49:55| 15  10  73   0   0|1032M 1003M  195M 5509M|1134k   20k|   0     0 |   0     0 |4005  5802 |1.38 0.55 0.20|  0   0  71|   0     0 |   0     0 |  9    6    0    8    2
Dec 07 05:49:56 ubuntu dstat.sh[92286]: 07-12 05:49:56| 10   8  82   0   1|1039M  994M  195M 5511M|1120k   20k|   0    12k|   0  3.00 |2190  2230 |1.27 0.54 0.20|3.0   0  92|   0     0 |   0     0 |  9    8    0    8    2
Dec 07 05:49:57 ubuntu dstat.sh[92286]: 07-12 05:49:57| 17  11  71   0   0|1036M  994M  195M 5514M|1383k   24k|   0   292k|   0  18.0 |2734  3175 |1.27 0.54 0.20|1.0   0 179|   0     0 |   0     0 |  9    8    0   10    2
Dec 07 05:49:58 ubuntu dstat.sh[92286]: 07-12 05:49:58| 32   7  58   3   0|1056M  973M  195M 5515M| 765k 6611 |  20k 1845k|2.00  19.0 |1736  1714 |1.27 0.54 0.20|2.0   0  20|   0     0 |   0     0 |  9    6    0   10    2
Dec 07 05:49:59 ubuntu dstat.sh[92286]: 07-12 05:49:59| 45   4  47   4   0|1091M  936M  195M 5518M| 589k 7493 | 176k 4859k|12.0  15.0 |1642  1584 |1.27 0.54 0.20|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 07 05:50:00 ubuntu dstat.sh[92286]: 07-12 05:50:00| 35   4  59   0   0|1110M  916M  195M 5519M| 592k 6957 |  12k  812k|1.00  14.0 |1437  1339 |1.27 0.54 0.20|1.0   0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Dec 07 05:50:01 ubuntu dstat.sh[92286]: 07-12 05:50:01| 10   3  66  21   1|1126M  896M  196M 5522M| 821k   21k|   0    10M|   0   825 |5561    10k|1.33 0.57 0.21|  0 1.0  10|   0     0 |   0     0 |  9    9    0   10    2
Dec 07 05:50:02 ubuntu dstat.sh[92286]: 07-12 05:50:02| 15   4  61  21   0|1139M  880M  196M 5525M| 614k   14k|   0  9371k|   0   635 |4982  9017 |1.33 0.57 0.21|  0 1.0 3.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 07 05:50:03 ubuntu dstat.sh[92286]: 07-12 05:50:03|  9   3  65  22   0|1140M  876M  196M 5527M| 228k   14k|   0  6971k|   0   593 |5161  9003 |1.33 0.57 0.21|1.0   0  23|   0     0 |   0     0 |  9   10    0   10    2
Dec 07 05:50:04 ubuntu dstat.sh[92286]: 07-12 05:50:04| 10   2  64  20   0|1142M  872M  196M 5529M| 160k   14k|   0  6155k|   0   602 |5614  9293 |1.33 0.57 0.21|1.0   0  19|   0     0 |   0     0 |  9   10    0   10    2
Dec 07 05:50:05 ubuntu dstat.sh[92286]: 07-12 05:50:05|  8   4  65  21   0|1145M  867M  197M 5531M| 346k   16k|   0    16M|   0   593 |5241  8774 |1.33 0.57 0.21|1.0 1.0 5.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 07 05:50:06 ubuntu dstat.sh[92286]: 07-12 05:50:06| 19   3  65  12   0|1051M  958M  197M 5533M| 778k   21k|   0  3850k|   0   384 |4245  6614 |1.46 0.61 0.23|1.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Dec 07 05:50:07 ubuntu dstat.sh[92286]: 07-12 05:50:07| 29   8  61   1   0|1064M  944M  197M 5535M| 620k   15k|   0  2194k|   0  30.0 |1977  2183 |1.46 0.61 0.23|2.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
Dec 07 05:50:08 ubuntu dstat.sh[92286]: 07-12 05:50:08| 49   6  45   0   0|1132M  875M  197M 5535M|  53k 5616 |   0   824k|   0  26.0 |1318  1275 |1.46 0.61 0.23|3.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Dec 07 05:50:09 ubuntu dstat.sh[92286]: 07-12 05:50:09| 46   5  48   2   0|1069M  938M  197M 5536M|  65k 5794 |   0  7463k|   0   388 |2404  3040 |1.46 0.61 0.23|2.0   0  15|   0     0 |   0     0 |  9    6    1   10    2
Dec 07 05:50:10 ubuntu dstat.sh[92286]: 07-12 05:50:10| 28   5  65   2   0|1119M  887M  197M 5536M|  69k 7368 |   0    36M|   0   569 |2510  3055 |1.46 0.61 0.23|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Dec 07 05:50:11 ubuntu dstat.sh[92286]: 07-12 05:50:11| 34   2  60   3   0|1145M  861M  197M 5536M|  39k 6529 |   0  7612k|   0   413 |2299  2926 |1.42 0.61 0.23|1.0   0   0|   0     0 |   0     0 |  9    7    1   10    2
Dec 07 05:50:12 ubuntu dstat.sh[92286]: 07-12 05:50:12| 14  18  66   1   0|1055M  951M  197M 5536M| 196k   11k|   0  7863k|   0   396 |3870  5980 |1.42 0.61 0.23|1.0   0 334|   0     0 |   0     0 |  9    8    0   10    2
Dec 07 05:50:13 ubuntu dstat.sh[92286]: 07-12 05:50:13| 14  19  66   1   0|1055M  949M  197M 5537M|  63k 6076 |   0  1277k|   0  58.0 |2750  4349 |1.42 0.61 0.23|2.0   0 336|   0     0 |   0     0 |  9    8    0   10    2
Dec 07 05:50:14 ubuntu dstat.sh[92286]: 07-12 05:50:14| 25  15  56   0   0|1081M  922M  197M 5539M| 833k   20k| 184k  372k|2.00  14.0 |5099  7466 |1.42 0.61 0.23|4.0   0 108|   0     0 |   0     0 |  9    8    0   10    2
Dec 07 05:50:15 ubuntu dstat.sh[92286]: 07-12 05:50:15| 49  12  37   2   1|1185M  816M  197M 5541M| 945k   24k| 140k   12M|2.00   392 |3431  3820 |1.42 0.61 0.23|3.0   0 114|   0     0 |   0     0 |  9    9    0   10    2
Dec 07 05:50:16 ubuntu dstat.sh[92286]: 07-12 05:50:16| 45   4  45   5   0|1240M  758M  197M 5543M|1084k   20k|  20k 2660k|4.00  25.0 |2580  2026 |1.47 0.64 0.24|3.0 1.0   0|   0     0 |   0     0 |  9    9    0   10    2
Dec 07 05:50:17 ubuntu dstat.sh[92286]: 07-12 05:50:17| 76   5  19   1   0|1250M  746M  197M 5545M| 610k   20k| 352k 1064k|4.00  7.00 |2314  1739 |1.47 0.64 0.24|4.0   0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Dec 07 05:50:18 ubuntu dstat.sh[92286]: 07-12 05:50:18| 55  14  29   0   0|1304M  689M  197M 5547M|  81k 7199 |   0   904k|   0  9.00 |2929  7204 |1.47 0.64 0.24|3.0   0 146|   0     0 |   0     0 |  9    6    0   11    2
Dec 07 05:50:19 ubuntu dstat.sh[92286]: 07-12 05:50:19| 28   3  68   1   0|1348M  646M  197M 5547M|  54k 7003 |   0   392k|   0  8.99 |1172  1232 |1.47 0.64 0.24|2.0   0   0|   0     0 |   0     0 |  9    7    0   11    2
Dec 07 05:50:20 ubuntu dstat.sh[92286]: 07-12 05:50:20| 37   4  58   1   0|1391M  601M  198M 5549M| 114k 7839 |   0  2511k|   0   126 |1570  1322 |1.47 0.64 0.24|4.0   0 2.0|   0     0 |   0     0 |  9    7    1   11    2
Dec 07 05:50:21 ubuntu dstat.sh[92286]: 07-12 05:50:21| 32   5  58   3   0|1395M  595M  198M 5550M|  88k   69k|   0  9563k|   0   320 |3337  5281 |1.51 0.66 0.25|1.0   0 3.0|   0     0 |   0     0 |  9    8    0   13    2
Dec 07 05:50:22 ubuntu dstat.sh[92286]: 07-12 05:50:22| 23   6  69   1   0|1318M  671M  198M 5551M| 323k   13k|   0   757k|   0  17.0 |1757  1949 |1.51 0.66 0.25|2.0   0  45|   0     0 |   0     0 |  9    8    0   13    2
Dec 07 05:50:23 ubuntu dstat.sh[92286]: 07-12 05:50:23| 25   4  71   1   0|1344M  644M  198M 5551M| 219k   32k|  64k 1022k|5.99  8.98 |1511  1678 |1.51 0.66 0.25|2.0   0 2.0|   0     0 |   0     0 |  9   15    0   11    2
Dec 07 05:50:24 ubuntu dstat.sh[92286]: 07-12 05:50:24| 23   4  65   7   1|1361M  620M  198M 5558M|1422k  127k| 216k 2106k|54.0  44.0 |3084  3652 |1.51 0.66 0.25|4.0   0 5.0|   0     0 |   0     0 |  9   34    0   11    2
Dec 07 05:50:25 ubuntu dstat.sh[92286]: 07-12 05:50:25| 33   6  61   0   0|1337M  642M  198M 5559M| 639k   14k|   0   720k|   0  5.00 |1870  1798 |1.51 0.66 0.25|2.0   0  46|   0     0 |   0     0 |  9   34    0   11    2
Dec 07 05:50:26 ubuntu dstat.sh[92286]: 07-12 05:50:26| 31   3  64   1   0|1229M  749M  198M 5561M| 744k   76k|   0  6651k|   0  23.0 |2205  2306 |1.47 0.66 0.26|2.0   0  15|   0     0 |   0     0 |  9   32    0   11    2
Dec 07 05:50:27 ubuntu dstat.sh[92286]: 07-12 05:50:27| 39  11  50   0   0|1308M  668M  198M 5561M| 376k   12k|   0   704k|   0  12.0 |2180  2525 |1.47 0.66 0.26|2.0   0 148|   0     0 |   0     0 |  9   32    0   11    2
Dec 07 05:50:28 ubuntu dstat.sh[92286]: 07-12 05:50:28| 48   5  46   0   0|1364M  612M  198M 5561M| 274k  203k|   0   520k|   0  15.0 |2156  3423 |1.47 0.66 0.26|2.0   0 1.0|   0     0 |   0     0 |  9   36    0   11    2
Dec 07 05:50:29 ubuntu dstat.sh[92286]: 07-12 05:50:29| 53  13  36   1   0|1257M  719M  198M 5562M| 548k  512k|  28k  693k|2.00  57.1 |4149  9487 |1.47 0.66 0.26|4.0   0 249|   0     0 |   0     0 |  9   36    0   11    2
Dec 07 05:50:30 ubuntu dstat.sh[92286]: 07-12 05:50:30| 82  18   0   0   0|1431M  545M  198M 5562M| 126k 7000 |   0   904k|   0  50.0 |1964  3248 |1.47 0.66 0.26|6.0   0 300|   0     0 |   0     0 |  9   36    0   11    2
Dec 07 05:50:31 ubuntu dstat.sh[92286]: 07-12 05:50:31| 86  13   0   0   0|1581M  394M  198M 5563M| 682k  464k|   0  5720k|   0  71.0 |4170  6721 |1.91 0.77 0.29|6.0   0  46|   0     0 |   0     0 |  9   39    0   11    2
Dec 07 05:50:32 ubuntu dstat.sh[92286]: 07-12 05:50:32| 84  12   2   0   0|1385M  590M  199M 5563M| 618k  604k|   0  1324k|   0  94.0 |5233    12k|1.91 0.77 0.29|3.0   0 173|   0     0 |   0     0 |  9   38    0   12    2
Dec 07 05:50:33 ubuntu dstat.sh[92286]: 07-12 05:50:33| 33   9  57   1   0|1262M  713M  199M 5563M| 296k  235k|   0  1234k|   0  72.9 |3328  6319 |1.91 0.77 0.29|1.0   0 140|   0     0 |   0     0 |  9   36    0   12    2
Dec 07 05:50:34 ubuntu dstat.sh[92286]: 07-12 05:50:34| 36   6  58   1   0|1304M  670M  199M 5563M|  22k 2662 |   0   768k|   0  28.0 |1240  1448 |1.91 0.77 0.29|2.0   0 5.0|   0     0 |   0     0 |  9   36    0   12    2
Dec 07 05:50:35 ubuntu dstat.sh[92286]: 07-12 05:50:35| 43   8  47   1   0|1317M  653M  199M 5566M| 216k  208k|   0  1693k|   0  49.0 |3186  5634 |1.91 0.77 0.29|2.0   0 3.0|   0     0 |   0     0 |  9   36    0   10    2
Dec 07 05:50:36 ubuntu dstat.sh[92286]: 07-12 05:50:36| 38   9  49   4   0|1298M  658M  199M 5578M|9415  1608 |   0  2044k|   0  65.0 |1733  2220 |1.92 0.79 0.30|2.0   0  70|   0     0 |   0     0 |  9   36    0   10    2
Dec 07 05:50:37 ubuntu dstat.sh[92286]: 07-12 05:50:37| 38   6  48   7   0|1329M  617M  200M 5588M| 207k  200k|   0  2648k|   0   130 |2779  4737 |1.92 0.79 0.30|4.0 1.0 2.0|   0     0 |   0     0 |  9   36    0   10    2
Dec 07 05:50:38 ubuntu dstat.sh[92286]: 07-12 05:50:38| 28  21  45   5   1|1259M  675M  201M 5597M|8078  1715 |   0  2422k|   0  93.1 |2886  4293 |1.92 0.79 0.30|1.0 1.0 364|   0     0 |   0     0 |  9   36    0   10    2
Dec 07 05:50:39 ubuntu dstat.sh[92286]: 07-12 05:50:39| 47  26  21   4   0|1323M  597M  201M 5608M|  17k 1622 |   0  2720k|   0   104 |2800  4832 |1.92 0.79 0.30|5.0   0 551|   0     0 |   0     0 |  9   36    0   10    2
Dec 07 05:50:40 ubuntu dstat.sh[92286]: 07-12 05:50:40| 84  15   0   0   0|1479M  421M  202M 5626M|7425  1620 |   0  3725k|   0   188 |2459  3149 |1.92 0.79 0.30|6.0   0 130|   0     0 |   0     0 |  9   36    0   10    2
Dec 07 05:50:41 ubuntu dstat.sh[92286]: 07-12 05:50:41| 85  12   2   0   0|1568M  330M  202M 5628M|1029k 1022k|   0  4380k|   0  77.0 |5722    13k|2.33 0.89 0.34|5.0 1.0 1.0|   0     0 |   0     0 |  9   39    0   10    2
Dec 07 05:50:42 ubuntu dstat.sh[92286]: 07-12 05:50:42| 82  13   3   0   0|1487M  410M  202M 5628M| 703k  696k|   0   500k|   0  67.0 |5349    11k|2.33 0.89 0.34|6.0   0  96|   0     0 |   0     0 |  9   38    0   10    2
Dec 07 05:50:43 ubuntu dstat.sh[92286]: 07-12 05:50:43| 87  13   1   0   0|1422M  495M  202M 5609M| 328k  322k|   0  1344k|   0  42.0 |3447  7089 |2.33 0.89 0.34|7.0   0 188|   0     0 |   0     0 |  9   35    0   10    0
Dec 07 05:50:44 ubuntu dstat.sh[92286]: 07-12 05:50:44| 85  14   0   0   0|1580M  337M  202M 5609M| 904k  897k|   0   716k|   0  33.0 |5316    13k|2.33 0.89 0.34|9.0   0  50|   0     0 |   0     0 |  9   37    0   11    0
Dec 07 05:50:45 ubuntu dstat.sh[92286]: 07-12 05:50:45| 87  12   0   0   0|1521M  397M  202M 5609M| 785k  779k|   0   596k|   0  31.0 |4806    29k|2.33 0.89 0.34|6.0   0  67|   0     0 |   0     0 |  9   36    0   11    0
Dec 07 05:50:46 ubuntu dstat.sh[92286]: 07-12 05:50:46| 74  10  12   4   0|1376M  541M  202M 5609M|1080k 1071k|   0    14M|   0   472 |6593    14k|2.62 0.98 0.37|5.0   0 143|   0     0 |   0     0 |  9   34    0   14    0
Dec 07 05:50:47 ubuntu dstat.sh[92286]: 07-12 05:50:47| 67  14  17   0   0|1350M  567M  202M 5609M|8068  1565 |   0   144k|   0  8.00 |8152    17k|2.62 0.98 0.37|3.0   0 116|   0     0 |   0     0 |  9   34    0   11    0
Dec 07 05:50:48 ubuntu dstat.sh[92286]: 07-12 05:50:48| 64   9  24   0   0|1358M  558M  202M 5609M| 473k  466k|   0   572k|   0  37.0 |3524  7451 |2.62 0.98 0.37|4.0   0 4.0|   0     0 |   0     0 |  9   35    0   12    0
Dec 07 05:50:49 ubuntu dstat.sh[92286]: 07-12 05:50:49| 70  21   8   0   1|1297M  619M  202M 5610M| 330k  322k|   0   489k|   0  28.0 |3436  7134 |2.62 0.98 0.37|6.0   0 374|   0     0 |   0     0 |  9   34    0   12    0
Dec 07 05:50:50 ubuntu dstat.sh[92286]: 07-12 05:50:50| 87  11   1   0   0|1377M  539M  202M 5610M| 254k  245k|   0   320k|   0  17.0 |2641  4254 |2.62 0.98 0.37|7.0   0  47|   0     0 |   0     0 |  9   36    0   12    0
Dec 07 05:50:51 ubuntu dstat.sh[92286]: 07-12 05:50:51| 61  14  24   0   0|1217M  698M  202M 5610M| 801k  794k|   0  6696k|   0   205 |6406    14k|2.41 0.96 0.37|5.0   0 273|   0     0 |   0     0 |  9   34    0   14    0
Dec 07 05:50:52 ubuntu dstat.sh[92286]: 07-12 05:50:52| 85  15   0   0   0|1424M  491M  202M 5611M|  62k   53k|   0   208k|   0  8.00 |2021  4618 |2.41 0.96 0.37|6.0   0  49|   0     0 |   0     0 |  9   34    0   14    0
Dec 07 05:50:53 ubuntu dstat.sh[92286]: 07-12 05:50:53| 67   9  23   0   0|1451M  464M  202M 5611M|1145k 1138k|   0   332k|   0  36.0 |6012    17k|2.41 0.96 0.37|4.0   0 2.0|   0     0 |   0     0 |  9   38    0   16    0
Dec 07 05:50:54 ubuntu dstat.sh[92286]: 07-12 05:50:54| 66  19  15   0   0|1246M  669M  202M 5611M| 570k  562k|   0   705k|   0  55.1 |5526    11k|2.41 0.96 0.37|3.0   0 328|   0     0 |   0     0 |  9   34    0   16    0
Dec 07 05:50:55 ubuntu dstat.sh[92286]: 07-12 05:50:55| 66   9  24   0   0|1370M  545M  202M 5611M| 108k  102k|   0   220k|   0  15.0 |1814  2405 |2.41 0.96 0.37|3.0   0 1.0|   0     0 |   0     0 |  9   34    0   16    0
Dec 07 05:50:56 ubuntu dstat.sh[92286]: 07-12 05:50:56| 64  16  19   0   0|1290M  625M  202M 5611M| 961k  955k|   0  2235k|   0  74.0 |5275    14k|2.62 1.03 0.39|5.0 1.0 253|   0     0 |   0     0 |  9   35    0   17    0
Dec 07 05:50:57 ubuntu dstat.sh[92286]: 07-12 05:50:57| 74  12  14   0   0|1353M  561M  202M 5611M| 168k  162k|   0   256k|   0  17.0 |2047  3295 |2.62 1.03 0.39|3.0   0  54|   0     0 |   0     0 |  9   34    0   18    0
Dec 07 05:50:58 ubuntu dstat.sh[92286]: 07-12 05:50:58| 61   9  30   0   0|1257M  657M  202M 5611M| 794k  787k|   0   412k|   0  40.0 |4812    11k|2.62 1.03 0.39|3.0   0  20|   0     0 |   0     0 |  9   35    0   18    0
Dec 07 05:50:59 ubuntu dstat.sh[92286]: 07-12 05:50:59| 69  18  12   0   0|1319M  595M  202M 5612M| 363k  356k|   0   376k|   0  27.0 |3649  7217 |2.62 1.03 0.39|3.0   0 272|   0     0 |   0     0 |  9   34    0   16    0
Dec 07 05:51:00 ubuntu dstat.sh[92286]: 07-12 05:51:00| 60   9  30   0   0|1385M  529M  203M 5612M| 555k  548k|   0   384k|   0  33.0 |4430  8294 |2.62 1.03 0.39|3.0   0   0|   0     0 |   0     0 |  9   36    0   16    0
Dec 07 05:51:01 ubuntu dstat.sh[92286]: 07-12 05:51:01| 64  11  25   0   1|1272M  643M  203M 5612M| 355k  348k|   0   444k|   0  46.0 |3668  6847 |2.57 1.05 0.40|5.0   0 117|   0     0 |   0     0 |  9   34    0   18    0
Dec 07 05:51:02 ubuntu dstat.sh[92286]: 07-12 05:51:02| 66   9  25   0   0|1381M  533M  203M 5612M| 144k  137k|   0   244k|   0  15.0 |1936  2629 |2.57 1.05 0.40|4.0   0   0|   0     0 |   0     0 |  9   36    0   19    0
