-- Logs begin at Tue 2022-08-02 20:29:50 UTC, end at Wed 2022-08-03 05:25:40 UTC. --
Aug 03 04:48:44 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 03 04:48:44 ubuntu dstat.sh[92048]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 03 04:48:44 ubuntu dstat.sh[92048]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 03 04:48:44 ubuntu dstat.sh[92048]: 03-08 04:48:44|                   | 879M 1355M  190M 5194M|           |           |           |           |1.19 0.84 0.59|4.0   0    |           |   0     0 |  8    6    0   10    2
Aug 03 04:48:45 ubuntu dstat.sh[92048]: 03-08 04:48:45| 31  20  46   1   0| 870M 1365M  190M 5194M| 202k   10k|   0  1974k|   0  27.0 |2727  4010 |1.22 0.85 0.59|3.5   0 384|   0     0 |   0     0 |  8    5    0   10    2
Aug 03 04:48:46 ubuntu dstat.sh[92048]: 03-08 04:48:46| 39  20  40   1   0| 859M 1375M  190M 5195M| 136k 7375 |   0    25M|   0   173 |3533  5482 |1.25 0.86 0.59|3.0   0 318|   0     0 |   0     0 |  8    4    0   10    2
Aug 03 04:48:47 ubuntu dstat.sh[92048]: 03-08 04:48:47| 28  16  55   0   0| 860M 1373M  190M 5195M|  35k 5404 |   0  1169k|   0  13.0 |3314  6190 |1.25 0.86 0.59|1.0   0 152|   0     0 |   0     0 |  8    5    0   10    2
Aug 03 04:48:48 ubuntu dstat.sh[92048]: 03-08 04:48:48|  9   8  82   1   1|1000M 1231M  190M 5319M| 922k   26k|   0   968k|   0  3.00 |3368  5549 |1.25 0.86 0.59|  0 1.0  37|   0     0 |   0     0 |  9    5    0   10    2
Aug 03 04:48:49 ubuntu dstat.sh[92048]: 03-08 04:48:49| 23   8  68   1   0|1008M 1223M  190M 5319M| 229k   14k|   0   781k|   0  17.0 |1826  2325 |1.25 0.86 0.59|2.0   0 104|   0     0 |   0     0 |  9    8    0   10    2
Aug 03 04:48:50 ubuntu dstat.sh[92048]: 03-08 04:48:50| 22  12  64   0   0|1021M 1209M  190M 5320M| 499k   28k|   0   764k|   0  22.0 |2513  3449 |1.31 0.88 0.60|1.0   0 187|   0     0 |   0     0 |  9    8    0   12    2
Aug 03 04:48:51 ubuntu dstat.sh[92048]: 03-08 04:48:51| 25   5  69   2   0|1056M 1172M  190M 5321M| 191k 8931 |  28k 1473k|4.00  24.0 |1312  1531 |1.31 0.88 0.60|1.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   12    2
Aug 03 04:48:52 ubuntu dstat.sh[92048]: 03-08 04:48:52| 28   2  68   1   0|1076M 1151M  190M 5322M| 522k   15k|  16k   33M|2.00   130 |1743  1500 |1.31 0.88 0.60|1.0   0   0|   0     0 |   0     0 |  9    8    0   12    2
Aug 03 04:48:53 ubuntu dstat.sh[92048]: 03-08 04:48:53| 24   3  64   8   0|1035M 1190M  190M 5325M| 988k   34k|   0  4658k|   0   276 |3581  5031 |1.31 0.88 0.60|  0 1.0 5.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 03 04:48:54 ubuntu dstat.sh[92048]: 03-08 04:48:54|  7   3  60  26   1|1036M 1186M  191M 5327M|  64k   12k|   0    14M|   0  1070 |5602    11k|1.31 0.88 0.60|1.0 1.0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 03 04:48:55 ubuntu dstat.sh[92048]: 03-08 04:48:55| 26   6  51  18   0|1064M 1153M  191M 5331M|  68k 9424 |   0  8879k|   0   686 |4286  9324 |1.45 0.91 0.62|1.0 1.0  21|   0     0 |   0     0 |  9    8    0   10    2
Aug 03 04:48:56 ubuntu dstat.sh[92048]: 03-08 04:48:56| 23   2  54  18   0|1044M 1170M  191M 5334M|  22k 8330 |   0  7418k|   0   648 |4122  9069 |1.45 0.91 0.62|  0 1.0  21|   0     0 |   0     0 |  9    8    0   10    2
Aug 03 04:48:57 ubuntu dstat.sh[92048]: 03-08 04:48:57|  9   2  67  21   0|1046M 1166M  191M 5335M| 116k   13k|   0    10M|   0   645 |4390  8566 |1.45 0.91 0.62|  0 1.0 8.0|   0     0 |   0     0 |  9    8    0   10    2
Aug 03 04:48:58 ubuntu dstat.sh[92048]: 03-08 04:48:58| 25   5  57  12   0|1069M 1136M  192M 5341M| 831k   27k|   0  5693k|   0   391 |4589  7433 |1.45 0.91 0.62|2.0   0  14|   0     0 |   0     0 |  9    6    0   10    2
Aug 03 04:48:59 ubuntu dstat.sh[92048]: 03-08 04:48:59| 44   6  49   0   0|1019M 1185M  192M 5342M|7684  1618 |   0     0 |   0     0 |1550  1739 |1.45 0.91 0.62|2.0   0  78|   0     0 |   0     0 |  9    6    0   10    2
Aug 03 04:49:00 ubuntu dstat.sh[92048]: 03-08 04:49:00| 29   2  69   0   0|1040M 1164M  192M 5342M| 323k   11k|   0   540k|   0  4.00 |1485  1417 |1.41 0.92 0.62|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 03 04:49:01 ubuntu dstat.sh[92048]: 03-08 04:49:01| 29   1  68   1   1| 954M 1249M  192M 5343M| 489k   16k|   0  7761k|   0   402 |2852  3250 |1.41 0.92 0.62|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Aug 03 04:49:02 ubuntu dstat.sh[92048]: 03-08 04:49:02| 24   4  68   2   0|1009M 1193M  192M 5343M| 190k 8219 |   0    11M|   0   446 |2710  3336 |1.41 0.92 0.62|1.0   0  10|   0     0 |   0     0 |  9    6    0   10    2
Aug 03 04:49:03 ubuntu dstat.sh[92048]: 03-08 04:49:03| 27   3  68   2   0|1043M 1159M  192M 5343M|  74k 6552 |   0  7451k|   0   407 |2007  2925 |1.41 0.92 0.62|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
