-- Logs begin at Sun 2022-09-11 16:00:39 UTC, end at Mon 2022-09-12 12:11:14 UTC. --
Sep 12 11:31:00 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 12 11:31:01 ubuntu dstat.sh[87574]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 12 11:31:01 ubuntu dstat.sh[87574]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 12 11:31:01 ubuntu dstat.sh[87574]: 12-09 11:31:01|                   | 876M 1584M  189M 4978M|           |           |           |           |1.15 0.96 0.65|2.0   0    |           |   0     0 |  8    4    0   10    2
Sep 12 11:31:02 ubuntu dstat.sh[87574]: 12-09 11:31:02| 18  19  62   1   0| 876M 1583M  189M 4978M|  37k 5476 |   0   508k|   0  18.0 |2637  4384 |1.14 0.96 0.65|1.5   0 396|   0     0 |   0     0 |  8    4    0   10    2
Sep 12 11:31:03 ubuntu dstat.sh[87574]: 12-09 11:31:03| 23  17  58   1   0| 862M 1597M  189M 4978M|  73k 7372 |   0   664k|   0  18.0 |2873  5143 |1.14 0.96 0.65|2.0   0 323|   0     0 |   0     0 |  8    5    0   10    2
Sep 12 11:31:04 ubuntu dstat.sh[87574]: 12-09 11:31:04| 17  17  62   0   0| 866M 1592M  189M 4979M| 143k 8631 |   0   531k|   0  12.0 |4030  7710 |1.14 0.96 0.65|1.0   0 195|   0     0 |   0     0 |  8    6    0   10    2
Sep 12 11:31:05 ubuntu dstat.sh[87574]: 12-09 11:31:05| 15  12  72   1   0|1010M 1448M  189M 5101M|  37k 6487 |   0    24M|   0  90.0 |2579  3860 |1.14 0.96 0.65|2.0   0 123|   0     0 |   0     0 |  9    8    0   10    2
Sep 12 11:31:06 ubuntu dstat.sh[87574]: 12-09 11:31:06| 18  11  70   0   0|1009M 1448M  189M 5101M| 521k   21k|   0   272k|   0  13.0 |2504  2928 |1.14 0.96 0.65|3.0   0 171|   0     0 |   0     0 |  9    8    0   11    2
Sep 12 11:31:07 ubuntu dstat.sh[87574]: 12-09 11:31:07| 29   9  61   1   1|1076M 1379M  189M 5104M|1095k   42k|   0  1657k|   0  30.0 |3317  5261 |1.13 0.96 0.65|7.0   0  65|   0     0 |   0     0 |  9    8    0   11    2
Sep 12 11:31:08 ubuntu dstat.sh[87574]: 12-09 11:31:08| 35   6  56   2   0|1043M 1408M  189M 5107M|1290k   30k| 196k 2842k|14.0  16.0 |2733  2202 |1.13 0.96 0.65|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
Sep 12 11:31:09 ubuntu dstat.sh[87574]: 12-09 11:31:09| 49   5  43   2   0|1086M 1364M  189M 5109M| 606k   26k|  12k 2312k|1.00  64.0 |2143  2549 |1.13 0.96 0.65|1.0 1.0 3.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 12 11:31:10 ubuntu dstat.sh[87574]: 12-09 11:31:10| 22   6  52  19   0|1102M 1346M  190M 5110M|  51k   10k|   0    22M|   0  1050 |5180    10k|1.13 0.96 0.65|2.0 1.0  13|   0     0 |   0     0 |  9    9    0   10    2
