"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","29 Aug 2022 14:45:43 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
29-08 14:45:43,,756844,1895416,189024,4979776,,,,,,,1.060,0.770,0.530,2,0,,,,8,3,0,8,0
29-08 14:45:44,8.817,19.146,70.540,0,0.252,756772,1894688,189048,4980096,15447.186,1632.490,0,241.850,0,18.139,2466,3740,1.060,0.770,0.530,2,0,346.652,0,0,8,3,0,8,0
29-08 14:45:45,15.985,18.732,65.688,0,0,741016,1910308,189048,4980128,7432.991,1660.434,0,19.981,0,4.995,2885,4601,1.060,0.770,0.530,4,0,233.780,0,0,8,3,0,8,0
29-08 14:45:46,17.505,15.504,65.767,0,0.250,741204,1909876,189048,4980636,10350.702,1620.423,0,20.005,0,5.001,4198,7291,1.060,0.770,0.530,4,0,182.048,0,0,8,3,0,8,0
29-08 14:45:47,9.745,7.996,81.206,0,0.250,889156,1761592,189048,5105344,9623.736,2001.905,0,0,0,0,2195,3286,1.060,0.770,0.530,0,0,68.962,0,0,9,4,0,8,0
29-08 14:45:48,12.756,8.254,79.035,0,0.250,899984,1750720,189052,5105352,23835.511,6028.659,0,20.009,0,5.002,1543,2033,1.050,0.780,0.540,1,0,96.042,0,0,9,6,0,8,0
29-08 14:45:49,15.757,12.005,72.031,0.500,0,903080,1747540,189076,5105412,124045.719,16554.035,0,344.146,0,22.009,2192,3119,1.050,0.780,0.540,1,0,193.082,0,0,9,6,0,10,0
29-08 14:45:50,24.259,4.752,70.777,0.250,0,942040,1707384,189100,5106576,847046.725,25203.603,76.029,484.184,6.002,12.005,1823,1850,1.050,0.780,0.540,11,0,0,0,0,9,6,0,10,0
29-08 14:45:51,29.988,4.748,63.475,1.250,0.500,971132,1673784,189152,5110996,4000663.737,87223.460,163.935,6113.579,9.996,145.942,6235,5240,1.050,0.780,0.540,1,0,0,0,0,9,6,0,10,0
29-08 14:45:52,18.235,5.995,60.201,14.738,0,988796,1649788,189452,5116888,5153003.068,111606.599,15.987,11786.453,1.998,524.575,10226,13583,1.050,0.780,0.540,5,0,9.992,0,0,9,8,0,10,0
29-08 14:45:53,13.765,5.506,59.315,19.021,0,993684,1636840,189936,5124408,6056171.452,122203.691,0,8293.073,0,743.814,14027,17918,1.210,0.810,0.550,4,1,0,0,0,9,8,0,10,0
29-08 14:45:54,15.003,7.251,57.760,18.753,0,1003444,1618240,190256,5132868,7423011.181,146148.284,0,6337.096,0,662.115,16740,20078,1.210,0.810,0.550,2,1,24.004,0,0,9,8,0,10,0
29-08 14:45:55,17.730,6.493,59.182,17.230,0.499,1009104,1602136,190604,5142904,8098804.671,114428.750,0,7707.160,0,670.231,15814,18974,1.210,0.810,0.550,0,1,18.978,0,0,9,8,0,8,0
29-08 14:45:56,53.383,5.764,30.075,9.273,0,1016620,1588960,190888,5148152,3464743.930,68050.991,0,6925.299,0,701.753,11674,23797,1.210,0.810,0.550,3,1,11.028,0,0,9,8,0,8,0
29-08 14:45:57,38.199,15.979,40.446,3.495,0,916168,1673676,191744,5160552,13169.379,5986.989,0,36786.779,0,207.722,9340,25020,1.210,0.810,0.550,2,0,208.721,0,0,9,4,0,10,0
29-08 14:45:58,45.966,5.746,48.964,0,0.500,996692,1593068,191744,5160600,7478.541,1604.828,0,1514.894,0,12.991,1258,1162,1.270,0.830,0.560,2,0,0.999,0,0,9,4,0,10,0
29-08 14:45:59,48.490,5.249,48.240,0.750,0,1026260,1563420,191824,5160600,7738.367,1565.670,0,7158.490,0,397.916,2263,2837,1.270,0.830,0.560,2,0,2.999,0,0,9,4,0,10,0
29-08 14:46:00,47.806,3.754,48.306,0.501,0.250,981048,1608528,191908,5160616,8950.445,1621.893,0,6948.108,0,374.437,2146,2805,1.270,0.830,0.560,2,0,11.013,0,0,9,4,0,10,0
29-08 14:46:01,40.500,9.750,47.750,1.250,0,1022496,1566900,192036,5160636,6893.007,1620.002,0,7620.008,0,422.000,3128,4045,1.270,0.830,0.560,2,0,163.000,0,0,9,4,0,10,0
29-08 14:46:02,67.531,16.258,16.007,0.750,0.250,1007316,1549332,193332,5188816,9646.457,1620.749,96.044,7691.553,4.002,381.176,5739,9521,1.270,0.830,0.560,5,0,45.021,0,0,9,4,0,10,0
29-08 14:46:03,85.988,13.248,0,0.750,0,1113320,1437316,193628,5193524,5504.235,1693.765,35.995,3643.494,3.000,126.982,2359,2854,1.570,0.900,0.580,4,0,109.985,0,0,9,4,1,10,0
29-08 14:46:04,50.213,23.483,24.482,0.500,0,1138360,1411648,193672,5193816,7031.818,3059.745,51.962,719.470,12.990,19.985,2799,5321,1.570,0.900,0.580,1,0,472.652,0,0,9,7,1,10,0
29-08 14:46:05,21.478,15.484,62.185,0,0,1139832,1409860,193688,5193980,25305.505,6893.782,0,187.803,0,4.995,3879,7548,1.570,0.900,0.580,1,0,150.842,0,0,9,9,0,10,0
29-08 14:46:06,54.093,13.774,31.554,0.501,0.250,1186568,1362324,193712,5194920,149995.041,10336.852,324.561,304.526,4.007,6.010,2417,3256,1.570,0.900,0.580,2,0,151.261,0,0,9,9,1,10,1
29-08 14:46:07,64.418,7.740,27.215,0.749,0.250,1231600,1315116,193788,5196984,80699.785,7513.390,371.525,551.295,7.990,6.991,1480,1277,1.570,0.900,0.580,2,0,0,0,0,9,10,1,10,0
29-08 14:46:08,54.035,4.003,42.778,0,0,1210568,1333524,193904,5199068,239523.013,12889.288,0,8.005,0,2.001,1755,5163,1.610,0.920,0.590,2,0,9.006,0,0,9,8,0,11,0
29-08 14:46:09,22.725,10.988,66.926,0.250,0.250,1252940,1290416,193936,5199396,361846.265,15015.288,0,875.026,0,3.996,2505,3627,1.610,0.920,0.590,1,0,135.849,0,0,9,8,0,11,0
29-08 14:46:10,37.811,4.758,57.093,0.501,0,1329028,1214340,193948,5199464,557333.667,23151.621,0,276.449,0,6.010,1864,1388,1.610,0.920,0.590,2,0,1.002,0,0,9,7,0,11,1
29-08 14:46:11,46.676,3.994,49.422,0.250,0,1363512,1179256,193960,5200044,31970.487,23045.588,0,263.584,0,26.957,1564,1992,1.610,0.920,0.590,2,0,2.995,0,0,9,13,0,11,1
29-08 14:46:12,28.259,7.252,62.771,1.250,0,1256940,1285656,194076,5200088,86485.627,45709.130,0,8198.714,0,428.142,3549,5345,1.610,0.920,0.590,7,0,47.016,0,0,9,7,0,13,2
29-08 14:46:13,23.743,3.749,71.479,0.750,0.250,1280656,1261388,194124,5200588,118305.337,8410.536,35.989,379.889,2.999,5.998,1125,1245,1.640,0.940,0.600,3,0,1.999,0,0,9,7,0,13,2
29-08 14:46:14,29.745,3.749,64.988,1.750,0.250,1311116,1230268,194184,5201116,248414.782,86466.609,67.988,1655.705,12.998,22.996,1834,2504,1.640,0.940,0.600,1,1,2.000,0,0,9,20,0,13,2
29-08 14:46:15,21.035,5.008,71.619,2.504,0.250,1274264,1266300,194188,5201864,430798.125,65160.166,176.293,400.665,44.073,6.010,1997,2222,1.640,0.940,0.600,2,0,47.078,0,0,9,32,0,13,2
29-08 14:46:16,30.460,4.494,63.917,0.499,0.250,1322428,1217712,194220,5202248,261334.004,9681.404,0,599.220,0,5.992,1357,1357,1.640,0.940,0.600,1,0,2.996,0,0,9,32,0,13,2
29-08 14:46:17,30.541,11.766,58.328,0,0,1314224,1223276,194228,5204840,1417579.469,88246.809,0,2647.534,0,57.076,3437,3977,1.640,0.940,0.600,3,0,205.274,0,0,9,32,0,13,2
29-08 14:46:18,46.463,7.994,45.963,0.250,0,1389328,1144608,194248,5208244,1892634.215,93792.684,0,1482.809,0,6.994,3177,2799,1.670,0.960,0.600,4,0,0,0,0,9,32,0,13,4
29-08 14:46:19,71.313,9.508,18.767,0,0,1346444,1184516,194264,5211136,2041057.459,711929.193,0,384.341,0,25.022,7059,14464,1.670,0.960,0.600,6,0,54.048,0,0,9,35,0,15,2
29-08 14:46:20,75.674,17.482,5.994,0,0.250,1380112,1149124,194300,5212728,837246.567,63539.143,0,4399.578,0,47.952,3467,7498,1.670,0.960,0.600,5,0,318.680,0,0,9,34,0,16,2
29-08 14:46:21,79.349,18.773,1.001,0,0.250,1513040,1012808,194340,5215884,2161368.743,563831.406,0,2959.682,0,62.077,6623,11333,1.670,0.960,0.600,7,0,237.295,0,0,9,35,0,14,2
29-08 14:46:22,84.599,15.223,0.250,0,0,1459072,1066400,194424,5216164,465157.763,367777.781,0,8708.438,0,443.208,5188,8830,1.670,0.960,0.600,7,0,96.827,0,0,9,35,1,16,2
29-08 14:46:23,67.578,12.014,19.773,0.751,0.250,1346700,1178268,194484,5216612,659595.833,428198.569,0,1770.044,0,99.114,4668,8899,1.770,0.990,0.620,3,0,186.215,0,0,9,36,0,16,2
29-08 14:46:24,45.005,8.251,45.255,1.000,0,1390288,1134152,194564,5217028,619776.514,440851.580,0,1260.147,0,53.006,3261,6840,1.770,0.990,0.620,2,0,44.005,0,0,9,36,0,19,2
29-08 14:46:25,31.239,6.748,61.229,0.500,0,1349032,1174692,194648,5217652,635192.588,223906.305,0,1279.556,0,52.982,2870,4427,1.770,0.990,0.620,2,0,72.975,0,0,9,36,0,19,2
