-- Logs begin at Mon 2022-09-12 12:12:59 UTC, end at Tue 2022-09-13 00:03:22 UTC. --
Sep 12 23:24:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 12 23:24:14 ubuntu dstat.sh[80671]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 12 23:24:14 ubuntu dstat.sh[80671]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 12 23:24:14 ubuntu dstat.sh[80671]: 12-09 23:24:14|                   | 879M 1591M  188M 4971M|           |           |           |           |1.16 0.85 0.61|4.0   0    |           |   0     0 |  8    4    0   10    2
Sep 12 23:24:15 ubuntu dstat.sh[80671]: 12-09 23:24:15| 16  19  62   1   0| 880M 1590M  188M 4972M|  37k 6238 |   0   612k|   0  25.0 |2537  4007 |1.16 0.85 0.61|2.5   0 372|   0     0 |   0     0 |  8    4    0   10    2
Sep 12 23:24:16 ubuntu dstat.sh[80671]: 12-09 23:24:16| 23  18  58   0   0| 864M 1604M  188M 4973M| 943k   15k|   0  1490k|   0  21.5 |3248  5601 |1.16 0.85 0.61|2.0   0 312|   0     0 |   0     0 |  8    5    0   10    2
Sep 12 23:24:17 ubuntu dstat.sh[80671]: 12-09 23:24:17| 26  17  56   0   0| 867M 1599M  188M 4975M| 760k   14k|   0  1013k|   0  10.0 |3784  8454 |1.16 0.85 0.61|3.0   0 170|   0     0 |   0     0 |  8    6    0   10    2
Sep 12 23:24:18 ubuntu dstat.sh[80671]: 12-09 23:24:18| 16  12  70   1   0|1012M 1453M  188M 5098M| 561k   11k|   0   899k|   0  12.0 |2883  4693 |1.15 0.86 0.61|2.0   0 129|   0     0 |   0     0 |  9    8    0   10    2
Sep 12 23:24:19 ubuntu dstat.sh[80671]: 12-09 23:24:19| 18  12  68   2   0|1011M 1453M  188M 5098M| 261k   17k|   0    31M|   0   132 |2355  2704 |1.15 0.86 0.61|2.0   0 167|   0     0 |   0     0 |  9    8    0    9    2
Sep 12 23:24:20 ubuntu dstat.sh[80671]: 12-09 23:24:20| 29   6  63   1   0|1035M 1427M  188M 5101M|1125k   42k|  52k 2402k|5.00  37.0 |2544  1840 |1.15 0.86 0.61|3.0   0  32|   0     0 |   0     0 |  9    6    0   10    4
Sep 12 23:24:21 ubuntu dstat.sh[80671]: 12-09 23:24:21| 56   9  35   0   0|1075M 1383M  188M 5104M| 101k 5072 | 144k 2020k|9.00  16.0 |1720  1529 |1.15 0.86 0.61|4.0   0 5.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 12 23:24:22 ubuntu dstat.sh[80671]: 12-09 23:24:22| 24   4  57  12   0|1101M 1355M  188M 5106M| 317k   21k|  12k 4812k|1.00   414 |3885  6648 |1.15 0.86 0.61|2.0   0  15|   0     0 |   0     0 |  9    9    0   10    2
Sep 12 23:24:23 ubuntu dstat.sh[80671]: 12-09 23:24:23|  7   4  62  26   0|1102M 1351M  189M 5109M| 649k   18k|   0    15M|   0  1087 |6534    11k|1.30 0.89 0.63|2.0   0 1.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 12 23:24:24 ubuntu dstat.sh[80671]: 12-09 23:24:24| 25   5  51  18   0|1111M 1334M  189M 5114M| 323k   12k|   0  8111k|   0   575 |5253  8827 |1.30 0.89 0.63|1.0 2.0  20|   0     0 |   0     0 |  9   10    0   10    2
Sep 12 23:24:25 ubuntu dstat.sh[80671]: 12-09 23:24:25| 11   3  63  22   0|1115M 1327M  190M 5117M| 452k   17k|   0  9974k|   0   557 |4869  8481 |1.30 0.89 0.63|2.0   0  19|   0     0 |   0     0 |  9   10    0   10    2
Sep 12 23:24:26 ubuntu dstat.sh[80671]: 12-09 23:24:26|  7   3  67  21   0|1118M 1321M  190M 5120M| 669k   20k|   0  6878k|   0   621 |5206  9473 |1.30 0.89 0.63|1.0 1.0  11|   0     0 |   0     0 |  9   10    0   10    2
Sep 12 23:24:27 ubuntu dstat.sh[80671]: 12-09 23:24:27| 16   2  68  14   0|1120M 1315M  190M 5122M| 677k   28k|   0  4721k|   0   459 |4620  7370 |1.30 0.89 0.63|1.0   0  12|   0     0 |   0     0 |  9   10    0   10    2
