-- Logs begin at Wed 2022-08-31 04:43:54 UTC, end at Wed 2022-08-31 05:42:47 UTC. --
Aug 31 05:30:44 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 31 05:30:45 ubuntu dstat.sh[78733]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 31 05:30:45 ubuntu dstat.sh[78733]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 31 05:30:45 ubuntu dstat.sh[78733]: 31-08 05:30:45|                   | 871M 1622M  184M 4956M|           |           |           |           |1.40 1.02 0.66|1.0   0    |           |   0     0 |  8    6    0   10    2
Aug 31 05:30:46 ubuntu dstat.sh[78733]: 31-08 05:30:46| 13  19  66   1   0| 872M 1622M  184M 4956M| 159k 9278 |   0   689k|   0  21.0 |2563  3902 |1.40 1.02 0.66|1.0   0 340|   0     0 |   0     0 |  8    6    0   10    2
Aug 31 05:30:47 ubuntu dstat.sh[78733]: 31-08 05:30:47| 22  19  58   1   0| 858M 1632M  184M 4959M|1236k   48k|   0  2097k|   0  20.0 |3564  4738 |1.37 1.02 0.66|7.0   0 288|   0     0 |   0     0 |  8    4    0   10    4
Aug 31 05:30:48 ubuntu dstat.sh[78733]: 31-08 05:30:48| 42  19  37   0   0| 843M 1647M  184M 4959M|  22k 4706 |   0   648k|   0  9.99 |3960  6307 |1.37 1.02 0.66|2.0   0 241|   0     0 |   0     0 |  8    4    0   10    2
Aug 31 05:30:49 ubuntu dstat.sh[78733]: 31-08 05:30:49| 31  11  56   1   0| 999M 1490M  184M 5082M| 185k 9533 |   0    17M|   0   349 |3385  4296 |1.37 1.02 0.66|1.0   0  43|   0     0 |   0     0 |  9    4    1   10    2
Aug 31 05:30:50 ubuntu dstat.sh[78733]: 31-08 05:30:50| 18   8  73   1   0|1003M 1486M  184M 5082M|  29k 6651 |   0   737k|   0  15.0 |1691  2214 |1.37 1.02 0.66|1.0   0 109|   0     0 |   0     0 |  9    7    0   10    2
Aug 31 05:30:51 ubuntu dstat.sh[78733]: 31-08 05:30:51| 24  12  61   0   0|1012M 1475M  184M 5083M| 632k   32k|   0   852k|   0  28.0 |2570  3466 |1.37 1.02 0.66|2.0   0 182|   0     0 |   0     0 |  9    7    1   12    2
Aug 31 05:30:52 ubuntu dstat.sh[78733]: 31-08 05:30:52| 25   4  70   1   1|1057M 1429M  184M 5085M| 836k   25k|  52k 1724k|5.00  18.0 |2097  1922 |1.34 1.02 0.67|3.0   0 1.0|   0     0 |   0     0 |  9    8    0   12    2
Aug 31 05:30:53 ubuntu dstat.sh[78733]: 31-08 05:30:53| 27   5  65   2   0|1074M 1410M  184M 5086M| 471k   18k| 144k 2394k|8.99  15.0 |1782  1779 |1.34 1.02 0.67|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   12    2
Aug 31 05:30:54 ubuntu dstat.sh[78733]: 31-08 05:30:54| 14   4  66  15   0|1094M 1387M  184M 5088M| 610k   28k|  12k   17M|1.00   608 |4667  7400 |1.34 1.02 0.67|  0 1.0  11|   0     0 |   0     0 |  9   10    0   12    2
Aug 31 05:30:55 ubuntu dstat.sh[78733]: 31-08 05:30:55| 12   3  63  22   0|1102M 1376M  184M 5091M| 594k   19k|   0  8259k|   0   712 |5682  9684 |1.34 1.02 0.67|1.0 1.0 3.0|   0     0 |   0     0 |  9   10    0   10    2
Aug 31 05:30:56 ubuntu dstat.sh[78733]: 31-08 05:30:56| 18   4  61  14   0|1076M 1398M  185M 5095M| 566k   15k|   0  8592k|   0   582 |5611  8955 |1.34 1.02 0.67|5.0   0  22|   0     0 |   0     0 |  9    8    0   10    2
Aug 31 05:30:57 ubuntu dstat.sh[78733]: 31-08 05:30:57| 31   7  45  18   0|1097M 1374M  185M 5097M| 314k   19k|   0  7129k|   0   645 |5427  9349 |1.55 1.07 0.68|4.0 1.0  21|   0     0 |   0     0 |  9    8    0   10    2
