-- Logs begin at Fri 2022-09-02 18:52:08 UTC, end at Fri 2022-09-02 20:46:50 UTC. --
Sep 02 20:34:01 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 02 20:34:01 ubuntu dstat.sh[79866]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 02 20:34:01 ubuntu dstat.sh[79866]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 02 20:34:01 ubuntu dstat.sh[79866]: 02-09 20:34:01|                   | 868M 1624M  184M 4957M|           |           |           |           |0.99 0.50 0.33|1.0   0    |           |   0     0 |  8    5    0   10    2
Sep 02 20:34:02 ubuntu dstat.sh[79866]: 02-09 20:34:02| 18  20  60   1   0| 870M 1622M  184M 4957M| 149k 8182 |   0   996k|   0  25.4 |2596  4584 |0.95 0.50 0.33|1.0   0 410|   0     0 |   0     0 |  8    6    0   10    2
Sep 02 20:34:03 ubuntu dstat.sh[79866]: 02-09 20:34:03| 19  17  62   1   0| 856M 1635M  184M 4958M| 171k 9942 |   0  6896k|   0   144 |3134  5260 |0.91 0.49 0.32|2.0   0 314|   0     0 |   0     0 |  8    6    0   10    2
Sep 02 20:34:04 ubuntu dstat.sh[79866]: 02-09 20:34:04| 21  17  60   0   0| 859M 1631M  184M 4959M| 158k 8515 |   0   724k|   0  13.0 |4131  7866 |0.91 0.49 0.32|1.0   0 203|   0     0 |   0     0 |  8    6    0   10    2
Sep 02 20:34:05 ubuntu dstat.sh[79866]: 02-09 20:34:05| 13  11  75   1   0|1003M 1484M  184M 5083M| 954k   37k|   0   897k|   0  12.0 |3799  4861 |0.91 0.49 0.32|1.0   0 105|   0     0 |   0     0 |  9    8    0   10    2
Sep 02 20:34:06 ubuntu dstat.sh[79866]: 02-09 20:34:06| 44  10  44   1   0| 989M 1498M  184M 5084M| 315k   14k|   0  1759k|   0  18.0 |2068  2051 |0.91 0.49 0.32|2.0   0 107|   0     0 |   0     0 |  9    6    0   10    2
Sep 02 20:34:07 ubuntu dstat.sh[79866]: 02-09 20:34:07| 43  11  45   1   0|1044M 1443M  184M 5084M|  76k   19k|  20k 1801k|2.00  41.0 |2018  2679 |0.99 0.51 0.33|2.0   0 121|   0     0 |   0     0 |  9    6    0   12    2
Sep 02 20:34:08 ubuntu dstat.sh[79866]: 02-09 20:34:08| 25   3  68   2   0|1065M 1420M  185M 5085M| 150k 9082 | 176k   21M|12.0   108 |1503  1613 |0.99 0.51 0.33|1.0   0 1.0|   0     0 |   0     0 |  9    7    0   12    2
Sep 02 20:34:09 ubuntu dstat.sh[79866]: 02-09 20:34:09| 29   2  64   4   0|1091M 1393M  185M 5086M|  69k   17k|  12k 2617k|1.00   172 |2226  3528 |0.99 0.51 0.33|  0 1.0 1.0|   0     0 |   0     0 |  9    9    1   12    2
Sep 02 20:34:10 ubuntu dstat.sh[79866]: 02-09 20:34:10|  9   4  63  23   0|1095M 1386M  185M 5088M| 671k   25k|   0    14M|   0  1024 |6725    11k|0.99 0.51 0.33|3.0   0  10|   0     0 |   0     0 |  9   10    0   12    2
