"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Aug 2022 13:49:50 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-08 13:49:50,8.222,2.205,88.891,0.609,0.072,442728448,1879973888,156147712,5534306304,0,0,91618.218,2954917.392,3.620,21.689,1121.795,1378.201,1.280,1.100,0.830,4,0,35.944,0,0,12,3,0,5,0
09-08 13:49:51,8.629,20.305,70.812,0,0.254,442945536,1879355392,156151808,5534412800,6213,1620,0,98304,0,6,2628,4991,1.280,1.100,0.830,2,0,473,0,0,12,3,0,5,0
09-08 13:49:52,11.421,17.259,66.751,4.569,0,443179008,1878679552,156151808,5534740480,6808,1512,0,368640,0,76,3003,4767,1.280,1.100,0.830,1,2,323,0,0,12,3,0,5,0
09-08 13:49:53,12.183,15.990,66.497,5.076,0.254,574865408,1746534400,156151808,5662769152,6670,1566,0,2019328,0,162,3687,7181,1.280,1.100,0.830,2,0,233,0,0,14,5,0,5,0
09-08 13:49:54,15.949,11.139,72.911,0,0,604778496,1716576256,156155904,5662793728,5869,1566,0,0,0,0,1604,2510,1.260,1.100,0.830,2,0,205,0,0,14,5,0,7,0
09-08 13:49:55,23.058,3.258,73.684,0,0,649760768,1670094848,156295168,5663870976,6974,1674,40960,0,4,0,737,1102,1.260,1.100,0.830,3,0,0,0,0,14,7,0,7,0
09-08 13:49:56,5.013,2.005,73.684,19.048,0.251,660508672,1657724928,156512256,5665153024,6769,1458,0,5394432,0,310,1918,2947,1.260,1.100,0.830,1,1,0,0,0,14,7,0,7,0
09-08 13:49:57,3.053,4.326,74.809,17.812,0,664092672,1584570368,156790784,5732655104,8226,1620,0,71958528,0,509,2273,3342,1.260,1.100,0.830,2,0,2,0,0,14,7,0,7,0
09-08 13:49:58,6.138,1.279,74.425,17.903,0.256,666464256,1581076480,157110272,5733335040,6423,1620,0,5881856,0,439,2591,3786,1.260,1.100,0.830,1,1,0,0,0,14,7,0,7,0
09-08 13:49:59,5.263,3.008,73.183,18.296,0.251,668254208,1578237952,157364224,5734035456,8062,1620,0,5607424,0,471,2455,3578,1.320,1.120,0.840,1,1,0,0,0,14,7,0,7,0
09-08 13:50:00,7.268,2.506,73.684,16.541,0,669745152,1576103936,157700096,5734318080,6266,1620,0,5672960,0,480,2510,3758,1.320,1.120,0.840,2,0,0,0,0,14,7,0,7,0
09-08 13:50:01,13.198,2.284,72.589,11.675,0.254,671215616,1573670912,157974528,5734961152,9220,1620,0,5074944,0,384,2787,6962,1.320,1.120,0.840,2,0,0,0,0,14,7,0,7,0
09-08 13:50:02,6.361,2.290,74.300,16.794,0.254,671780864,1572245504,158330880,5735370752,6956,1662,0,6045696,0,485,2934,4835,1.320,1.120,0.840,1,1,0,0,0,14,7,0,7,0
09-08 13:50:03,6.853,2.284,74.112,16.751,0,673247232,1569898496,158621696,5735895040,5700,1620,0,47308800,0,478,2676,5039,1.320,1.120,0.840,1,1,0,0,0,14,7,0,7,0
09-08 13:50:04,7.538,2.010,73.869,16.332,0.251,675495936,1567023104,158953472,5736120320,6050,1566,0,7016448,0,549,2649,4424,1.370,1.130,0.850,1,1,0,0,0,14,7,0,7,0
09-08 13:50:05,8.291,2.010,74.121,15.327,0.251,676884480,1564798976,159191040,5736689664,16194,1674,0,5328896,0,430,2514,5216,1.370,1.130,0.850,3,0,0,0,0,14,7,0,7,0
09-08 13:50:06,22.556,4.762,69.424,3.258,0,677744640,1561714688,159436800,5738455040,7345,1458,0,4202496,0,253,3333,10105,1.370,1.130,0.850,1,1,0,0,0,14,7,0,7,0
09-08 13:50:07,7.789,3.518,73.367,15.075,0.251,678961152,1560018944,159748096,5738549248,5833,1620,0,7602176,0,608,3342,5875,1.370,1.130,0.850,2,0,2,0,0,14,7,0,7,0
09-08 13:50:08,9.160,2.036,74.046,14.758,0,679923712,1558462464,159936512,5738897408,8198,1620,0,10297344,0,493,3348,5467,1.370,1.130,0.850,1,1,0,0,0,14,7,0,7,0
09-08 13:50:09,17.337,6.533,73.367,2.513,0.251,615739392,1622601728,160002048,5738831872,7400,1566,0,1998848,0,137,1978,3405,1.340,1.130,0.850,2,0,77,0,0,14,5,0,8,0
09-08 13:50:10,23.559,2.757,71.679,2.005,0,667807744,1570074624,160043008,5739241472,6992,1674,0,6836224,0,70,898,1214,1.340,1.130,0.850,2,0,0,0,0,14,5,0,8,0
09-08 13:50:11,23.174,3.275,71.788,1.763,0,634036224,1603153920,160079872,5739880448,8912,1662,0,7090176,0,72,1013,1449,1.340,1.130,0.850,2,0,10,0,0,14,5,0,8,0
09-08 13:50:12,23.116,3.015,70.854,2.764,0.251,675328000,1560428544,160165888,5741174784,8126,1620,0,6868992,0,138,1264,1586,1.340,1.130,0.850,2,0,0,0,0,14,5,0,8,0
09-08 13:50:13,10.831,19.395,69.270,0.252,0.252,605331456,1630138368,160174080,5741436928,8301,1620,0,98304,0,10,2747,4431,1.340,1.130,0.850,2,0,410,0,0,14,5,0,8,0
09-08 13:50:14,13.811,19.182,67.008,0,0,606740480,1628651520,160174080,5741645824,8521,1620,0,28672,0,7,3143,6818,1.310,1.130,0.850,2,0,332,0,0,14,5,0,8,0
09-08 13:50:15,43.358,11.278,45.363,0,0,705679360,1529581568,160174080,5741969408,7220,1620,0,0,0,0,1858,2748,1.310,1.130,0.850,3,0,141,0,0,14,7,0,8,0
09-08 13:50:16,47,5,47.750,0,0.250,769781760,1463250944,160256000,5743812608,7054,1566,0,28672,0,2,1090,3058,1.310,1.130,0.850,3,0,1,0,0,14,7,0,8,0
09-08 13:50:17,24.812,12.281,62.907,0,0,798552064,1433341952,160333824,5744455680,6594,1512,0,163840,0,22,2202,4236,1.310,1.130,0.850,2,0,171,0,0,14,5,0,9,0
09-08 13:50:18,23.058,3.759,72.431,0.752,0,850096128,1381789696,160333824,5744463872,15538,1620,0,10788864,0,146,778,893,1.310,1.130,0.850,2,0,0,0,0,14,5,0,9,0
09-08 13:50:19,22.693,4.239,71.820,0.998,0.249,786669568,1445150720,160366592,5744488448,9209,1620,0,1695744,0,187,1588,2160,1.290,1.120,0.850,3,0,54,0,0,14,5,0,12,0
09-08 13:50:20,22.670,3.526,73.552,0.252,0,831856640,1399959552,160366592,5744488448,9636,1620,0,2334720,0,65,834,998,1.290,1.120,0.850,2,0,0,0,0,14,5,0,12,0
09-08 13:50:21,21.250,3.750,72.500,2.500,0,799289344,1432330240,160366592,5744578560,9186,1620,77824,0,19,0,1475,2325,1.290,1.120,0.850,3,0,61,0,0,14,29,0,17,0
09-08 13:50:22,21.945,3.990,73.566,0.249,0.249,843354112,1388232704,160370688,5744590848,8417,1620,0,1208320,0,13,750,805,1.290,1.120,0.850,2,0,0,0,0,14,29,0,17,0
09-08 13:50:23,19.799,8.521,71.679,0,0,823480320,1407787008,160370688,5744885760,7751,1620,0,0,0,0,1377,2149,1.290,1.120,0.850,2,0,99,0,0,14,29,0,22,0
09-08 13:50:24,23.291,3.038,73.671,0,0,850157568,1381101568,160374784,5744889856,8966,1620,0,2347008,0,28,1288,1856,1.270,1.120,0.850,2,0,0,0,0,14,29,0,30,0
09-08 13:50:25,22.556,3.509,73.434,0.251,0.251,841187328,1390067712,160382976,5744885760,8671,1620,0,712704,0,15,922,1147,1.270,1.120,0.850,2,0,21,0,0,14,29,0,30,0
09-08 13:50:26,22.111,6.281,71.357,0.251,0,814567424,1416450048,160391168,5745029120,6803,1566,0,663552,0,18,1554,2446,1.270,1.120,0.850,3,0,73,0,0,14,29,0,38,0
09-08 13:50:27,23.116,3.769,72.362,0.754,0,853901312,1377103872,160391168,5745033216,6442,1566,0,4628480,0,72,1082,1489,1.270,1.120,0.850,2,0,2,0,0,14,31,0,39,0
09-08 13:50:28,20.352,7.035,72.362,0,0.251,822886400,1407954944,160391168,5745192960,8553,1566,0,0,0,0,1721,2528,1.270,1.120,0.850,2,0,100,0,0,14,29,0,46,0
09-08 13:50:29,22.807,3.759,71.930,1.253,0.251,802656256,1428168704,160391168,5745197056,7068,1674,0,3715072,0,369,1863,1539,1.240,1.120,0.850,2,0,20,0,0,14,29,0,51,0
09-08 13:50:30,21.859,4.523,73.618,0,0,846503936,1384169472,160395264,5745344512,6803,1660,0,184320,0,7,961,1208,1.240,1.120,0.850,3,0,48,0,0,14,29,0,51,0
09-08 13:50:31,21.805,5.263,72.431,0.251,0.251,815427584,1415208960,160395264,5745369088,7416,1620,0,32768,0,3,1528,2223,1.240,1.120,0.850,2,0,70,0,0,14,29,0,56,0
09-08 13:50:32,22.980,2.778,74.242,0,0,855072768,1375555584,160395264,5745373184,7709,1188,0,208896,0,14,820,936,1.240,1.120,0.850,2,0,0,0,0,14,31,0,57,0
09-08 13:50:33,20.250,6.750,72.750,0.250,0,836567040,1394032640,160403456,5745385472,8773,1404,0,126976,0,13,1360,1936,1.240,1.120,0.850,2,0,68,0,0,14,29,0,60,0
09-08 13:50:34,20.802,6.015,72.932,0,0.251,813641728,1416953856,160403456,5745385472,8012,1620,0,425984,0,10,1270,1804,1.220,1.120,0.850,2,0,72,0,0,14,29,0,64,0
09-08 13:50:35,23.559,2.506,73.434,0.501,0,849829888,1380741120,160403456,5745410048,7549,1620,0,339968,0,20,765,914,1.220,1.120,0.850,3,0,0,0,0,14,29,0,64,0
09-08 13:50:36,21.554,4.762,73.183,0.501,0,818253824,1412145152,160407552,5745557504,7758,1620,0,32768,0,3,1224,1784,1.220,1.120,0.850,2,0,77,0,0,14,29,0,68,0
09-08 13:50:37,22.556,3.509,73.684,0,0.251,857624576,1372762112,160411648,5745557504,6888,1620,0,155648,0,9,967,1323,1.220,1.120,0.850,2,0,2,0,0,14,31,0,72,0
09-08 13:50:38,20.301,6.516,73.183,0,0,838737920,1391616000,160415744,5745582080,7467,1620,0,28672,0,3,1177,1648,1.220,1.120,0.850,2,0,85,0,0,14,29,0,73,0
09-08 13:50:39,22.922,3.778,73.048,0,0.252,807178240,1423175680,160415744,5745582080,6549,1404,0,1146880,0,13,1310,1962,1.210,1.120,0.850,4,0,56,0,0,14,29,0,78,0
09-08 13:50:40,21.303,5.263,73.434,0,0,851660800,1378664448,160415744,5745606656,8804,1620,0,0,0,0,796,1048,1.210,1.120,0.850,2,0,41,0,0,14,29,0,78,0
09-08 13:50:41,20.352,7.789,71.357,0.251,0.251,820449280,1409843200,160423936,5745627136,7229,1620,0,241664,0,19,1718,2763,1.210,1.120,0.850,2,0,144,0,0,14,29,0,83,0
09-08 13:50:42,22.922,3.023,73.804,0.252,0,859262976,1371025408,160436224,5745618944,8406,1566,0,872448,0,32,885,1048,1.210,1.120,0.850,2,0,0,0,0,14,29,0,85,0
09-08 13:50:43,22.864,3.769,73.116,0,0.251,827498496,1402601472,160436224,5745803264,10725,1620,0,0,0,0,1403,2011,1.210,1.120,0.850,2,0,21,0,0,14,29,0,92,0
09-08 13:50:44,24.311,2.256,72.682,0.752,0,856739840,1373347840,160436224,5745807360,7131,1512,0,1200128,0,125,1479,1827,1.190,1.110,0.850,2,0,0,0,0,14,31,0,99,0
09-08 13:50:45,22.807,5.013,71.930,0,0.251,845529088,1384497152,160444416,5745840128,8075,1620,0,61440,0,3,1019,1403,1.190,1.110,0.850,2,0,71,0,0,14,29,0,100,0
09-08 13:50:46,22.500,4.750,72.500,0,0.250,808468480,1421549568,160448512,5745836032,9219,1620,0,61440,0,6,1508,2397,1.190,1.110,0.850,2,0,42,0,0,14,29,0,109,0
09-08 13:50:47,20.352,7.789,71.859,0,0,842067968,1387769856,160448512,5746016256,8343,1620,0,0,0,0,1208,1734,1.190,1.110,0.850,2,0,128,0,0,14,29,0,106,0
09-08 13:50:48,23.174,3.778,72.796,0,0.252,810196992,1419587584,160448512,5746057216,6525,1620,0,0,0,0,1357,1988,1.190,1.110,0.850,2,0,21,0,0,14,29,0,115,0
09-08 13:50:49,23.367,3.015,73.618,0,0,853491712,1376284672,160448512,5746061312,6744,1620,0,1372160,0,37,722,764,1.170,1.110,0.850,2,0,0,0,0,14,29,0,115,0
09-08 13:50:50,22.444,5.985,70.823,0.499,0.249,831115264,1398611968,160456704,5746094080,17653,1620,0,241664,0,14,1562,2450,1.170,1.110,0.850,3,0,71,0,0,14,29,0,123,0
09-08 13:50:51,23.810,2.757,73.434,0,0,858365952,1371197440,160460800,5746245632,6759,1620,0,73728,0,6,1095,1578,1.170,1.110,0.850,2,0,0,0,0,14,31,0,128,0
09-08 13:50:52,19.647,8.060,72.292,0,0,829059072,1400475648,160460800,5746270208,11551,1566,0,0,0,0,1661,2610,1.170,1.110,0.850,2,0,168,0,0,14,29,0,132,0
09-08 13:50:53,23.929,2.519,73.552,0,0,859353088,1370177536,160468992,5746262016,7383,1512,0,352256,0,19,1192,1763,1.170,1.110,0.850,2,0,0,0,0,14,31,0,140,0
09-08 13:50:54,21.662,4.282,73.552,0.252,0.252,842911744,1386569728,160468992,5746311168,7143,1620,0,2187264,0,52,1005,1199,1.160,1.110,0.850,2,0,21,0,0,14,29,0,141,0
09-08 13:50:55,24.439,4.239,71.322,0,0,820113408,1409191936,160473088,5746475008,7140,1620,0,57344,0,3,1217,2062,1.160,1.110,0.850,2,0,71,0,0,14,29,0,147,0
09-08 13:50:56,23.058,3.008,73.684,0.251,0,859598848,1369698304,160477184,5746470912,8124,1620,0,151552,0,9,819,1066,1.160,1.110,0.850,2,0,0,0,0,14,31,0,149,0
09-08 13:50:57,19.899,8.816,71.033,0,0.252,821088256,1408172032,160477184,5746507776,7291,1620,0,0,0,0,1682,2947,1.160,1.110,0.850,2,0,170,0,0,14,29,0,156,0
09-08 13:50:58,22.807,3.759,73.434,0,0,859701248,1369538560,160477184,5746520064,19023,1620,0,61440,0,6,814,969,1.160,1.110,0.850,2,0,0,0,0,14,31,0,157,0
09-08 13:50:59,22.864,3.518,73.618,0,0,833810432,1395425280,160477184,5746524160,10720,1620,0,8192,0,2,1150,1791,1.150,1.110,0.860,2,0,21,0,0,14,29,0,165,0
09-08 13:51:00,23.618,2.764,73.367,0.251,0,853233664,1375780864,160481280,5746724864,9855,1566,0,147456,0,15,995,1712,1.150,1.110,0.860,2,0,0,0,0,14,29,0,173,0
09-08 13:51:01,22.111,5.276,72.362,0,0.251,855752704,1373261824,160485376,5746720768,6418,1674,0,98304,0,11,901,1336,1.150,1.110,0.860,2,0,71,0,0,14,29,0,173,0
09-08 13:51:02,21.465,5.808,72.727,0,0,819359744,1409441792,160493568,5746892800,8641,1662,0,86016,0,6,1677,2825,1.150,1.110,0.860,2,0,109,0,0,14,29,0,182,0
09-08 13:51:03,22.693,3.741,73.067,0.249,0.249,859205632,1369575424,160497664,5746900992,5707,1458,0,352256,0,20,889,1093,1.150,1.110,0.860,2,0,0,0,0,14,29,0,184,0
09-08 13:51:04,19.647,7.305,73.048,0,0,832425984,1396334592,160497664,5746921472,16782,1620,0,327680,0,27,1421,1907,1.130,1.110,0.860,2,0,97,0,0,14,29,0,187,0
09-08 13:51:05,22.864,3.015,73.869,0,0.251,808493056,1420247040,160501760,5746933760,6758,1620,0,45056,0,3,1084,1551,1.130,1.110,0.860,2,0,18,0,0,14,29,0,192,0
09-08 13:51:06,18.797,9.023,71.930,0.251,0,841265152,1387454464,160514048,5746941952,8109,1620,0,118784,0,12,1258,1817,1.130,1.110,0.860,2,0,126,0,0,14,29,0,192,0
09-08 13:51:07,23.990,2.778,72.980,0,0.253,810225664,1418305536,160522240,5747118080,8648,1620,0,131072,0,12,1517,2402,1.130,1.110,0.860,2,0,23,0,0,14,29,0,201,0
09-08 13:51:08,23.174,3.023,73.804,0,0,853925888,1374580736,160530432,5747130368,8091,1620,0,98304,0,11,705,953,1.130,1.110,0.860,2,0,0,0,0,14,29,0,201,0
09-08 13:51:09,22.306,5.514,71.930,0.251,0,827846656,1400647680,160534528,5747126272,8972,1620,0,110592,0,9,1564,2455,1.120,1.100,0.860,2,0,71,0,0,14,29,0,209,0
09-08 13:51:10,23.678,2.519,73.300,0.252,0.252,860057600,1368383488,160542720,5747163136,7590,1620,0,286720,0,14,1123,1613,1.120,1.100,0.860,2,0,0,0,0,14,31,0,213,0
09-08 13:51:11,19.144,9.320,71.537,0,0,829128704,1399259136,160546816,5747212288,6615,1620,0,118784,0,7,1443,2530,1.120,1.100,0.860,2,0,168,0,0,14,29,0,217,0
09-08 13:51:12,23.500,3,73,0.250,0.250,860553216,1367805952,160550912,5747232768,7088,1404,0,581632,0,23,1180,1679,1.120,1.100,0.860,2,0,0,0,0,14,31,0,223,0
09-08 13:51:13,23.174,3.023,73.804,0,0,843853824,1384353792,160550912,5747376128,5139,798,0,0,0,0,964,1358,1.120,1.100,0.860,2,0,21,0,0,14,29,0,226,0
09-08 13:51:14,23.691,4.738,71.322,0,0.249,819847168,1408344064,160559104,5747384320,5818,1350,0,81920,0,8,1395,2418,1.110,1.100,0.860,2,0,71,0,0,14,29,0,234,0
09-08 13:51:15,22.362,3.518,73.869,0.251,0,860057600,1368092672,160567296,5747412992,15208,1512,0,159744,0,14,850,998,1.110,1.100,0.860,4,0,0,0,0,14,31,0,235,0
09-08 13:51:16,19.444,9.091,71.212,0,0.253,821366784,1406595072,160567296,5747593216,6760,1620,0,0,0,0,1876,3457,1.110,1.100,0.860,2,0,168,0,0,14,29,0,244,0
09-08 13:51:17,23.116,3.769,73.116,0,0,860491776,1367453696,160579584,5747593216,6985,1512,0,65536,0,6,715,986,1.110,1.100,0.860,2,0,2,0,0,14,31,0,245,0
09-08 13:51:18,22.306,4.511,72.932,0,0.251,827461632,1400442880,160579584,5747625984,6172,1620,0,0,0,0,1311,2049,1.110,1.100,0.860,2,0,21,0,0,14,29,0,251,0
09-08 13:51:19,23.678,2.519,73.804,0,0,858107904,1369784320,160579584,5747634176,9256,1620,0,0,0,0,1173,1681,1.100,1.100,0.860,2,0,0,0,0,14,31,0,258,0
09-08 13:51:20,22.306,5.013,72.431,0,0.251,849088512,1378631680,160587776,5747793920,7868,1620,0,774144,0,18,1083,1396,1.100,1.100,0.860,2,0,71,0,0,14,29,0,256,0
09-08 13:51:21,22.306,5.263,72.431,0,0,810688512,1417019392,160591872,5747798016,8229,1620,0,49152,0,5,1670,2769,1.100,1.100,0.860,3,0,91,0,0,14,29,0,265,0
09-08 13:51:22,21.608,4.523,73.116,0.503,0.251,854900736,1372741632,160604160,5747843072,8630,1620,0,348160,0,20,908,1087,1.100,1.100,0.860,2,0,24,0,0,14,29,0,260,0
