-- Logs begin at Tue 2022-08-09 12:34:44 UTC, end at Tue 2022-08-09 14:05:56 UTC. --
Aug 09 13:49:50 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 09 13:49:50 ubuntu dstat.sh[491]: [286B blob data]
Aug 09 13:49:50 ubuntu dstat.sh[491]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Aug 09 13:49:50 ubuntu dstat.sh[491]: 09-08 13:49:50|  8   2  89   1   0| 422M 1793M  149M 5278M|   0     0 |  89k 2886k|3.62  21.7 |1122  1378 |1.28 1.10 0.83|4.0   0  36|   0     0 |bash                 2692 0.1%2880k2131k|bash                 2692 2880k2131k0.1%|mysqld       173M|   0     0 |  12    3    0    5    0
Aug 09 13:49:51 ubuntu dstat.sh[491]: 09-08 13:49:51|  9  20  71   0   0| 422M 1792M  149M 5278M|6213B 1620B|   0    96k|   0  6.00 |2633  4999 |1.28 1.10 0.83|1.0   0 474|   0     0 |bash                 2692 3.5%1438k  30k|bash                 2692 1438k  30k3.5%|mysqld       173M|   0     0 |  12    3    0    5    0
Aug 09 13:49:52 ubuntu dstat.sh[491]: 09-08 13:49:52| 11  17  67   4   0| 423M 1792M  149M 5278M|6734B 1458B|   0   360k|   0  76.0 |3005  4773 |1.28 1.10 0.83|  0 2.0 323|   0     0 |systemd              1    3.0%   0    0 |bash                 2692 2559k  20k2.0%|mysqld       173M|   0     0 |  12    3    0    5    0
Aug 09 13:49:53 ubuntu dstat.sh[491]: 09-08 13:49:53| 12  16  66   5   0| 548M 1665M  149M 5400M|6637B 1620B|   0  1972k|   0   162 |3686  7170 |1.28 1.10 0.83|2.0   0 233|   0     0 |systemd              1    6.0%   0    0 |bash                 2692  905k  10k1.2%|mysqld       173M|   0     0 |  14    5    0    5    0
Aug 09 13:49:54 ubuntu dstat.sh[491]: 09-08 13:49:54| 16  11  73   0   0| 577M 1637M  149M 5400M|5976B 1566B|   0     0 |   0     0 |1603  2518 |1.26 1.10 0.83|1.0   0 205|   0     0 |keystone-manage      1827  13%6413k  54k|keystone-manage      1827 6413k  54k 13%|mysqld       175M|   0     0 |  14    5    0    7    0
Aug 09 13:49:55 ubuntu dstat.sh[491]: 09-08 13:49:55| 23   3  74   0   0| 620M 1593M  149M 5401M|6974B 1674B|  40k    0 |4.00     0 | 732  1091 |1.26 1.10 0.83|1.0   0   0|   0     0 |keystone-manage      1827  24%  10M 613k|keystone-manage      1827   10M 613k 24%|mysqld       177M|   0     0 |  14    7    0    7    0
Aug 09 13:49:56 ubuntu dstat.sh[491]: 09-08 13:49:56|  5   2  74  19   0| 630M 1581M  149M 5403M|6769B 1458B|   0  5268k|   0   310 |1923  2959 |1.26 1.10 0.83|  0 1.0   0|   0     0 |keystone-manage      1827 3.2%  39k  81k|python3.7            7215   55k 115k0.2%|mysqld       187M|   0     0 |  14    7    0    7    0
Aug 09 13:49:57 ubuntu dstat.sh[491]: 09-08 13:49:57|  3   4  75  18   0| 633M 1511M  150M 5467M|8119B 1620B|   0    69M|   0   506 |2264  3333 |1.26 1.10 0.83|  0 1.0 2.0|   0     0 |mysqld               322184.5%   0    0 |python2              535    14k 464B0.2%|mysqld       190M|   0     0 |  14    7    0    7    0
Aug 09 13:49:58 ubuntu dstat.sh[491]: 09-08 13:49:58|  6   2  74  18   0| 636M 1508M  150M 5468M|6530B 1620B|   0  5756k|   0   440 |2593  3786 |1.26 1.10 0.83|  0 1.0   0|   0     0 |mysqld               322183.2%   0    0 |keystone-manage      1827   20k  11k3.0%|mysqld       192M|   0     0 |  14    7    0    7    0
Aug 09 13:49:59 ubuntu dstat.sh[491]: 09-08 13:49:59|  5   3  73  18   0| 637M 1505M  150M 5468M|8062B 1620B|   0  5512k|   0   473 |2465  3589 |1.32 1.12 0.84|  0 1.0   0|   0     0 |keystone-manage      1827 3.0%  16k  10k|keystone-manage      1827   16k  10k3.0%|mysqld       193M|   0     0 |  14    7    0    7    0
Aug 09 13:50:00 ubuntu dstat.sh[491]: 09-08 13:50:00|  7   3  74  16   0| 639M 1503M  150M 5469M|6266B 1620B|   0  5536k|   0   480 |2505  3748 |1.32 1.12 0.84|1.0   0   0|   0     0 |keystone-manage      1827 5.0%  15k7803B|keystone-manage      1827   15k7803B5.0%|mysqld       194M|   0     0 |  14    7    0    7    0
Aug 09 13:50:01 ubuntu dstat.sh[491]: 09-08 13:50:01| 13   2  72  12   0| 640M 1501M  151M 5469M|9220B 1620B|   0  4956k|   0   383 |2785  6966 |1.32 1.12 0.84|  0 1.0   0|   0     0 |keystone-manage      1827 8.2%  32k 298k|python3.7            7215  287k 597k2.2%|mysqld       195M|   0     0 |  14    7    0    7    0
Aug 09 13:50:02 ubuntu dstat.sh[491]: 09-08 13:50:02|  6   2  74  17   0| 641M 1499M  151M 5470M|6956B 1662B|   0  5908k|   0   486 |2941  4841 |1.32 1.12 0.84|  0 1.0   0|   0     0 |keystone-manage      1827 4.2%  24k  17k|keystone-manage      1827   24k  17k4.2%|mysqld       196M|   0     0 |  14    7    0    7    0
Aug 09 13:50:03 ubuntu dstat.sh[491]: 09-08 13:50:03|  7   2  74  17   0| 642M 1497M  151M 5470M|5700B 1620B|   0    45M|   0   478 |2676  5039 |1.32 1.12 0.84|  0 1.0   0|   0     0 |keystone-manage      1827 4.0%  22k  14k|keystone-manage      1827   22k  14k4.0%|mysqld       197M|   0     0 |  14    7    0    7    0
Aug 09 13:50:04 ubuntu dstat.sh[491]: 09-08 13:50:04|  8   2  74  16   0| 644M 1494M  152M 5470M|6050B 1566B|   0  6852k|   0   549 |2647  4422 |1.37 1.13 0.85|  0 1.0   0|   0     0 |keystone-manage      1827 4.0%  18k  11k|keystone-manage      1827   18k  11k4.0%|mysqld       198M|   0     0 |  14    7    0    7    0
Aug 09 13:50:05 ubuntu dstat.sh[491]: 09-08 13:50:05|  8   2  74  15   0| 646M 1492M  152M 5471M|  16k 1512B|   0  5204k|   0   430 |2512  5207 |1.37 1.13 0.85|1.0   0   0|   0     0 |keystone-manage      1827 4.8%  19k 126k|python3.7            7215  120k 251k1.0%|mysqld       199M|   0     0 |  14    7    0    7    0
Aug 09 13:50:06 ubuntu dstat.sh[491]: 09-08 13:50:06| 23   5  69   3   0| 646M 1489M  152M 5473M|7567B 1620B|   0  4104k|   0   253 |3332    10k|1.37 1.13 0.85|  0 1.0   0|   0     0 |keystone-manage      1827  16%  77k 640k|python3.7            7215  611k1273k3.5%|mysqld       199M|   0     0 |  14    7    0    7    0
Aug 09 13:50:07 ubuntu dstat.sh[491]: 09-08 13:50:07|  8   3  74  15   0| 648M 1488M  152M 5473M|5833B 1620B|   0  7424k|   0   608 |3344  5877 |1.37 1.13 0.85|1.0   0 2.0|   0     0 |keystone-manage      1827 4.8%  22k  14k|keystone-manage      1827   22k  14k4.8%|mysqld       200M|   0     0 |  14    7    0    7    0
Aug 09 13:50:08 ubuntu dstat.sh[491]: 09-08 13:50:08|  9   2  74  15   0| 648M 1486M  153M 5473M|8198B 1620B|   0    10M|   0   493 |3351  5469 |1.37 1.13 0.85|  0 1.0   0|   0     0 |keystone-manage      1827 6.5%  35k  23k|keystone-manage      1827   35k  23k6.5%|mysqld       200M|   0     0 |  14    7    0    7    0
Aug 09 13:50:09 ubuntu dstat.sh[491]: 09-08 13:50:09| 17   7  73   3   0| 587M 1547M  153M 5473M|7400B 1566B|   0  1952k|   0   137 |1978  3405 |1.34 1.13 0.85|1.0   0  77|   0     0 |keystone-manage      1909 7.5%2168k   0 |bash                 2692   17M1934k1.0%|mysqld       201M|   0     0 |  14    5    0    8    0
Aug 09 13:50:10 ubuntu dstat.sh[491]: 09-08 13:50:10| 24   3  72   2   0| 637M 1497M  153M 5473M|6992B 1674B|   0  6676k|   0  70.0 | 898  1214 |1.34 1.13 0.85|1.0   0   0|   0     0 |keystone-manage      1909  25%  13M   0 |keystone-manage      1909   13M   0  25%|mysqld       201M|   0     0 |  14    5    0    8    0
Aug 09 13:50:11 ubuntu dstat.sh[491]: 09-08 13:50:11| 23   3  72   2   0| 604M 1529M  153M 5474M|8912B 1662B|   0  6924k|   0  72.0 |1013  1449 |1.34 1.13 0.85|1.0   0  10|   0     0 |keystone-manage      1919  17%6750k   0 |bash                 2692   16M1916B0.2%|mysqld       201M|   0     0 |  14    5    0    8    0
Aug 09 13:50:12 ubuntu dstat.sh[491]: 09-08 13:50:12| 23   3  71   3   0| 644M 1488M  153M 5475M|8126B 1620B|   0  6708k|   0   138 |1264  1586 |1.34 1.13 0.85|1.0   0   0|   0     0 |keystone-manage      1919  25%9346k1362B|keystone-manage      1919 9346k1362B 25%|mysqld       201M|   0     0 |  14    5    0    8    0
Aug 09 13:50:13 ubuntu dstat.sh[491]: 09-08 13:50:13| 11  19  69   0   0| 577M 1555M  153M 5475M|8301B 1620B|   0    96k|   0  10.0 |2746  4425 |1.34 1.13 0.85|2.0   0 408|   0     0 |bash                 2692 3.5%  17M  28k|bash                 2692   17M  28k3.5%|mysqld       201M|   0     0 |  14    5    0    8    0
Aug 09 13:50:14 ubuntu dstat.sh[491]: 09-08 13:50:14| 14  19  67   0   0| 580M 1552M  153M 5476M|8521B 1620B|   0    28k|   0  7.00 |3140  6822 |1.31 1.13 0.85|1.0   0 334|   0     0 |systemd              1    3.8%   0    0 |bash                 2692 2437k  18k1.8%|mysqld       201M|   0     0 |  14    5    0    8    0
Aug 09 13:50:15 ubuntu dstat.sh[491]: 09-08 13:50:15| 43  11  45   0   0| 673M 1459M  153M 5476M|7220B 1620B|   0     0 |   0     0 |1857  2747 |1.31 1.13 0.85|2.0   0 141|   0     0 |uwsgi                2736  21%9580k   0 |uwsgi                2737 9981k   0  21%|mysqld       201M|   0     0 |  14    7    0    8    0
Aug 09 13:50:16 ubuntu dstat.sh[491]: 09-08 13:50:16| 47   5  48   0   0| 734M 1395M  153M 5478M|7054B 1566B|   0    28k|   0  2.00 |1095  3061 |1.31 1.13 0.85|2.0   0 1.0|   0     0 |uwsgi                2736  25%7500k 108k|uwsgi                2737 7372k 662k 24%|mysqld       201M|   0     0 |  14    7    0    8    0
Aug 09 13:50:17 ubuntu dstat.sh[491]: 09-08 13:50:17| 25  12  63   0   0| 762M 1367M  153M 5478M|6594B 1512B|   0   160k|   0  22.0 |2200  4236 |1.31 1.13 0.85|1.0   0 171|   0     0 |keystone-manage      3010  11%5406k   0 |keystone-manage      3010 5406k   0  11%|mysqld       201M|   0     0 |  14    5    0    9    0
Aug 09 13:50:18 ubuntu dstat.sh[491]: 09-08 13:50:18| 23   4  73   1   0| 811M 1318M  153M 5478M|  15k 1620B|   0    10M|   0   146 | 780   893 |1.31 1.13 0.85|1.0   0   0|   0     0 |keystone-manage      3010  25%  11M1939B|keystone-manage      3010   11M1939B 25%|mysqld       201M|   0     0 |  14    5    0    9    0
Aug 09 13:50:19 ubuntu dstat.sh[491]: 09-08 13:50:19| 23   4  72   1   0| 750M 1379M  153M 5478M|9209B 1620B|   0  1656k|   0   187 |1588  2160 |1.29 1.12 0.85|2.0   0  54|   0     0 |openstack            3091 1.5% 860k   0 |bash                 2692   17M  13k0.2%|mysqld       203M|   0     0 |  14    5    0   12    0
Aug 09 13:50:20 ubuntu dstat.sh[491]: 09-08 13:50:20| 23   4  73   0   0| 793M 1335M  153M 5478M|9636B 1620B|   0  2280k|   0  65.0 | 833   996 |1.29 1.12 0.85|1.0   0   0|   0     0 |openstack            3091  25%  10M   0 |openstack            3091   10M   0  25%|mysqld       203M|   0     0 |  14   11    0   13    0
Aug 09 13:50:21 ubuntu dstat.sh[491]: 09-08 13:50:21| 21   4  73   3   0| 762M 1366M  153M 5478M|9186B 1620B|  76k    0 |19.0     0 |1476  2327 |1.29 1.12 0.85|2.0   0  61|   0     0 |uwsgi                2736 7.8% 128k8801B|bash                 2692   11M2787B0.2%|mysqld       205M|   0     0 |  14   29    0   17    0
Aug 09 13:50:22 ubuntu dstat.sh[491]: 09-08 13:50:22| 22   4  74   0   0| 804M 1324M  153M 5478M|8330B 1620B|   0  1180k|   0  13.0 | 749   805 |1.29 1.12 0.85|1.0   0   0|   0     0 |openstack            3152  25%9928k   0 |openstack            3152 9928k   0  25%|mysqld       205M|   0     0 |  14   29    0   17    0
Aug 09 13:50:23 ubuntu dstat.sh[491]: 09-08 13:50:23| 20   9  72   0   0| 785M 1343M  153M 5479M|7838B 1620B|   0     0 |   0     0 |1375  2148 |1.29 1.12 0.85|1.0   0  99|   0     0 |openstack            3251  12%5062k   0 |bash                 2692   11M3641B  0%|mysqld       205M|   0     0 |  14   29    0   22    0
Aug 09 13:50:24 ubuntu dstat.sh[491]: 09-08 13:50:24| 23   3  73   0   0| 811M 1317M  153M 5479M|8966B 1620B|   0  2292k|   0  28.0 |1291  1857 |1.27 1.12 0.85|1.0   0   0|   0     0 |openstack            3251  19%5944k   1B|openstack            3251 5944k   1B 19%|mysqld       205M|   0     0 |  14   29    0   30    0
Aug 09 13:50:25 ubuntu dstat.sh[491]: 09-08 13:50:25| 22   4  74   0   0| 802M 1326M  153M 5479M|8671B 1620B|   0   696k|   0  15.0 | 922  1147 |1.27 1.12 0.85|1.0   0  21|   0     0 |openstack            3272  23%9977k   0 |bash                 2692   11M4179B  0%|mysqld       205M|   0     0 |  14   29    0   30    0
Aug 09 13:50:26 ubuntu dstat.sh[491]: 09-08 13:50:26| 22   6  71   0   0| 777M 1351M  153M 5479M|6803B 1566B|   0   648k|   0  18.0 |1554  2446 |1.27 1.12 0.85|2.0   0  73|   0     0 |uwsgi                2736 5.8% 619k  15k|bash                 2692   11M   0   0%|mysqld       205M|   0     0 |  14   29    0   38    0
Aug 09 13:50:27 ubuntu dstat.sh[491]: 09-08 13:50:27| 23   4  72   1   0| 814M 1313M  153M 5479M|6368B 1512B|   0  4520k|   0  72.0 |1080  1489 |1.27 1.12 0.85|1.0   0 2.0|   0     0 |openstack            3345  23%8983k   0 |openstack            3345 8983k   0  23%|mysqld       205M|   0     0 |  14   31    0   39    0
Aug 09 13:50:28 ubuntu dstat.sh[491]: 09-08 13:50:28| 20   7  72   0   0| 785M 1343M  153M 5479M|8567B 1620B|   0     0 |   0     0 |1722  2528 |1.27 1.12 0.85|1.0   0 100|   0     0 |openstack            3447  10%3377k   0 |bash                 2692   11M7265B0.2%|mysqld       205M|   0     0 |  14   29    0   46    0
Aug 09 13:50:29 ubuntu dstat.sh[491]: 09-08 13:50:29| 23   4  72   1   0| 765M 1362M  153M 5479M|7128B 1674B|   0  3628k|   0   369 |1861  1532 |1.24 1.12 0.85|1.0   0  19|   0     0 |uwsgi                2736 1.5%2677B8374B|bash                 2692   11M3247B0.5%|mysqld       205M|   0     0 |  14   29    0   51    0
Aug 09 13:50:30 ubuntu dstat.sh[491]: 09-08 13:50:30| 22   5  74   0   0| 807M 1320M  153M 5479M|6803B 1660B|   0   180k|   0  7.00 | 957  1205 |1.24 1.12 0.85|1.0   0  49|   0     0 |openstack            3515  23%9791k   0 |openstack            3515 9791k   0  23%|mysqld       205M|   0     0 |  14   29    0   51    0
Aug 09 13:50:31 ubuntu dstat.sh[491]: 09-08 13:50:31| 22   5  73   0   0| 778M 1350M  153M 5479M|7416B 1620B|   0    32k|   0  3.00 |1535  2233 |1.24 1.12 0.85|1.0   0  70|   0     0 |uwsgi                2737 6.5% 617k  12k|bash                 2692   11M3391B  0%|mysqld       205M|   0     0 |  14   29    0   56    0
Aug 09 13:50:32 ubuntu dstat.sh[491]: 09-08 13:50:32| 23   3  74   0   0| 815M 1312M  153M 5479M|7709B 1188B|   0   204k|   0  14.0 | 820   936 |1.24 1.12 0.85|1.0   0   0|   0     0 |openstack            3585  24%9080k   0 |openstack            3585 9080k   0  24%|mysqld       205M|   0     0 |  14   31    0   57    0
Aug 09 13:50:33 ubuntu dstat.sh[491]: 09-08 13:50:33| 20   7  73   0   0| 798M 1329M  153M 5479M|8773B 1404B|   0   124k|   0  13.0 |1355  1933 |1.24 1.12 0.85|1.0   0  68|   0     0 |openstack            3653  15%6333k   0 |bash                 2692   11M3353B0.2%|mysqld       205M|   0     0 |  14   29    0   60    0
Aug 09 13:50:34 ubuntu dstat.sh[491]: 09-08 13:50:34| 21   6  73   0   0| 776M 1351M  153M 5479M|8012B 1620B|   0   416k|   0  10.0 |1275  1807 |1.22 1.12 0.85|1.0   0  72|   0     0 |openstack            3725 2.2%1430k   0 |bash                 2692   11M3626B0.2%|mysqld       205M|   0     0 |  14   29    0   64    0
Aug 09 13:50:35 ubuntu dstat.sh[491]: 09-08 13:50:35| 23   3  74   1   0| 810M 1317M  153M 5479M|7549B 1620B|   0   332k|   0  20.0 | 765   914 |1.22 1.12 0.85|1.0   0   0|   0     0 |openstack            3725  25%8375k   0 |openstack            3725 8375k   0  25%|mysqld       205M|   0     0 |  14   29    0   64    0
