-- Logs begin at Fri 2022-12-09 04:38:31 UTC, end at Sat 2022-12-10 02:14:54 UTC. --
Dec 10 01:35:34 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 10 01:35:34 ubuntu dstat.sh[88252]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 10 01:35:34 ubuntu dstat.sh[88252]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 10 01:35:34 ubuntu dstat.sh[88252]: 10-12 01:35:34|                   | 864M 1170M  193M 5391M|           |           |           |           |1.15 1.10 0.77|2.0   0    |           |   0     0 |  8    5    0   10    2
Dec 10 01:35:35 ubuntu dstat.sh[88252]: 10-12 01:35:35| 11  18  69   1   0| 866M 1165M  193M 5393M|2080k   15k|   0  2281k|   0  17.0 |3415  4032 |1.15 1.10 0.77|3.0   0 356|   0     0 |   0     0 |  8    5    0   10    2
Dec 10 01:35:36 ubuntu dstat.sh[88252]: 10-12 01:35:36| 16  19  64   0   0| 868M 1161M  193M 5395M| 234k 9185 |   0   571k|   0  16.9 |3096  4180 |1.15 1.10 0.77|3.0   0 344|   0     0 |   0     0 |  8    5    0   10    2
Dec 10 01:35:37 ubuntu dstat.sh[88252]: 10-12 01:35:37| 17  17  62   1   0| 860M 1169M  193M 5395M| 367k 9026 |   0    22M|   0   255 |4157  7140 |1.30 1.13 0.79|2.0   0 208|   0     0 |   0     0 |  8    5    0   10    2
Dec 10 01:35:38 ubuntu dstat.sh[88252]: 10-12 01:35:38| 38  15  45   1   0|1030M  998M  193M 5518M| 165k 6388 |   0   592k|   0  9.00 |2982  8159 |1.30 1.13 0.79|1.0   0 107|   0     0 |   0     0 |  9    4    0    9    2
Dec 10 01:35:39 ubuntu dstat.sh[88252]: 10-12 01:35:39| 36   8  55   0   0|1046M  981M  193M 5518M| 178k 8281 |   0   528k|   0  13.0 |1862  2201 |1.30 1.13 0.79|1.0   0  97|   0     0 |   0     0 |  9    6    1    9    2
Dec 10 01:35:40 ubuntu dstat.sh[88252]: 10-12 01:35:40| 19  11  68   1   0|1058M  969M  193M 5519M|  64k   19k|   0   676k|   0  29.0 |2193  3224 |1.30 1.13 0.79|1.0   0 196|   0     0 |   0     0 |  9    7    0   10    2
Dec 10 01:35:41 ubuntu dstat.sh[88252]: 10-12 01:35:41| 31   5  62   1   0|1101M  924M  193M 5520M| 150k 7246 |  52k 1154k|5.01  24.0 |1340  1400 |1.30 1.13 0.79|1.0   0 3.0|   0     0 |   0     0 |  9    7    1   10    2
Dec 10 01:35:42 ubuntu dstat.sh[88252]: 10-12 01:35:42| 26   4  68   1   0|1120M  904M  193M 5521M|  67k 6950 | 144k 1737k|8.99  17.0 |1335  1527 |1.28 1.13 0.79|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 01:35:43 ubuntu dstat.sh[88252]: 10-12 01:35:43| 17   2  65  12   0|1140M  884M  193M 5522M|  93k   17k|  12k 3716k|1.00   341 |3566  5910 |1.28 1.13 0.79|1.0   0  10|   0     0 |   0     0 |  9   10    0   10    2
Dec 10 01:35:44 ubuntu dstat.sh[88252]: 10-12 01:35:44| 11   3  61  24   0|1141M  880M  194M 5524M| 183k   13k|   0    13M|   0   980 |5533    11k|1.28 1.13 0.79|  0 1.0   0|   0     0 |   0     0 |  9   10    0   10    2
Dec 10 01:35:45 ubuntu dstat.sh[88252]: 10-12 01:35:45| 10   3  67  20   0|1148M  869M  194M 5528M| 743k   20k|   0  7785k|   0   652 |5146  9849 |1.28 1.13 0.79|  0 1.0  19|   0     0 |   0     0 |  9   10    0   10    2
Dec 10 01:35:46 ubuntu dstat.sh[88252]: 10-12 01:35:46| 20   5  56  21   1|1125M  888M  194M 5530M| 612k   19k|   0  8234k|   0   634 |5586  9249 |1.28 1.13 0.79|1.0 1.0  19|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 01:35:47 ubuntu dstat.sh[88252]: 10-12 01:35:47| 32   4  43  20   0|1144M  867M  194M 5532M|  64k   12k|   0  6997k|   0   713 |5278  9618 |1.42 1.16 0.80|1.0 2.0  11|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 01:35:48 ubuntu dstat.sh[88252]: 10-12 01:35:48| 32   4  52  11   0|1155M  854M  195M 5535M| 664k   16k|   0  6362k|   0   428 |3902  6420 |1.42 1.16 0.80|2.0   0  17|   0     0 |   0     0 |  9    7    0   10    2
Dec 10 01:35:49 ubuntu dstat.sh[88252]: 10-12 01:35:49| 27   7  66   1   0|1100M  907M  195M 5536M|1044k   17k|   0  1533k|   0  20.0 |2139  2041 |1.42 1.16 0.80|2.0   0  77|   0     0 |   0     0 |  9    7    0   10    2
Dec 10 01:35:50 ubuntu dstat.sh[88252]: 10-12 01:35:50| 34   2  62   2   0|1152M  854M  195M 5537M| 537k   13k|   0  1428k|   0  24.0 |1597  1926 |1.42 1.16 0.80|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 01:35:51 ubuntu dstat.sh[88252]: 10-12 01:35:51| 28   3  66   3   0|1072M  933M  195M 5537M|  59k 7751 |   0  7569k|   0   412 |2478  3149 |1.42 1.16 0.80|1.0   0  13|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 01:35:52 ubuntu dstat.sh[88252]: 10-12 01:35:52| 24   4  68   2   0|1129M  877M  195M 5538M| 118k 6823 |   0  7599k|   0   409 |2434  3030 |1.38 1.16 0.80|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 10 01:35:53 ubuntu dstat.sh[88252]: 10-12 01:35:53| 37   6  52   5   0|1157M  845M  195M 5541M| 415k   11k|   0    45M|   0   900 |3679  3242 |1.38 1.16 0.80|2.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
