-- Logs begin at Mon 2022-08-29 22:37:02 UTC, end at Tue 2022-08-30 00:05:42 UTC. --
Aug 29 23:27:00 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 29 23:27:00 ubuntu dstat.sh[72639]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 29 23:27:00 ubuntu dstat.sh[72639]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 29 23:27:00 ubuntu dstat.sh[72639]: 29-08 23:27:00|                   | 872M 1619M  185M 4958M|           |           |           |           |1.28 0.85 0.55|2.0   0    |           |   0     0 |  8    6    1   10    2
Aug 29 23:27:01 ubuntu dstat.sh[72639]: 29-08 23:27:01| 12  20  67   0   0| 873M 1617M  185M 4959M| 581k   21k|   0   695k|   0  21.0 |3260  4800 |1.28 0.85 0.55|3.0   0 362|   0     0 |   0     0 |  8    6    1   10    2
Aug 29 23:27:02 ubuntu dstat.sh[72639]: 29-08 23:27:02| 32  19  48   1   0| 837M 1651M  185M 4961M| 687k   21k|   0  1856k|   0  18.5 |3763  5586 |1.28 0.85 0.55|4.0   0 320|   0     0 |   0     0 |  8    4    1   10    2
Aug 29 23:27:03 ubuntu dstat.sh[72639]: 29-08 23:27:03| 47  17  36   0   0| 857M 1630M  185M 4962M| 166k 8867 |   0  1240k|   0  13.0 |4033  8354 |1.28 0.85 0.55|5.0   0 182|   0     0 |   0     0 |  8    4    1   10    2
Aug 29 23:27:04 ubuntu dstat.sh[72639]: 29-08 23:27:04| 22  12  64   0   0|1009M 1478M  185M 5084M|  61k 6760 |   0   883k|   0  9.99 |2800  4917 |1.28 0.85 0.55|1.0   0 118|   0     0 |   0     0 |  9    7    1   10    2
Aug 29 23:27:05 ubuntu dstat.sh[72639]: 29-08 23:27:05| 23   6  65   6   0|1009M 1477M  185M 5084M|  58k 7591 |   0  1284k|   0   147 |1566  1662 |1.26 0.85 0.55|  0 2.0  40|   0     0 |   0     0 |  9    7    1   10    2
Aug 29 23:27:06 ubuntu dstat.sh[72639]: 29-08 23:27:06| 22  10  59   8   0|1030M 1455M  185M 5086M| 662k   31k|   0    27M|   0   335 |2797  3349 |1.26 0.85 0.55|1.0   0 172|   0     0 |   0     0 |  9    8    1   12    2
Aug 29 23:27:07 ubuntu dstat.sh[72639]: 29-08 23:27:07| 25   3  70   1   0|1049M 1435M  185M 5088M| 912k   26k|  52k 1628k|5.00  15.0 |2039  2005 |1.26 0.85 0.55|1.0   0 1.0|   0     0 |   0     0 |  9    8    1   12    2
Aug 29 23:27:08 ubuntu dstat.sh[72639]: 29-08 23:27:08| 33   2  64   1   0|1080M 1402M  185M 5089M| 268k   12k| 144k 1339k|8.99  14.0 |1387  1514 |1.26 0.85 0.55|1.0   0   0|   0     0 |   0     0 |  9    8    1   12    2
Aug 29 23:27:09 ubuntu dstat.sh[72639]: 29-08 23:27:09| 15   3  66  13   0|1099M 1379M  185M 5092M|1263k   50k|  12k 5561k|1.00   440 |4999  7318 |1.26 0.85 0.55|2.0 1.0  11|   0     0 |   0     0 |  9   10    1   10    2
