-- Logs begin at Fri 2022-12-02 14:13:31 UTC, end at Mon 2022-12-05 12:25:34 UTC. --
Dec 05 11:46:43 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 05 11:46:44 ubuntu dstat.sh[92045]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 05 11:46:44 ubuntu dstat.sh[92045]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 05 11:46:44 ubuntu dstat.sh[92045]: 05-12 11:46:44|                   | 966M 1116M  191M 5345M|           |           |           |           |1.14 0.49 0.28|3.0   0    |           |   0     0 |  8    7    0   10    1
Dec 05 11:46:45 ubuntu dstat.sh[92045]: 05-12 11:46:45| 23  20  56   0   0| 969M 1112M  191M 5345M|  56k 5327 |   0   279k|   0  9.96 |2493  3965 |1.14 0.49 0.28|3.0   0 368|   0     0 |   0     0 |  8    8    0   10    1
Dec 05 11:46:46 ubuntu dstat.sh[92045]: 05-12 11:46:46| 11  19  68   0   0| 974M 1107M  191M 5346M| 290k 9287 |   0    28k|   0  8.48 |2500  3790 |1.14 0.49 0.28|5.0   0 342|   0     0 |   0     0 |  8    7    0   10    2
Dec 05 11:46:47 ubuntu dstat.sh[92045]: 05-12 11:46:47| 21  18  61   0   0| 962M 1117M  191M 5347M| 883k   19k|   0   498k|   0  13.0 |4785  6743 |1.13 0.50 0.29| 12   0 232|   0     0 |   0     0 |  8    8    0   10    2
Dec 05 11:46:48 ubuntu dstat.sh[92045]: 05-12 11:46:48| 35  15  49   0   0|1082M  995M  191M 5471M| 636k   18k|   0  7114k|   0   212 |3919  4359 |1.13 0.50 0.29|4.0   0  79|   0     0 |   0     0 |  9    6    0    8    2
Dec 05 11:46:49 ubuntu dstat.sh[92045]: 05-12 11:46:49| 51  10  38   1   0|1047M 1029M  191M 5471M| 227k 9407 |   0   684k|   0  16.0 |2133  2393 |1.13 0.50 0.29|3.0   0 111|   0     0 |   0     0 |  9    6    0    8    2
Dec 05 11:46:50 ubuntu dstat.sh[92045]: 05-12 11:46:50| 27  13  58   1   0|1066M 1008M  191M 5473M| 916k   22k|   0   684k|   0  29.0 |2561  3362 |1.13 0.50 0.29|2.0   0 181|   0     0 |   0     0 |  9    7    0   10    2
Dec 05 11:46:51 ubuntu dstat.sh[92045]: 05-12 11:46:51| 23   4  71   1   0|1110M  962M  191M 5475M|1198k 9022 |  52k  484k|5.00  20.0 |1600  1573 |1.13 0.50 0.29|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Dec 05 11:46:52 ubuntu dstat.sh[92045]: 05-12 11:46:52| 32   3  62   1   0|1116M  953M  191M 5478M|1005k 8591 | 144k  659k|8.99  3.99 |1668  1459 |1.20 0.53 0.30|2.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Dec 05 11:46:53 ubuntu dstat.sh[92045]: 05-12 11:46:53| 14   3  69  13   0|1136M  930M  191M 5481M|1075k   21k|  12k 5878k|1.00   465 |4597  7016 |1.20 0.53 0.30|1.0 1.0  12|   0     0 |   0     0 |  9   10    0   10    2
Dec 05 11:46:54 ubuntu dstat.sh[92045]: 05-12 11:46:54|  8   3  66  22   0|1138M  924M  192M 5484M| 783k   14k|   0    12M|   0   716 |5544  9905 |1.20 0.53 0.30|2.0 1.0 1.0|   0     0 |   0     0 |  9   10    0   10    2
Dec 05 11:46:55 ubuntu dstat.sh[92045]: 05-12 11:46:55|  7   4  68  19   0|1144M  912M  192M 5489M|1340k   15k|   0  7064k|   0   654 |5738  9750 |1.20 0.53 0.30|1.0 1.0  18|   0     0 |   0     0 |  9   10    0   10    2
Dec 05 11:46:56 ubuntu dstat.sh[92045]: 05-12 11:46:56|  8   3  67  19   0|1149M  904M  192M 5492M| 939k   17k|   0  7892k|   0   587 |5469  8943 |1.20 0.53 0.30|3.0   0  19|   0     0 |   0     0 |  9   10    0   10    2
Dec 05 11:46:57 ubuntu dstat.sh[92045]: 05-12 11:46:57| 18   5  56  21   0|1124M  926M  192M 5495M| 616k   16k|   0  7988k|   0   612 |5512  9263 |1.27 0.55 0.30|2.0 1.0  12|   0     0 |   0     0 |  9    8    0   10    2
Dec 05 11:46:58 ubuntu dstat.sh[92045]: 05-12 11:46:58| 34   5  44  15   0|1147M  902M  192M 5496M|  96k   10k|   0    13M|   0   458 |4391  7192 |1.27 0.55 0.30|3.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Dec 05 11:46:59 ubuntu dstat.sh[92045]: 05-12 11:46:59| 35   8  57   0   0|1089M  959M  193M 5497M| 172k 7642 |   0   815k|   0  27.0 |1567  2080 |1.27 0.55 0.30|1.0   0  81|   0     0 |   0     0 |  9    7    0   10    2
Dec 05 11:47:00 ubuntu dstat.sh[92045]: 05-12 11:47:00| 31   6  62   1   0|1145M  903M  193M 5497M| 150k 9191 |   0   888k|   0  27.0 |1738  3821 |1.27 0.55 0.30|1.0   0  35|   0     0 |   0     0 |  9    7    0   11    2
Dec 05 11:47:01 ubuntu dstat.sh[92045]: 05-12 11:47:01| 32   2  63   1   0|1066M  981M  193M 5498M| 174k 6378 |   0  7810k|   0   412 |1822  2993 |1.27 0.55 0.30|4.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
