-- Logs begin at Sun 2022-09-11 07:42:02 UTC, end at Sun 2022-09-11 11:21:10 UTC. --
Sep 11 10:42:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 11 10:42:13 ubuntu dstat.sh[78924]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 11 10:42:13 ubuntu dstat.sh[78924]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 11 10:42:13 ubuntu dstat.sh[78924]: 11-09 10:42:13|                   | 859M 1621M  186M 4968M|           |           |           |           |1.33 1.03 0.67|3.0   0    |           |   0     0 |  8    4    0   10    2
Sep 11 10:42:14 ubuntu dstat.sh[78924]: 11-09 10:42:14| 34  21  43   1   0| 869M 1611M  186M 4968M| 260k   11k|   0   443k|   0  20.2 |3147  4937 |1.33 1.03 0.67|3.5   0 396|   0     0 |   0     0 |  8    4    0   10    2
Sep 11 10:42:15 ubuntu dstat.sh[78924]: 11-09 10:42:15| 32  20  48   0   0| 861M 1616M  186M 4970M| 814k   26k|   0  1298k|   0  16.1 |3768  5808 |1.33 1.03 0.67|1.0   0 326|   0     0 |   0     0 |  8    5    0   10    2
Sep 11 10:42:16 ubuntu dstat.sh[78924]: 11-09 10:42:16| 23  16  58   1   1| 864M 1612M  186M 4971M| 504k   18k|   0    36M|   0   156 |3717  8510 |1.33 1.03 0.67|3.0   0 131|   0     0 |   0     0 |  8    5    0   10    2
Sep 11 10:42:17 ubuntu dstat.sh[78924]: 11-09 10:42:17| 12   5  82   0   0|1007M 1469M  186M 5093M|  90k 8313 |   0   600k|   0  12.0 |1854  2922 |1.22 1.01 0.67|2.0   0  37|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:18 ubuntu dstat.sh[78924]: 11-09 10:42:18| 19   9  70   0   0|1008M 1468M  186M 5093M|  68k 7808 |   0   492k|   0  17.0 |1744  2184 |1.22 1.01 0.67|1.0   0 113|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:19 ubuntu dstat.sh[78924]: 11-09 10:42:19| 20  11  67   1   0|1035M 1440M  186M 5094M| 506k   27k|   0  1081k|   0  25.0 |2591  3451 |1.22 1.01 0.67|2.0   0 176|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:20 ubuntu dstat.sh[78924]: 11-09 10:42:20| 32   5  61   2   0|1067M 1403M  186M 5099M| 980k   30k| 196k 1702k|14.0  19.0 |2417  1806 |1.22 1.01 0.67|2.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:21 ubuntu dstat.sh[78924]: 11-09 10:42:21| 45   5  47   1   0|1071M 1397M  186M 5100M| 241k   14k|  12k 9731k|1.00  74.0 |1876  1687 |1.22 1.01 0.67|2.0 1.0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 11 10:42:22 ubuntu dstat.sh[78924]: 11-09 10:42:22| 41  10  39  10   1|1111M 1349M  187M 5107M| 906k   37k|   0    19M|   0  1119 |8124    19k|1.37 1.05 0.68|6.0 1.0  50|   0     0 |   0     0 |  9    8    0   11    2
Sep 11 10:42:23 ubuntu dstat.sh[78924]: 11-09 10:42:23| 15   4  60  20   0|1107M 1350M  187M 5109M|  84k   12k|   0  7114k|   0   630 |5149  9039 |1.37 1.05 0.68|  0 1.0  10|   0     0 |   0     0 |  9    9    0   10    2
Sep 11 10:42:24 ubuntu dstat.sh[78924]: 11-09 10:42:24| 16   3  61  18   0|1111M 1342M  188M 5112M| 645k   26k|   0  7842k|   0   600 |5562  9222 |1.37 1.05 0.68|  0 1.0  23|   0     0 |   0     0 |  9    9    1   10    2
Sep 11 10:42:25 ubuntu dstat.sh[78924]: 11-09 10:42:25| 11   3  66  19   0|1115M 1336M  188M 5115M| 343k   19k|   0  6890k|   0   620 |5595  9525 |1.37 1.05 0.68|  0 1.0  16|   0     0 |   0     0 |  9   10    0   10    2
Sep 11 10:42:26 ubuntu dstat.sh[78924]: 11-09 10:42:26|  7   3  66  23   0|1116M 1332M  188M 5116M| 114k   13k|   0  6842k|   0   703 |5470  9966 |1.37 1.05 0.68|  0 1.0 6.0|   0     0 |   0     0 |  9   10    0   10    2
Sep 11 10:42:27 ubuntu dstat.sh[78924]: 11-09 10:42:27| 27   6  62   5   1|1033M 1414M  189M 5117M| 219k   11k|   0  2254k|   0   149 |2768  4008 |1.42 1.06 0.69|2.0   0  82|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:28 ubuntu dstat.sh[78924]: 11-09 10:42:28| 27   3  69   1   0|1089M 1357M  189M 5118M| 696k   17k|   0   867k|   0  25.0 |1845  1593 |1.42 1.06 0.69|2.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:29 ubuntu dstat.sh[78924]: 11-09 10:42:29| 45   5  47   2   0|1097M 1348M  189M 5120M| 668k   20k|   0  9049k|   0   412 |3235  3406 |1.42 1.06 0.69|3.0   0 5.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 11 10:42:30 ubuntu dstat.sh[78924]: 11-09 10:42:30| 51   7  40   1   0|1058M 1386M  189M 5120M|  35k 5077 |   0  7301k|   0   402 |2681  3100 |1.42 1.06 0.69|2.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Sep 11 10:42:31 ubuntu dstat.sh[78924]: 11-09 10:42:31| 57   8  35   1   0|1132M 1309M  189M 5122M|  20k 2123 |   0  7278k|   0   422 |2993  3590 |1.42 1.06 0.69|2.0   0 9.0|   0     0 |   0     0 |  9    7    0   10    2
Sep 11 10:42:32 ubuntu dstat.sh[78924]: 11-09 10:42:32| 42  10  45   2   0|1026M 1413M  190M 5123M|  13k 2613 |   0    11M|   0   393 |3560  5095 |1.47 1.08 0.70|2.0   0 158|   0     0 |   0     0 |  9    7    0   10    2
Sep 11 10:42:33 ubuntu dstat.sh[78924]: 11-09 10:42:33| 36  22  40   1   0|1056M 1361M  190M 5143M|8260  2674 |   0  4777k|   0   193 |3084  5408 |1.47 1.08 0.70|2.0   0 411|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:34 ubuntu dstat.sh[78924]: 11-09 10:42:34| 34  22  41   4   0|1039M 1367M  191M 5152M|  18k 3508 |   0  2646k|   0  91.1 |3701  9466 |1.47 1.08 0.70|3.0   0 176|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:35 ubuntu dstat.sh[78924]: 11-09 10:42:35| 64  15  20   1   0|1159M 1230M  192M 5166M| 101k 4823 | 324k 4516k|4.00   240 |2643  3864 |1.47 1.08 0.70|4.0 2.0 150|   0     0 |   0     0 |  9    9    0   10    2
Sep 11 10:42:36 ubuntu dstat.sh[78924]: 11-09 10:42:36| 64   8  25   1   0|1230M 1135M  193M 5187M|1185k   43k| 371k 4371k|7.98   122 |3186  2302 |1.47 1.08 0.70|3.0 1.0 1.0|   0     0 |   0     0 |  9    9    1   10    2
Sep 11 10:42:37 ubuntu dstat.sh[78924]: 11-09 10:42:37| 71   6  23   0   0|1241M 1123M  193M 5188M|  12k 3066 |   0  4522k|   0  16.0 |1782  3850 |1.59 1.11 0.71|7.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 10:42:38 ubuntu dstat.sh[78924]: 11-09 10:42:38| 58  13  28   0   0|1221M 1161M  193M 5170M|9455  3984 |   0   959k|   0  13.0 |2637  5168 |1.59 1.11 0.71|2.0   0 150|   0     0 |   0     0 |  9    4    1   11    0
Sep 11 10:42:39 ubuntu dstat.sh[78924]: 11-09 10:42:39| 45   8  47   0   0|1332M 1050M  193M 5170M|7320  2501 |   0     0 |   0     0 |4408  8164 |1.59 1.11 0.71|2.0   0  13|   0     0 |   0     0 |  9    5    0   11    0
Sep 11 10:42:40 ubuntu dstat.sh[78924]: 11-09 10:42:40| 51   6  42   1   0|1338M 1043M  193M 5170M|  28k   19k|   0  2448k|   0  24.0 |4980    11k|1.59 1.11 0.71|2.0   0 9.0|   0     0 |   0     0 |  9   11    1   11    0
Sep 11 10:42:41 ubuntu dstat.sh[78924]: 11-09 10:42:41| 44   9  44   2   0|1256M 1125M  193M 5170M|  59k   51k|   0  3121k|   0   270 |  11k   22k|1.59 1.11 0.71|2.0   0  56|   0     0 |   0     0 |  9    6    0   11    0
Sep 11 10:42:42 ubuntu dstat.sh[78924]: 11-09 10:42:42| 44   5  49   0   0|1258M 1124M  193M 5171M|  52k 3088 |  64k 3208k|5.99   105 |1457  1303 |1.62 1.13 0.72|2.0   0 5.0|   0     0 |   0     0 |  9    6    0   11    0
Sep 11 10:42:43 ubuntu dstat.sh[78924]: 11-09 10:42:43| 38   8  48   5   0|1278M 1103M  193M 5171M| 343k   97k| 216k 1231k|54.0  17.0 |2387  3021 |1.62 1.13 0.72|4.0   0  18|   0     0 |   0     0 |  9   29    0   11    0
Sep 11 10:42:44 ubuntu dstat.sh[78924]: 11-09 10:42:44| 51   6  42   0   0|1214M 1164M  193M 5173M|1024k   64k|   0  1736k|   0  6.01 |2599  2090 |1.62 1.13 0.72|5.0   0  47|   0     0 |   0     0 |  9   30    0   11    2
Sep 11 10:42:45 ubuntu dstat.sh[78924]: 11-09 10:42:45| 47   9  44   0   0|1243M 1135M  193M 5174M|  62k   45k|   0  4093B|   0  1.00 |1460  1830 |1.62 1.13 0.72|2.0   0  52|   0     0 |   0     0 |  9   31    0   11    0
Sep 11 10:42:46 ubuntu dstat.sh[78924]: 11-09 10:42:46| 49  14  38   0   0|1238M 1140M  193M 5174M|  23k   17k|   0   316k|   0  16.0 |2139  3024 |1.62 1.13 0.72|2.0   0 208|   0     0 |   0     0 |  9   30    1   10    0
Sep 11 10:42:47 ubuntu dstat.sh[78924]: 11-09 10:42:47| 46   5  49   0   0|1319M 1060M  193M 5174M| 105k   96k|   0  1659k|   0  6.99 |1716  2245 |1.65 1.14 0.72|3.0   0 1.0|   0     0 |   0     0 |  9   32    0   11    0
Sep 11 10:42:48 ubuntu dstat.sh[78924]: 11-09 10:42:48| 52   5  41   0   0|1269M 1108M  193M 5174M| 704k  699k|   0   567k|   0  30.9 |5016    10k|1.65 1.14 0.72|3.0   0  20|   0     0 |   0     0 |  9   36    0   12    0
Sep 11 10:42:49 ubuntu dstat.sh[78924]: 11-09 10:42:49| 64  22  15   0   0|1354M 1023M  193M 5174M|9913  2636 |   0   148k|   0  14.0 |2263  4086 |1.65 1.14 0.72|6.0   0 434|   0     0 |   0     0 |  9   36    0   12    0
Sep 11 10:42:50 ubuntu dstat.sh[78924]: 11-09 10:42:50| 84  14   1   0   0|1496M  882M  193M 5174M| 517k  441k|   0   768k|   0  40.0 |3690  6987 |1.65 1.14 0.72|6.0   0 127|   0     0 |   0     0 |  9   39    0   12    0
Sep 11 10:42:51 ubuntu dstat.sh[78924]: 11-09 10:42:51| 84  14   1   0   0|1321M 1056M  193M 5176M|1205k  549k|   0  1189k|   0   107 |5323    10k|1.65 1.14 0.72|7.0   0 169|   0     0 |   0     0 |  9   36    0   12    0
Sep 11 10:42:52 ubuntu dstat.sh[78924]: 11-09 10:42:52| 60  10  25   3   0|1192M 1183M  193M 5177M| 911k  363k|   0    16M|   0   580 |5041  7347 |1.92 1.20 0.75|3.0   0  86|   0     0 |   0     0 |  9   34    0   12    0
Sep 11 10:42:53 ubuntu dstat.sh[78924]: 11-09 10:42:53| 44   7  47   1   0|1253M 1122M  193M 5177M| 327k  323k|   0   625k|   0  41.1 |2822  5719 |1.92 1.20 0.75|3.0   0  59|   0     0 |   0     0 |  9   35    0   13    0
Sep 11 10:42:54 ubuntu dstat.sh[78924]: 11-09 10:42:54| 35   7  58   0   0|1205M 1170M  193M 5177M| 315k  309k|   0   670k|   0  39.9 |2944  6097 |1.92 1.20 0.75|2.0   0  72|   0     0 |   0     0 |  9   34    0   13    0
