-- Logs begin at Fri 2022-09-09 23:20:38 UTC, end at Sat 2022-09-10 14:53:58 UTC. --
Sep 10 14:14:50 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 10 14:14:50 ubuntu dstat.sh[81425]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 10 14:14:50 ubuntu dstat.sh[81425]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 10 14:14:50 ubuntu dstat.sh[81425]: 10-09 14:14:50|                   | 877M 1463M  190M 5095M|           |           |           |           |1.30 0.90 0.60|2.0   0    |           |   0     0 |  8    6    0   11    2
Sep 10 14:14:51 ubuntu dstat.sh[81425]: 10-09 14:14:51| 12  19  67   0   0| 878M 1462M  190M 5095M|  86k 5391 |   0   662k|   0  20.9 |2843  4686 |1.30 0.90 0.60|2.0   0 369|   0     0 |   0     0 |  8    6    0   11    2
Sep 10 14:14:52 ubuntu dstat.sh[81425]: 10-09 14:14:52| 20  16  60   3   0| 862M 1477M  190M 5096M| 305k   13k|   0    25M|   0   154 |3371  5390 |1.28 0.90 0.61|5.0   0 307|   0     0 |   0     0 |  8    6    0   11    2
Sep 10 14:14:53 ubuntu dstat.sh[81425]: 10-09 14:14:53| 23  16  58   0   0| 866M 1471M  190M 5098M| 879k   27k|   0   372k|   0  10.0 |3462  6582 |1.28 0.90 0.61|2.0   0 200|   0     0 |   0     0 |  8    6    0    9    2
Sep 10 14:14:54 ubuntu dstat.sh[81425]: 10-09 14:14:54| 36  14  48   1   0| 995M 1341M  190M 5220M| 214k   14k|   0  1871k|   0  17.0 |2716  3515 |1.28 0.90 0.61|3.0   0 130|   0     0 |   0     0 |  9    6    0    9    2
Sep 10 14:14:55 ubuntu dstat.sh[81425]: 10-09 14:14:55| 38  13  45   1   0|1012M 1324M  190M 5221M| 155k   18k|   0   807k|   0  32.9 |2300  3241 |1.28 0.90 0.61|3.0   0 200|   0     0 |   0     0 |  9    6    0   11    2
Sep 10 14:14:56 ubuntu dstat.sh[81425]: 10-09 14:14:56| 27   5  65   2   0|1058M 1276M  190M 5221M|  55k 6434 |  52k 1052k|5.00  21.0 |1253  1317 |1.28 0.90 0.61|2.0   0 1.0|   0     0 |   0     0 |  9    7    0   11    2
Sep 10 14:14:57 ubuntu dstat.sh[81425]: 10-09 14:14:57| 27   4  63   6   0|1091M 1242M  190M 5223M| 991k   21k| 144k   31M|9.01   111 |2330  1734 |1.26 0.90 0.61|3.0   0 2.0|   0     0 |   0     0 |  9    7    0   11    2
Sep 10 14:14:58 ubuntu dstat.sh[81425]: 10-09 14:14:58| 30   3  61   5   0|1093M 1238M  190M 5225M| 708k   25k|  12k 3213k|1.00   170 |3011  3771 |1.26 0.90 0.61|1.0 1.0 1.0|   0     0 |   0     0 |  9   10    0   11    2
Sep 10 14:14:59 ubuntu dstat.sh[81425]: 10-09 14:14:59|  8   4  63  24   0|1102M 1225M  191M 5228M| 549k   18k|   0    13M|   0   947 |6408    11k|1.26 0.90 0.61|1.0   0  13|   0     0 |   0     0 |  9   10    0   11    2
