-- Logs begin at Sat 2022-09-10 23:59:00 UTC, end at Sun 2022-09-11 06:08:52 UTC. --
Sep 11 05:29:28 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 11 05:29:29 ubuntu dstat.sh[73007]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 11 05:29:29 ubuntu dstat.sh[73007]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 11 05:29:29 ubuntu dstat.sh[73007]: 11-09 05:29:29|                   | 875M 1610M  187M 4962M|           |           |           |           |1.25 0.73 0.49|3.0   0    |           |   0     0 |  8    6    0   10    2
Sep 11 05:29:30 ubuntu dstat.sh[73007]: 11-09 05:29:30| 12  19  66   1   0| 876M 1609M  187M 4962M| 117k 8836 |   0    12M|   0   220 |3024  4099 |1.25 0.73 0.49|3.0   0 371|   0     0 |   0     0 |  8    6    0   10    2
Sep 11 05:29:31 ubuntu dstat.sh[73007]: 11-09 05:29:31| 18  17  62   0   0| 860M 1623M  187M 4964M| 618k   19k|   0  1004k|   0   118 |3478  4778 |1.25 0.73 0.49|2.0   0 305|   0     0 |   0     0 |  8    6    0   10    2
Sep 11 05:29:32 ubuntu dstat.sh[73007]: 11-09 05:29:32| 21  17  60   1   0| 863M 1618M  187M 4966M| 932k   27k|   0  2256k|   0  18.0 |5304  7345 |1.39 0.77 0.50|3.0   0 221|   0     0 |   0     0 |  8    4    0    9    4
Sep 11 05:29:33 ubuntu dstat.sh[73007]: 11-09 05:29:33| 39  16  46   0   0| 985M 1494M  187M 5089M|  59k 7053 |   0   768k|   0  12.0 |2815  4331 |1.39 0.77 0.50|3.0   0 124|   0     0 |   0     0 |  9    6    0    9    2
Sep 11 05:29:34 ubuntu dstat.sh[73007]: 11-09 05:29:34| 42  14  42   0   0|1007M 1473M  187M 5089M|  67k   18k|   0  1159k|   0  30.0 |2255  3207 |1.39 0.77 0.50|3.0   0 204|   0     0 |   0     0 |  9    6    0   10    2
Sep 11 05:29:35 ubuntu dstat.sh[73007]: 11-09 05:29:35| 24   4  69   2   0|1053M 1426M  187M 5089M| 155k 7114 |  52k   11M|5.00  56.0 |1308  1353 |1.39 0.77 0.50|2.0 1.0 1.0|   0     0 |   0     0 |  9    7    0   10    2
Sep 11 05:29:36 ubuntu dstat.sh[73007]: 11-09 05:29:36| 31   3  65   1   0|1094M 1384M  187M 5090M|  67k 7920 | 144k 1677k|9.01  20.0 |1352  1559 |1.39 0.77 0.50|2.0   0   0|   0     0 |   0     0 |  9    7    1   10    2
Sep 11 05:29:37 ubuntu dstat.sh[73007]: 11-09 05:29:37| 17   3  68  12   0|1098M 1378M  188M 5091M|  37k   17k|  12k 4148k|1.00   376 |3686  6075 |1.36 0.77 0.51|  0 1.0  10|   0     0 |   0     0 |  9   10    0   10    2
Sep 11 05:29:38 ubuntu dstat.sh[73007]: 11-09 05:29:38| 10   3  62  24   0|1099M 1374M  188M 5094M| 717k   19k|   0    15M|   0  1088 |6877    11k|1.36 0.77 0.51|1.0 1.0 1.0|   0     0 |   0     0 |  9   10    0   10    2
Sep 11 05:29:39 ubuntu dstat.sh[73007]: 11-09 05:29:39|  8   3  66  21   0|1106M 1363M  188M 5098M|1302k   28k|   0  6878k|   0   576 |5795  9218 |1.36 0.77 0.51|1.0 1.0  19|   0     0 |   0     0 |  9   10    0   10    2
Sep 11 05:29:40 ubuntu dstat.sh[73007]: 11-09 05:29:40| 15   3  59  20   1|1111M 1353M  189M 5102M|1012k   27k|   0    47M|   0  1071 |6013  8850 |1.36 0.77 0.51|2.0 1.0  18|   0     0 |   0     0 |  9    8    0   10    4
Sep 11 05:29:41 ubuntu dstat.sh[73007]: 11-09 05:29:41| 31   5  41  22   0|1103M 1358M  189M 5105M| 539k   18k|   0  7157k|   0   652 |5637  9898 |1.36 0.77 0.51|2.0 2.0  14|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 05:29:42 ubuntu dstat.sh[73007]: 11-09 05:29:42| 29   4  51  15   0|1112M 1347M  189M 5106M|  61k   14k|   0  5635k|   0   532 |4744  8461 |1.49 0.81 0.52|1.0   0  18|   0     0 |   0     0 |  9    9    0   10    2
Sep 11 05:29:43 ubuntu dstat.sh[73007]: 11-09 05:29:43| 21   7  71   0   0|1050M 1409M  189M 5106M|  51k 6496 |   0   667k|   0  8.99 |1323  1878 |1.49 0.81 0.52|1.0   0  76|   0     0 |   0     0 |  9    7    0   10    2
Sep 11 05:29:44 ubuntu dstat.sh[73007]: 11-09 05:29:44| 42   6  51   1   0|1110M 1347M  189M 5109M|  71k 4627 |   0   757k|   0  7.01 |1157  1246 |1.49 0.81 0.52|2.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 05:29:45 ubuntu dstat.sh[73007]: 11-09 05:29:45| 28   3  66   3   0|1042M 1414M  190M 5109M| 290k   11k|   0  9762k|   0   412 |2362  3033 |1.49 0.81 0.52|1.0   0  12|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 05:29:46 ubuntu dstat.sh[73007]: 11-09 05:29:46| 26   4  69   2   1|1091M 1363M  190M 5111M| 973k   22k|   0  7816k|   0   413 |3088  3223 |1.49 0.81 0.52|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 05:29:47 ubuntu dstat.sh[73007]: 11-09 05:29:47| 37   5  55   2   0|1113M 1334M  190M 5116M| 671k   23k|   0  8464k|   0   407 |2963  3056 |1.45 0.82 0.52|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 05:29:48 ubuntu dstat.sh[73007]: 11-09 05:29:48| 21  20  57   3   1| 992M 1454M  190M 5117M| 678k   17k|   0  9558k|   0   398 |4293  6088 |1.45 0.82 0.52|2.0   0 345|   0     0 |   0     0 |  9    6    0   10    3
Sep 11 05:29:49 ubuntu dstat.sh[73007]: 11-09 05:29:49| 34  22  42   0   0|1014M 1431M  190M 5119M| 573k   13k|   0  1574k|   0  45.9 |3790  6196 |1.45 0.82 0.52|4.0   0 338|   0     0 |   0     0 |  9    6    0   10    2
Sep 11 05:29:50 ubuntu dstat.sh[73007]: 11-09 05:29:50| 44  18  36   1   0|1064M 1379M  190M 5120M| 385k   13k| 196k 1785k|3.00  19.0 |4192  6976 |1.45 0.82 0.52|4.0   0 158|   0     0 |   0     0 |  9    6    1   10    2
Sep 11 05:29:51 ubuntu dstat.sh[73007]: 11-09 05:29:51| 46  10  42   1   0|1174M 1269M  190M 5120M|  82k 7746 | 128k 1912k|1.00  15.0 |1725  2205 |1.45 0.82 0.52|3.0   0  61|   0     0 |   0     0 |  9    8    0   10    2
Sep 11 05:29:52 ubuntu dstat.sh[73007]: 11-09 05:29:52| 59   2  37   1   0|1228M 1213M  190M 5121M|  91k 8091 | 372k  960k|8.00  13.0 |1710  1723 |1.58 0.85 0.54|4.0   0 2.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 11 05:29:53 ubuntu dstat.sh[73007]: 11-09 05:29:53| 47   8  45   0   0|1257M 1181M  191M 5124M| 227k   12k|   0  1519k|   0  32.0 |2744  6672 |1.58 0.85 0.54|5.0   0  88|   0     0 |   0     0 |  9    8    0   11    2
Sep 11 05:29:54 ubuntu dstat.sh[73007]: 11-09 05:29:54| 31   8  59   1   0|1302M 1136M  191M 5124M| 111k 6039 |   0   672k|   0  7.00 |1963  2790 |1.58 0.85 0.54|4.0   0  59|   0     0 |   0     0 |  9    8    0   11    2
Sep 11 05:29:55 ubuntu dstat.sh[73007]: 11-09 05:29:55| 28   3  68   0   0|1347M 1090M  191M 5125M| 563k   16k|   0   292k|   0  6.00 |1441  1250 |1.58 0.85 0.54|2.0   0   0|   0     0 |   0     0 |  9    8    0   11    2
Sep 11 05:29:56 ubuntu dstat.sh[73007]: 11-09 05:29:56| 53   7  39   1   0|1359M 1074M  191M 5129M| 705k   42k|   0  9839k|   0  58.0 |2820  2954 |1.58 0.85 0.54|5.0   0 7.0|   0     0 |   0     0 |  9   12    0   11    2
Sep 11 05:29:57 ubuntu dstat.sh[73007]: 11-09 05:29:57| 63  12  25   1   1|1277M 1153M  191M 5130M|  49k   38k|   0  4326k|   0   275 |4039  6254 |1.69 0.89 0.55|4.0   0  47|   0     0 |   0     0 |  9    6    0   13    2
Sep 11 05:29:58 ubuntu dstat.sh[73007]: 11-09 05:29:58| 53  10  36   0   0|1301M 1113M  192M 5145M|7118  1854 |  64k 3487k|5.99  77.9 |1806  2011 |1.69 0.89 0.55|3.0   0 4.0|   0     0 |   0     0 |  9    7    0   13    2
Sep 11 05:29:59 ubuntu dstat.sh[73007]: 11-09 05:29:59| 33   6  51   9   0|1323M 1078M  192M 5155M|  97k   87k| 216k 7166k|54.0   292 |2667  3783 |1.69 0.89 0.55|3.0   0 2.0|   0     0 |   0     0 |  9   28    0   13    2
Sep 11 05:30:00 ubuntu dstat.sh[73007]: 11-09 05:30:00| 43   8  45   4   0|1294M 1098M  193M 5163M|  45k   41k|   0  2907k|   0  94.0 |1957  2400 |1.69 0.89 0.55|3.0   0  48|   0     0 |   0     0 |  9   34    0   13    2
Sep 11 05:30:01 ubuntu dstat.sh[73007]: 11-09 05:30:01| 40   6  48   5   0|1334M 1042M  194M 5177M|  34k   24k|   0  6817k|   0   221 |1821  1716 |1.69 0.89 0.55|4.0   0   0|   0     0 |   0     0 |  9   34    0   11    2
Sep 11 05:30:02 ubuntu dstat.sh[73007]: 11-09 05:30:02| 47  11  39   2   0|1324M 1036M  194M 5190M| 122k   41k|   0  2179k|   0  71.0 |2267  3082 |1.80 0.92 0.56|3.0   0 207|   0     0 |   0     0 |  9   34    1   11    2
Sep 11 05:30:03 ubuntu dstat.sh[73007]: 11-09 05:30:03| 46   5  48   0   0|1402M  958M  194M 5190M| 376k   88k|   0   584k|   0  5.00 |1722  2077 |1.80 0.92 0.56|3.0   0 1.0|   0     0 |   0     0 |  9   38    0   10    2
Sep 11 05:30:04 ubuntu dstat.sh[73007]: 11-09 05:30:04| 57   8  37   0   0|1334M 1044M  194M 5174M|1635k  731k|   0  1121k|   0  28.0 |5718  9962 |1.80 0.92 0.56|5.0   0  45|   0     0 |   0     0 |  9   36    0   12    0
Sep 11 05:30:05 ubuntu dstat.sh[73007]: 11-09 05:30:05| 80  17   3   0   1|1335M 1042M  194M 5174M|  11k 2138 |   0  1432k|   0  13.0 |2113  3047 |1.80 0.92 0.56|7.0   0 277|   0     0 |   0     0 |  9   34    0   11    0
Sep 11 05:30:06 ubuntu dstat.sh[73007]: 11-09 05:30:06| 83  17   0   0   0|1451M  926M  194M 5174M| 119k  110k|   0  3076k|   0  40.0 |  11k   21k|1.80 0.92 0.56|9.0   0 136|   0     0 |   0     0 |  9   35    0   11    0
Sep 11 05:30:07 ubuntu dstat.sh[73007]: 11-09 05:30:07| 85  14   0   0   0|1516M  860M  194M 5174M| 656k  649k|   0  4068k|   0  83.0 |6204    11k|2.37 1.06 0.61| 10   0 145|   0     0 |   0     0 |  9   34    0   11    0
Sep 11 05:30:08 ubuntu dstat.sh[73007]: 11-09 05:30:08| 87  13   0   0   0|1389M  988M  194M 5174M| 218k  214k|   0  1460k|   0  51.0 |7742    19k|2.37 1.06 0.61|7.0   0 145|   0     0 |   0     0 |  9   35    0   11    0
Sep 11 05:30:09 ubuntu dstat.sh[73007]: 11-09 05:30:09| 87  11   1   0   0|1425M  952M  194M 5174M| 392k  381k|   0  1668k|   0  53.0 |3666  6610 |2.37 1.06 0.61|6.0 1.0  74|   0     0 |   0     0 |  9   35    1   12    0
Sep 11 05:30:10 ubuntu dstat.sh[73007]: 11-09 05:30:10| 62  14  22   0   0|1274M 1102M  194M 5175M| 390k  382k|   0   708k|   0  31.0 |3488  6943 |2.37 1.06 0.61|4.0   0 196|   0     0 |   0     0 |  9   36    0   13    0
Sep 11 05:30:11 ubuntu dstat.sh[73007]: 11-09 05:30:11| 47   3  47   1   0|1306M 1070M  194M 5175M| 219k  173k|   0    13M|   0   527 |2269  3087 |2.37 1.06 0.61|4.0   0 3.0|   0     0 |   0     0 |  9   37    0   13    0
Sep 11 05:30:12 ubuntu dstat.sh[73007]: 11-09 05:30:12| 29  13  55   1   0|1258M 1117M  194M 5175M| 223k   43k|  80k 1081k|2.00   114 |3109  5014 |2.26 1.06 0.61|2.0   0 391|   0     0 |   0     0 |  9   36    0   13    0
Sep 11 05:30:13 ubuntu dstat.sh[73007]: 11-09 05:30:13| 23   4  72   0   0|1295M 1078M  194M 5177M| 853k   68k|   0   652k|   0  11.0 |1993  1738 |2.26 1.06 0.61|2.0   0   0|   0     0 |   0     0 |  9   36    0   13    0
