-- Logs begin at Wed 2022-09-14 01:38:41 UTC, end at Wed 2022-09-14 03:19:42 UTC. --
Sep 14 02:36:35 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 14 02:36:36 ubuntu dstat.sh[79079]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 14 02:36:36 ubuntu dstat.sh[79079]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 14 02:36:36 ubuntu dstat.sh[79079]: 14-09 02:36:36|                   | 866M 1626M  186M 4955M|           |           |           |           |1.27 0.83 0.52|2.0   0    |           |   0     0 |  8    5    0   10    2
Sep 14 02:36:37 ubuntu dstat.sh[79079]: 14-09 02:36:37|  9  20  68   1   0| 867M 1625M  186M 4955M| 345k 9004 |   0  2223k|   0  96.8 |3181  4680 |1.27 0.83 0.52|2.0   0 353|   0     0 |   0     0 |  8    5    0   10    2
Sep 14 02:36:38 ubuntu dstat.sh[79079]: 14-09 02:36:38| 24  18  56   1   0| 853M 1637M  186M 4956M| 256k 4582 |   0   973k|   0  63.4 |3118  5119 |1.27 0.83 0.52|1.0   0 298|   0     0 |   0     0 |  8    6    0   10    2
Sep 14 02:36:39 ubuntu dstat.sh[79079]: 14-09 02:36:39| 19  18  62   0   0| 853M 1637M  186M 4957M| 451k   11k|   0    21M|   0  98.0 |3344  7159 |1.27 0.83 0.52|1.0   0 180|   0     0 |   0     0 |  8    6    0   10    2
Sep 14 02:36:40 ubuntu dstat.sh[79079]: 14-09 02:36:40| 12  10  77   0   0|1001M 1487M  186M 5080M| 528k 8226 |   0     0 |   0     0 |2930  4438 |1.17 0.81 0.52|2.0   0 101|   0     0 |   0     0 |  9    8    0    8    2
Sep 14 02:36:41 ubuntu dstat.sh[79079]: 14-09 02:36:41| 19   8  72   0   0|1005M 1480M  186M 5083M|1417k   40k|   0    36k|   0  9.00 |2945  2074 |1.17 0.81 0.52|1.0   0  83|   0     0 |   0     0 |  9    8    0    8    2
Sep 14 02:36:42 ubuntu dstat.sh[79079]: 14-09 02:36:42| 42  14  43   0   0|1007M 1477M  186M 5085M| 701k   26k|   0  2681k|   0  29.0 |3396  6092 |1.17 0.81 0.52|2.0   0 206|   0     0 |   0     0 |  9    6    0   10    2
Sep 14 02:36:43 ubuntu dstat.sh[79079]: 14-09 02:36:43| 47   6  46   1   0|1054M 1429M  186M 5086M| 295k 7140 | 196k 5078k|14.0  11.0 |1603  1469 |1.17 0.81 0.52|2.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 14 02:36:44 ubuntu dstat.sh[79079]: 14-09 02:36:44| 31   3  64   2   0|1077M 1404M  186M 5087M| 589k   16k|  12k   13M|1.00   131 |2056  2275 |1.17 0.81 0.52|2.0   0 3.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 14 02:36:45 ubuntu dstat.sh[79079]: 14-09 02:36:45|  7   4  63  23   0|1088M 1390M  187M 5090M| 646k   18k|   0    11M|   0   904 |6258    11k|1.32 0.85 0.53|2.0   0 9.0|   0     0 |   0     0 |  9    9    0   10    2
Sep 14 02:36:46 ubuntu dstat.sh[79079]: 14-09 02:36:46| 11   3  65  19   0|1096M 1378M  187M 5093M| 708k   15k|   0  6710k|   0   654 |4777  9352 |1.32 0.85 0.53|  0 1.0  18|   0     0 |   0     0 |  9   10    0   10    2
Sep 14 02:36:47 ubuntu dstat.sh[79079]: 14-09 02:36:47|  9   3  65  21   0|1100M 1370M  188M 5096M| 181k   14k|   0  9747k|   0   673 |4970  9602 |1.32 0.85 0.53|1.0 1.0  16|   0     0 |   0     0 |  9   10    0   10    2
Sep 14 02:36:48 ubuntu dstat.sh[79079]: 14-09 02:36:48| 11   4  64  21   0|1104M 1364M  188M 5098M| 271k   15k|   0  7064k|   0   662 |5295  9925 |1.32 0.85 0.53|1.0 1.0  14|   0     0 |   0     0 |  9   10    0   10    2
Sep 14 02:36:49 ubuntu dstat.sh[79079]: 14-09 02:36:49|  9   3  66  20   0|1107M 1358M  189M 5101M| 613k   22k|   0  7876k|   0   587 |5207  8950 |1.32 0.85 0.53|1.0   0  16|   0     0 |   0     0 |  9   10    0   10    2
Sep 14 02:36:50 ubuntu dstat.sh[79079]: 14-09 02:36:50| 32   7  59   1   0|1003M 1460M  189M 5102M| 902k   42k|   0  2214k|   0  51.0 |2929  2597 |1.45 0.89 0.54|2.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Sep 14 02:36:51 ubuntu dstat.sh[79079]: 14-09 02:36:51| 49   5  45   1   0|1074M 1388M  189M 5103M| 162k 6253 |   0  1065k|   0  26.0 |1487  1363 |1.45 0.89 0.54|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 14 02:36:52 ubuntu dstat.sh[79079]: 14-09 02:36:52| 40   4  54   2   0|1104M 1358M  189M 5104M| 142k 7190 |   0  8271k|   0   410 |2525  2985 |1.45 0.89 0.54|1.0   0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Sep 14 02:36:53 ubuntu dstat.sh[79079]: 14-09 02:36:53| 24   5  67   2   0|1053M 1409M  189M 5104M|  61k 6123 |   0  7969k|   0   406 |2389  3111 |1.45 0.89 0.54|1.0   0  11|   0     0 |   0     0 |  9    7    0   10    2
Sep 14 02:36:54 ubuntu dstat.sh[79079]: 14-09 02:36:54| 35   3  59   3   0|1104M 1358M  189M 5104M|  58k 6382 |   0  8084k|   0   429 |2326  2884 |1.45 0.89 0.54|2.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Sep 14 02:36:55 ubuntu dstat.sh[79079]: 14-09 02:36:55| 26   4  67   2   0|1015M 1446M  189M 5104M| 157k 7568 |   0  7620k|   0   383 |2432  3365 |1.34 0.87 0.54|1.0   0  62|   0     0 |   0     0 |  9    8    0   10    2
Sep 14 02:36:56 ubuntu dstat.sh[79079]: 14-09 02:36:56| 11  20  67   1   0|1015M 1446M  189M 5105M|  73k 6951 |   0  1435k|   0  63.0 |2882  4560 |1.34 0.87 0.54|2.0   0 343|   0     0 |   0     0 |  9    8    0   10    2
Sep 14 02:36:57 ubuntu dstat.sh[79079]: 14-09 02:36:57| 14  19  64   1   0|1018M 1441M  189M 5106M| 390k   16k|   0   916k|   0  26.0 |3548  5132 |1.34 0.87 0.54|1.0   0 302|   0     0 |   0     0 |  9    8    0   10    2
Sep 14 02:36:58 ubuntu dstat.sh[79079]: 14-09 02:36:58| 40  16  43   1   0|1022M 1435M  189M 5108M|1147k   36k| 196k 2049k|3.00  12.0 |4411  5609 |1.34 0.87 0.54|2.0   0 191|   0     0 |   0     0 |  9    7    0   10    2
Sep 14 02:36:59 ubuntu dstat.sh[79079]: 14-09 02:36:59| 49   5  46   0   0|1118M 1337M  189M 5110M| 653k   11k| 128k 2917k|1.00  10.0 |1661  1347 |1.34 0.87 0.54|2.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
