-- Logs begin at Thu 2022-10-06 12:40:09 UTC, end at Thu 2022-10-06 20:14:36 UTC. --
Oct 06 19:35:02 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 06 19:35:02 ubuntu dstat.sh[88659]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 06 19:35:02 ubuntu dstat.sh[88659]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 06 19:35:02 ubuntu dstat.sh[88659]: 06-10 19:35:02|                   | 782M 1725M  188M 4938M|           |           |           |           |0.65 0.39 0.24|4.0   0    |           |   0     0 |  8    2    0   10    0
Oct 06 19:35:03 ubuntu dstat.sh[88659]: 06-10 19:35:03| 33  21  45   0   0| 795M 1712M  188M 4938M|8529  1632 |   0  1048k|   0  22.2 |2715  4733 |0.65 0.39 0.24|3.0   0 446|   0     0 |   0     0 |  8    2    0    9    0
Oct 06 19:35:04 ubuntu dstat.sh[88659]: 06-10 19:35:04| 36  20  44   0   0| 796M 1710M  188M 4939M|  10k 1619 |   0    20k|   0  13.6 |3006  4860 |0.65 0.39 0.24|3.0   0 343|   0     0 |   0     0 |  8    2    0    8    0
Oct 06 19:35:05 ubuntu dstat.sh[88659]: 06-10 19:35:05| 43  16  40   0   0| 945M 1561M  188M 5061M|9173  1620 |   0  4095B|   0  1.00 |4418  7429 |0.75 0.42 0.25|1.0   0 131|   0     0 |   0     0 |  9    2    0    8    0
Oct 06 19:35:06 ubuntu dstat.sh[88659]: 06-10 19:35:06| 33  16  51   0   0| 924M 1581M  188M 5061M|  10k 2380 |4100B  220k|1.00  9.01 |2211  3216 |0.75 0.42 0.25|3.0   0 260|   0     0 |   0     0 |  9    4    0    8    0
Oct 06 19:35:07 ubuntu dstat.sh[88659]: 06-10 19:35:07| 45  16  39   0   0|1012M 1486M  189M 5067M|  29k   13k|   0   929k|   0  20.0 |2732  4096 |0.75 0.42 0.25|7.0   0 200|   0     0 |   0     0 |  9    4    0   10    0
Oct 06 19:35:08 ubuntu dstat.sh[88659]: 06-10 19:35:08| 84  16   0   0   0|1099M 1373M  189M 5090M|8377  1511 | 156k 2238k|8.99  24.0 |1801  1817 |0.75 0.42 0.25| 12   0 7.0|   0     0 |   0     0 |  9    4    0   10    0
Oct 06 19:35:09 ubuntu dstat.sh[88659]: 06-10 19:35:09| 90   9   0   0   0|1188M 1279M  190M 5094M|9632  1620 | 212k   44k|16.0  3.00 |1585  1384 |0.75 0.42 0.25|5.0 1.0 8.0|   0     0 |   0     0 |  9    4    0   10    0
Oct 06 19:35:10 ubuntu dstat.sh[88659]: 06-10 19:35:10| 57  10  25   8   0|1229M 1236M  190M 5095M|  19k   13k|  52k 4286k|11.0   262 |3278  4933 |1.01 0.48 0.27|1.0   0  19|   0     0 |   0     0 |  9   10    0   10    0
Oct 06 19:35:11 ubuntu dstat.sh[88659]: 06-10 19:35:11|  8   3  63  24   0|1229M 1234M  190M 5096M|  32k   11k|   0    14M|   0  1033 |6253    11k|1.01 0.48 0.27|1.0 1.0 6.0|   0     0 |   0     0 |  9   11    0   10    0
Oct 06 19:35:12 ubuntu dstat.sh[88659]: 06-10 19:35:12| 14   3  63  18   0|1201M 1260M  191M 5098M|  93k   13k|   0  6086k|   0   595 |5214  9085 |1.01 0.48 0.27|4.0 1.0  18|   0     0 |   0     0 |  9    9    1   10    1
Oct 06 19:35:13 ubuntu dstat.sh[88659]: 06-10 19:35:13| 22   5  54  21   0|1131M 1326M  191M 5102M| 112k   12k|   0  7314k|   0   605 |4878  8758 |1.01 0.48 0.27|1.0 1.0  15|   0     0 |   0     0 |  9   10    1   10    1
Oct 06 19:35:14 ubuntu dstat.sh[88659]: 06-10 19:35:14| 15   4  62  18   0|1134M 1320M  191M 5104M| 109k   12k|   0  6399k|   0   647 |5667  9699 |1.01 0.48 0.27|  0 1.0  13|   0     0 |   0     0 |  9   12    0   10    0
Oct 06 19:35:15 ubuntu dstat.sh[88659]: 06-10 19:35:15| 12   4  67  17   0|1089M 1364M  192M 5105M| 223k   16k|   0  5022k|   0   552 |5068  8825 |1.09 0.50 0.28|1.0   0  12|   0     0 |   0     0 |  9   10    0   10    0
Oct 06 19:35:16 ubuntu dstat.sh[88659]: 06-10 19:35:16| 22   7  72   0   0|1023M 1430M  192M 5105M| 223k 6202 |   0   100k|   0  6.00 |1516  1969 |1.09 0.50 0.28|1.0   0  76|   0     0 |   0     0 |  9    8    0   10    0
Oct 06 19:35:17 ubuntu dstat.sh[88659]: 06-10 19:35:17| 25   4  71   0   0|1089M 1364M  192M 5105M| 646k   20k|   0   200k|   0  3.00 |1539  1258 |1.09 0.50 0.28|2.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    1
Oct 06 19:35:18 ubuntu dstat.sh[88659]: 06-10 19:35:18| 46   6  48   0   0|1028M 1424M  192M 5105M|  27k 2333 |   0  7482k|   0   396 |2525  2828 |1.09 0.50 0.28|2.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Oct 06 19:35:19 ubuntu dstat.sh[88659]: 06-10 19:35:19| 40   9  51   2   0|1089M 1363M  192M 5105M|  20k 3450 |   0  7128k|   0   411 |2509  3052 |1.09 0.50 0.28|1.0   0 6.0|   0     0 |   0     0 |  9    6    1   10    2
Oct 06 19:35:20 ubuntu dstat.sh[88659]: 06-10 19:35:20| 25   2  70   2   0|1125M 1327M  192M 5105M|  68k 3491 |   0  7149k|   0   390 |2244  3020 |1.17 0.53 0.29|1.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Oct 06 19:35:21 ubuntu dstat.sh[88659]: 06-10 19:35:21| 19  16  62   2   0|1036M 1415M  192M 5106M|  94k 6432 |   0  7942k|   0   402 |3722  6112 |1.17 0.53 0.29|1.0   0 352|   0     0 |   0     0 |  9    7    1   10    2
Oct 06 19:35:22 ubuntu dstat.sh[88659]: 06-10 19:35:22| 14  19  66   1   1|1036M 1415M  192M 5106M| 178k 7724 |   0  1081k|   0  46.1 |3095  5433 |1.17 0.53 0.29|2.0   0 326|   0     0 |   0     0 |  9    8    0   10    2
Oct 06 19:35:23 ubuntu dstat.sh[88659]: 06-10 19:35:23| 31  19  50   1   0|1090M 1360M  192M 5107M| 257k 9644 | 196k  212k|3.00  10.0 |3794  7530 |1.17 0.53 0.29|3.0   0 199|   0     0 |   0     0 |  9    8    0   10    2
Oct 06 19:35:24 ubuntu dstat.sh[88659]: 06-10 19:35:24| 47   6  46   0   0|1185M 1265M  192M 5108M| 311k 9293 | 128k 6101k|1.00   262 |2149  1478 |1.17 0.53 0.29|3.0 1.0  15|   0     0 |   0     0 |  9    9    0   10    2
Oct 06 19:35:25 ubuntu dstat.sh[88659]: 06-10 19:35:25| 51   4  42   2   0|1241M 1207M  192M 5110M| 556k 9211 | 372k  248k|8.00  7.00 |1671  1309 |1.23 0.55 0.30|2.0   0 1.0|   0     0 |   0     0 |  9    9    0   10    2
Oct 06 19:35:26 ubuntu dstat.sh[88659]: 06-10 19:35:26| 49   9  41   0   0|1238M 1205M  192M 5114M| 985k   29k|   0  2263k|   0  28.0 |3954  6433 |1.23 0.55 0.30|2.0   0  70|   0     0 |   0     0 |  9    6    0   11    4
Oct 06 19:35:27 ubuntu dstat.sh[88659]: 06-10 19:35:27| 43  11  45   0   0|1308M 1133M  192M 5115M| 757k   17k|   0     0 |   0     0 |2695  3238 |1.23 0.55 0.30|2.0   0  73|   0     0 |   0     0 |  9    6    0   11    2
Oct 06 19:35:28 ubuntu dstat.sh[88659]: 06-10 19:35:28| 39   5  56   0   0|1360M 1080M  192M 5117M| 689k   14k|   0     0 |   0     0 |1808  1472 |1.23 0.55 0.30|1.0   0 4.0|   0     0 |   0     0 |  9    7    0   11    2
Oct 06 19:35:29 ubuntu dstat.sh[88659]: 06-10 19:35:29| 23   4  70   3   0|1376M 1062M  192M 5118M| 681k   78k|   0  7290k|   0   393 |3838  5432 |1.23 0.55 0.30|1.0   0 1.0|   0     0 |   0     0 |  9   13    0   11    2
Oct 06 19:35:30 ubuntu dstat.sh[88659]: 06-10 19:35:30| 27   7  66   0   1|1306M 1132M  192M 5119M| 370k 9530 |   0   457k|   0  13.0 |1731  1892 |1.21 0.56 0.30|4.0   0  46|   0     0 |   0     0 |  9    8    0   13    2
Oct 06 19:35:31 ubuntu dstat.sh[88659]: 06-10 19:35:31| 24   4  72   1   0|1329M 1107M  192M 5120M| 428k   79k|  64k  588k|6.00  4.00 |1739  2252 |1.21 0.56 0.30|1.0   0 2.0|   0     0 |   0     0 |  9   21    0   13    2
Oct 06 19:35:32 ubuntu dstat.sh[88659]: 06-10 19:35:32| 19   4  71   6   0|1273M 1163M  192M 5120M| 344k   60k| 216k 1804k|54.0  86.0 |2205  3053 |1.21 0.56 0.30|1.0   0  37|   0     0 |   0     0 |  9   32    0   13    2
Oct 06 19:35:33 ubuntu dstat.sh[88659]: 06-10 19:35:33| 23   5  71   1   0|1320M 1114M  192M 5122M| 493k   12k|   0  3708k|   0  9.01 |1651  1647 |1.21 0.56 0.30|1.0   0  10|   0     0 |   0     0 |  9   32    0   13    2
Oct 06 19:35:34 ubuntu dstat.sh[88659]: 06-10 19:35:34| 24   5  71   0   0|1272M 1161M  192M 5123M|1028k   78k|   0    11M|   0  88.0 |2160  2113 |1.21 0.56 0.30|1.0   0  11|   0     0 |   0     0 |  9   32    0   13    2
Oct 06 19:35:35 ubuntu dstat.sh[88659]: 06-10 19:35:35| 40  14  45   0   0|1288M 1142M  192M 5125M| 903k   17k|   0  1817k|   0  8.01 |2473  2791 |1.28 0.58 0.31|2.0   0 194|   0     0 |   0     0 |  9   30    0   13    2
Oct 06 19:35:36 ubuntu dstat.sh[88659]: 06-10 19:35:36| 47   5  47   0   0|1343M 1087M  192M 5126M| 480k  112k|   0     0 |   0     0 |2013  2771 |1.28 0.58 0.31|2.0   0   0|   0     0 |   0     0 |  9   30    0   14    2
Oct 06 19:35:37 ubuntu dstat.sh[88659]: 06-10 19:35:37| 45   8  46   0   0|1283M 1145M  192M 5127M|1395k  688k|   0   444k|   0  32.0 |5394    11k|1.28 0.58 0.31|3.0   0  68|   0     0 |   0     0 |  9   34    0   15    2
Oct 06 19:35:38 ubuntu dstat.sh[88659]: 06-10 19:35:38| 74  22   4   0   0|1381M 1047M  192M 5128M| 224k 8134 |   0  2344k|   0  21.0 |2232  3768 |1.28 0.58 0.31|6.0   0 412|   0     0 |   0     0 |  9   34    0   15    2
Oct 06 19:35:39 ubuntu dstat.sh[88659]: 06-10 19:35:39| 88  12   0   0   0|1535M  893M  193M 5128M| 556k  373k|   0   788k|   0  31.0 |3531  6391 |1.28 0.58 0.31|7.0   0 102|   0     0 |   0     0 |  9   36    0   15    2
Oct 06 19:35:40 ubuntu dstat.sh[88659]: 06-10 19:35:40| 82  16   1   0   0|1404M 1023M  193M 5128M| 688k  603k|   0    35M|   0   271 |5327    11k|1.50 0.64 0.33|4.0   0 150|   0     0 |   0     0 |  9   34    0   15    2
Oct 06 19:35:41 ubuntu dstat.sh[88659]: 06-10 19:35:41| 60  12  27   0   0|1281M 1146M  193M 5129M| 521k  346k|   0  1495k|   0  76.0 |3453  7234 |1.50 0.64 0.33|3.0   0 166|   0     0 |   0     0 |  9   34    0   15    2
Oct 06 19:35:42 ubuntu dstat.sh[88659]: 06-10 19:35:42| 45   8  46   0   0|1341M 1085M  193M 5129M| 495k  361k|   0  1117k|   0  46.0 |2966  5873 |1.50 0.64 0.33|2.0   0 2.0|   0     0 |   0     0 |  9   35    0   15    2
Oct 06 19:35:43 ubuntu dstat.sh[88659]: 06-10 19:35:43| 37   6  56   0   0|1297M 1129M  193M 5130M| 324k  267k|   0   875k|   0  38.0 |1966  4238 |1.50 0.64 0.33|2.0   0  72|   0     0 |   0     0 |  9   35    0   15    2
Oct 06 19:35:44 ubuntu dstat.sh[88659]: 06-10 19:35:44| 20   9  72   0   0|1260M 1165M  193M 5130M| 133k   24k|   0   733k|   0  41.0 |1730  2542 |1.50 0.64 0.33|1.0   0  71|   0     0 |   0     0 |  9   34    0   15    2
Oct 06 19:35:45 ubuntu dstat.sh[88659]: 06-10 19:35:45| 25   4  71   1   0|1297M 1128M  193M 5130M|  94k   54k|   0  2221k|   0  32.0 |1280  1836 |1.46 0.65 0.33|1.0   0   0|   0     0 |   0     0 |  9   34    0   15    2
Oct 06 19:35:46 ubuntu dstat.sh[88659]: 06-10 19:35:46| 22  10  67   1   0|1231M 1194M  193M 5130M| 195k  155k|   0  4013k|   0   218 |3014  5209 |1.46 0.65 0.33|1.0   0 187|   0     0 |   0     0 |  9   34    0   15    2
Oct 06 19:35:47 ubuntu dstat.sh[88659]: 06-10 19:35:47| 12  26  64   0   0|1231M 1193M  193M 5130M|  62k 4527 |   0   308k|   0  9.00 |2731  4141 |1.46 0.65 0.33|2.0   0 493|   0     0 |   0     0 |  9   34    0   15    2
Oct 06 19:35:48 ubuntu dstat.sh[88659]: 06-10 19:35:48| 75  20   4   0   0|1403M 1021M  193M 5130M|  35k 3965 |   0   464k|   0  23.0 |2242  4039 |1.46 0.65 0.33|5.0   0 527|   0     0 |   0     0 |  9   34    0   15    2
