-- Logs begin at Tue 2022-09-20 12:53:44 UTC, end at Wed 2022-09-21 07:31:34 UTC. --
Sep 21 07:18:56 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 21 07:18:56 ubuntu dstat.sh[90091]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 21 07:18:56 ubuntu dstat.sh[90091]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 21 07:18:56 ubuntu dstat.sh[90091]: 21-09 07:18:56|                   | 805M 1499M  211M 5106M|           |           |           |           |1.09 0.51 0.25|1.0   0    |           |   0     0 |  8    4    0   10    2
Sep 21 07:18:57 ubuntu dstat.sh[90091]: 21-09 07:18:57| 12  19  68   0   0| 806M 1498M  211M 5107M| 240k 8372 |   0   868k|   0  24.0 |2737  4108 |1.09 0.51 0.25|1.5   0 366|   0     0 |   0     0 |  8    4    0   10    2
Sep 21 07:18:58 ubuntu dstat.sh[90091]: 21-09 07:18:58| 17  17  63   1   0| 791M 1512M  211M 5107M| 220k 7660 |   0   580k|   0  19.0 |2825  4731 |1.08 0.52 0.26|1.0   0 299|   0     0 |   0     0 |  8    4    0   10    2
Sep 21 07:18:59 ubuntu dstat.sh[90091]: 21-09 07:18:59| 22  16  61   0   0| 795M 1508M  211M 5108M|  79k 6446 |   0   448k|   0  13.0 |2681  7224 |1.08 0.52 0.26|1.0   0 212|   0     0 |   0     0 |  8    4    0   10    2
Sep 21 07:19:00 ubuntu dstat.sh[90091]: 21-09 07:19:00|  9   7  82   0   0| 932M 1370M  211M 5230M| 152k 7259 |   0   464k|   0  9.00 |2022  4333 |1.08 0.52 0.26|  0   0  38|   0     0 |   0     0 |  9    4    0    8    2
Sep 21 07:19:01 ubuntu dstat.sh[90091]: 21-09 07:19:01| 14   8  77   1   1| 937M 1364M  211M 5231M| 137k 6789 |   0   516k|   0  14.0 |1648  2100 |1.08 0.52 0.26|1.0   0 102|   0     0 |   0     0 |  9    6    0    8    2
Sep 21 07:19:02 ubuntu dstat.sh[90091]: 21-09 07:19:02| 17  12  68   1   0| 945M 1356M  211M 5231M|  81k   18k|   0   615k|   0  28.0 |2140  3157 |1.08 0.53 0.26|2.0   0 186|   0     0 |   0     0 |  9    6    0   10    2
Sep 21 07:19:03 ubuntu dstat.sh[90091]: 21-09 07:19:03| 25   5  69   1   0| 973M 1327M  211M 5232M|  57k 5616 |  52k 1229k|5.00  24.0 |1170  1380 |1.08 0.53 0.26|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 21 07:19:04 ubuntu dstat.sh[90091]: 21-09 07:19:04| 29   3  67   1   0|1011M 1289M  211M 5232M|  17k 4230 | 144k 1292k|9.00  14.0 |1167  1421 |1.08 0.53 0.26|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 21 07:19:05 ubuntu dstat.sh[90091]: 21-09 07:19:05| 15   2  66  14   0|1032M 1266M  211M 5233M|  72k   17k|  12k 6303k|1.00   462 |3993  6599 |1.08 0.53 0.26|2.0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Sep 21 07:19:06 ubuntu dstat.sh[90091]: 21-09 07:19:06|  8   4  65  20   0|1032M 1264M  211M 5235M| 164k   12k|   0    16M|   0   706 |5579  9764 |1.08 0.53 0.26|1.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 21 07:19:07 ubuntu dstat.sh[90091]: 21-09 07:19:07|  9   3  66  20   1|1038M 1254M  212M 5238M| 712k   21k|   0  6265k|   0   639 |5860  9780 |1.15 0.56 0.27|2.0   0  19|   0     0 |   0     0 |  9    8    0   10    2
Sep 21 07:19:08 ubuntu dstat.sh[90091]: 21-09 07:19:08|  9   3  64  22   0|1041M 1249M  212M 5241M| 268k   13k|   0  7873k|   0   606 |5170  9531 |1.15 0.56 0.27|4.0   0  18|   0     0 |   0     0 |  9    8    0   10    2
Sep 21 07:19:09 ubuntu dstat.sh[90091]: 21-09 07:19:09| 10   4  66  19   0|1043M 1243M  212M 5244M| 694k   23k|   0  7469k|   0   666 |6308    10k|1.15 0.56 0.27|  0 1.0  11|   0     0 |   0     0 |  9    8    0   10    2
Sep 21 07:19:10 ubuntu dstat.sh[90091]: 21-09 07:19:10| 22   6  55  17   0|1048M 1235M  212M 5246M| 569k   23k|   0  5703k|   0   539 |6448    12k|1.15 0.56 0.27|2.0   0  49|   0     0 |   0     0 |  9    8    0   11    2
Sep 21 07:19:11 ubuntu dstat.sh[90091]: 21-09 07:19:11| 22   8  67   2   0| 979M 1305M  212M 5246M|  85k 7393 |   0    39M|   0   472 |2171  2268 |1.15 0.56 0.27|1.0   0  77|   0     0 |   0     0 |  9    6    0   10    2
Sep 21 07:19:12 ubuntu dstat.sh[90091]: 21-09 07:19:12| 27   2  69   1   0|1042M 1241M  212M 5246M|  89k 6128 |   0   804k|   0  23.0 |1358  1322 |1.14 0.56 0.28|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 21 07:19:13 ubuntu dstat.sh[90091]: 21-09 07:19:13| 26   2  69   2   0| 974M 1310M  212M 5246M|  57k 5217 |   0  7508k|   0   407 |2435  3047 |1.14 0.56 0.28|1.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Sep 21 07:19:14 ubuntu dstat.sh[90091]: 21-09 07:19:14| 26   5  68   1   1|1043M 1239M  213M 5247M| 338k   12k|   0  7670k|   0   399 |2765  3297 |1.14 0.56 0.28|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
