"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","24 Sep 2022 11:49:38 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
24-09 11:49:38,,850764,1705484,191712,5068340,,,,,,,0.730,0.610,0.450,3,0,,,,8,4,0,8,2
24-09 11:49:39,10.984,18.473,69.898,0.250,0.250,852744,1703068,191716,5068516,12582.717,2307.647,0,275.600,0,11.983,3508,5838,0.750,0.620,0.450,2,0,355.483,0,0,8,4,0,8,2
24-09 11:49:40,16.509,16.759,65.534,0,0.250,835784,1719744,191716,5068696,12027.254,1911.994,0,20.010,0,5.003,3456,5917,0.750,0.620,0.450,2,0,239.124,0,0,8,4,0,8,2
24-09 11:49:41,16.991,15.242,66.964,0,0,835352,1720196,191716,5068872,20668.901,2628.588,0,2606.600,0,48.974,3674,6048,0.750,0.620,0.450,3,0,200.892,0,0,8,4,0,8,2
24-09 11:49:42,18.494,13.496,66.728,0,0.250,985108,1569888,191716,5193752,24351.013,2509.177,0,7.997,0,1.999,3038,4840,0.750,0.620,0.450,1,0,150.950,0,0,9,6,0,8,2
24-09 11:49:43,18.013,8.756,72.553,0,0.250,983040,1571896,191716,5193880,35147.482,2017.463,0,28.020,0,7.005,1724,2212,0.750,0.620,0.450,3,0,128.093,0,0,9,6,0,8,2
24-09 11:49:44,17.489,7.995,71.954,0.750,0.250,1025796,1529012,191732,5193992,58811.478,14787.566,19.987,1399.107,1.999,29.981,1718,2384,0.770,0.630,0.460,1,0,74.952,0,0,9,6,0,10,2
24-09 11:49:45,22.242,4.498,72.225,1.000,0,1053592,1500008,191900,5195032,17982.688,2291.196,175.938,959.663,11.996,10.996,1250,1490,0.770,0.630,0.460,1,0,0,0,0,9,6,0,10,2
24-09 11:49:46,18.517,1.251,72.315,6.506,0.250,1076240,1476376,191996,5195828,58239.007,11919.644,12.011,4528.044,1.001,218.195,2383,4126,0.770,0.630,0.460,0,2,5.004,0,0,9,8,0,10,2
24-09 11:49:47,6.004,3.753,63.296,24.768,0,1077020,1472880,192424,5198000,129251.224,8850.452,0,14350.461,0,1074.784,5711,11209,0.770,0.630,0.460,1,1,6.004,0,0,9,8,0,10,2
24-09 11:49:48,4.747,2.499,67.712,20.738,0,1084448,1463572,192792,5199500,51156.046,8059.438,0,6104.545,0,617.650,5463,9433,0.770,0.630,0.460,1,1,17.990,0,0,9,8,0,10,2
24-09 11:49:49,7.249,2.250,67.993,20.248,0.500,1086712,1458200,193192,5202120,35802.527,8628.163,0,7335.288,0,663.936,5509,9567,0.710,0.620,0.450,0,1,17.998,0,0,9,8,0,10,2
24-09 11:49:50,7.499,3.250,68.244,20.248,0.500,1089076,1453184,193668,5204232,226023.336,12683.897,0,6659.421,0,696.939,5717,10111,0.710,0.620,0.450,0,1,10.999,0,0,9,8,0,10,2
24-09 11:49:51,6.244,2.498,58.447,31.471,0,1092224,1448300,194072,5205496,26489.921,9330.519,0,5898.638,0,669.392,4535,7778,0.710,0.620,0.450,0,1,11.989,0,0,9,8,0,10,2
24-09 11:49:52,16.250,5.000,71.750,6.000,0,999952,1540596,194080,5205452,55967.664,2971.982,0,2931.982,0,104.999,1666,2200,0.710,0.620,0.450,1,0,76.000,0,0,9,6,0,10,2
24-09 11:49:53,23.535,2.504,73.611,0,0,1058560,1481988,194080,5205452,59478.396,2479.727,0,0,0,0,1107,1164,0.710,0.620,0.450,1,0,2.003,0,0,9,6,0,10,2
24-09 11:49:54,24.465,1.997,71.148,1.498,0,1087256,1453128,194148,5205540,65367.655,2869.902,0,7397.436,0,382.454,2045,2787,0.730,0.620,0.460,1,0,0,0,0,9,6,0,10,2
24-09 11:49:55,28.997,4.500,65.243,1.000,0,1041244,1499056,194264,5205508,36116.136,2782.702,0,7411.207,0,404.957,2136,2982,0.730,0.620,0.460,1,0,10.999,0,0,9,6,0,10,2
24-09 11:49:56,23.256,3.501,71.018,1.500,0.500,1086744,1453004,194340,5205980,229991.728,6505.633,0,7409.860,0,406.102,2320,3136,0.730,0.620,0.460,2,0,1.000,0,0,9,6,0,10,2
24-09 11:49:57,17.503,10.251,69.260,1.500,0.250,998948,1540132,194476,5206512,335895.033,4788.685,0,7353.051,0,387.055,3136,4656,0.730,0.620,0.460,1,0,193.028,0,0,9,6,0,10,2
24-09 11:49:58,12.759,19.264,67.549,0.250,0.250,999232,1538892,194504,5207436,361927.950,5584.026,0,844.609,0,47.034,3050,4725,0.730,0.620,0.460,1,0,377.272,0,0,9,6,0,10,2
24-09 11:49:59,20.983,16.486,60.950,0,0,1000300,1536644,194508,5208564,507169.121,11576.507,0,367.698,0,12.989,4377,7195,0.830,0.640,0.460,1,0,170.860,0,0,9,6,0,10,2
24-09 11:50:00,44.560,13.018,41.807,0.751,0,1120544,1415108,194508,5210056,512604.604,8001.859,324.440,0,4.005,0,2405,3764,0.830,0.640,0.460,2,0,149.202,0,0,9,7,0,8,2
24-09 11:50:01,45.484,4.998,48.482,0.250,0,1201004,1332440,194536,5212148,486531.362,5841.891,371.866,55.980,7.997,9.996,1430,1523,0.830,0.640,0.460,2,0,0,0,0,9,7,0,8,2
24-09 11:50:02,50.946,3.996,44.453,0,0,1223984,1306684,194636,5214460,316631.221,5376.349,0,1602.316,0,17.981,2258,4963,0.830,0.640,0.460,3,0,0,0,0,9,7,0,6,2
24-09 11:50:03,27.499,10.250,60.498,0,0.250,1267296,1261020,194664,5216340,790320.129,12042.591,0,0,0,0,2806,5111,0.830,0.640,0.460,1,0,147.995,0,0,9,6,0,7,2
24-09 11:50:04,24.236,3.498,70.710,0.750,0.500,1318020,1209768,194708,5216820,259888.722,5638.848,0,4321.584,0,9.994,1175,1184,0.850,0.650,0.470,1,0,0,0,0,9,6,0,7,2
24-09 11:50:05,26.041,2.254,70.861,0.501,0.250,1347448,1176340,194728,5220800,1986951.501,50753.734,0,2183.430,0,21.033,2769,2383,0.850,0.650,0.470,1,0,2.003,0,0,9,12,0,7,2
24-09 11:50:06,21.250,5.250,70.500,2.250,0,1264508,1259092,194892,5220824,80324.402,53308.267,0,3240.016,0,270.001,3332,5283,0.850,0.650,0.470,1,0,44.000,0,0,9,6,0,9,2
24-09 11:50:07,29.978,7.494,61.455,1.249,0,1287948,1235108,194932,5221268,88181.275,5254.143,63.953,5759.772,5.996,186.863,2015,5084,0.850,0.650,0.470,1,0,34.974,0,0,9,6,0,10,2
24-09 11:50:08,21.775,2.253,70.079,4.755,0,1304084,1218060,194956,5222096,280589.627,110672.281,216.245,1569.777,54.061,24.027,1939,2891,0.850,0.650,0.470,2,0,5.006,0,0,9,31,0,10,2
24-09 11:50:09,23.712,4.493,71.884,0.499,0,1274376,1247504,194960,5222288,105088.756,19093.069,0,379.385,0,5.990,1369,1829,0.940,0.670,0.480,1,0,45.926,0,0,9,30,0,10,2
24-09 11:50:10,25.746,2.999,70.488,0.250,0.250,1307664,1213956,194960,5222548,215761.536,63183.322,0,587.901,0,5.999,1328,1768,0.940,0.670,0.480,2,0,1.000,0,0,9,30,0,10,2
24-09 11:50:11,36.066,12.272,50.092,0,0,1326728,1194728,194964,5222664,66219.115,3989.296,0,617.129,0,15.027,1937,2598,0.940,0.670,0.480,3,0,204.374,0,0,9,30,0,10,2
24-09 11:50:12,44.754,7.751,46.504,0.500,0.500,1382224,1139000,194972,5222884,365775.383,248262.337,0,3208.302,0,65.006,2636,4466,0.940,0.670,0.480,3,0,2.000,0,0,9,33,0,10,2
24-09 11:50:13,44.741,12.498,42.242,0.250,0,1279484,1240848,195000,5223736,634253.686,535451.052,0,563.889,0,31.994,4969,9868,0.940,0.670,0.480,5,0,183.964,0,0,9,34,0,14,2
24-09 11:50:14,79.266,18.254,2.500,0,0,1442556,1077488,195016,5223976,87126.164,5913.165,0,1088.214,0,18.004,2115,3468,1.180,0.730,0.490,7,0,315.062,0,0,9,34,0,14,2
24-09 11:50:15,87.254,10.500,0.500,0,0.250,1580184,939452,195036,5224328,615401.308,561872.846,0,1312.060,0,21.001,4433,8296,1.180,0.730,0.490,9,0,82.004,0,0,9,38,0,14,2
24-09 11:50:16,87.992,12.249,0.500,0,0,1420936,1098196,195072,5224752,485007.319,431569.022,0,1759.845,0,85.992,4349,8312,1.180,0.730,0.490,7,0,173.985,0,0,9,35,0,14,2
24-09 11:50:17,55.396,11.978,30.942,0.998,0,1339032,1179912,195156,5224852,409378.596,350312.464,0,3126.132,0,144.728,3972,7434,1.180,0.730,0.490,3,0,137.741,0,0,9,35,0,14,2
24-09 11:50:18,46.495,5.999,47.245,0,0.250,1386324,1132188,195184,5225244,529695.852,393651.273,0,1707.819,0,53.994,3989,6898,1.180,0.730,0.490,3,0,2.000,0,0,9,34,0,14,2
