-- Logs begin at Sat 2022-11-05 04:17:14 UTC, end at Mon 2022-11-07 11:37:51 UTC. --
Nov 07 10:58:14 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 07 10:58:15 ubuntu dstat.sh[82497]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 07 10:58:15 ubuntu dstat.sh[82497]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 07 10:58:15 ubuntu dstat.sh[82497]: 07-11 10:58:15|                   | 983M 1465M  178M 4999M|           |           |           |           |1.48 0.78 0.56|2.0   0    |           |   0     0 |  8    7    0   10    2
Nov 07 10:58:16 ubuntu dstat.sh[82497]: 07-11 10:58:16| 39  21  39   1   0| 977M 1470M  178M 4999M| 382k 9538 |   0  3190k|   0  32.0 |2884  4494 |1.48 0.78 0.56|2.0   0 442|   0     0 |   0     0 |  8    6    0   10    2
Nov 07 10:58:17 ubuntu dstat.sh[82497]: 07-11 10:58:17| 40  19  39   0   0| 966M 1481M  179M 5000M|  86k 7502 |   0   528k|   0  23.0 |3043  4723 |1.48 0.78 0.56|2.0   0 340|   0     0 |   0     0 |  8    6    0   10    2
Nov 07 10:58:18 ubuntu dstat.sh[82497]: 07-11 10:58:18| 33  19  47   0   0|1110M 1335M  179M 5123M| 192k 8039 |   0   564k|   0  9.99 |4845  9232 |1.44 0.79 0.56|  0   0 142|   0     0 |   0     0 |  9    7    0   10    2
Nov 07 10:58:19 ubuntu dstat.sh[82497]: 07-11 10:58:19| 17   9  72   0   0|1119M 1326M  179M 5124M| 267k   11k|   0   556k|   0  14.0 |1939  2233 |1.44 0.79 0.56|1.0   0 102|   0     0 |   0     0 |  9    9    0   10    2
Nov 07 10:58:20 ubuntu dstat.sh[82497]: 07-11 10:58:20| 28  10  61   1   0|1067M 1376M  179M 5125M| 581k   24k|   0  1000k|   0  41.0 |2632  3253 |1.44 0.79 0.56|1.0   0 186|   0     0 |   0     0 |  9    8    0   10    2
Nov 07 10:58:21 ubuntu dstat.sh[82497]: 07-11 10:58:21| 28   3  66   1   0|1041M 1401M  179M 5127M| 680k   24k|  52k 2028k|5.00  13.0 |1601  1288 |1.44 0.79 0.56|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:22 ubuntu dstat.sh[82497]: 07-11 10:58:22| 27   3  67   1   0|1058M 1382M  179M 5128M|  48k 5230 | 144k 1592k|9.00  22.0 |1284  1463 |1.44 0.79 0.56|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:23 ubuntu dstat.sh[82497]: 07-11 10:58:23| 20   3  68   9   0|1078M 1362M  179M 5128M| 170k   16k|  12k 4647k|1.00   325 |3033  4887 |1.49 0.81 0.57|2.0   0 5.0|   0     0 |   0     0 |  9    8    0   10    2
Nov 07 10:58:24 ubuntu dstat.sh[82497]: 07-11 10:58:24|  7   4  65  23   0|1077M 1360M  179M 5130M|  69k   11k|   0    18M|   0   788 |5222  8719 |1.49 0.81 0.57|  0 2.0 6.0|   0     0 |   0     0 |  9    8    0   10    2
Nov 07 10:58:25 ubuntu dstat.sh[82497]: 07-11 10:58:25|  9   3  67  20   0|1085M 1349M  180M 5133M|  31k   11k|   0  7443k|   0   619 |5396  9349 |1.49 0.81 0.57|  0 1.0  18|   0     0 |   0     0 |  9    8    0   10    2
Nov 07 10:58:26 ubuntu dstat.sh[82497]: 07-11 10:58:26|  9   3  65  22   0|1087M 1343M  180M 5136M| 934k   24k|   0  7947k|   0   659 |5661  9858 |1.49 0.81 0.57|  0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
Nov 07 10:58:27 ubuntu dstat.sh[82497]: 07-11 10:58:27| 10   3  64  20   0|1090M 1337M  180M 5139M| 674k   22k|   0  6962k|   0   620 |5337  9495 |1.49 0.81 0.57|  0 1.0  14|   0     0 |   0     0 |  9    8    0   10    2
Nov 07 10:58:28 ubuntu dstat.sh[82497]: 07-11 10:58:28| 14   3  62  20   0|1095M 1329M  181M 5141M| 612k   25k|   0  7019k|   0   649 |5110  9529 |1.69 0.86 0.59|  0 1.0  15|   0     0 |   0     0 |  9    8    0   10    2
Nov 07 10:58:29 ubuntu dstat.sh[82497]: 07-11 10:58:29| 23   5  71   0   0|1014M 1410M  181M 5141M|  51k 8540 |   0   864k|   0  55.0 |1754  2587 |1.69 0.86 0.59|1.0   0  76|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:30 ubuntu dstat.sh[82497]: 07-11 10:58:30| 25   5  70   2   0|1070M 1354M  181M 5141M|  97k 6610 |   0    39M|   0   514 |2018  1490 |1.69 0.86 0.59|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:31 ubuntu dstat.sh[82497]: 07-11 10:58:31| 29   2  66   1   0|1093M 1331M  181M 5142M|  68k 6134 |   0  7510k|   0   400 |2082  2877 |1.69 0.86 0.59|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:32 ubuntu dstat.sh[82497]: 07-11 10:58:32| 24   6  68   2   0|1032M 1391M  181M 5142M| 278k   10k|   0  7658k|   0   397 |2317  3203 |1.69 0.86 0.59|1.0   0  12|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:33 ubuntu dstat.sh[82497]: 07-11 10:58:33| 34   6  56   2   0|1088M 1332M  181M 5144M|  80k 4622 |   0  7722k|   0   415 |2304  3103 |1.71 0.88 0.59|1.0 1.0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:34 ubuntu dstat.sh[82497]: 07-11 10:58:34| 23   6  70   2   0|1001M 1419M  181M 5144M|  46k 4519 |   0  7257k|   0   384 |2323  3398 |1.71 0.88 0.59|1.0   0  76|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:35 ubuntu dstat.sh[82497]: 07-11 10:58:35| 12  20  67   1   1|1001M 1417M  181M 5146M| 681k   18k|   0  6036k|   0   119 |3642  4853 |1.71 0.88 0.59|2.0   0 349|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:36 ubuntu dstat.sh[82497]: 07-11 10:58:36| 27  20  52   0   0|1004M 1409M  182M 5150M| 232k 8240 |   0  1674k|   0  23.0 |3180  6341 |1.71 0.88 0.59|1.0   0 284|   0     0 |   0     0 |  9    6    0   10    2
Nov 07 10:58:37 ubuntu dstat.sh[82497]: 07-11 10:58:37| 32  17  47   2   0|1063M 1348M  182M 5152M| 608k   27k| 196k  824k|3.00  6.00 |4893  6814 |1.71 0.88 0.59|2.0   0 184|   0     0 |   0     0 |  9    7    0   10    2
Nov 07 10:58:38 ubuntu dstat.sh[82497]: 07-11 10:58:38| 49   7  42   1   0|1155M 1255M  182M 5153M| 401k   20k| 128k  700k|1.00  9.00 |2064  1800 |1.74 0.90 0.60|2.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Nov 07 10:58:39 ubuntu dstat.sh[82497]: 07-11 10:58:39| 48   4  46   2   0|1203M 1206M  182M 5154M|  49k 5568 | 372k  832k|8.00  14.0 |1415  1337 |1.74 0.90 0.60|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Nov 07 10:58:40 ubuntu dstat.sh[82497]: 07-11 10:58:40| 56   5  39   1   0|1229M 1177M  182M 5156M|  94k 6669 |   0  5852k|   0  37.0 |1917  4125 |1.74 0.90 0.60|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Nov 07 10:58:41 ubuntu dstat.sh[82497]: 07-11 10:58:41| 27  10  62   0   0|1269M 1137M  182M 5156M| 168k 8238 |   0   647k|   0  5.99 |2418  3931 |1.74 0.90 0.60|1.0   0 145|   0     0 |   0     0 |  9    6    0   11    2
Nov 07 10:58:42 ubuntu dstat.sh[82497]: 07-11 10:58:42| 28   4  68   0   0|1330M 1075M  182M 5157M| 144k 6255 |   0   456k|   0  9.01 |1211  1316 |1.74 0.90 0.60|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   11    2
Nov 07 10:58:43 ubuntu dstat.sh[82497]: 07-11 10:58:43| 34   4  60   2   0|1345M 1060M  182M 5157M|  70k   55k|   0  1100k|   0   123 |2640  4064 |1.68 0.90 0.60|1.0   0 2.0|   0     0 |   0     0 |  9   12    0   11    2
Nov 07 10:58:44 ubuntu dstat.sh[82497]: 07-11 10:58:44| 31   5  64   2   0|1250M 1155M  182M 5157M|  78k   16k|   0  2876k|   0   177 |2179  3121 |1.68 0.90 0.60|2.0   0  44|   0     0 |   0     0 |  9    6    0   13    2
Nov 07 10:58:45 ubuntu dstat.sh[82497]: 07-11 10:58:45| 42   9  48   0   0|1303M 1096M  183M 5162M|  10k 1618 |  64k 6086k|5.99  37.0 |1966  2429 |1.68 0.90 0.60|2.0   0 5.0|   0     0 |   0     0 |  9    6    0   13    2
Nov 07 10:58:46 ubuntu dstat.sh[82497]: 07-11 10:58:46| 41   6  48   5   0|1304M 1095M  183M 5162M|  99k   91k| 216k 2514k|54.0  32.0 |2105  3122 |1.68 0.90 0.60|2.0   0 6.0|   0     0 |   0     0 |  9   29    0   12    2
Nov 07 10:58:47 ubuntu dstat.sh[82497]: 07-11 10:58:47| 40   9  49   2   1|1274M 1102M  183M 5182M|  40k   33k|   0  2618k|   0   108 |1858  2429 |1.68 0.90 0.60|2.0   0  45|   0     0 |   0     0 |  9   30    0   13    2
Nov 07 10:58:48 ubuntu dstat.sh[82497]: 07-11 10:58:48| 42   7  49   2   0|1313M 1049M  184M 5192M|  41k   23k|   0  2609k|   0  95.9 |1702  1996 |1.70 0.92 0.61|2.0   0 2.0|   0     0 |   0     0 |  9   31    0   13    2
Nov 07 10:58:49 ubuntu dstat.sh[82497]: 07-11 10:58:49| 47  12  36   5   0|1308M 1041M  185M 5204M|  47k   39k|   0  1796k|   0  69.0 |2165  3025 |1.70 0.92 0.61|3.0   0 159|   0     0 |   0     0 |  9   30    0   13    2
Nov 07 10:58:50 ubuntu dstat.sh[82497]: 07-11 10:58:50| 62   9  26   3   0|1384M  946M  186M 5220M| 160k  147k|   0  5570k|   0  80.0 |2362  3075 |1.70 0.92 0.61|3.0 1.0   0|   0     0 |   0     0 |  9   31    0   11    3
