-- Logs begin at Mon 2022-09-26 13:14:30 UTC, end at Mon 2022-09-26 18:18:37 UTC. --
Sep 26 17:39:04 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 26 17:39:05 ubuntu dstat.sh[92586]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 26 17:39:05 ubuntu dstat.sh[92586]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 26 17:39:05 ubuntu dstat.sh[92586]: 26-09 17:39:05|                   | 906M 1577M  188M 4958M|           |           |           |           |1.10 0.92 0.69|2.0   0    |           |   0     0 |  8    6    0   10    2
Sep 26 17:39:06 ubuntu dstat.sh[92586]: 26-09 17:39:06| 14  17  67   0   0| 907M 1574M  188M 4960M|2222k   29k|   0   347k|   0  15.0 |3866  4448 |1.10 0.92 0.69|1.5   0 351|   0     0 |   0     0 |  8    6    0   10    2
Sep 26 17:39:07 ubuntu dstat.sh[92586]: 26-09 17:39:07| 21  20  57   1   0| 831M 1647M  188M 4963M| 723k   14k|   0  3663k|   0  18.0 |3912  5320 |1.10 0.92 0.69|1.0   0 294|   0     0 |   0     0 |  8    4    0    8    2
Sep 26 17:39:08 ubuntu dstat.sh[92586]: 26-09 17:39:08| 21  17  60   0   0| 834M 1643M  188M 4964M| 192k 7164 |   0  5558k|   0   195 |4132  7540 |1.33 0.97 0.71|1.0   0 216|   0     0 |   0     0 |  8    4    0    8    2
Sep 26 17:39:09 ubuntu dstat.sh[92586]: 26-09 17:39:09|  9   6  83   1   0| 972M 1504M  188M 5086M| 225k 9223 |   0   543k|   0  8.98 |2374  3568 |1.33 0.97 0.71|3.0   0  43|   0     0 |   0     0 |  9    6    0    8    2
Sep 26 17:39:10 ubuntu dstat.sh[92586]: 26-09 17:39:10| 22   8  68   1   1| 981M 1495M  188M 5087M|  79k 6480 |   0   485k|   0  17.0 |1764  2170 |1.33 0.97 0.71|1.0   0 113|   0     0 |   0     0 |  9    6    0    8    2
Sep 26 17:39:11 ubuntu dstat.sh[92586]: 26-09 17:39:11| 21  10  67   1   0| 999M 1476M  188M 5088M| 167k   19k|   0  1041k|   0  37.0 |2216  3227 |1.33 0.97 0.71|1.0   0 172|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 17:39:12 ubuntu dstat.sh[92586]: 26-09 17:39:12| 26   2  70   1   0|1030M 1445M  188M 5088M| 134k 6128 | 160k  979k|9.99  16.0 |1192  1536 |1.33 0.97 0.71|  0 1.0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 17:39:13 ubuntu dstat.sh[92586]: 26-09 17:39:13| 26   3  70   1   0|1053M 1420M  188M 5089M|  38k 4748 |  48k   10M|5.00  46.0 |1104  1213 |1.31 0.97 0.71|3.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Sep 26 17:39:14 ubuntu dstat.sh[92586]: 26-09 17:39:14| 12   4  61  22   0|1069M 1402M  188M 5091M|  79k   18k|   0    12M|   0   864 |6074    11k|1.31 0.97 0.71|1.0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 17:39:15 ubuntu dstat.sh[92586]: 26-09 17:39:15| 10   3  65  21   0|1076M 1392M  189M 5093M|  35k   11k|   0  7331k|   0   676 |5415  9553 |1.31 0.97 0.71|  0 2.0 9.0|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 17:39:16 ubuntu dstat.sh[92586]: 26-09 17:39:16|  8   3  67  21   0|1078M 1388M  189M 5095M|  71k   11k|   0  7488k|   0   605 |4956  8923 |1.31 0.97 0.71|  0 2.0  21|   0     0 |   0     0 |  9    8    0   10    2
Sep 26 17:39:17 ubuntu dstat.sh[92586]: 26-09 17:39:17|  8   4  65  21   0|1081M 1383M  189M 5097M| 153k   13k|   0  6307k|   0   598 |5247  9084 |1.31 0.97 0.71|  0 1.0  16|   0     0 |   0     0 |  9    8    0   10    2
