-- Logs begin at Mon 2022-10-03 16:39:26 UTC, end at Tue 2022-10-04 06:04:47 UTC. --
Oct 04 05:24:40 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 04 05:24:40 ubuntu dstat.sh[81510]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 04 05:24:40 ubuntu dstat.sh[81510]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 04 05:24:40 ubuntu dstat.sh[81510]: 04-10 05:24:40|                   | 838M 1447M  210M 5128M|           |           |           |           |0.94 0.69 0.45|3.0   0    |           |   0     0 |  8    4    0   10    2
Oct 04 05:24:41 ubuntu dstat.sh[81510]: 04-10 05:24:41| 11  19  68   0   0| 838M 1446M  210M 5128M|  65k 7120 |   0   719k|   0  25.0 |2830  4366 |0.94 0.69 0.45|2.0   0 377|   0     0 |   0     0 |  8    4    0   10    2
Oct 04 05:24:42 ubuntu dstat.sh[81510]: 04-10 05:24:42| 16  18  64   0   0| 823M 1461M  211M 5128M| 144k 7038 |   0   512k|   0  19.0 |3167  5172 |0.94 0.69 0.45|1.0   0 294|   0     0 |   0     0 |  8    4    0   10    2
Oct 04 05:24:43 ubuntu dstat.sh[81510]: 04-10 05:24:43| 21  17  62   0   1| 827M 1456M  211M 5130M| 529k   16k|   0   176k|   0  7.01 |4358  7479 |1.10 0.72 0.47|1.0   0 209|   0     0 |   0     0 |  8    4    0    8    2
Oct 04 05:24:44 ubuntu dstat.sh[81510]: 04-10 05:24:44| 20  11  68   1   0| 973M 1309M  211M 5252M| 167k 6474 |   0  1025k|   0  14.0 |2828  4434 |1.10 0.72 0.47|1.0   0 136|   0     0 |   0     0 |  9    6    0    8    2
Oct 04 05:24:45 ubuntu dstat.sh[81510]: 04-10 05:24:45| 16  12  70   0   0| 975M 1305M  211M 5253M| 931k   32k|   0  6838k|   0  46.9 |2983  3568 |1.10 0.72 0.47|1.0   0 191|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:24:46 ubuntu dstat.sh[81510]: 04-10 05:24:46| 29   3  65   2   1|1020M 1259M  211M 5254M| 596k   18k|  52k 1385k|5.00  17.0 |1612  1664 |1.10 0.72 0.47|2.0   0 2.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:24:47 ubuntu dstat.sh[81510]: 04-10 05:24:47| 20   5  70   7   0|1033M 1245M  211M 5255M|  46k 5387 | 144k 1372k|9.00  17.0 |1281  1545 |1.10 0.72 0.47|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:24:48 ubuntu dstat.sh[81510]: 04-10 05:24:48| 27   2  69   2   0|1052M 1226M  211M 5256M|  91k   14k|  12k 1288k|1.00  63.0 |1573  2075 |1.10 0.73 0.47|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 04 05:24:49 ubuntu dstat.sh[81510]: 04-10 05:24:49|  7   3  64  23   0|1061M 1214M  211M 5257M| 135k   12k|   0  9817k|   0   769 |5319    10k|1.10 0.73 0.47|  0 1.0  10|   0     0 |   0     0 |  9    8    0   10    2
Oct 04 05:24:50 ubuntu dstat.sh[81510]: 04-10 05:24:50|  8   3  61  27   1|1074M 1198M  212M 5260M| 260k   14k|   0    40M|   0  1083 |5326  8918 |1.10 0.73 0.47|2.0 1.0 5.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 04 05:24:51 ubuntu dstat.sh[81510]: 04-10 05:24:51| 17   5  64  14   0|1072M 1196M  212M 5264M|  26k 9075 |   0  8803k|   0   670 |5084  9856 |1.10 0.73 0.47|1.0 1.0  31|   0     0 |   0     0 |  9    8    0   10    2
Oct 04 05:24:52 ubuntu dstat.sh[81510]: 04-10 05:24:52|  8   2  67  20   0|1074M 1191M  212M 5266M|  75k   13k|   0  6755k|   0   625 |4595  9462 |1.10 0.73 0.47|1.0   0  13|   0     0 |   0     0 |  9    8    0   10    2
Oct 04 05:24:53 ubuntu dstat.sh[81510]: 04-10 05:24:53|  8   2  67  20   0|1076M 1186M  213M 5269M| 704k   25k|   0  7051k|   0   657 |5308  9852 |1.17 0.75 0.48|  0 1.0 7.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 04 05:24:54 ubuntu dstat.sh[81510]: 04-10 05:24:54| 29   9  56   5   0| 994M 1262M  213M 5273M| 204k   11k|   0  2947k|   0   143 |3163  4616 |1.17 0.75 0.48|1.0   0  87|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:24:55 ubuntu dstat.sh[81510]: 04-10 05:24:55| 26   4  70   0   0|1040M 1216M  213M 5274M| 435k   15k|   0  1145k|   0  19.0 |1664  1565 |1.17 0.75 0.48|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:24:56 ubuntu dstat.sh[81510]: 04-10 05:24:56| 28   1  69   1   0|1079M 1176M  213M 5275M| 543k   11k|   0  3180k|   0  28.0 |1591  1465 |1.17 0.75 0.48|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:24:57 ubuntu dstat.sh[81510]: 04-10 05:24:57| 25   3  68   2   0|1027M 1228M  213M 5275M|  52k 5785 |   0  7570k|   0   416 |2414  3104 |1.17 0.75 0.48|1.0   0  11|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:24:58 ubuntu dstat.sh[81510]: 04-10 05:24:58| 28   3  67   2   0|1076M 1178M  213M 5275M|  73k 6027 |   0  7504k|   0   408 |2295  2952 |1.15 0.75 0.48|1.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:24:59 ubuntu dstat.sh[81510]: 04-10 05:24:59| 28   5  65   2   0| 988M 1265M  214M 5275M|  89k 5644 |   0  7431k|   0   422 |2703  3645 |1.15 0.75 0.48|1.0   0  76|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:25:00 ubuntu dstat.sh[81510]: 04-10 05:25:00| 12  19  64   3   0| 988M 1265M  214M 5276M| 224k 9586 |   0  7943k|   0   395 |3926  6128 |1.15 0.75 0.48|2.0   0 360|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:25:01 ubuntu dstat.sh[81510]: 04-10 05:25:01| 25  18  55   0   0| 994M 1259M  214M 5276M|  22k 2833 |   0  5600k|   0  95.9 |3386  5898 |1.15 0.75 0.48|2.0   0 277|   0     0 |   0     0 |  9    6    0   10    2
Oct 04 05:25:02 ubuntu dstat.sh[81510]: 04-10 05:25:02| 42  23  34   1   0|1069M 1182M  214M 5277M|  37k 5243 | 324k  579k|3.99  18.0 |4088  8948 |1.15 0.75 0.48|2.0   0 390|   0     0 |   0     0 |  9    7    0   10    2
Oct 04 05:25:03 ubuntu dstat.sh[81510]: 04-10 05:25:03| 65   8  27   0   0|1170M 1078M  214M 5280M|  19k 2082 |   0   172k|   0  8.00 |1717  1785 |1.30 0.79 0.50|3.0   0 5.0|   0     0 |   0     0 |  9    7    0   10    2
Oct 04 05:25:04 ubuntu dstat.sh[81510]: 04-10 05:25:04| 69   6  24   1   0|1192M 1053M  214M 5282M|8346  1620 | 372k   32k|8.00  5.00 |1963  2302 |1.30 0.79 0.50|3.0   0 2.0|   0     0 |   0     0 |  9    7    0   10    2
Oct 04 05:25:05 ubuntu dstat.sh[81510]: 04-10 05:25:05| 59  17  23   1   0|1246M  975M  215M 5303M|  11k 2386 |   0  4506k|   0   106 |2830  8618 |1.30 0.79 0.50|2.0   0 140|   0     0 |   0     0 |  9    6    0   11    2
Oct 04 05:25:06 ubuntu dstat.sh[81510]: 04-10 05:25:06| 43   9  46   0   0|1281M  929M  216M 5311M|  10k 2708 |   0  6459k|   0  87.0 |2071  5903 |1.30 0.79 0.50|2.0   0  34|   0     0 |   0     0 |  9    6    0   12    2
Oct 04 05:25:07 ubuntu dstat.sh[81510]: 04-10 05:25:07| 39   5  55   0   0|1321M  879M  216M 5319M|8745  1622 |   0  1802k|   0  78.1 |1493  1590 |1.30 0.79 0.50|2.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Oct 04 05:25:08 ubuntu dstat.sh[81510]: 04-10 05:25:08| 40   4  49   5   0|1337M  841M  217M 5339M|  73k   64k|   0  3393k|   0   218 |3374  5396 |1.44 0.83 0.51|1.0 1.0 1.0|   0     0 |   0     0 |  9    6    0   13    2
Oct 04 05:25:09 ubuntu dstat.sh[81510]: 04-10 05:25:09| 28   7  62   1   0|1264M  909M  217M 5343M|  10k 1859 |  36k 3680k|3.00   161 |1862  2662 |1.44 0.83 0.51|1.0   0  45|   0     0 |   0     0 |  9    7    0   13    2
