"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","04 Oct 2022 12:10:31 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
04-10 12:10:31,,818672,1785784,189600,5028840,,,,,,,1.630,0.920,0.530,2,0,,,,8,4,1,8,0
04-10 12:10:32,9.740,18.232,69.681,0.250,0.250,820632,1783472,189604,5028976,62375.435,2409.622,0,171.830,0,12.987,2705,4297,1.630,0.920,0.530,2,0,395.610,0,0,8,4,1,8,0
04-10 12:10:33,15.508,18.259,65.533,0,0.250,801068,1802880,189604,5029048,65100.615,2215.110,0,24.012,0,6.003,2948,6189,1.580,0.920,0.530,1,0,255.128,0,0,8,4,1,8,0
04-10 12:10:34,19.937,15.700,63.798,0,0,803728,1800128,189604,5029112,74083.230,2141.214,0,7.975,0,1.994,3243,7702,1.580,0.920,0.530,3,0,160.491,0,0,8,4,1,8,0
04-10 12:10:35,6.517,9.524,83.211,0.251,0,951868,1651340,189608,5154344,79187.056,3276.319,0,1712.348,0,126.321,2272,3687,1.580,0.920,0.530,1,0,113.288,0,0,9,6,1,6,0
04-10 12:10:36,17.015,9.258,72.563,0,0,950352,1652848,189608,5154352,100884.366,3260.824,0,36.031,0,9.008,1763,2302,1.580,0.920,0.530,1,0,138.120,0,0,9,6,1,6,0
04-10 12:10:37,18.732,6.494,73.430,0.749,0,993824,1609192,189640,5154504,106594.203,14619.039,19.981,1110.939,1.998,27.973,1704,2322,1.580,0.920,0.530,3,0,72.930,0,0,9,6,1,8,0
04-10 12:10:38,22.249,3.250,71.996,1.500,0.250,1017288,1584268,189768,5155812,110108.054,2939.841,219.988,911.951,13.999,8.000,1293,1702,1.530,0.920,0.540,2,0,0,0,0,9,6,1,8,0
04-10 12:10:39,20.015,1.751,72.556,5.754,0.250,1031496,1569472,189812,5156268,114350.507,11309.754,16.012,1849.431,2.002,101.078,1889,3027,1.530,0.920,0.540,1,1,3.002,0,0,9,8,1,8,0
04-10 12:10:40,1.499,0.999,69.942,26.728,0,1040784,1560116,189844,5156300,113102.898,4113.578,0,3489.097,0,216.820,2085,3487,1.530,0.920,0.540,0,2,2.998,0,0,9,8,1,8,0
04-10 12:10:41,2.249,0.750,65.717,30.734,0,1041244,1559124,189860,5156804,168947.175,5054.432,0,703.643,0,57.971,1642,2570,1.530,0.920,0.540,1,1,0,0,0,9,8,1,8,0
04-10 12:10:42,1.249,0.250,73.215,24.239,0,1041552,1558768,189904,5156808,137021.052,3815.192,0,323.846,0,44.979,1464,2408,1.530,0.920,0.540,0,1,2.999,0,0,9,8,1,8,0
04-10 12:10:43,5.999,3.250,69.743,19.748,0.250,1042544,1555092,190212,5159128,148721.871,9644.084,0,7579.280,0,694.934,5333,9761,1.570,0.940,0.540,0,1,3.000,0,0,9,8,1,8,0
04-10 12:10:44,4.003,1.501,69.296,20.764,0.250,1049032,1546664,190532,5160656,151702.669,8942.875,0,5115.361,0,511.336,4852,8594,1.570,0.940,0.540,0,1,18.012,0,0,9,8,1,8,0
04-10 12:10:45,4.997,2.498,68.705,21.486,0,1051400,1541420,190820,5163172,199763.155,8671.320,0,6339.847,0,542.645,5015,8815,1.570,0.940,0.540,0,1,14.990,0,0,9,8,1,8,0
04-10 12:10:46,1.750,1.250,70.012,25.754,0.250,1051976,1540316,190896,5163612,165329.941,4894.827,0,1324.224,0,138.023,2415,4004,1.570,0.940,0.540,0,1,3.001,0,0,9,8,1,8,0
04-10 12:10:47,4.246,1.998,69.927,23.226,0.250,1052688,1538828,191004,5164272,169995.694,5908.837,0,1929.987,0,200.791,2882,5238,1.570,0.940,0.540,0,1,6.993,0,0,9,8,1,8,0
04-10 12:10:48,5.013,2.256,67.926,22.809,0.251,1054280,1535496,191276,5165732,178495.124,8211.259,0,4988.916,0,486.259,4585,8218,1.600,0.960,0.550,1,0,3.008,0,0,9,8,1,8,0
04-10 12:10:49,3.750,0.750,68.255,23.252,0.250,1056284,1532440,191528,5166484,182975.076,6699.442,0,3400.224,0,341.023,3855,7081,1.600,0.960,0.550,0,1,11.001,0,0,9,8,1,8,0
04-10 12:10:50,18.250,6.000,72.499,3.000,0,976628,1611656,191604,5166844,236348.509,8568.837,0,787.985,0,79.998,2230,3492,1.600,0.960,0.550,2,0,78.998,0,0,9,6,1,8,0
04-10 12:10:51,23.477,2.498,73.678,0,0,1023048,1565140,191612,5166932,103060.691,2901.148,0,623.387,0,17.982,1072,1160,1.600,0.960,0.550,1,0,0,0,0,9,6,1,8,0
04-10 12:10:52,23.750,1.750,59.999,13.000,0,1054164,1533788,191724,5167036,19135.790,1949.979,0,7303.920,0,389.996,2200,2899,1.600,0.960,0.550,6,0,0,0,0,9,6,1,8,0
04-10 12:10:53,22.541,3.757,70.880,2.505,0,1000040,1587900,191876,5166896,56435.672,2416.439,0,7225.273,0,397.731,2206,3124,1.560,0.960,0.550,1,0,11.020,0,0,9,6,1,8,0
04-10 12:10:54,29.205,5.492,64.900,0,0,1051496,1536056,191992,5167168,104337.008,4086.694,0,7244.821,0,410.367,3063,5999,1.560,0.960,0.550,1,0,33.948,0,0,9,6,1,9,0
04-10 12:10:55,18.024,9.012,58.577,13.768,0.250,961548,1626000,192160,5167004,124086.678,3232.237,0,8026.523,0,365.479,3135,4788,1.560,0.960,0.550,1,0,200.263,0,0,9,6,1,9,0
04-10 12:10:56,10.737,19.227,64.172,4.495,0.749,960384,1626548,192204,5167520,128644.054,3266.015,0,2516.929,0,123.849,3052,4803,1.560,0.960,0.550,1,0,349.574,0,0,9,6,1,8,0
04-10 12:10:57,19.013,16.011,64.044,0,0,961728,1624800,192208,5168092,127651.952,3710.557,0,420.290,0,13.009,3635,8081,1.560,0.960,0.550,1,0,191.132,0,0,9,6,1,8,0
04-10 12:10:58,41.456,13.985,42.954,1.498,0,1067048,1518992,192208,5168584,131733.440,4158.563,323.655,0,3.996,0,2706,4264,1.510,0.960,0.560,3,0,151.838,0,0,9,7,1,8,0
04-10 12:10:59,44.497,6.250,48.997,0.250,0,1138604,1446564,192240,5169292,140734.008,3401.758,19.999,0,4.000,0,1308,1469,1.510,0.960,0.560,3,0,2.000,0,0,9,7,1,8,0
04-10 12:11:00,48.516,1.751,48.265,0,0,1172800,1411172,192260,5170204,174340.789,4665.493,352.113,0,4.001,0,1394,1428,1.510,0.960,0.560,3,0,0,0,0,9,7,1,8,0
04-10 12:11:01,36.253,12.751,51.254,0,0,1206368,1375200,192352,5172184,155984.855,4807.365,0,7908.601,0,167.013,3404,7615,1.510,0.960,0.560,1,0,143.011,0,0,9,6,1,9,0
04-10 12:11:02,22.708,3.244,73.364,0,0,1264864,1316704,192356,5172180,20951.136,2239.845,0,1441.326,0,3.993,956,1264,1.510,0.960,0.560,1,0,0,0,0,9,6,1,9,0
04-10 12:11:03,22.790,2.004,74.130,0,0.250,1299500,1281740,192356,5172488,20567.033,2187.833,0,0,0,0,963,1176,1.470,0.960,0.560,1,0,0,0,0,9,6,1,9,0
04-10 12:11:04,22.784,1.502,70.355,3.756,0.250,1308960,1272092,192460,5172572,98751.831,64907.166,0,3216.816,0,290.435,3052,5265,1.470,0.960,0.560,1,0,1.001,0,0,9,6,1,9,0
04-10 12:11:05,20.498,6.749,72.242,0,0.250,1229200,1351704,192460,5172640,75888.032,2381.750,0,0,0,0,1321,1733,1.470,0.960,0.560,4,0,44.995,0,0,9,6,1,9,0
04-10 12:11:06,19.970,4.493,72.391,2.247,0.250,1257648,1322736,192484,5173100,191577.484,82376.940,147.777,3618.550,20.968,56.914,1674,2578,1.470,0.960,0.560,0,1,1.997,0,0,9,18,1,9,0
04-10 12:11:07,18.772,5.006,72.584,2.503,0,1213144,1366736,192488,5173432,154734.254,49431.946,216.249,448.517,54.062,6.007,1638,2399,1.470,0.960,0.560,1,0,47.054,0,0,9,32,1,9,0
04-10 12:11:08,21.977,4.495,73.672,0,0,1254212,1325456,192488,5173624,105332.874,3002.832,0,319.663,0,3.996,1019,1493,1.430,0.960,0.560,2,0,0.999,0,0,9,32,1,9,0
04-10 12:11:09,21.253,10.251,67.009,0,0,1211480,1367940,192488,5173872,172214.938,61799.590,0,12.002,0,3.000,1934,3337,1.430,0.960,0.560,3,0,204.028,0,0,9,32,1,9,0
04-10 12:11:10,43.998,5.750,49.747,0,0.250,1310148,1269272,192488,5173872,133567.654,3995.780,0,0,0,0,1283,1560,1.430,0.960,0.560,3,0,2.000,0,0,9,32,1,9,0
