-- Logs begin at Fri 2022-10-21 22:10:44 UTC, end at Sat 2022-10-22 05:27:14 UTC. --
Oct 22 04:48:40 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 22 04:48:41 ubuntu dstat.sh[81206]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 22 04:48:41 ubuntu dstat.sh[81206]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 22 04:48:41 ubuntu dstat.sh[81206]: 22-10 04:48:41|                   | 912M 1539M  187M 4990M|           |           |           |           |1.26 0.87 0.60|2.0   0    |           |   0     0 |  8    6    0   10    2
Oct 22 04:48:42 ubuntu dstat.sh[81206]: 22-10 04:48:42| 12  20  66   1   0| 912M 1538M  187M 4991M| 710k   14k|   0   915k|   0  26.0 |2980  4138 |1.26 0.87 0.60|2.0 0.5 354|   0     0 |   0     0 |  8    6    0   10    2
Oct 22 04:48:43 ubuntu dstat.sh[81206]: 22-10 04:48:43| 28  20  51   1   0| 869M 1579M  187M 4993M| 579k   11k|   0  1764k|   0  22.5 |3255  4610 |1.32 0.89 0.61|2.0   0 289|   0     0 |   0     0 |  8    4    0   10    2
Oct 22 04:48:44 ubuntu dstat.sh[81206]: 22-10 04:48:44| 43  17  39   0   0| 886M 1561M  187M 4993M|  68k 5807 |   0   420k|   0  11.0 |3570  7636 |1.32 0.89 0.61|5.0   0 124|   0     0 |   0     0 |  8    4    0    8    2
Oct 22 04:48:45 ubuntu dstat.sh[81206]: 22-10 04:48:45| 33  14  53   0   0|1040M 1407M  187M 5115M|  48k 6527 |   0   472k|   0  12.0 |2771  4243 |1.32 0.89 0.61|2.0   0 131|   0     0 |   0     0 |  9    6    1    8    2
Oct 22 04:48:46 ubuntu dstat.sh[81206]: 22-10 04:48:46| 20  10  68   1   0|1039M 1407M  187M 5115M|  82k 7961 |   0    10M|   0  48.0 |1975  2537 |1.32 0.89 0.61|3.0   0 159|   0     0 |   0     0 |  9    7    0    8    2
Oct 22 04:48:47 ubuntu dstat.sh[81206]: 22-10 04:48:47| 30   6  62   2   1|1085M 1361M  187M 5116M| 161k   22k|  20k 1344k|2.00  39.0 |1767  2107 |1.32 0.89 0.61|2.0   0  38|   0     0 |   0     0 |  9    8    0   10    2
Oct 22 04:48:48 ubuntu dstat.sh[81206]: 22-10 04:48:48| 23   3  69   2   0|1104M 1339M  187M 5118M| 746k   21k| 176k  536k|12.0  9.00 |1817  2025 |1.29 0.89 0.61|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 22 04:48:49 ubuntu dstat.sh[81206]: 22-10 04:48:49| 22   3  69   6   0|1124M 1318M  187M 5119M| 286k   20k|  12k 3840k|1.00   161 |2369  3428 |1.29 0.89 0.61|1.0   0 1.0|   0     0 |   0     0 |  9   10    0   10    2
Oct 22 04:48:50 ubuntu dstat.sh[81206]: 22-10 04:48:50| 10   5  60  23   0|1135M 1304M  188M 5122M| 893k   26k|   0    12M|   0   887 |6792    11k|1.29 0.89 0.61|1.0 1.0  12|   0     0 |   0     0 |  9   10    0   10    2
Oct 22 04:48:51 ubuntu dstat.sh[81206]: 22-10 04:48:51| 15   5  61  20   0|1144M 1290M  188M 5126M|1470k   37k|   0  6642k|   0   635 |6343  9926 |1.29 0.89 0.61|  0 2.0  13|   0     0 |   0     0 |  9   10    0   10    2
Oct 22 04:48:52 ubuntu dstat.sh[81206]: 22-10 04:48:52| 12   4  61  22   0|1079M 1353M  188M 5128M| 220k   12k|   0    45M|   0   923 |5018  7370 |1.29 0.89 0.61|1.0   0  10|   0     0 |   0     0 |  9    8    0   10    2
Oct 22 04:48:53 ubuntu dstat.sh[81206]: 22-10 04:48:53| 10   4  64  20   1|1081M 1349M  189M 5130M|  63k   11k|   0  6965k|   0   617 |5409  9354 |1.35 0.91 0.62|5.0   0  21|   0     0 |   0     0 |  9    8    0   10    2
Oct 22 04:48:54 ubuntu dstat.sh[81206]: 22-10 04:48:54| 10   3  65  19   0|1083M 1345M  189M 5132M|  91k   12k|   0  6885k|   0   627 |5458  9591 |1.35 0.91 0.62|3.0   0 4.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 22 04:48:55 ubuntu dstat.sh[81206]: 22-10 04:48:55| 22   4  60  14   0|1100M 1325M  189M 5134M|  82k   11k|   0  3730k|   0   385 |4256  7171 |1.35 0.91 0.62|2.0   0  14|   0     0 |   0     0 |  9    8    0   10    2
Oct 22 04:48:56 ubuntu dstat.sh[81206]: 22-10 04:48:56| 26   9  65   0   0|1011M 1413M  189M 5135M| 212k 8695 |   0   785k|   0  20.0 |1649  2112 |1.35 0.91 0.62|1.0   0  79|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:48:57 ubuntu dstat.sh[81206]: 22-10 04:48:57| 26   3  69   2   0|1070M 1352M  189M 5136M| 464k   14k|   0  2648k|   0  21.0 |1626  1662 |1.35 0.91 0.62|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:48:58 ubuntu dstat.sh[81206]: 22-10 04:48:58| 37   5  56   1   0| 999M 1417M  189M 5141M| 494k   11k|   0  8484k|   0   403 |2624  3324 |1.32 0.91 0.62|1.0   0  13|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:48:59 ubuntu dstat.sh[81206]: 22-10 04:48:59| 27   3  66   4   0|1051M 1366M  190M 5141M| 125k 6888 |   0  8292k|   0   417 |2181  3701 |1.32 0.91 0.62|2.0   0   0|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:49:00 ubuntu dstat.sh[81206]: 22-10 04:49:00| 31   2  66   2   0|1085M 1331M  190M 5142M| 576k   18k|   0  7811k|   0   396 |2286  3249 |1.32 0.91 0.62|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:49:01 ubuntu dstat.sh[81206]: 22-10 04:49:01| 15  16  66   2   0| 992M 1422M  190M 5143M| 377k   13k|   0  7813k|   0   386 |3437  5569 |1.32 0.91 0.62|2.0   0 309|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:49:02 ubuntu dstat.sh[81206]: 22-10 04:49:02| 14  19  64   1   0| 995M 1419M  190M 5143M|  78k 7490 |   0  7875k|   0  83.9 |2882  4687 |1.32 0.91 0.62|2.0   0 361|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:49:03 ubuntu dstat.sh[81206]: 22-10 04:49:03| 33  22  44   2   0|1029M 1384M  190M 5144M|  59k 6393 | 196k  377k|3.00  17.0 |5142    12k|1.38 0.93 0.63|4.0   0 182|   0     0 |   0     0 |  9    6    0   11    2
Oct 22 04:49:04 ubuntu dstat.sh[81206]: 22-10 04:49:04| 52   8  39   0   0|1120M 1293M  190M 5144M| 134k 8466 | 128k  540k|1.00  9.00 |1727  2019 |1.38 0.93 0.63|2.0   0  74|   0     0 |   0     0 |  9    7    0   11    2
Oct 22 04:49:05 ubuntu dstat.sh[81206]: 22-10 04:49:05| 55   5  39   2   0|1194M 1218M  190M 5146M| 140k 6828 | 372k  616k|8.00  9.00 |1934  2109 |1.38 0.93 0.63|3.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Oct 22 04:49:06 ubuntu dstat.sh[81206]: 22-10 04:49:06| 55   4  40   0   0|1222M 1188M  190M 5147M|  32k 4709 |   0  1851k|   0  77.9 |2519  5012 |1.38 0.93 0.63|2.0   0   0|   0     0 |   0     0 |  9    7    0   10    2
Oct 22 04:49:07 ubuntu dstat.sh[81206]: 22-10 04:49:07| 35  11  51   0   0|1274M 1134M  190M 5148M|  50k 3967 |   0  6456k|   0   180 |2571  3909 |1.38 0.93 0.63|2.0   0 144|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:49:08 ubuntu dstat.sh[81206]: 22-10 04:49:08| 44   7  48   0   0|1313M 1091M  191M 5151M|  10k 1620 |   0    48k|   0  9.00 |2133  2738 |1.43 0.95 0.64|3.0   0 4.0|   0     0 |   0     0 |  9    6    0   10    2
Oct 22 04:49:09 ubuntu dstat.sh[81206]: 22-10 04:49:09| 42   4  49   4   0|1331M 1060M  191M 5163M|  26k 8579 |   0  2147k|   0  60.0 |1666  1918 |1.43 0.95 0.64|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
