-- Logs begin at Mon 2022-10-17 11:11:52 UTC, end at Mon 2022-10-17 15:07:43 UTC. --
Oct 17 14:28:45 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 17 14:28:46 ubuntu dstat.sh[74028]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 17 14:28:46 ubuntu dstat.sh[74028]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 17 14:28:46 ubuntu dstat.sh[74028]: 17-10 14:28:46|                   | 887M 1566M  188M 4991M|           |           |           |           |1.21 0.55 0.32|3.0   0    |           |   0     0 |  8    4    0   10    2
Oct 17 14:28:47 ubuntu dstat.sh[74028]: 17-10 14:28:47| 33  20  45   0   0| 898M 1554M  188M 4991M|  65k 6954 |   0   958k|   0  22.0 |3141  5193 |1.21 0.55 0.32|3.0   0 393|   0     0 |   0     0 |  8    4    0   10    2
Oct 17 14:28:48 ubuntu dstat.sh[74028]: 17-10 14:28:48| 26  20  51   0   0| 893M 1559M  189M 4992M| 156k 8506 |   0    22M|   0   136 |3109  5249 |1.21 0.55 0.32|2.0   0 322|   0     0 |   0     0 |  8    5    0    9    2
Oct 17 14:28:49 ubuntu dstat.sh[74028]: 17-10 14:28:49| 19  19  60   0   0| 896M 1556M  189M 4992M|  58k 7581 |   0   835k|   0  12.0 |3728  6210 |1.21 0.55 0.32|1.0   0 195|   0     0 |   0     0 |  8    5    0    9    2
Oct 17 14:28:50 ubuntu dstat.sh[74028]: 17-10 14:28:50| 16   8  74   1   0|1044M 1406M  189M 5115M| 664k   21k|   0  1253k|   0  9.01 |2693  3380 |1.21 0.55 0.32|1.0   0  73|   0     0 |   0     0 |  9    8    0    9    2
Oct 17 14:28:51 ubuntu dstat.sh[74028]: 17-10 14:28:51| 22   8  69   0   0|1049M 1399M  189M 5117M| 929k   27k|   0  1176k|   0  14.0 |2629  2485 |1.19 0.55 0.33|2.0   0  80|   0     0 |   0     0 |  9    8    0    9    2
Oct 17 14:28:52 ubuntu dstat.sh[74028]: 17-10 14:28:52| 24  11  65   1   0|1066M 1381M  189M 5118M| 687k   34k|   0  1148k|   0  24.0 |2733  3518 |1.19 0.55 0.33|1.0   0 177|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:28:53 ubuntu dstat.sh[74028]: 17-10 14:28:53| 24   4  69   2   0|1112M 1335M  189M 5119M| 348k   12k|  52k   34M|5.00   183 |1500  1305 |1.19 0.55 0.33|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:28:54 ubuntu dstat.sh[74028]: 17-10 14:28:54| 24   4  69   3   1|1116M 1328M  189M 5121M| 741k   10k| 144k 1973k|9.00  18.0 |1568  1608 |1.19 0.55 0.33|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:28:55 ubuntu dstat.sh[74028]: 17-10 14:28:55| 18   5  63  14   0|1069M 1372M  189M 5123M| 560k   26k|  12k 6188k|1.00   399 |4425  6971 |1.19 0.55 0.33|  0 1.0  11|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:28:56 ubuntu dstat.sh[74028]: 17-10 14:28:56| 17   7  51  25   0|1088M 1348M  189M 5127M|  81k 9918 |   0    16M|   0  1013 |6206    11k|1.25 0.58 0.34|1.0 1.0 4.0|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:28:57 ubuntu dstat.sh[74028]: 17-10 14:28:57| 11   2  64  20   0|1076M 1359M  190M 5129M|  50k   11k|   0  5808k|   0   577 |5277  9104 |1.25 0.58 0.34|  0 1.0  18|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:28:58 ubuntu dstat.sh[74028]: 17-10 14:28:58|  9   3  65  21   0|1077M 1355M  190M 5132M| 199k   15k|   0  8792k|   0   633 |5732  9637 |1.25 0.58 0.34|  0 2.0  19|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:28:59 ubuntu dstat.sh[74028]: 17-10 14:28:59| 17   6  54  21   0|1081M 1342M  190M 5138M| 746k   25k|   0  8846k|   0   622 |5343  9377 |1.25 0.58 0.34|  0 1.0  12|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:29:00 ubuntu dstat.sh[74028]: 17-10 14:29:00| 17   3  66  14   0|1084M 1337M  191M 5140M| 615k   25k|   0  4704k|   0   456 |5108  7957 |1.25 0.58 0.34|1.0   0  13|   0     0 |   0     0 |  9    8    0   11    2
Oct 17 14:29:01 ubuntu dstat.sh[74028]: 17-10 14:29:01| 24   7  68   0   0|1029M 1391M  191M 5141M| 393k   13k|   0   848k|   0  6.00 |1797  2074 |1.23 0.58 0.34|2.0   0  77|   0     0 |   0     0 |  9    6    0   11    2
Oct 17 14:29:02 ubuntu dstat.sh[74028]: 17-10 14:29:02| 27   2  70   1   0|1081M 1339M  191M 5141M|  73k 7496 |   0   880k|   0  12.0 |1186  1255 |1.23 0.58 0.34|1.0   0   0|   0     0 |   0     0 |  9    6    0   11    2
Oct 17 14:29:03 ubuntu dstat.sh[74028]: 17-10 14:29:03| 29   3  66   1   0|1016M 1404M  191M 5141M|  47k 4609 |   0  7226k|   0   393 |2091  2840 |1.23 0.58 0.34|1.0   0  11|   0     0 |   0     0 |  9    6    0   11    2
Oct 17 14:29:04 ubuntu dstat.sh[74028]: 17-10 14:29:04| 31   4  63   2   0|1067M 1352M  191M 5142M| 169k 9119 |   0    11M|   0   421 |2365  3203 |1.23 0.58 0.34|2.0   0 3.0|   0     0 |   0     0 |  9    6    0   11    2
Oct 17 14:29:05 ubuntu dstat.sh[74028]: 17-10 14:29:05| 28   1  68   2   1|1084M 1334M  191M 5142M| 137k 7582 |   0  7239k|   0   394 |2100  2902 |1.23 0.58 0.34|1.0   0 1.0|   0     0 |   0     0 |  9    6    0   11    2
Oct 17 14:29:06 ubuntu dstat.sh[74028]: 17-10 14:29:06| 24  22  53   2   0| 993M 1426M  191M 5142M|  25k 3801 |   0  7926k|   0   398 |3839  6447 |1.21 0.59 0.35|2.0   0 427|   0     0 |   0     0 |  9    6    0   11    2
Oct 17 14:29:07 ubuntu dstat.sh[74028]: 17-10 14:29:07| 19  19  61   1   0| 997M 1421M  191M 5143M|  45k 4855 |   0  1371k|   0  44.0 |3031  6571 |1.21 0.59 0.35|2.0   0 281|   0     0 |   0     0 |  9    6    0   11    2
Oct 17 14:29:08 ubuntu dstat.sh[74028]: 17-10 14:29:08| 51  21  28   0   0|1103M 1309M  191M 5148M|8988  1986 | 324k  776k|4.00  16.0 |2779  7948 |1.21 0.59 0.35|3.0   0 191|   0     0 |   0     0 |  9    7    0   11    2
Oct 17 14:29:09 ubuntu dstat.sh[74028]: 17-10 14:29:09| 67   7  25   2   0|1167M 1244M  192M 5147M|  10k 1620 |   0  8157k|   0  38.0 |1607  1843 |1.21 0.59 0.35|4.0   0 2.0|   0     0 |   0     0 |  9    7    0   11    2
