-- Logs begin at Tue 2022-11-15 13:39:15 UTC, end at Tue 2022-11-15 18:55:48 UTC. --
Nov 15 18:24:02 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 15 18:24:02 ubuntu dstat.sh[89392]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 15 18:24:02 ubuntu dstat.sh[89392]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 15 18:24:02 ubuntu dstat.sh[89392]: 15-11 18:24:02|                   | 804M 1718M  173M 4942M|           |           |           |           |0.78 0.39 0.16|2.0   0    |           |   0     0 |  8    2    0   10    0
Nov 15 18:24:03 ubuntu dstat.sh[89392]: 15-11 18:24:03| 29  22  48   0   0| 811M 1711M  173M 4942M|8579  1618 |   0   499k|   0  9.99 |2570  3845 |0.78 0.39 0.16|2.5   0 385|   0     0 |   0     0 |  8    2    0   10    0
Nov 15 18:24:04 ubuntu dstat.sh[89392]: 15-11 18:24:04| 35  20  44   0   0| 807M 1714M  173M 4942M|  19k 1565 |   0    28k|   0  8.49 |2787  4384 |0.78 0.39 0.16|2.0   0 348|   0     0 |   0     0 |  8    2    0   10    0
Nov 15 18:24:05 ubuntu dstat.sh[89392]: 15-11 18:24:05| 36  19  44   0   0| 769M 1753M  173M 4942M|9208  1620 |   0    60k|   0  7.00 |2970  4418 |1.20 0.49 0.19|2.0   0 282|   0     0 |   0     0 |  8    2    0    8    0
Nov 15 18:24:06 ubuntu dstat.sh[89392]: 15-11 18:24:06| 33  16  50   0   0| 948M 1573M  173M 5064M|8685  1618 |4092B  196k|1.00  3.00 |4078  6947 |1.20 0.49 0.19|1.0   0 158|   0     0 |   0     0 |  9    2    0    8    0
Nov 15 18:24:07 ubuntu dstat.sh[89392]: 15-11 18:24:07| 58  15  26   0   0|1012M 1478M  175M 5091M|  11k 2382 |  96k 8204B|4.01  2.00 |8434    16k|1.20 0.49 0.19|5.0   0  80|   0     0 |   0     0 |  9    4    0    8    0
Nov 15 18:24:08 ubuntu dstat.sh[89392]: 15-11 18:24:08| 86  14   0   0   0|1107M 1377M  175M 5096M|9385  1694 |  80k 2792k|5.00  12.0 |1727  1703 |1.20 0.49 0.19|4.0   0  41|   0     0 |   0     0 |  9    4    1    8    0
Nov 15 18:24:09 ubuntu dstat.sh[89392]: 15-11 18:24:09| 72  15  10   1   0|1150M 1333M  175M 5097M|  21k   15k|  56k  974k|14.0  19.0 |1941  3404 |1.20 0.49 0.19|2.0   0 204|   0     0 |   0     0 |  9    5    2   10    0
Nov 15 18:24:10 ubuntu dstat.sh[89392]: 15-11 18:24:10| 21   4  67   6   1|1202M 1279M  175M 5098M|  22k 5457 | 196k 5338k|14.0   181 |1532  1488 |1.18 0.49 0.20|1.0   0 2.0|   0     0 |   0     0 |  9    8    0   10    0
Nov 15 18:24:11 ubuntu dstat.sh[89392]: 15-11 18:24:11| 26   2  72   1   0|1220M 1262M  175M 5098M|  88k 7289 |  12k 1029k|1.00  7.00 |1041  1128 |1.18 0.49 0.20|2.0   0   0|   0     0 |   0     0 |  9    8    1   10    0
