-- Logs begin at Wed 2022-10-26 12:17:59 UTC, end at Thu 2022-10-27 14:11:32 UTC. --
Oct 27 13:33:16 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 27 13:33:17 ubuntu dstat.sh[88111]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 27 13:33:17 ubuntu dstat.sh[88111]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 27 13:33:17 ubuntu dstat.sh[88111]: 27-10 13:33:17|                   | 915M 1553M  172M 4987M|           |           |           |           |1.18 0.81 0.51|2.0   0    |           |   0     0 |  8    4    0   10    2
Oct 27 13:33:18 ubuntu dstat.sh[88111]: 27-10 13:33:18| 15  21  63   0   0| 913M 1554M  172M 4987M|  17k 2001 |   0   252k|   0  13.0 |2529  3947 |1.13 0.81 0.51|2.0   0 353|   0     0 |   0     0 |  8    4    0   10    2
Oct 27 13:33:19 ubuntu dstat.sh[88111]: 27-10 13:33:19| 17  18  63   2   1| 890M 1576M  172M 4987M|  67k 4930 |   0    12M|   0   127 |2907  5582 |1.09 0.80 0.51|2.0   0 296|   0     0 |   0     0 |  8    5    0   10    2
Oct 27 13:33:20 ubuntu dstat.sh[88111]: 27-10 13:33:20| 20  16  63   0   0| 890M 1576M  172M 4987M|  35k 3023 |   0   204k|   0  5.99 |3895  6748 |1.09 0.80 0.51|1.0   0 184|   0     0 |   0     0 |  8    5    0   10    2
Oct 27 13:33:21 ubuntu dstat.sh[88111]: 27-10 13:33:21|  8   8  84   0   0|1035M 1430M  172M 5109M| 145k 5120 |   0   272k|   0  3.00 |2052  3524 |1.09 0.80 0.51|1.0   0  62|   0     0 |   0     0 |  9    7    0   10    2
Oct 27 13:33:22 ubuntu dstat.sh[88111]: 27-10 13:33:22| 20   7  71   0   0|1036M 1430M  172M 5110M| 105k 4721 |   0   204k|   0  11.0 |1701  2019 |1.09 0.80 0.51|3.0   0  93|   0     0 |   0     0 |  9    7    0    8    2
Oct 27 13:33:23 ubuntu dstat.sh[88111]: 27-10 13:33:23| 20  15  64   1   0|1085M 1380M  172M 5110M|  44k   17k|   0   568k|   0  23.0 |2826  5860 |1.16 0.82 0.51|3.0   0 203|   0     0 |   0     0 |  9    7    0   10    2
Oct 27 13:33:24 ubuntu dstat.sh[88111]: 27-10 13:33:24| 30   5  64   1   0|1081M 1384M  172M 5110M|  91k 5266 |  52k   10M|5.00  41.0 |1582  2230 |1.16 0.82 0.51|3.0   0 3.0|   0     0 |   0     0 |  9    7    0   10    2
Oct 27 13:33:25 ubuntu dstat.sh[88111]: 27-10 13:33:25| 25   2  70   1   0|1107M 1356M  173M 5111M|  75k 4630 | 144k 1286k|8.99  16.0 |1239  1463 |1.16 0.82 0.51|1.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 27 13:33:26 ubuntu dstat.sh[88111]: 27-10 13:33:26| 13   4  69  14   0|1126M 1336M  173M 5112M|  76k   15k|  12k 5879k|1.00   459 |4028  6787 |1.16 0.82 0.51|1.0   0  10|   0     0 |   0     0 |  9   10    0   10    2
Oct 27 13:33:27 ubuntu dstat.sh[88111]: 27-10 13:33:27|  8   3  69  20   0|1128M 1332M  173M 5114M|  52k   10k|   0  8171k|   0   764 |5327  9943 |1.16 0.82 0.51|  0 1.0   0|   0     0 |   0     0 |  9   10    0   10    2
