-- Logs begin at Sun 2022-10-23 02:56:49 UTC, end at Mon 2022-10-24 13:56:06 UTC. --
Oct 24 13:17:49 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Oct 24 13:17:49 ubuntu dstat.sh[82783]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Oct 24 13:17:49 ubuntu dstat.sh[82783]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Oct 24 13:17:49 ubuntu dstat.sh[82783]: 24-10 13:17:49|                   | 910M 1522M  191M 5003M|           |           |           |           |1.10 0.73 0.50|1.0   0    |           |   0     0 |  8    6    0   10    2
Oct 24 13:17:50 ubuntu dstat.sh[82783]: 24-10 13:17:50| 14  19  66   0   0| 910M 1521M  191M 5003M|  47k 7173 |   0   547k|   0  21.0 |2633  3910 |1.10 0.73 0.50|2.0   0 358|   0     0 |   0     0 |  8    6    0   10    2
Oct 24 13:17:51 ubuntu dstat.sh[82783]: 24-10 13:17:51| 17  17  64   0   0| 897M 1534M  191M 5003M|  64k 5855 |   0   496k|   0  18.5 |3104  5017 |1.10 0.73 0.50|2.0   0 305|   0     0 |   0     0 |  8    6    0   10    2
Oct 24 13:17:52 ubuntu dstat.sh[82783]: 24-10 13:17:52| 21  17  60   1   0| 900M 1531M  191M 5004M|  69k 6373 |   0    16M|   0   275 |3559  8238 |1.17 0.75 0.51|1.0   0 197|   0     0 |   0     0 |  8    6    0   10    2
Oct 24 13:17:53 ubuntu dstat.sh[82783]: 24-10 13:17:53| 15   9  75   1   0|1044M 1386M  191M 5126M|  77k 7324 |   0   460k|   0  9.01 |2480  4647 |1.17 0.75 0.51|1.0   0  99|   0     0 |   0     0 |  9    8    0    9    2
Oct 24 13:17:54 ubuntu dstat.sh[82783]: 24-10 13:17:54| 22   6  70   1   0|1044M 1385M  191M 5126M| 208k   10k|   0   559k|   0  18.0 |1747  1915 |1.17 0.75 0.51|1.0   0  60|   0     0 |   0     0 |  9    8    0    9    2
Oct 24 13:17:55 ubuntu dstat.sh[82783]: 24-10 13:17:55| 17  11  70   1   0|1070M 1359M  191M 5126M|  51k   17k|   0  1134k|   0  39.1 |2146  3252 |1.17 0.75 0.51|2.0   0 166|   0     0 |   0     0 |  9    8    0   10    2
Oct 24 13:17:56 ubuntu dstat.sh[82783]: 24-10 13:17:56| 20   4  69   5   0|1113M 1313M  191M 5129M| 946k   26k| 156k 1745k|8.98  14.0 |2211  2085 |1.17 0.75 0.51|1.0 1.0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 24 13:17:57 ubuntu dstat.sh[82783]: 24-10 13:17:57| 25   4  66   4   0|1116M 1310M  191M 5129M|  89k 6664 |  40k   10M|5.00  47.0 |1219  1288 |1.24 0.77 0.51|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Oct 24 13:17:58 ubuntu dstat.sh[82783]: 24-10 13:17:58| 21   4  61  14   0|1136M 1287M  192M 5131M| 822k   34k|  12k 6384k|1.00   459 |4805  7314 |1.24 0.77 0.51|1.0 1.0  13|   0     0 |   0     0 |  9   10    0   10    2
Oct 24 13:17:59 ubuntu dstat.sh[82783]: 24-10 13:17:59| 10   2  66  20   0|1138M 1282M  192M 5134M| 543k   22k|   0  8276k|   0   680 |5420  9603 |1.24 0.77 0.51|  0 1.0 1.0|   0     0 |   0     0 |  9   10    0   10    2
Oct 24 13:18:00 ubuntu dstat.sh[82783]: 24-10 13:18:00|  7   3  66  21   0|1144M 1274M  192M 5136M| 156k   13k|   0  5189k|   0   502 |4569  8325 |1.24 0.77 0.51|  0 1.0  19|   0     0 |   0     0 |  9   10    0   10    2
Oct 24 13:18:01 ubuntu dstat.sh[82783]: 24-10 13:18:01| 10   3  63  22   0|1146M 1270M  193M 5138M| 154k   13k|   0  7068k|   0   572 |5159  8753 |1.24 0.77 0.51|  0 1.0  15|   0     0 |   0     0 |  9   10    0   10    2
Oct 24 13:18:02 ubuntu dstat.sh[82783]: 24-10 13:18:02|  9   4  63  22   0|1149M 1264M  193M 5140M| 215k   14k|   0    39M|   0   721 |5376  9045 |1.30 0.79 0.52|2.0   0  14|   0     0 |   0     0 |  9   10    0   10    2
Oct 24 13:18:03 ubuntu dstat.sh[82783]: 24-10 13:18:03| 20   5  55  19   0|1152M 1257M  193M 5144M| 126k 9968 |   0  7904k|   0   621 |4981  8951 |1.30 0.79 0.52|1.0   0  15|   0     0 |   0     0 |  9   10    0   10    2
Oct 24 13:18:04 ubuntu dstat.sh[82783]: 24-10 13:18:04| 23   5  69   1   0|1076M 1332M  193M 5145M| 405k   16k|   0  1203k|   0  82.9 |2454  3256 |1.30 0.79 0.52|1.0   0  77|   0     0 |   0     0 |  9    8    0   10    2
Oct 24 13:18:05 ubuntu dstat.sh[82783]: 24-10 13:18:05| 23   3  73   0   0|1117M 1291M  193M 5145M| 190k 6199 |   0   476k|   0  16.0 |1210  1289 |1.30 0.79 0.52|1.0   0   0|   0     0 |   0     0 |  9    8    0   10    2
Oct 24 13:18:06 ubuntu dstat.sh[82783]: 24-10 13:18:06| 26   3  70   2   0|1149M 1256M  193M 5148M|1056k   25k|   0  8209k|   0   404 |2902  3295 |1.30 0.79 0.52|2.0   0 1.0|   0     0 |   0     0 |  9    8    0   10    2
Oct 24 13:18:07 ubuntu dstat.sh[82783]: 24-10 13:18:07| 33   7  58   2   0|1100M 1300M  194M 5151M| 276k 8109 |   0  9853k|   0   392 |2314  3162 |1.28 0.80 0.52|2.0   0  13|   0     0 |   0     0 |  9    8    0   10    2
Oct 24 13:18:08 ubuntu dstat.sh[82783]: 24-10 13:18:08| 32   4  61   2   0|1082M 1317M  194M 5152M| 617k   20k|   0  9263k|   0   425 |2862  3578 |1.28 0.80 0.52|1.0   0 3.0|   0     0 |   0     0 |  9    6    0   10    2
